5|idee e concetti astratti
73F21214|una volta rilasciati Pietro e Giovanni riferiscono gli episodi ai discepoli
73F21215|i discepoli pregano il Signore; il luogo in cui sono riuniti trema
73F2122|una folla di infermi guariti da Pietro e dagli altri discepoli (At. 5, 12-16)
73F21221|gli infermi sono condotti sulle strade, in modo che l'ombra di Pietro possa cadere su di loro
73F2123|il sommo sacerdote e i Sadducei imprigionano Pietro e gli apostoli (At. 5, 17-42)
73F21231|durante la notte un angelo apre le porte della prigione ~ vita e atti di Pietro
73F21232|al mattino le guardie trovano le porte della prigione chiuse e la prigione vuota; gli apostoli tornano a predicare nel tempio
73F21233|Pietro e gli apostoli condotti davanti al Sinedrio
73F212331|l'intervento di Gamaliele
73F21234|gli apostoli sono fustigati, e in seguito rilasciati ~ arresto di Pietro e degli apostoli
73F2124|Pietro e Giovanni impongono le mani sui fedeli di Samaria, in modo che ricevano lo Spirito Santo (At. 8, 14-17
73F21241|Simon Mago offre del denaro a Pietro in cambio dei segreti del suo potere (At. 8, 18-24)
73F212411|Pietro rifiuta il denaro offertogli da Simon Mago
73F2125|Pietro a Lidda guarisce Enea, relegato nel suo letto da otto anni (At. 9, 32-35)
73F2126|Pietro e Tabita (Dorcas) (At. 9, 36-42)
73F21261|opere di carità di Tabita: confeziona abiti per i poveri
73F21262|Tabita sul letto di morte
73F21263|due messaggeri chiedono a Pietro di andare a Giaffa
73F21264|vengono mostrati a Pietro gli indumenti fatti da Tabita
73F21265|Tabita è riportata in vita dalla preghiera di Pietro
73F2127|il bastone di Pietro riporta in vita il presbitero Gregorio
73F2128|Pietro e sua figlia Petronilla
73F21281|Petronilla è temporaneamente risanata da Pietro
73F21282|Pietro spiega l'utilità della malattia di Petronilla ai discepoli
73F21283|Tolomeo (o Flacco) per la bellezza della ragazza se ne innamora
73F212831|dolore di Tolomeo quando la ragazza si ammala di nuovo
73F212832|Tolomeo si reca da Pietro e diviene credente
73F2129|Pietro e la figlia del giardiniere
73F21291|un giardiniere chiede a Pietro di pregare per sua figlia, che subito dopo muore
73F21292|Pietro resuscita la figlia del giardiniere
73F21293|la figlia del giardiniere è rapita da uno straniero
73F213|Pietro e il centurione Cornelio (At. 10)
73F2131|il centurione Cornelio e l'angelo
73F2132|Cornelio manda due servi e un soldato da Pietro a Giaffa
73F2133|visione di Pietro degli animali impuri sulla terrazza della casa di Simone il conciatore: scende dal cielo un panno pieno di quadrupedi, rettili e uccelli
73F2134|Pietro riceve i tre servi di Cornelio
73F2135|Pietro nella casa di Cornelio: lo Spirito Santo scende su Cornelio e i suoi familiari, che sono battezzati da Pietro
73F21351|lo Spirito Santo scende sui pagani dopo la preghiera di Pietro
73F2136|i discepoli discutono sui pagani con Pietro (At. 11, 1-18)
73F21361|dopo aver ascoltato da Pietro la storia della conversione di Cornelio, i discepoli rendono gloria a Dio
73F214|Pietro perseguitato a Gerusalemme (At. 12, 1-23)
73F2141|re Erode Agrippa fa arrestare e mettere in prigione Pietro
73F2142|Pietro dorme tra due soldati
73F2143|un angelo appare a Pietro invitandolo ad alzarsi ~arresto di Pietro
73F2144|l'angelo conduce Pietro oltre le guardie addormentate
73F2145|l'angelo scompare: Pietro rimane solo nella strada
73F2146|Pietro si avvia verso 'la casa di Maria madre di Giovanni', dove sono raccolti molti discepoli (e bussa alla porta)
73F21461|la fanciulla di nome Rode riconosce Pietro
73F21462|Rode avverte i discepoli che Pietro è alla porta; i discepoli aprono la porta
73F21463|Pietro racconta ai discepoli la storia della sua liberazione
73F2147|a seguito della scoperta della fuga di Pietro, Erode Agrippa condanna i carcerieri
73F2148|re Erode Agrippa parla al popolo; in quell'istante è colpito da un angelo e muore
73F215|Pietro a Roma
73F2151|viaggio a Roma di Pietro
73F21511|Pietro si imbarca ~ viaggio a Roma
73F21512|Pietro istruisce Theon, il capitano della nave, che ha avuto una visione dell'apostolo
73F21513|Pietro battezza Theon in mare: hanno la visione di Cristo
73F2152|Simon Mago arriva a Roma in una nuvola
73F21521|Simon Mago a Roma inganna i cristiani con la sua magia
73F2153|Pietro a Roma; contesa con Simon Mago
73F21531|Pietro predica a Roma
73F21532|Pietro davanti alla casa del senatore Marcello, dove si trova Simone
73F215321|Pietro manda il cane nella casa per stanare Simone
73F215322|Marcello, preso da rimorso, si getta ai piedi di Pietro
73F215323|Pietro scaccia il demonio da un giovane
73F2153231|il demonio danneggia una statua di Cesare
73F215324|Marcello ricompone miracolosamente la statua spruzzando acqua sui frammenti
73F215325|Simon Mago parla con il cane
73F2153251|il cane torna da Pietro e muore ~ contesa con Simon Mago
73F215326|Pietro fa tornare a nuotare un tonno affumicato
73F215327|Simon Mago, maltrattato dai servi di Marcello, viene gettato fuori di casa
73F21533|Simone è informato da un bambino, davanti alla casa di Narciso, su dove è alloggiato Pietro
73F21534|Cristo appare a Pietro durante la notte
73F21535|Pietro guarisce la vedova cieca
73F215351|altre vedove cieche sono guarite nella casa di Marcello dalla luce che circonda l'apparizione di Cristo
73F21536|contesa tra Pietro e Simon Mago al Foro (la disputa dinanzi a Nerone; può comparire anche Paolo)
73F215361|Simon Mago uccide un giovane con le sue arti arti magiche
73F2153611|Pietro riporta in vita il ragazzo ucciso da Simon Mago
73F215362|Pietro resuscita un altro ragazzo, figlio di una vedova
73F215363|con la sua magia Simon Mago tenta di riportare in vita il senatore Nicostrato, ma riesce solo a fargli muovere il capo
73F2153631|Pietro resuscita Nicostrato
73F2153632|la madre di Nicostrato dona a Pietro del denaro per le 'vergini di Cristo'
73F2153633|anche Nicostrato porta in offerta del denaro
73F215364|aiutato dai demoni Simone si getta da una torre e vola su Roma
73F215365|Pietro prega: Simone cade e subito dopo muore
73F2154|altre scene ~ atti e viaggi di Pietro
73F21541|Paolo visita Pietro in prigione ad Antiochia, e lo costringe a mangiare
73F216|martirio e morte di Pietro
73F2161|Pietro tenta di lasciare Roma inosservato: alle porte della città incontra Cristo, che porta di solito la croce ('Domine, quo vadis?')
73F2162|Pietro torna a Roma per essere crocifisso
73F2163|Pietro in prigione ~ martirio e morte di Pietro
73F21631|a Pietro vengono tagliati i capelli
73F21632|Pietro in prigione fa scaturire acqua da una roccia e battezza i carcerieri Processo e Martiniano
73F2164|Pietro è condotto al luogo dell'esecuzione da quattro soldati; la sua ultima preghiera
73F2165|Pietro crocifisso a testa in giù
73F2166|Marcello prende il corpo di Pietro dalla croce
73F2167|unzione del corpo di Pietro
73F2168|Pietro è sepolto nella tomba di Marcello
73F217|soggetti narrativi ~ Pietro dopo la morte
73F2171|traslazione delle reliquie di Pietro
73F22|vita e atti di Paolo (Saulo)
73F221|storia della conversione di Paolo (At. 9, 1-18)
73F2211|Saulo richiede al sommo sacerdote lettere che lo autorizzino a perseguitare i discepoli del Signore a Damasco
73F2212|sulla via di Damasco Cristo appare a Saulo, che cade da cavallo e viene accecato dal bagliore
73F2213|Saulo cieco viene condotto a Damasco
73F2214|la visione di Anania
73F2215|Anania restituisce la vista a Saulo con l'imposizione delle mani
73F2216|Saulo è battezzato da Anania
73F222|prime attività di Paolo dopo la conversione (At. 9, 19-30)
73F2221|Paolo predica nella sinagoga di Damasco
73F2222|i Giudei cercano di uccidere Paolo
73F2223|i discepoli calano Paolo giù dalle mura della città in una cesta
73F2224|a Gerusalemme Barnaba conduce Paolo agli apostoli
73F2225|Paolo e Pietro parlano a Gerusalemme (Gal. 1,18)
73F2226|Paolo e Pietro parlano a Gerusalemme (Gal. 1,18)
73F223|viaggi missionari di Paolo
73F2231|il primo viaggio missionario di Paolo (At. 13 - 14)
73F22311|Paolo e Barnaba si mettono in viaggio ~ il primo viaggio missionario di Paolo
73F22312|Paolo e Barnaba predicano nella sinagoga a Salamina
73F22313|a Pafo Paolo e Barnaba sono condotti davanti al governatore romano Sergio Paolo
73F223131|il mago Elimas (Elymes, Bar Jesus), che tenta di impedire a Paolo e Barnaba di parlare, è colpito da cecità ad opera di Paolo
73F22314|Paolo e Barnaba predicano nella sinagoga ad Antiochia di Pisidia
73F22315|Paolo e Barnaba a Listra
73F223151|Paolo e Barnaba guariscono uno storpio; la popolazione di Listra ritiene che siano Mercurio e Giove
73F223152|preparativi per il sacrificio, con buoi e corone, davanti al tempio di Giove ~ Paolo e Barnaba a Listra
73F223153|Paolo e Barnaba si stracciano le vesti, e tentano di impedire il sacrificio
73F223154|i Giudei istigano la folla ~ Paolo e Barnaba a Listra
73F223155|Paolo è lapidato e trascinato fuori dalla città
73F2232|dibattito tra gli apostoli ~ viaggi missionari di Paolo (At. 15)
73F22321|Paolo e Pietro disputano ad Antiochia (Gal. 2, 11-14)
73F22322|alla riunione degli apostoli ad Antiochia Paolo e Barnaba sono mandati a Gerusalemme
73F22323|il concilio di Gerusalemme ~ viaggi missionari di Paolo
73F2233|il secondo viaggio missionario di Paolo (At. 16 - 18, 21)
73F22331|la partenza di Paolo e Sila ~ secondo viaggio di Paolo
73F22332|la conversione e circoncisione di Timoteo
73F22333|Paolo ha la visione di un Macedone
73F22334|Paolo e Sila a Filippi
73F223341|Paolo e Sila, vicino ad un fiume, predicano alle donne di Filippi
73F223342|conversione e battesimo di Lidia, una venditrice di porpora
73F2233421|Paolo e Sila alloggiano nella casa di Lidia
73F223343|guarigione della serva indovina ~ Paolo e Sila a Filippi
73F2233431|Paolo e Sila condotti davanti ai magistrati dai padroni della serva guarita
73F2233432|Paolo e Sila vengono bastonati
73F223344|Paolo e Sila sono gettati in prigione
73F2233441|Paolo e Sila vengono messi in ceppi
73F2233442|Paolo e Sila, in prigione, cantano e pregano durante la notte
73F2233443|le porte della prigione si aprono a causa di una scossa di terremoto ~ Paolo e Sila in prigione
73F2233444|Paolo e Sila impediscono al carceriere di suicidarsi (storia della conversione del carceriere)
73F2233445|Paolo e Sila insegnano la parola di Dio al carceriere, che si inginocchia ai loro piedi
73F2233446|il carceriere lava le piaghe di Paolo e Sila
73F2233447|il carceriere e la sua famiglia vengono battezzati da Paolo e Sila
73F22335|Paolo ad Atene: sull'Areopago discute con i filosofi (davanti al tempio di Marte)
73F223351|Paolo davanti all'altare di un dio ignoto
73F223352|conversione di Dionigi l'Areopagita
73F22336|Paolo a Corinto
73F223361|Paolo nella bottega di Aquila e Priscilla, che possono essere raffigurati mentre cuciono o tessono
73F223362|i Giudei conducono Paolo davanti al proconsole Gallione
73F223363|Sostene è condotto davanti a Gallione e percosso dai Greci
73F2234|il terzo viaggio missionario di Paolo: il soggiorno a Efeso (At. 19)
73F22341|Paolo battezza alcuni discepoli di Apollo: ricevono lo Spirito Santo
73F22342|Paolo predica a Efeso
73F223421|Paolo predica nella sinagoga a Efeso
73F223422|Paolo predica nella scuola di Tiranno
73F22343|i fazzoletti e i grembiuli di Paolo curano i malati e i posseduti
73F22344|sette esorcisti, figli di Sceva, vengono malmenati da un uomo posseduto da uno spirito malvagio, e fuggono
73F223441|gli Efesini bruciano in pubblico i libri degli esorcisti
73F22345|il tumulto a Efeso
73F223451|il raduno degli argentieri, capeggiati da Demetrio
73F223452|la folla, che grida 'grande è l'Artemide degli Efesini', è placata dal cancelliere ~ San Paolo e gli argentieri
73F2235|il terzo viaggio missionario di Paolo: il viaggio (At. 20 - 21, 16)
73F22351|Eutico cade dalla finestra mentre dorme durante la predica di Paolo a Troade
73F223511|Eutico viene riportato in vita da Paolo
73F22352|discorso di commiato di Paolo agli anziani della chiesa di Efeso
73F22353|Paolo a Tiro; preghiera e commiato sulla spiaggia
73F22354|Paolo visita Filippo e le sue figlie a Cesarea
73F223541|Agabo predice l'arresto di Paolo a Gerusalemme, dopo essersi legato le mani e i piedi con la cintura di Paolo
73F2236|azioni contro Paolo a Gerusalemme (At. 21, 17 - At. 26)
73F22361|Paolo parla alla comunità del suo viaggio
73F223611|Paolo e altri quattro uomini si purificano
73F22362|Paolo è trascinato fuori dal tempio dai Giudei; è salvato dai soldati che lo arrestano e lo portano via
73F223621|Paolo parla alla folla dalle scale
73F223622|nel momento in cui lo stanno per fustigare Paolo si dichiara cittadino romano
73F22363|Paolo davanti al sommo sacerdote Anania e al Sinedrio
73F223631|dissenso tra Farisei e Sadducei
73F22364|Paolo in prigione
73F223641|Dio (o un angelo) parla a Paolo durante la notte
73F223642|il nipote di Paolo lo mette in guardia contro i Giudei
73F22365|Paolo è condotto dai soldati a Cesarea con una lettera per il governatore Felice
73F22366|Paolo accusato da Tertullo davanti a Felice
73F22367|Paolo davanti a Felice e Drusilla
73F22368|Paolo è accusato davanti a Festo dai Giudei
73F22369|Paolo davanti a Festo, al re Agrippa alla regina Berenice
73F223691|Festo esclama: 'sei pazzo, Paolo ...'
73F2237|il viaggio di Paolo a Roma (At. 27-28)
73F22371|la partenza dal porto di Cesarea ~ viaggio di Paolo a Roma
73F22372|la tempesta ~ viaggio di Paolo a Roma
73F223721|Paolo parla agli uomini della nave, e spezza il pane
73F223722|il naufragio sulla costa di Malta (Melita) ~ storia di Paolo
73F223723|dopo il naufragio Paolo e i suoi uomini sono ricevuti benevolmente dagli abitanti, che accendono un fuoco
73F2237231|Paolo è morso da una vipera (mentre getta legna nel fuoco)
73F22373|Paolo guarisce il padre di Publio
73F223731|Paolo guarisce altri malati a Malta
73F22374|Paolo a Roma
73F223741|Paolo predica e racconta la sua storia ai Giudei mentre è scortato dai soldati
73F223742|Paolo in prigione ~ viaggio a Roma
73F2237421|Paolo in prigione, legge e scrive
73F2237422|Paolo in prigione, riceve la visita di Luca
73F2238|altre scene ~ atti e viaggi di Paolo
73F22381|Paolo guarisce i malati o resuscita
73F223811|Paolo guarisce un idropico a Mira
73F223812|Paolo guarisce l'orecchio di Girolamo
73F223813|Ermippo, che aveva cospirato contro Paolo, è guarito dalla sua cecità
73F223814|a Mira Paolo resuscita Dione
73F223815|Paolo riporta alla vita Frontina
73F223816|il figlio di Teofilo, re di Siria, è resuscitato da Pietro e Paolo
73F22382|Paolo predica o disputa
73F22383|Paolo battezza
73F223831|Paolo battezza un leone
73F2238311|Paolo, gettato in pasto a un leone e ad altre bestie feroci, rimane illeso
73F22384|Paolo in viaggio
73F22385|visione estatica di Paolo: è sollevato in aria da (tre) angeli ('rapito fino al terzo cielo') (2 Cor. 12, 1-3)
73F224|martirio e morte di Paolo
73F2241|Cristo e Paolo su una barca: 'Quo vadis'
73F2242|Pietro e Paolo si incontrano (e si abbracciano) poco prima dell'esecuzione
73F2243|la decapitazione di Paolo; possono essere rappresentate tre fonti che zampillano dalla testa recisa
73F22431|Paolo in preghiera prima della decapitazione
73F22432|Plautilla dà il suo velo a Paolo come benda
73F2244|la testa di Paolo, con gli occhi bendati, su un vassoio
73F225|soggetti narrativi ~ Paolo dopo la morte
73F2251|dopo la morte Paolo appare a Nerone
73F2252|Paolo appare a Plautilla, e le restituisce il velo
73F2253|Longo e Cesto si convetono sulla tomba di Paolo
73F2254|la testa, ritrovata dai pastori, è riunita al corpo
73F22541|la testa, posta sulla palizzata dell'ovile, irradia luce
73F2255|le ossa di Paolo ritrovate
73F22551|traslazione delle reliquie
73F2256|apoteosi di Paolo
73F23|vita e atti di Giovanni Evangelista
73F231|un ritratto di Giovanni è dipinto a sua insaputa
73F232|Giovanni predica
73F2321|Giovanni converte le genti
73F233|Giovanni ammonisce un ragazzo, che lo aveva deriso per una pernice
73F234|miracoli di Giovanni
73F2341|Giovanni guarisce una vecchia nel teatro di Efeso
73F2342|Giovanni, mentre dorme in una locanda, ordina alle pulci di lasciarlo solo
73F2343|gli idoli e il tempio di Diana a Efeso vengono distrutti dalle preghiere di Giovanni
73F2344|Giovanni resuscita dalla morte alcune persone
73F23441|Giovanni resuscita Cleopatra; in seguito Cleopatra resuscita il marito Licomede
73F23442|Giovanni resuscita un sacerdote di Diana
73F23443|Giovanni resuscita un uomo che era stato ucciso dal figlio
73F23444|Giovanni ferma il corteo funebre di Drusiana, e la risveglia; ella lo accoglie in casa sua
73F23445|Giovanni resuscita Callimaco, vicino alla tomba di Drusiana
73F23446|Giovanni resuscita Stacteo
73F2345|Giovanni trasforma alcuni bastoni e pietre in oro e pietre preziose per due giovani ricchi (Atticus, Eugenius)
73F23451|conversione e battesimo del filosofo Cratone
73F2346|Giovanni beve dal calice avvelenato offertogli dal sacerdote di Diana a Efeso; Giovanni riporta alla vita due donne, precedentemente uccise con il veleno
73F235|martirio e morte di Giovanni
73F2351|martirio di Giovanni davanti a Porta Latina: è immerso in un calderone di olio bollente, ma rimane illeso
73F2352|Giovanni scava una fossa (quadrata o a forma di croce), vi entra e scompare sotto lo sguardo sorpreso dei discepoli
73F23521|i discepoli di Giovanni trovano la manna nella fossa vuota (la pioggia di manna)
73F236|soggetti narrativi ~ Giovanni dopo la morte
73F24|vita e atti di Giacomo Maggiore (il Vecchio)
73F241|Giacomo predica
73F2411|Giovanni predica agli Indiani
73F2412|Maria su una colonna appare a Giacomo (missione di Giacomo)
73F242|storia della conversione del mago Ermogene
73F2421|Ermogene manda Fileto a dissuadere Giacomo dalla sua fede
73F2422|Fileto viene convertito da Giacomo
73F2423|Ermogene manda dei demoni a Giacomo
73F2424|i demoni obbediscono a Giacomo e incatenano Ermogene
73F2425|incontro di Giacomo e Ermogene
73F2426|Ermogene si converte
73F2427|Ermogene getta in mare i suoi libri di incantesimi
73F243|martirio e morte di Giacomo
73F2431|Giacomo è arrestato e condotto davanti a Erode
73F2432|lungo il cammino verso il luogo dell'esecuzione Giacomo converte il governatore Giosia
73F2433|lungo il cammino verso il luogo dell'esecuzione Giacomo guarisce un paralitico
73F2434|decapitazione di Giacomo
73F244|traslazione delle reliquie
73F2441|il cadavere di Giacomo è deposto su una pietra
73F2442|tori selvaggi portano il cadavere nel castello della regina Lupa
73F2443|sepoltura di Giacomo
73F245|soggetti narrativi ~ Giacomo dopo la morte
73F2451|Giacomo appare a Carlomagno
73F2452|Giacomo come uccisore dei Mori ('Matamoros'): sul campo di battaglia di Clavijo appare su un cavallo bianco
73F2453|Giacomo e la famiglia di pellegrini
73F24531|(la figlia di) un oste mette un calice d'argento nel bagaglio di un pellegrino ~ Giacomo Maggiore
73F24532|il pellegrino è accusato di furto e impiccato ~ Giacomo e la famiglia di pellegrini
73F24533|Giacomo sostiene i piedi del pellegrino, che sopravvive fino a quando i suoi compagni ritornano da Santiago
73F24534|i genitori (il padre) raccontano la storia al giudice; questi si mostra incredulo sul racconto, e in quel momento gli uccelli arrostiti che si trovano sulla sua tavola tornano in vita e volano via
73F25|vita e atti di Andrea
73F251|missione di Andrea
73F2511|Andrea predica
73F2512|Andrea prega per il vecchio peccatore Nicola
73F2513|Andrea battezza
73F252|miracoli di Andrea
73F2521|guarigioni di Andrea
73F25211|Andrea guarisce il cieco Matteo (o Mattia)
73F252111|viaggio miracoloso di Andrea e dei suoi discepoli nella terra dei cannibali
73F252112|Andrea impedisce i sacrifici umani
73F252113|Andrea imprigionato e malmenato dai cannibali
73F252114|la città dei cannibali viene sommersa e bruciata ~ Andrea
73F252115|alcuni dei cannibali si convertono, altri muoiono ~ Andrea
73F252116|Andrea fonda una chiesa nella città
73F252117|Andrea salva Mattia dai cannibali
73F25212|Andrea caccia un demonio da un giovane, che in seguito si converte
73F25213|Andrea guarisce Massimilla e la converte
73F25214|Andrea caccia via da Nicea sette demoni sotto forma di cani
73F252141|Andrea resuscita un giovane, ucciso dai demoni
73F2522|Andrea e Pietro a Oresiforo fanno in modo che un cammello passi attraverso la cruna di un ago
73F2523|i genitori di un giovane discepolo di Andrea contrariati dalla sua conversione danno fuoco alla casa in cui sono riuniti l'apostolo e altri
73F25231|i genitori tentano di penetrare nella casa con delle scale, ma sono colpiti da cecità e in seguito muoiono
73F2524|un giovane che accusava Andrea è colpito da un fulmine
73F253|martirio e morte di Andrea
73F2531|Massimilla rifiuta al marito Egea (Aegeates) i suoi diritti coniugali
73F25311|Massimilla visita Andrea in prigione
73F2532|Andrea e Stratocle, il fratello di Egea, in prigione
73F2533|flagellazione di Andrea
73F2534|Andrea in cammino verso il luogo dell'esecuzione (talvolta condotto da soldati)
73F25341|Stratocle lotta con i carnefici di Andrea
73F25342|Andrea in adorazione della croce ('O bona crux')
73F253421|visione di Andrea: vede Maria in cielo
73F2535|crocifissione di Andrea: è spogliato e legato alla croce
73F25351|i soldati di Egea tentano di slegare Andrea, ma le loro mani sono paralizzate
73F2536|Massimilla e Stratocle depongono Andrea dalla croce
73F25361|sepoltura di Andrea
73F25362|suicidio di Egea
73F254|soggetti narrativi ~ Andrea dopo la morte
73F2541|traslazione delle reliquie di Andrea
73F2542|Andrea in sembianze di pellegrino salva un vescovo, che è tentato dal diavolo sotto le sembianze di una bella donna
73F26|vita e atti di Filippo
73F261|storia della cacciata del drago dal tempio di Marte
73F2611|il drago uccide il figlio del sacerdote e due tribuni; i presenti si ammalano a causa delle esalazioni
73F2612|Filippo scaccia il drago servendosi della croce
73F26121|Filippo resuscita i morti e cura gli infermi
73F262|Filippo predica (in Samaria) (At. 8, 4-25)
73F263|storia dell'eunuco etiope (in genere rappresentato di pelle nera) (At. 8, 26-40)
73F2631|un angelo ordina a Filippo di dirigersi verso il sud
73F2632|Filippo incontra l'eunuco che viaggia su un carro
73F2633|Filippo spiega la Scritture all'eunuco
73F2634|Filippo battezza l'eunuco
73F2635|traslazione di Filippo (a opera di 1un angelo)
73F264|martirio e morte di Filippo
73F2641|Filippo viene crocifisso (in qualche caso a testa in giù)
73F2642|Filippo, una volta crocifisso, è lapidato
73F2643|sepoltura di Filippo
73F265|soggetti narrativi ~ Filippo dopo la morte
73F27|vita e atti di Bartolomeo (Natanaele)
73F271|primo periodo della vita di Bartolomeo
73F2711|nascita di Bartolomeo
73F2712|il diavolo scambia il neonato con un altro bambino ~ nascita di Bartolomeo
73F2713|la madre di Bartolomeo fa un patto col diavolo
73F272|atti di Bartolomeo
73F2721|Bartolomeo predica (e battezza)
73F2722|miracoli di Bartolomeo
73F27221|Bartolomeo guarisce la mano della madre
73F27222|Bartolomeo scaccia un demone da una donna
73F27223|guarigione della figlia indemoniata del re Polemio (Polimnio)
73F27224|Bartolomeo ospitato dal re Polemio, che viene battezzato insieme alla regina
73F273|altri episodi dalla vita di Bartolomeo
73F274|martirio e morte di Bartolomeo
73F2741|Bartolomeo è trascinato davanti al re Astrage dai sacerdoti pagani, e percosso
73F2742|Bartolomeo scorticato vivo
73F27421|Bartolomeo, scorticato, predica
73F2743|altri episodi ~ martirio e morte di Bartolomeo
73F27431|crocifissione (a testa in giù) di Bartolomeo
73F27432|decapitazione di Bartolomeo
73F274321|testa di Bartolomeo
73F27433|lapidazione di Bartolomeo
73F27434|Bartolomeo bruciato vivo
73F2744|re Astiage e i suoi sacerdoti sono colti da pazzia e muoiono
73F275|soggetti narrativi ~ Bartolomeo dopo la morte
73F2751|Bartolomeo incoronato da Cristo e da Maria
73F2752|scoperta delle reliquie di Bartolomeo
73F2753|miracolo dell'olio della lampada sulla tomba di Bartolomeo
73F2754|apparizioni di Bartolomeo
73F2755|traslazione delle reliquie di Bartolomeo
73F28|vita e atti di Matteo (Levi)
73F281|Matteo predica (e battezza)
73F282|Matteo vince i due draghi di Vadabar (Nadaber)
73F283|Matteo resuscita il figlio del re Egippo di Vadabar
73F2831|Matteo rifiuta di essere adorato
73F2832|Matteo battezza Egippo
73F284|sotto l'influenza di Matteo, la figlia di Egippo Ifigenia e altre fanciulle rifiutano il matrimonio
73F285|martirio e morte di Matteo
73F2851|Matteo è ucciso davanti a un altare dai soldati di Irtaco e decapitato
73F2852|sepoltura di Matteo
73F286|soggetti narrativi ~ Matteo dopo la morte
73F2861|Matteo appare a Ifigenia
73F28611|per intervento di Matteo il fuoco appiccato per uccidere le fanciulle si volge verso il castello di Irtaco, devastandolo
73F28612|suicidio di Irtaco
73F2862|traslazione delle reliquie di Matteo
73F29|vita e atti di Tommaso (Didimo)
73F291|episodi che precedono la missione di Tommaso
73F2911|Cristo appare a Tommaso per incoraggiarlo nella sua missione in India
73F2912|Abbane, messaggero del re Gundaforo (Gundofero), ricerca un architetto; Cristo gli propone Tommaso
73F2913|viaggio di Tommaso in India in nave
73F292|miracoli di Tommaso
73F2921|storia delle nozze della figlia del re ad Andrapolis
73F29211|Tommaso non beve e non mangia al banchetto di nozze
73F29212|una donna, mentre suona il flauto, capisce che Tommaso è un ebreo come lei
73F29213|il coppiere del re colpisce Tommaso in faccia perché non beve
73F29214|il coppiere viene ucciso da un leone al pozzo ~ nozze della figlia del re ad Andrapolis
73F29215|le sue braccia smembrate (la sua mano) vengono portate (da un cane) dentro la sala da pranzo
73F29216|conversione della flautista ~ nozze della figlia del re ad Andrapolis
73F29217|conversione della nuova coppia di sposi ~ nozze della figlia del re ad Andrapolis
73F2922|storia di Tommaso e del re Gundaforo (Gundofero)
73F29221|re Gundaforo dà a Tommaso oro e argento perché gli costruisca un palazzo
73F29222|Tommaso distribuisce ai poveri il denaro datogli da re Gundaforo
73F29223|quando il re Gundaforo torna per ispezionare il palazzo Tommaso e Abbane sono imprigionati, perché Tommaso afferma di aver costruito un palazzo in cielo
73F29224|il fratello del re Gundaforo, resuscitato dalla morte, gli parla del palazzo celeste
73F29225|re Gundaforo e suo fratello chiedono perdono a Tommaso e vengono battezzati
73F2923|Tommaso guarisce o resuscita dalla morte
73F29231|Tommaso guarisce una donna posseduta dal demonio
73F29232|Tommaso guarisce madre e figlia possedute dal demonio
73F29233|Tommaso resuscita un ragazzo ucciso da un drago
73F29234|Tommaso resuscita una donna uccisa dal suo amante
73F2924|altri miracoli operati da Tommaso
73F29241|miracolo dell'asino parlante
73F29242|miracolo dei quattro asini selvatici
73F293|Tommaso consacra i Re Magi vescovi
73F294|Tommaso predica (e battezza) in India
73F2941|Tommaso somministra l'Eucaristia
73F295|martirio e morte di Tommaso
73F2951|la conversione di Migdonia e di sua sorella, la regina
73F2952|Tommaso davanti al re Misdai
73F2953|Tommaso è costretto a camminare su sbarre di metallo incandescenti
73F2954|Tommaso viene gettato in una fornace
73F2955|morte di Tommaso: è condotto fuori della città da quattro soldati, che lo uccidono con le lance
73F29551|Tommaso è ucciso da sacerdoti indiani
73F2956|sepoltura di Tommaso
73F296|soggetti narrativi ~ Tommaso dopo la morte
73F2961|Tommaso appare ai suoi discepoli
73F2962|Tommaso appare alle donne sue seguaci
73F3|vita e atti degli apostoli (II parte)
73F31|vita e atti di Giacomo (sia 'Minore' che 'Adelphotheos', 'il fratello del Signore')
73F311|Giacomo guida la comunità di Gerusalemme come primo vescovo
73F312|Giacomo è cacciato dal pulpito mentre sta predicando
73F313|Giacomo è cacciato dal pulpito mentre sta predicando
73F3131|Giacomo riceve la comunione o il cibo da Cristo
73F314|martirio e morte di Giacomo
73F3141|Giacomo viene gettato dal tetto del tempio a Gerusalemme
73F3142|Giacomo è lapidato, o colpito a morte (con un follone)
73F315|soggetti narrativi ~ Giacomo dopo la morte
73F3151|Giacomo libera un mercante innocente dalla prigione
73F3152|Giacomo aiuta i pellegrini
73F3153|traslazione delle reliquie di Giacomo
73F32|vita e atti di Giuda Taddeo
73F321|gli idoli cadono dalle colonne alla predica di Giuda Taddeo
73F322|un serpente (dei serpenti) morde gli avversari di Giuda Taddeo
73F323|Giuda Taddeo a Edessa
73F3231|Giuda Taddeo predica e battezza
73F3232|guarigioni operate da Giuda Taddeo
73F32321|Giuda Taddeo guarisce re Abgar
73F324|martirio e morte di Giuda Taddeo: è percosso a morte e decapitato
73F33|vita e atti di Simone Zelota
73F331|gli idoli cadono alla predica di Simone Zelota
73F332|martirio e morte di Simone Zelota: viene tagliato in due, o percosso a morte
73F3321|Simone Zelota è decapitato
73F3322|Simone Zelota viene crocifisso
73F34|vita e atti di Mattia
73F341|Mattia predica (e battezza)
73F342|miracoli di Mattia
73F343|Mattia in prigione: viene liberato da Cristo
73F344|martirio e morte di Mattia
73F3441|Mattia lapidato e decapitato
73F3442|Mattia crocifisso
