5|abstrakte Ideen und Konzeptionen
73C86311|die Eingeladenen weigern sich, zum königlichen Hochzeitsmahl zu kommen
73C8632|die zweite Einladung zum königlichen Hochzeitsfest: die Knechte werden geschlagen
73C8633|als der König von der Auspeitschung der Knechte erfährt, nimmt er Rache an den eingeladenen Gästen, indem er ihre Heimatstadt in Brand setzt
73C8634|die Armen, Krüppel, Blinden und Lahmen werden herbeigebracht und setzen sich an der Tafel nieder (Parabel vom königlichen Hochzeitsmahl)
73C8635|der König sieht einen Gast ohne Hochzeitsgewand: Bindet ihm Hände und Füße und werft ihn hinaus in die Finsternis! (Parabel vom königlichen Hochzeitsmahl)
73C8636|der unwürdige Gast wird hinausgeworfen (Parabel vom königlichen Hochzeitsmahl)
73C864|die Parabeln Christi: der verlorene Sohn (Lukas 15:11-32)
73C8641|der verlorene Sohn fordert von seinem Vater sein Erbe; der Vater gibt ihm (einen Beutel mit) Geld
73C8642|Abschied und Abreise des verlorenen Sohns
73C8643|der verlorene Sohn verschwendet (in der Regel in einem Gasthaus oder Bordell) mit Prostituierten sein Erbe
73C86431|als sein gesamtes Geld verschwendet ist, wird der verlorene Sohn von den Huren fortgejagt
73C8644|der verlorene Sohn fragt einen Bauer nach Arbeit
73C8645|der verlorene Sohn hütet Schweine und ißt aus ihrem Trog
73C86451|der verlorene Sohn bereut sein Leben und betet
73C8646|der verlorene Sohn kehrt nach Hause zurück, wo sein Vater ihn erwartet
73C86461|der verlorene Sohn kniet vor seinem Vater nieder, der ihn umarmt
73C86462|festlicher Empfang des verlorenen Sohns
73C86463|Vorbereitungen für das Fest: der verlorene Sohn wird neu eingekleidet, das fetteste Kalb wird geschlachtet, der ältere Sohn protestiert
73C865|andere Parabeln und Spruchweisheiten Christi mit Bezug auf menschliche und göttliche Liebe
73C87|Parabeln und Spruchweisheiten Christi mit Bezug auf das Himmelreich und die Religion
73C871|die Spruchweisheiten Christi: Das Himmelreich ist gleich einem Sauerteig (Matthäus 13:33; Lukas 13:20-21)
73C872|die Spruchweisheiten Christi: Das Himmelreich ist gleich einem im Acker verborgenen Schatz (Matthäus 13:44)
73C873|die Spruchweisheiten Christi: Das Himmelreich ist gleich einem Kaufmann, der schöne Perlen suchte (Matthäus 13:45-46)
73C874|die Spruchweisheiten Christi: Das Himmelreich Christi ist gleich einem Netz, das ins Meer geworfen worden und Fische aller Art zusammenbrachte
73C875|die Spruchweisheiten Christi: Das Himmelreich Christi ist gleich einem Hausherrn, der Neues und Altes aus seinem Schatz hervorholt (Matthäus 13:52)
73C876|die Spruchweisheiten Christi: Eine Stadt, die auf dem Berge liegt, kann nicht verborgen bleiben (Matthäus 5:14)
73C877|die Spruchweisheiten Christi: ein Licht (eine Lampe) unter den Scheffel stellen (in ein Versteck, unter ein Bett, von einem Gefäß verdeckt) (Matthäus 5:15; Markus 4:21; Lukas 8:16)
73C878|die Spruchweisheiten Christi: Wenn ich aber durch den Finger Gottes die Dämonen austreibe ... (Lukas 11:20)
73C879|andere Parabeln und Spruchweisheiten Christi mit Bezug auf das Himmelreich und die Religion
73C88|andere Parabeln und Spruchweisheiten Christi
73C881|der ungerechte Richter und die unbequeme Witwe (Lukas 18:2-5)
73C882|der betende Pharisäer und der reuige Zöllner (Lukas 18:10-14)
73C883|die Parabeln Christi: der demütige Hochzeitsgast, dem ein besserer Platz an der Tafel zugewiesen wird (Freund, rücke weiter hinauf!) (Lukas 14:8-11)
73C9|Christus betet; Christus und das Gebet
73C91|Christus betet (generell); z.B. in der Wüste
73C911|die Jünger suchen den betenden Christus (Markus 1:35-37; Lukas 4:42)
73C92|die Voraussetzungen Christi für das Gebet
73C921|Christus: Wenn du betest, gehe in deine Kammer (Matthäus 6:6)
73C922|Christus: Und wenn ihr zum Beten tretet, so vergebet, wenn ihr gegen jemanden etwas habt (Markus 11:25)
73C923|'Bittet für die, die euch verfolgen.' (Matthäus 5:44)
73C924|Christus: Alles, um was ihr betet und bittet - glaubt, daß ihr es empfangen habt, und es wird euch zuteil werden (Matthäus 21:22; Markus 11:24)
73C93|das Vaterunser (Matthäus 6:9-13; Lukas 11:2-4)
73C931|das Vaterunser: Vater unser im Himmel
73C932|das Vaterunser: geheiligt werde dein Name
73C933|das Vaterunser: dein Reich komme
73C934|das Vaterunser: dein Wille geschehe, wie im Himmel so auf Erden
73C935|das Vaterunser: unser täglich Brot gib uns heute
73C936|das Vaterunser: und vergib uns unsere Schuld, wie auch wir vergeben unseren Schuldigern
73C937|das Vaterunser: und führe uns nicht in Versuchung
73C938|das Vaterunser: sondern erlöse uns von dem Bösen
73C939|das Vaterunser: denn dein ist das Reich
73C9391|das Vaterunser: und die Kraft
73C9392|das Vaterunser: und die Herrlichkeit in Ewigkeit
73C94|Da kam eine Stimme vom Himmel: "Ich habe ihn verklärt und will ihn abermals verklären" (Johannes 12:28-29)
73C941|Philippus und Andreas auf dem Weg zu Christus um ihm zu sagen dass einige Griechen ihn treffen wollen (John 12:20-22)
73D|die Passion Christi
73D1|die Vorgeschichte der Passion Christi
73D11|Christus prophezeit seine Passion (bei verschiedenen Gelegenheiten) (Matthäus 16:21, 17:22-23; Markus 8:32, 9:31; Lukas 9:22, 9:44)
73D12|Kaiphas und die Hohepriester verschwören sich gegen Christus (Matthäus 26:3-5; Markus 14:1-2; Lukas 22:2; Johannes 11:47-53)
73D121|Kaiphas prophezeit die Passion Christi
73D13|das Gastmahl in Bethanien (im Hause Simons des Aussätzigen) (Matthäus 26:6-13; Markus 14:3-9; Johannes 12:1-11)
73D131|Maria (Magdalena) salbt das Haupt Christi
73D132|Maria (Magdalena) salbt die Füße Christi
73D133|die Hohepriester verschwören sich gegen Lazarus
73D14|der Einzug nach Jerusalem: die Leute breiten ihre Mäntel vor Christus aus, der auf einem Esel reitet, und schwenken Palmzweige (Matthäus 21:1-11, 21:14-16; Markus 11:1-11; Lukas 19:28-40; Johannes 12:12-19)
73D141|der Auftrag Christi, den Esel zu holen (Einzug nach Jerusalem)
73D142|die Jünger nehmen nach anfänglichen Protesten des Besitzers den Esel mit (Einzug nach Jerusalem)
73D143|das Hosanna der Kinder im Tempel
73D144|Philippus und Andreas auf dem Weg zu Christus um ihm zu sagen dass einige Griechen ihn treffen wollen (Johannes 12:20-22)
73D15|die (erste und zweite) Reinigung des Tempels: Christus vertreibt die Geldwechsler mit einer Peitsche aus dem Tempel (Matthäus 21:12-13; Markus 11:15-17; Lukas 19:45-46; Johannes 12:12-19)
73D151|nach der Reinigung des Tempels fordern die Juden Christus auf, ihnen ein Zeichen zu geben
73D152|Christus: Zerstört diesen Tempel und ich werde ihn in drei Tagen wieder aufbauen
73D16|Christus trauert um Jerusalem und seine künftige Zerstörung (Lukas 19:41-44)
73D161|Zeichen in der Natur und am Himmel kündigen die Zerstörung Jerusalems an (Lukas 21:25)
73D17|Christus nimmt Abschied von Maria; in der Regel im Beisein Maria Magdalenas
73D2|das Abendmahl
73D21|Vorbereitungen für das Passamahl (bzw. das Abendmahl) (Matthäus 26:17-20; Markus 14:12-17; Lukas 22:7-14)
73D211|zwei Jünger folgen einem Mann, der einen Wasserkrug trägt
73D22|der Streit unter den Aposteln, welcher unter ihnen der Größte ist
73D23|Jesus wäscht die Füße der Apostel (Johannes 13:1-20)
73D231|Christus wäscht die Füße des Petrus
73D24|das Abendmahl (generell) (Matthäus 26:21-35; Markus 14:18-31; Lukas 22:3, 22:15-23; Johannes 13:21-38)
73D241|die Ankündigung des Verrats durch Christus und die Reaktion der Apostel
73D242|Jesus bezeichnet Judas Ischariot als seinen Verräter (Judaskommunion)
73D2421|der Satan fährt in Judas ein
73D243|Christus sagt die Verleugnung des Petrus voraus
73D244|die Einsetzung der Eucharistie, d.h. Christus zeigt oder segnet Brot (die Hostie) und/oder Wein (Matthäus 26:26-27; Markus 14:22-23; Lukas 22:19-20; Johannes 13:26; 1 Korintherbrief 11:23-25)
73D245|Apostelkommunion: Christus reicht den (stehenden) Aposteln Brot und/oder Wein
73D25|ungewöhnliche Abendmahlsdarstellungen; z.B. Ersetzung der Apostel durch andere Personen
73D26|Judas geht zu den Hohepriestern, verrät Christus und erhält seinen Lohn (Matthäus 26:14-16; Markus 14:10-11; Lukas 22:4-6)
73D27|nach der Einsetzung des Abendmahls spricht Christus zu seinen Jüngern (Johannes 14-16)
73D271|Darstellungen des Inhalts der Lehren Christi nach der Einsetzung des Abendmahls
73D271(...)|Darstellungen des Inhalts der Lehren Christi nach der Einsetzung des Abendmahls (mit BUCH, KAPITEL, VERS)
73D271(Jo. 14:2)|Christus: Im Hause meines Vaters sind viele Wohnungen
73D271(Jo. 16:13)|Christus: Wenn jener aber kommt, der Geist der Wahrheit ...
73D271(Jo. 16:21)|Christus: Wenn die Frau gebiert, ist sie traurig; wenn sie aber das Kind geboren hat, freut sie sich
73D28|das Gebet Christi für seine Apostel (Johannes 17:1-26)
73D3|Gefangennahme, Verurteilung und Folterung Christi
73D31|Gethsemane, Ölberg (Matthäus 26:36-56; Markus 14:32-52; Lukas 22:39-53; Johannes 18:1-12)
73D311|Jesus geht zum oder befindet sich im Garten von Gethsemane (vor seinem Gebet)
73D312|das nächtliche Gebet Christi im Garten von Gethsemane
73D3121|die Agonie Christi; ein oder mehrere Engel erscheinen mit Kelch und/oder Kreuz, um ihn zu trösten
73D31211|die Agonie Christi; drei (oder elf) Apostel schlafen
73D312111|die schlafenden Apostel (allein) im Garten von Gethsemane
73D3122|Christus bittet die Apostel, aufzuwachen und zu beten
73D313|der Judaskuß: Judas, der von Soldaten mit Fackeln und Laternen begleitet wird, tritt auf Christus zu und küßt ihn
73D3131|Christus gibt sich zu erkennen; die Soldaten werfen sich vor ihm auf den Boden
73D314|die Gefangennahme Christi im Garten Gethsemane
73D3141|Petrus zieht sein Schwert und schlägt Malchus das Ohr ab
73D3142|Christus heilt Malchus
73D315|Christus wird nach seiner Gefangennahme abgeführt
73D3151|Christus wird durch den Bach Kidron geschleift
73D316|die Jünger verlassen Christus und fliehen
73D3161|einer der fliehenden Jünger Christi wird beinahe gefangengenommen, entkommt aber mit der Hälfte seiner Kleidung oder nackt
73D32|der Prozeß gegen Christus: Christus vor seinen Richtern
73D321|Christus vor Hannas; zusätzlich kann ein Soldat dargestellt sein, der Christus schlägt (Johannes 18:13, 18:19-24)
73D322|Christus vor dem Hohen Rat mit Kaiphas als Hohepriester (und eventuell Hannas); zusätzlich kann ein Soldat dargestellt sein, der Christus schlägt, weil er nicht antwortet
73D3221|die falschen Zeugen (Prozeß gegen Christus)
73D3222|Kaiphas zerreißt seine Kleider (Prozeß gegen Christus)
73D323|Christus vor Pontius Pilatus (Matthäus 27:11-26; Markus 15:2-15; Lukas 23:2-7, 23:13-25; Johannes 18:28 - 19:16)
73D3231|Pilatus debattiert mit den Juden
73D32311|die Wahl zwischen Christus und Barabbas
73D3232|Pilatus wird von seiner Frau (oder durch einen Boten) vor einer Verurteilung gewarnt, weil sie von Christus geträumt hat
73D3233|Pilatus wäscht seine Hände (in Unschuld)
73D324|Christus vor Herodes; manchmal wird ein prachtvolles Gewand herbeigebracht (Lukas 23:8-11)
73D325|Christus wird vom einen Richter zum anderen gebracht
73D33|die Geschichte von der Verleugnung des Petrus (Matthäus 26:58, 26:69-75; Markus 14:54, 14:66-72; Lukas 22:55-62; Johannes 18:15-18, 18:25-27)
73D331|Petrus verleugnet Christus; in der Regel vor einer Dienstmagd und einigen Soldaten
73D332|die Reue Petri
73D3321|der krähende Hahn (die Verleugnung des Petrus)
73D34|die Reue und der Tod des Judas (Matthäus 27:3-10; Apostelgeschichte 1:16-20)
73D341|Judas gibt dem Hohen Rat die Silberlinge zurück; er wirft das Geld auf den Boden
73D342|Judas wird nach einem Sturz aufgeschlitzt; die Eingeweide hängen heraus
73D343|Judas erhängt sich
73D344|die Bestrafung des Judas in der Hölle
73D345|die Hohepriester kaufen den Töpfersacker
73D35|die Folterungen Christi
73D351|Christus wird von Soldaten gegeißelt; dabei ist er in der Regel an eine Säule gebunden (Matthäus 27:26; Markus 15:15; Johannes 19:1)
73D3511|Vorbereitungen für die Geißelung Christi
73D3512|der gegeißelte, verwundete Christus
73D35121|Christus an der Martersäule (nach der Geißelung)
73D3513|Christus sammelt nach der Geißelung seine Kleider auf
73D352|die Dornenkrönung Christi: Soldaten pressen mit Hilfe von Stangen eine Dornenkrone auf das Haupt Christi und reichen ihm ein Schilfrohr (als Zepter) (Matthäus 27:27-31; Markus 15:16-20; Johannes 19:2-3)
73D3521|Vorbereitungen für die Dornenkrönung Christi
73D3522|das Haupt Christi mit der Dornenkrone
73D353|Verspottung Christi (dessen Augen eventuell verbunden sind)
73D3531|im Palast des Kaiphas wird Christus von den Juden verspottet (Matthäus 26:67-68; Markus 14:65)
73D3532|im Palast des Pilatus wird Christus von den Soldaten verspottet (Lukas 22:63-65)
73D354|sogenanntes Herrgottsruhbild; Christus ruht sich nach seiner Folterung aus
73D355|Christus (allein) im Gefängnis
73D36|Pilatus zeigt Christus dem Volk; Ostentatio Christi, Ecce Homo
73D361|Christus allein (ebenfalls bezeichnet als: Ecce Homo)
73D37|Christus, der auf einer Treppe liegt oder über sie geschleift wird, wird im Beisein des Pilatus gefoltert (die Rohrstöcke zerbrechen)
73D4|vom Palast des Pilatus nach Golgatha: die Prozession zum Kalvarienberg (Matthäus 27:31-33; Markus 15:20-22; Lukas 23:26-33; Johannes 19:17)
73D41|die Kreuztragung: Christus trägt das Kreuz (allein oder mit der Hilfe des Simon von Kyrene)
73D411|die Kreuztragung; Christus bricht unter der Last des Kreuzes zusammen
73D4111|der erste Sturz (Kreuztragung Christi)
73D4112|der zweite Sturz (Kreuztragung Christi)
73D4113|der dritte Sturz (Kreuztragung Christi)
73D412|Simon von Kyrene wird dazu gezwungen, Christus beim Tragen des Kreuzes zu helfen
73D413|Christus trifft Maria, die manchmal in Ohnmacht fällt (Lo Spasismo)
73D414|Christus wird von den Frauen Jerusalems beweint, die er manchmal tröstet
73D415|Christus trifft Veronika, die ihm ihr Tuch gibt, damit er sein Gesicht trocknen kann
73D42|Christus wird nach Golgatha geführt; das Kreuz wird von anderen getragen
73D423|Christus trifft Maria, die manchmal in Ohnmacht fällt; das Kreuz wird von anderen getragen
73D43|die Kreuzwegsstationen
73D431|die vierzehn franziskanischen Kreuzwegsstationen
73D431(...)|die vierzehn franziskanischen Kreuzwegsstationen (mit NUMMER der Station)
73D44|die Ankunft Christi auf dem Kalvarienberg
73D5|die Kreuzigung Christi: die Geschehnisse im Vorfeld des Kreuzestodes (Matthäus 27:34-44; Markus 15:23-32; Lukas 23:33-43; Johannes 19:18-24)
73D51|Christus wird entkleidet
73D511|Christus wird (von Maria, Maria Magdalena oder einem Soldaten) mit einem Lendentuch bedeckt
73D5111|Maria schneidet ein Stück von ihrem Mantel ab
73D512|Soldaten ziehen Lose oder streiten sich um die Kleidung Christi
73D52|Christus wartet in Todesangst auf die Kreuzigung; er sitzt auf dem Kreuz, in der Nähe des Kreuzes oder auf einem Stein; Christus im Elend, Christus in der Rast
73D521|der traurige Christus sitzt (allein) auf dem kalten Stein
73D522|Christus steht in der Nähe des Kreuzes
73D53|Christus wird ein betäubender Trank angeboten, aber er weist ihn zurück
73D54|die Herstellung des Kreuzes
73D541|Hedroit schmiedet die Nägel für das Kreuz Christi
73D55|die Kreuzaufrichtung: Christus wird an das Kreuz genagelt, das noch auf dem Boden liegt
73D551|die Kreuzaufrichtung: Christus ist bereits angenagelt
73D56|die Kreuzaufrichtung: das Kreuz wird ohne Christus aufgerichtet
73D561|Christus besteigt (mit Hilfe einer Leiter) das Kreuz
73D562|Christus wird an das aufgerichtete Kreuz genagelt
73D57|Aufrichtung der Kreuze für die beiden Schächer
73D58|die Aufschrift: I(esus) N(azarenus) R(ex) I(udaeorum)
73D581|Pilatus schreibt die Aufschrift für das Kreuz Christi
73D582|die Aufschrift wird am Kreuz angebracht
73D583|die Hohepriester beschweren sich über die Aufschrift; Pilatus weigert sich, sie auszutauschen
73D6|die Kreuzigung Christi: der Kreuzestod; Golgatha (Matthäus 27:45-58; Markus 15:33-45; Lukas 23:44-52; Johannes 19:25-38)
73D61|umfassende Darstellungen des Geschehens auf Golgatha während der Kreuzigung Christi; kein Ereignis wird besonders hervorgehoben
73D611|Golgatha: das Kreuz (die Kreuze) in mittlerer Entfernung
73D612|Golgatha: das Kreuz (die Kreuze) im Hintergrund
73D62|Darstellungen des Todes Christi am Kreuz, bei denen ein bestimmtes Ereignis oder eines der letzten Worte Christi hervorgehoben wird (vor dem Kreuzestod)
73D621|die letzten Worte Christi: Vater, vergib ihnen ...
73D622|die Soldaten würfeln um die (saumlose) Kleidung Christi
73D623|die Umstehenden, in der Regel Hohepriester und Schriftgelehrte, beschimpfen Christus
73D624|Christus wird von einem oder beiden Schächer(n) beschimpft
73D6241|die letzten Worte Christi: Noch heute wirst du mit mir im Paradies sein!
73D625|die Umstehenden am Fuße des Kreuzes, unter ihnen Maria, Maria Magdalena und Johannes der Evangelist; Maria kann während einer Ohnmacht dargestellt sein
73D6251|die letzten Worte Christi: Frau, da ist dein Sohn
73D626|der Kreuzestod Christi: die (durch eine Sonnenfinsternis verursachte) Dunkelheit von der sechsten bis zur neunten Stunde
73D6261|die letzten Worte Christi: Mein Gott, mein Gott, warum hast du mich verlassen?
73D6262|die Umstehenden verspotten Christus am Kreuz
73D627|die letzten Worte Christi: Mich dürstet!
73D6271|einer der Soldaten (Stephaton) gibt Christus einen Schwamm mit Essig, der auf eine Stange oder Lanze gesteckt ist
73D62711|Longinus sticht in die Seite Christi; Stephaton gibt Christus den Schwamm mit Essig
73D628|die letzten Worte Christi: Es ist vollbracht!
73D629|die letzten Worte Christi: Vater, in deine Hände empfehle ich meinen Geist!
73D6291|Christus schreit laut und stirbt
73D63|Darstellungen des Kreuzestodes Christi, bei denen ein bestimmtes Ereignis hervorgehoben wird (kurz nach dem Tod Christi)
73D631|der Hauptmann bekennt seinen Glauben an Christus; manchmal schließen sich auch die umstehenden Soldaten an
73D632|die Jünger Christi und die Frauen verlassen Golgatha
73D633|Longinus sticht mit einer Lanze in die Seite Christi
73D634|die Soldaten zerbrechen mit Knüppeln die Gliedmaßen der Schächer
73D64|der gekreuzigte Christus mit verschiedenen Personen unter dem Kreuz
73D641|der gekreuzigte Christus mit Maria und Johannes zu beiden Seiten des Kreuzes
73D6411|der gekreuzigte Christus mit Maria und Johannes, die dicht beieinander stehen; Maria kann während einer Ohnmacht dargestellt sein
73D642|der gekreuzigte Christus mit Maria Magdalena, die in der Regel weint und das Kreuz umklammert
73D643|der gekreuzigte Christus mit Maria, Johannes Evangelista und Maria Magdalena
73D644|der gekreuzigte Christus mit Stephaton und/oder Longinus
73D645|der gekreuzigte Christus mit Maria, Johannes, Stephaton und Longinus
73D646|der gekreuzigte Christus mit anderen Personen
73D65|Kombinationen der Kreuzigung Christi mit anderen Szenen der Passion
73D651|die Kreuzigung Christi; ergänzt durch Szenen, die der Kreuzigung vorangehen
73D652|die Kreuzigung Christi; ergänzt durch Szenen, die der Kreuzigung folgen
73D66|Christus am Kreuz (allein, ohne Zuschauer)
73D661|die drei Kreuze mit den Gekreuzigten, aber ohne Umstehende
73D662|ein oder beide Schächer an ihren Kreuzen
73D67|ikonographische Details von Kreuzigungsszenen (nur als zusätzliche Notation zu verwenden)
73D671|ikonographische Details von Kreuzigungsszenen, die Christus betreffen (nur als zusätzliche Notation)
73D6711|langes Gewand, Colobium (ikonographische Details von Kreuzigungsszenen)
73D6712|Lendentuch (ikonographische Details von Kreuzigungsszenen)
73D6713|Christus nackt (ikonographische Details von Kreuzigungsszenen)
73D6714|Blut fließt aus den Wunden Christi (ikonographische Details von Kreuzigungsszenen)
73D67141|ein oder mehrere Engel fangen das Blut Christi in einem oder mehreren Kelch(en) auf
73D6715|(die Füße Christi ruhen auf einem) Suppedaneum (ikonographische Details von Kreuzigungsszenen)
73D6716|drei Nägel: zwei für die Hände Christi, einer für die Füße (ikonographische Details von Kreuzigungsszenen)
73D6717|der noch lebende Christus (ikonographische Details von Kreuzigungsszenen)
73D6718|der tote Christus (ikonographische Details von Kreuzigungsszenen)
73D672|der Totenschädel oder das Skelett Adams bzw. Adam selbst am Fuß des Kreuzes (ikonographische Details von Kreuzigungsszenen)
73D6721|andere ungewöhnliche Personen oder Gegenstände am Fuß des Kreuzes Christi; z.B. Hades (Pluto) (ikonographische Details von Kreuzigungsszenen)
73D673|der Teufel oder dämonische Tiere greifen das Kreuz Christi an (ikonographische Details von Kreuzigungsszenen)
73D674|Sonne und Mond am Himmel zu beiden Seiten des Kreuzes (ikonographische Details von Kreuzigungsszenen)
73D675|die Soldaten verlassen Golgatha
73D68|Ereignisse in und um Jerusalem im Moment des Todes Christi
73D681|der Vorhang des Tempels zerreißt (der Tod Christi)
73D682|Erdbeben, offene Gräber und die Auferstehung der Toten (der Tod Christi)
73D6821|die Auferstandenen erscheinen ihren Angehörigen (der Tod Christi)
73D69|Joseph von Arimathäa bittet Pilatus um den Leichnam Christi
73D691|Joseph von Arimathäa begibt sich (zusammen mit anderen Personen) nach Golgatha
73D7|von der Kreuzabnahme bis zur Grablegung Christi (Matthäus 27:58-66; Markus 15:46-47; Lukas 23:53-56; Johannes 19:39-42)
73D71|die Kreuzabnahme: Christus wird (in der Regel von Nikodemus und Joseph von Arimathäa, die auf Leitern stehen) vom Kreuz genommen (beide Arme Christi sind vom Kreuz abgenommen worden)
73D711|Christus wird vom Kreuz abgenommen (ein Arm ist noch ans Kreuz genagelt)
73D712|Christus wird nach der Kreuzabnahme niedergelegt
73D713|die Schächer werden von ihren Kreuzen abgenommen
73D714|Kreuzabnahme: die leeren Kreuze
73D72|die Trauer um den toten Christus
73D721|die Trauer der Angehörigen und Freunde um Christus (Christus ist in der Regel ohne Dornenkrone dargestellt)
73D7211|der Leichnam Christi liegt auf der Erde
73D7212|der Leichnam Christi wird gestützt
73D72121|der Leichnam Christi wird von Maria (im Beisein anderer Personen) gestützt
73D7213|der Leichnam Christi liegt auf dem Grab oder im Grab
73D722|Pietà, Vesperbild, Marienklage: Maria trauert (allein) um Christus (mit oder ohne Dornenkrone)
73D7221|der tote Christus liegt in Marias Schoß
73D7222|der tote Christus liegt zu Marias Füßen
73D7223|Maria beweint den toten Christus: nur die Köpfe von Christus und Maria sind dargestellt
73D723|Christus wird von Engeln betrauert
73D724|Epitaphios (Trauer um den toten Christus)
73D73|Schmerzensmann, Imago Pietatis, Erbärmdebild: der aufgerichtete Christus, der in der Regel die Dornenkrone trägt, steht oder sitzt in seinem Grab und zeigt seine Wunden vor (zusätzlich sind meist die Leidenswerkzeuge dargestellt)
73D731|der Schmerzensmann als Halb- und Dreiviertelfigur
73D732|ganzfigurige (sitzende oder stehende) Darstellungen des Schmerzensmanns
73D733|Darstellungen des Schmerzensmanns zusammen mit anderen Personen
73D7331|der Schmerzensmann zusammen mit Maria
73D73311|der Schmerzensmann zusammen mit Maria und Johannes dem Evangelisten
73D7332|der Schmerzensmann wird von trauernden Engeln gestützt oder begleitet (Engelpietà)
73D74|der tote Christus wird zum Grab getragen
73D75|Vorbereitungen für die Grablegung Christi
73D751|Christus liegt auf dem Salbstein
73D752|der Kauf von Salben, Gewürzen und Leinen (Grablegung Christi)
73D753|die Wunden werden gewaschen (Grablegung Christi)
73D754|die drei Marien salben den toten Christus
73D755|der tote Christus wird in ein Leichentuch und in Bandagen eingewickelt
73D756|das Grab wird geöffnet (Grablegung Christi)
73D76|Grablegung Christi (möglicherweise durch Engel)
73D761|Christus liegt im Sarkophag
73D77|Ereignisse nach der Grablegung Christi
73D771|die Rückkehr von der Grablegung Christi
73D772|die Totenwache der drei Marien
73D773|die Trauernden am geschlossenen Grab Christi
73D774|die Juden bitten Pilatus darum, das Grab bewachen zu lassen
73D7741|die Versiegelung des Grabes Christi
73D7742|Soldaten bewachen das Grab Christi
73D78|(architektonisches) Gefüge, das das Heilige Grab darstellt oder symbolisiert
73D8|die Leidenswerkzeuge und die Wunden Christi
73D81|Arma Christi
73D811|'Arma Christi' (zusammen mit Christus dargestellt)
73D82|einzelne Leidenswerkzeuge
73D82(...)|einzelne Leidenswerkzeuge (mit NAMEN)
73D82(COCK ON COLUMN)|der Hahn auf der Säule (Leidenswerkzeug)
73D82(COLUMN)|Geißelsäule (Leidenswerkzeug)
73D82(CROSS)|Kreuz (Leidenswerkzeug)
73D82(CROWN OF THORNS)|Dornenkrone (Leidenswerkzeug)
73D82(FOOTPRINTS OF CHRIST)|die Fußabdrücke Christi (Leidenswerkzeug)
73D82(HEAD OF JUDAS)|der Kopf des Judas (Leidenswerkzeug)
73D82(LANCE)|Lanze (Leidenswerkzeug)
73D82(NAILS)|Kreuzesnägel (Leidenswerkzeuge)
73D82(REED)|Rohrstock (Leidenswerkzeug)
73D82(SHROUD)|Leichentuch (Leidenswerkzeug)
73D83|die fünf verwundeten Körperteile Christi: Herz (Seitenwunde), Hände und Füße
73D831|die Wunde an der Schulter Christi
73D9|Christus in der Unterwelt; die Aufbrechung der Vorhölle; die Höllenfahrt Christi; Christus in der Vorhölle; descensus ad inferos; Anastasis
73D91|Christus erreicht den Eingang der Hölle und zerbricht die Tore
73D92|Christus betritt die Hölle
73D93|Christus siegt über die teuflischen Mächte
73D931|Christus predigt in der Hölle
73D932|Christus ersticht den Teufel mit einer Lanze oder einem Kreuz
73D933|Christus tritt auf den (oder mehrere) Teufel
73D934|der gefesselte Satan (Christus in der Vorhölle)
73D94|Christus verläßt die Hölle: er befreit Patriarchen, Propheten, Könige und andere Personen aus der Hölle, unter ihnen Adam, Eva, Moses, David und Johannes den Täufer
73D95|die triumphale Ankunft Christi und der Geretteten im Paradies; sie werden von Maria, Henoch und Elias oder vom Guten Schächer empfangen
73D951|der Gute Schächer trägt sein Kreuz in das Paradies
73DD55|die Kreuzaufrichtung: Christus wird an das Kreuz genagelt, das noch auf dem Boden liegt - DD - drei Kreuze
73DD551|die Kreuzaufrichtung: Christus ist bereits angenagelt - DD - drei Kreuze
73DD56|die Kreuzaufrichtung: das Kreuz wird ohne Christus aufgerichtet - DD - drei Kreuze
73DD561|Christus besteigt (mit Hilfe einer Leiter) das Kreuz - DD - drei Kreuze
73DD562|Christus wird an das aufgerichtete Kreuz genagelt - DD - drei Kreuze
73DD61|umfassende Darstellungen des Geschehens auf Golgatha während der Kreuzigung Christi; kein Ereignis wird besonders hervorgehoben - DD - nur Christus am Kreuz
73DD611|Golgatha: das Kreuz (die Kreuze) in mittlerer Entfernung - DD - nur Christus am Kreuz
73DD612|Golgatha: das Kreuz (die Kreuze) im Hintergrund - DD - nur Christus am Kreuz
73DD62|Darstellungen des Todes Christi am Kreuz, bei denen ein bestimmtes Ereignis oder eines der letzten Worte Christi hervorgehoben wird (vor dem Kreuzestod) - DD - nur Christus am Kreuz
73DD621|die letzten Worte Christi: Vater, vergib ihnen ... - DD - nur Christus am Kreuz
73DD622|die Soldaten würfeln um die (saumlose) Kleidung Christi - DD - nur Christus am Kreuz
73DD623|die Umstehenden, in der Regel Hohepriester und Schriftgelehrte, beschimpfen Christus - DD - nur Christus am Kreuz
73DD624|Christus wird von einem oder beiden Schächer(n) beschimpft - DD - nur Christus am Kreuz
73DD6241|die letzten Worte Christi: Noch heute wirst du mit mir im Paradies sein! - DD - nur Christus am Kreuz
73DD625|die Umstehenden am Fuße des Kreuzes, unter ihnen Maria, Maria Magdalena und Johannes der Evangelist; Maria kann während einer Ohnmacht dargestellt sein - DD - nur Christus am Kreuz
73DD6251|die letzten Worte Christi: Frau, da ist dein Sohn - DD - nur Christus am Kreuz
73DD626|der Kreuzestod Christi: die (durch eine Sonnenfinsternis verursachte) Dunkelheit von der sechsten bis zur neunten Stunde - DD - nur Christus am Kreuz
