5|抽象的な考えと概念
73G2211|子羊は玉座に座るところの人から本を受け取る
73G222|子羊の崇拝 (白いローブを着た複数の人によって)
73G23|虐殺される子羊
73G3|ヨハネの黙示録 6-11
73G31|７つの封印の解放 ~ ヨハネの黙示録
73G311|黙示録の４人の騎手
73G3111|最初の封印の解放: 王冠と弓矢を有して白い馬に乗る男 (勝利)
73G3112|第２の封印の解放: 剣を握り赤い馬に乗る男 (戦争)
73G3113|第３の封印の解放: 天秤を有し黒い馬に乗る男 (飢饉)
73G3114|第４の封印の解放: 鎌を持ち青白い馬に乗る男 (死)
73G312|第５の封印の解放: 祭壇の下の犠牲者達 (の霊魂) に白い衣が与えられる
73G313|第６の封印の解放: 大地震、黒く変色する太陽、血のような月、そして地におちる星; 洞窟に隠れている人類
73G314|第７の封印の解放: 天上の沈黙
73G3141|金の香炉を持つ天使: 香の煙が聖なる者達の祈りと共に立ち上る ~ 第７の封印の解放
73G32|ラッパを持つ７人の天使達 ~ ヨハネの黙示録
73G321|７人の天使のうち第１の天使がラッパを吹く: 雹、火と血が地上に投げ入れられる
73G322|７人の天使のうち第２の天使がラッパを吹く: 燃える大きな山が海に投げ入れられる
73G323|７人の天使のうち第３の天使がラッパを吹く: 燃える星 (苦よもぎ) が川と泉を汚染する
73G324|７人の天使のうち第４の天使がラッパを吹く: 太陽、月と星が部分的に暗くなる
73G3241|天使 (または鷲) が３つの災いを嘆く ~ ラッパを持つ７人の天使達
73G325|７人の天使のうち第５の天使がラッパを吹く: 落ちてくる星が底なしの淵を開く: 煙が立ち上る
73G3251|アポリオンに率いられ、冠を着けた恐るべきイナゴの疫病
73G326|７人の天使のうち第６の天使がラッパを吹く: ４人の破壊の天使達が解き放たれる
73G3261|騎兵 ~ ラッパを持つ７人の天使達
73G327|７人の天使のうち第７の天使がラッパを吹く: 天上の崇拝
73G3271|天上の神の神殿 ~ ラッパを持つ７人の天使達
73G33|４人の天使達によって四隅から吹く風が抑えられる
73G331|14万４千人のイスラエルの民の刻印
73G34|手に開いた小さな巻物を持つ力強い天使: 天使は雲を身にまとっている; 天使の足は火の柱であり、片方は地に片方は海に立っている ~ ヨハネの黙示録
73G341|ヨハネは天使から小さな巻物を受け取り、食べる
73G35|神殿を測るヨハネ
73G36|神の2人の証人 (エノクとエリヤ) ~ ヨハネの黙示録
73G361|神の予言の2人の証人
73G362|神の２人の証人が彼らの敵を炎で殺す
73G363|神の２人の証人は獣に殺され、人々は彼らの死を喜ぶ
73G364|神の2人の証人の復活と昇天
73G4|ヨハネの黙示録 12-18
73G41|妊婦と竜 ~ ヨハネの黙示録
73G411|太陽をまとい、月の上に立つ妊婦が現れる; 彼女は長い尾と７つの頭をもつ赤い竜に脅かされている
73G412|竜とその追随者達と戦うミカエルと彼の天使達; 竜 (悪魔、サタン) は天国から追放される
73G413|竜が妊婦を迫害する ~ ヨハネの黙示録
73G42|海からの獣 (反キリスト, 666) ~ ヨハネの黙示録
73G421|７つの頭をもつひょうのような獣が海から出てきて、竜と共に崇拝される
73G422|海からの獣が聖なる者達と戦争をする
73G43|地からの獣 ~ ヨハネの黙示録
73G431|地からのぼってきた２本の角のある獣と海からの獣が崇拝される
73G432|人々は手や額に刻印をされる ~ 地から出てくる獣
73G44|14万４千人の人々によるシオンの山の子羊の崇拝 ~ ヨハネの黙示録
73G45|裁きの日を宣言する3人の天使達
73G46|鎌を持った人の子 (キリスト)
73G461|キリストは鎌を地に投げる
73G462|天使が鎌を地に突き刺し、つるを集める
73G463|地球のつるは神の怒りの絞り桶に投げ入れられる; 血が流れ出る
73G47|獣に打ち勝った人々が、立琴を手に、ガラスの海に立つ
73G48|７人の天使達が地球と人類に災いと破壊をもたらす７つの鉢を持つ
73G481|ヨハネは竜、獣そして偽の預言者の口からかえるのような３つの汚れた霊が出てくるのを見る
73G49|淫婦とバビロンの陥落
73G491|淫婦、バビロンの売春婦; 彼女は通常７つの頭と１０の角のある緋色の獣に座っている
73G492|10人の王が子羊に戦いを挑む: 子羊は王達に勝利する
73G493|バビロンの陥落
73G4931|天使がバビロンの陥落を告げる
73G4932|バビロンの陥落を嘆く
73G4933|1人の強い天使が石 (ひき臼) を海に投げ捨てる 
73G5|ヨハネの黙示録 19-22
73G51|天国における神の裁きの賛美
73G52|子羊の婚姻
73G53|打破される獣と偽預言者
73G531|「忠実で真実」 (キリスト)と呼ばれる騎手と彼の天の軍隊
73G532|獣 (反キリスト)、偽預言者と、騎手とその軍隊との間の戦い
73G54|千年王国 ~ ヨハネの黙示録
73G541|天使が鍵と鎖で竜 (サタン) を縛り、底なしの穴に投げ込む
73G542|死者の最初の復活
73G55|サタンの裁き (反キリスト)
73G551|千年後、サタンは牢獄から解放され、ゴグとマゴクと共に聖なる都市を包囲する
73G552|天からきた火がサタン、ゴグそしてマゴグを滅し、サタンは火の池に投げ込まれる
73G56|大きな白い玉座の裁き
73G561|死と黄泉が火の池に投げ込まれる
73G57|新しい天と新しい地 ~ ヨハネの黙示録
73G571|天使はヨハネに天から降りてくる新たな (天の) エルサレムを示す; キリストが彼の子羊を街へと導いている様が示される場合も
73G5711|新しいエルサレム
73G572|測量された新しいエルサレム
73G573|１２の実のなる生命の樹 ~ ヨハネの黙示録
73G6|ヨハネの黙示録の後に天使を崇拝するヨハネ
73GG411|太陽をまとい、月の上に立つ妊婦が現れる; 彼女は長い尾と７つの頭をもつ赤い竜に脅かされている - GG - 黙示録の女としてのマリア
8|文学
81|文学群
81(...)|文学群 (サイクルの名称を伴う)
81(ARTHURIAN LEGEND)|アーサー王伝説'
81(KALEVALA)|カレワラ'
81(NIBELUNGENLIED)|ニーベルンゲンの歌'
81A|アーサー王伝説 : Use 81(アーサー王伝説)
81A(...)|アーサー王伝説の男性キャラクター : Use 82A(...)
81B|ニーベルンゲンの歌' : Use 81(ニーベルンゲンの歌)
81B(...)| 'ニーベルンゲンの歌'の男性キャラクター : Use 82A(...)
81C|ダンテ, '神曲 (Divina Commedia)' : Use 83(ダンテ, 神曲)
81C(...)|神曲 (Divina Commedia)' の男性キャラクター : Use 82A(...)
81D|ボッカッチョ, 'デカメロン (Decameron)' : Use 83(ボッカッチョ, デカメロン)
81D(...)|デカメロン (Decameron)' の男性キャラクター : Use 82A(...)
81E|アリオスト, '狂えるオルランド (Orlando Furioso)' : Use 83(アリオスト, 狂えるオルランド)
81E(...)|狂えるオルランド (Orlando Furioso)' の男性キャラクター : Use 82A(...)
81F|タッソ, 'エルサレム解放' : Use 83(タッソ, 解放されたエルサレム)
81F(...)|エルサレム解放' の男性キャラクター : Use 82A(...)
81G|オシアンの詩' : Use 83(マクファーソン, オシアン詩集)
81G(...)|オシアンの詩' の男性キャラクター : Use 82A(...)
81H|他のサイクル : Use 81(...)
81H(...)|他のサイクル (サイクル、登場人物の名称を伴う) : Use 81(...)
81H(KALEVALA)|カレワラ' : Use 81(カレワラ)
81H(KALEVALA, Lemminkäinen)|レンミンカイネン : Use 82A(...)
82|文学のキャラクターと物体
82A|文学のキャラクターの名前
82A(...)|男性の文学のキャラクター (名称を伴う)
82A(AHASVERUS)|アハシュエロス, 彷徨えるユダヤ人 
82A(ALBOIN)|アルボイーノ王
82A(AMADIS DE GAULA)|アマディス・デ・ガウラ
82A(AMINTA)|アミンタ
82A(ARTHUR)|アーサー王
82A(ATLANTE)|アトランテ
82A(BAJAZET)|バヤゼット
82A(BANQUO)|バンクォウ
82A(BARON MÜNCHAUSEN)|ミュンヒハウゼン男爵
82A(BELISARIUS)|ベリサリウス
82A(CARLO)|カルロ
82A(CIMON)|シモン
82A(DANTE)|ダンテ
82A(DAPHNIS)|ダフニス (ギリシャ神話において牧歌を創案した羊飼い
82A(DIETRICH VON BERN)|ディートリヒ・フォン・ベルン (東ゴート族の王、テオドリック大王 (c.454-c.526) を基にしたキャラクター)
82A(DON JUAN)|ドン・ファン
82A(DON QUIXOTE)|ドン・キホーテ
82A(ENYAS)|エンヤ
82A(EULENSPIEGEL)|オイレンシュピーゲル
82A(EUSTAZIO)|エウスタティウス
82A(FALSTAFF)|ファルスタッフ
82A(FAUST)|ファウスト
82A(FERRAU)|フェラウ (またフェラグ、フェラグート、フェラキュートおよびフェラギュスとしても知られる)
82A(FILIPPO'S SON)|フィリッポの息子
82A(FINGAL)|フィンガル, モルヴェンの王, オシアンの父
82A(GALAHAD)|ガラハッド
82A(GARETH)|ガレス
82A(GAWAIN)|ガウェイン
82A(GODFREY OF BOUILLON)|ゴドフロワ・ド・ブイヨン
82A(GOMBAUT)|ゴンボー
82A(GUALTERI)|グアルティエーリ
82A(GUISCARDO)|グイスカルド
82A(GULLIVER)|ガリバー
82A(HAGEN)|ハーゲン
82A(HAMLET)|ハムレット, デンマークの王子
82A(HEINRICH DER LÖWE)|ハインリヒ３世
82A(HELYAS)|エリアス
82A(HUON DE BORDEAUX)|ユオン・ド・ボルドー
82A(ISMENO)|イスメノ
82A(IWAIN)|イウェイン
82A(KNIGHTS OF THE ROUND TABLE)|円卓の騎士
82A(LANCELOT)|ランスロット
82A(LEAR)|リア王
82A(LEMMINKÄINEN)|レンミンカイネン
82A(LOHENGRIN)|ローエングリンまたは白鳥の騎士、ドイツの伝説におけるパーシヴァルの息子またはパルジファル
82A(MACBETH)|マクベス
82A(MANDRICARDO)|マンドリカルド, タルタリアの王, アグリカンの息子
82A(MAXIMILIAN)|マクシミリアン皇帝
82A(MAZEPPA)|マゼッパ,有名なコサックの棟梁
82A(MEDORO)|メドーロ
82A(MEPHISTOPHELES)|メフィストフェレス, ファウスト伝説の文学版における悪魔の誘惑者の名前
82A(MERCIA, KING OF)|マーシアの王
82A(MERLIN)|メルラン
82A(NASTAGIO DEGLI ONESTI)|ナスタジオ・デッリ・オネスティ
82A(NORANDINO)|ヌールッディーン, ダマスカスの王
82A(OLINDO)|オリンド
82A(ORLANDO)|オルランド
82A(OSCAR)|オスカル
82A(OSSIAN)|オシアン
82A(PAOLO)|パオロ
82A(PERCEVAL)|パーシヴァル
82A(RINALDO)|リナルド
82A(RODOMONTE)|ロドモンテ
82A(ROLAND)|ロランド
82A(ROMEO)|ロメオ
82A(RUGGIERO)|ルッジェーロ
82A(SALADIN)|サラディン
82A(SANCHO PANZA)|サンチョ・パンサ
82A(SHYLOCK)|シャイロック
82A(SIEGFRIED)|ジークフリート
82A(SILVIO)|シルヴィオ
82A(SOLIMANO)|ソリマーノ
82A(SORDELLO)|ソルデッロ
82A(SWAN KNIGHT)|白鳥の騎士
82A(TAMBURLAINE)|タンバレイン
82A(TANCRED)|タンクレード
82A(TEUERDANK)|トイアーダンク
82A(THEODOSIUS)|テオドシウス皇帝
82A(TORELLO)|トレッロ
82A(TRENMOR)|トレンマー
82A(TRISTRAM)|トリストラム
82A(UBALDO)|ウバルド
82A(UGOLINO)|ウゴリーノ
82A(VALENTIN)|ヴァレンティン
82A(VIRGIL)|ウェルギリウス
82A(WAYLAND)|ウェイランド
82A(WEISSKUNIG)|ヴァイスクーニッヒ
82A(WIGALOIS)|ヴィガロワ
82A(WILLEHALM)|ヴィレハルム
82A(WILLIAM TELL)|ウィリアム・テル
82AA|女性の文学のキャラクター
82AA(...)|女性の文学のキャラクター (名称を伴う)
82AA(ALATIEL)|アラティエル
82AA(ALCINA)|アルチーナ, 邪悪な魔女
82AA(ANGELICA)|アンジェリカ
82AA(ARMIDA)|アルミーダ
82AA(BEATRICE)|ベアトリーチェ
82AA(BRADAMANTE)|ブラダマンテ
82AA(BRUNHILD)|ブリュンヒルド
82AA(CHLOE)|クロエ
82AA(CLORINDA)|クロリンダ
82AA(COSTANZA)|コスタンツァ
82AA(ELAINE)|エレイン, アストラットの美しい乙女
82AA(ERMINIA)|エルミニア
82AA(FRANCESCA)|フランチェスカ
82AA(GENOVEVA)|ゲノフェーファ
82AA(GHISMONDA)|ジスモンダ
82AA(GINEVRA)|ジネーヴラ
82AA(GODIVA)|レディ・ ゴディバ
82AA(GRETCHEN)|グレッチェン
82AA(GRISELDA)|グリゼルダ
82AA(GUINEVERE)|グィネヴィア
82AA(INIBACA)|イニバカ
82AA(IPHIGENIA)|イピゲネイア
82AA(ISABELLA)|イザベラ
82AA(ISEULT)|イゾルデ
82AA(JULIET)|ジュリエット
82AA(KRIEMHILD)|クリームヒルト
82AA(LADY MACBETH)|マクベス夫人
82AA(LADY OF VERGI)|ヴェルジー夫人
82AA(LUCINA)|ルチアーナ
82AA(MACEE)|マセ
82AA(MALVINA)|マルヴィナ
82AA(MATTABRUNA)|マッタブルーナ
82AA(MELISSA)|メリッサ
82AA(OLIMPIA)|オリンピア
82AA(OPHELIA)|オフィーリア
82AA(PRECIOSA)|プレチオーザ
82AA(ROSAMUND)|ロザムンド
82AA(SOFRONIA)|ソフロニア
82B|架空の動物, 植物, 物体 等々の名称
82B(...)|架空の動物, 植物, 物体 等々 (名称を伴う)
82B(BAIARDO)|バイアルド, リナルドの馬
82B(BALISARDA)|バリサルダ, ルッジェーロの剣
82B(BRIGLIADORO)|ブリリアドロ, オルランドの馬; ヴェイランティフまたはヴェリアンティーノとしての知られる
82B(DURINDANA)|デュリンダナ, オルランドの剣; デュランダルとしても知られる
82B(EXCALIBUR)|エクスカリバー, アーサー王の剣
82B(FRONTINO)|フロンティーノ, ルッジェーロの馬
82B(FUSBERTA)|フスベルタ, リナルドの剣;フロベルジュとしても知られる
82B(RABICANO)|ラビカーノ, アストルフォの馬
82B(SACHS)|エッケザックス, ディートリヒ・フォン・ベルンの剣
83|特定の文学作品
83(...)|特定の文学作品 (からの場面) (著者、題名を伴う)
83(ANON., Busant)|特定の文学作品 (からの場面): 逸名, ブサン
83(ANON., Romaunt of the Rose)|特定の文学作品 (からの場面): 逸名, 薔薇物語 : Use 83 (ロリスとマン, 薔薇物語)
83(ARIOSTO, Orlando Furioso)|特定の文学作品 (からの場面): アリオスト, 狂えるオルランド
83(BERNARDIN DE SAINT-PIERRE, Paul et Virginie)|特定の文学作品 (からの場面): ベルナルダン・ド・サン＝ピエール, ポールとヴィルジニー
83(BOCCACCIO, Decamerone)|特定の文学作品 (からの場面): ボッカッチョ, デカメロン
83(BRANT, Ship of Fools)|特定の文学作品 (からの場面): ブラント, 阿呆船
83(BREDERO, Lucelle)|特定の文学作品 (からの場面): ブレデロ, リュセル
83(BREDERO, Moortje)|特定の文学作品 (からの場面): ブレデロ, モールチェ
83(BYRON, Bride of Abydos)|特定の文学作品 (からの場面): バイロン, アビドスの花嫁
83(BYRON, Corsaire)|特定の文学作品 (からの場面): バイロン, 海賊
83(CHATEAUBRIAND, Atala)|特定の文学作品 (からの場面): シャトーブリアン, アタラ
83(COLONNA, Hypnerotomachia Poliphili)|特定の文学作品 (からの場面): コロンナ, ヒュプネロトマキア・ポリフィリ
83(D'URFE, Astrée)|特定の文学作品 (からの場面): デュルフェ, アストレ
83(DANTE, Divina Commedia)|特定の文学作品 (からの場面): ダンテ, 神曲
83(DEFOE, Robinson Crusoe)|特定の文学作品 (からの場面): デフォー, ロビンソン・クルーソー
83(DESMARETS DE SAINT-SORLIN, Ariane)|特定の文学作品 (からの場面): デマレ・ド・サン=ソルラン, アリアーヌ
83(DIEGO DI SAN PEDRO, Carcel de Amor)|特定の文学作品 (からの場面): ディエゴ・ディ・サン・ペドロ, 愛の牢獄
83(FLAUBERT, Tentation de Saint Antoine)|特定の文学作品 (からの場面): フローベール, 聖アントワーヌの誘惑
83(FOUQUE, Zauberring)|特定の文学作品 (からの場面): フーケー, 魔法の指輪
83(GOETHE, Faust)|特定の文学作品 (からの場面): ゲーテ, ファウスト
83(GOETHE, Werther)|特定の文学作品 (からの場面): ゲーテ, 若きウェルテルの悩み
83(GUARINI, Pastor Fido)|特定の文学作品 (からの場面): グ アリーニ, 忠実なる羊飼い
83(HELIODORUS, Aethiopica)|特定の文学作品 (からの場面): ヘリオドロス, エチオピア物語
83(HOOFT, Granida)|特定の文学作品 (からの場面): ホーフト, グラニダ
83(IBSEN, Peer Gynt)|特定の文学作品 (からの場面): イプセン, ペール・ギュント
83(LORRIS ET MEUN, Roman de la Rose)|特定の文学作品 (からの場面): ロリスとマン, 薔薇物語
83(MACPHERSON, Poems of Ossian)|特定の文学作品 (からの場面): マクファーソン, オシアン詩集
83(MANZONI, Promessi Sposi)|特定の文学作品 (からの場面): マンゾーニ, いいなづけ
83(MELVILLE, Moby Dick)|特定の文学作品 (からの場面): メルヴィル, 白鯨
83(OVID, Metamorphoses)|特定の文学作品（のシーン）: オウィディウス、変身物語
83(OVID, Metamorphoses I)|カオス、フォーエイジ、フラッド、ダフネ、イオ、シュリンクス、ファエトン
83(OVID, Metamorphoses I:1-20)|原初のカオス
83(OVID, Metamorphoses I:21-31)|要素の分離
83(OVID, Metamorphoses I:32-51)|大地と海。 5つのゾーン。
83(OVID, Metamorphoses I:52-68)|四つの風
83(OVID, Metamorphoses I:68-88)|人類
83(OVID, Metamorphoses I:89-112)|黄金時代
83(OVID, Metamorphoses I:113-124)|銀の時代
83(OVID, Metamorphoses I:125-150)|青銅器時代
83(OVID, Metamorphoses I:151-176)|巨人たち
83(OVID, Metamorphoses I:177-198)|木星は人類を滅ぼす恐れがある
83(OVID, Metamorphoses I:199-243)|リカオンが狼に変身
83(OVID, Metamorphoses I:244-273)|木星が洪水を呼び起こす
83(OVID, Metamorphoses I:274-292)|洪水
83(OVID, Metamorphoses I:293-312)|世界は溺れていく
83(OVID, Metamorphoses I:313-347)|デウカリオンとその妻ピュラ
83(OVID, Metamorphoses I:348-380)|彼らはテミスに助けを求めます
83(OVID, Metamorphoses I:381-415)|人類は再創造される
83(OVID, Metamorphoses I:416-437)|他の種も生成される
83(OVID, Metamorphoses I:438-472)|フィーバスはニシキヘビを殺し、ダフネを見る
83(OVID, Metamorphoses I:473-503)|フィーバスはダフネを追いかける
83(OVID, Metamorphoses I:504-524)|フィーバスはダフネに屈服するよう懇願する
83(OVID, Metamorphoses I:525-552)|ダフネが月桂樹の枝になる
83(OVID, Metamorphoses I:553-567)|フィーバスがダフネを讃える
83(OVID, Metamorphoses I:568-587)|イナチュスはイオを悼む
83(OVID, Metamorphoses I:587-600)|ジュピターによるイオの強姦
83(OVID, Metamorphoses I:601-621)|ジュピターがイオを未経産牛に変える
83(OVID, Metamorphoses I:622-641)|ジュノはイオとアーガスが彼女を守っていると主張する
83(OVID, Metamorphoses I:642-667)|イナチュスはイオを見つけて悲しみます
83(OVID, Metamorphoses I:668-688)|木星はアーガスを殺すために水星を送る
83(OVID, Metamorphoses I:689-721)|マーキュリーがシリンクスの物語を語る
83(OVID, Metamorphoses I:722-746)|イオが人間の姿に戻った
83(OVID, Metamorphoses I:747-764)|パエトンの親子関係
83(OVID, Metamorphoses I:765-779)|パエトンは太陽の宮殿へ向かう
83(OVID, Metamorphoses II)|パエトンの陥落、カリスト、コロニス、アグラウロス、エウロパ
83(OVID, Metamorphoses II:1-30)|太陽の宮殿
83(OVID, Metamorphoses II:31-48)|ファエトンと彼の父親
83(OVID, Metamorphoses II:49-62)|太陽の忠告
83(OVID, Metamorphoses II:63-89)|彼のさらなる警告
83(OVID, Metamorphoses II:90-110)|ファエトンは戦車の運転を主張する
83(OVID, Metamorphoses II:111-149)|太陽の指示
83(OVID, Metamorphoses II:150-177)|馬が暴走する
83(OVID, Metamorphoses II:178-200)|パエトンは手綱を手放す
83(OVID, Metamorphoses II:201-226)|山が燃える
83(OVID, Metamorphoses II:227-271)|川が干上がっている
83(OVID, Metamorphoses II:272-300)|地球は文句を言う
83(OVID, Metamorphoses II:301-328)|ジュピターが介入し、ファエトンは死亡する
83(OVID, Metamorphoses II:329-343)|パエトンの姉妹たちは彼のことを悲しんでいる
83(OVID, Metamorphoses II:344-366)|姉妹たちはポプラの木になった
83(OVID, Metamorphoses II:367-380)|キクヌス
83(OVID, Metamorphoses II:381-400)|太陽は自分の仕事に戻る
83(OVID, Metamorphoses II:401-416)|木星がカリストを見る
83(OVID, Metamorphoses II:417-440)|ジュピターがカリストをレイプ
83(OVID, Metamorphoses II:441-465)|ダイアナはカリストの恥を知る
83(OVID, Metamorphoses II:466-495)|クマになったカリスト
83(OVID, Metamorphoses II:496-507)|アルカスとカリストが星座になる
83(OVID, Metamorphoses II:508-530)|ジュノーはテティスとオケアナスに文句を言う
83(OVID, Metamorphoses II:531-565)|カラスとカラス
83(OVID, Metamorphoses II:566-595)|カラスの物語
83(OVID, Metamorphoses II:596-611)|コロニスは裏切られ、フィーバスは彼女を殺す
83(OVID, Metamorphoses II:612-632)|フィーボスは悔い改めてアスクレピオスを救う
83(OVID, Metamorphoses II:633-675)|ケイロンとカリクロの予言
83(OVID, Metamorphoses II:676-707)|マーキュリー、バトゥス、そして盗まれた牛
83(OVID, Metamorphoses II:708-736)|マーキュリーはヘルセを見る
83(OVID, Metamorphoses II:737-751)|マーキュリーはアグラウロスの助けを引き出す
83(OVID, Metamorphoses II:752-786)|ミネルヴァがエンヴィーを呼び掛ける
83(OVID, Metamorphoses II:787-811)|嫉妬がアグラウロスの心を蝕む
83(OVID, Metamorphoses II:812-832)|アグラウロスは石になった
83(OVID, Metamorphoses II:833-875)|ジュピターによるエウロパの誘拐
83(OVID, Metamorphoses III)|カドモス、アクタイオン、セメレ、テイレシアス、ナルキッソス、ペンテウス
83(OVID, Metamorphoses III:1-49)|カドモスは妹のエウロパを探す
83(OVID, Metamorphoses III:50-94)|カドモスがドラゴンを倒す
83(OVID, Metamorphoses III:95-114)|カドモスはドラゴンの歯を蒔く
83(OVID, Metamorphoses III:115-137)|カドモスがテーベを建国
83(OVID, Metamorphoses III:138-164)|アクタイオンが狩りから戻る
83(OVID, Metamorphoses III:165-205)|アクタイオンはダイアナの裸を見て鹿にされてしまう。
83(OVID, Metamorphoses III:206-231)|アクタイオンは猟犬に追われる
83(OVID, Metamorphoses III:232-252)|アクタイオンは犬に殺される
83(OVID, Metamorphoses III:253-272)|ジュノはセメレを罰するために出発する
83(OVID, Metamorphoses III:273-315)|セメレは木星の炎に焼かれてしまう。
83(OVID, Metamorphoses III:316-338)|テイレシアスの裁き
83(OVID, Metamorphoses III:339-358)|エコーはナルキッソスを見る
83(OVID, Metamorphoses III:359-401)|ジュノーがエコーのスピーチをどのように変更したか
83(OVID, Metamorphoses III:402-436)|ナルキッソスは自分自身を見て恋に落ちる
83(OVID, Metamorphoses III:437-473)|ナルキッソスは報われない愛の痛みを嘆く
83(OVID, Metamorphoses III:474-510)|水仙が花に変わる
83(OVID, Metamorphoses III:511-527)|テイレシアスはペンテウスの運命を予言する
83(OVID, Metamorphoses III:528-571)|ペンテウスはバッカス崇拝を拒否する
83(OVID, Metamorphoses III:572-596)|アコエテスが捕らえられ尋問される
83(OVID, Metamorphoses III:597-637)|アコエテスの物語 - 美しい少年
83(OVID, Metamorphoses III:638-691)|アコエテスの船と乗組員が変身
83(OVID, Metamorphoses III:692-733)|ペンテウスはメナド族に殺される
83(OVID, Metamorphoses IV)|ピラモス、レウコトー、サルマチス、イノ、カドモス、ペルセウス
83(OVID, Metamorphoses IV:1-30)|バッカスの祭り
83(OVID, Metamorphoses IV:31-54)|ミニアスの娘たちはバッカスを拒絶する
83(OVID, Metamorphoses IV:55-92)|アルシッペがピュラモスとティスベの物語を語る
83(OVID, Metamorphoses IV:93-127)|ピラマスの死
83(OVID, Metamorphoses IV:128-166)|ティスベの死
83(OVID, Metamorphoses IV:167-189)|ルコノエの物語: 火星と金星
83(OVID, Metamorphoses IV:190-213)|ルコノエの物語: ヴィーナスの復讐
83(OVID, Metamorphoses IV:214-255)|Leucothoëの変容
83(OVID, Metamorphoses IV:256-273)|クリュティがヘリオトロープに変身
83(OVID, Metamorphoses IV:274-316)|アルシトーエがサルマチスの物語を語る
83(OVID, Metamorphoses IV:317-345)|サルマチスはヘルマフロディトスに恋をする
83(OVID, Metamorphoses IV:346-388)|サルマチスとヘルマフロディトスが合併。
83(OVID, Metamorphoses IV:389-415)|ミニアスの娘たちはコウモリになる
83(OVID, Metamorphoses IV:416-463)|ジュノはセメレの妹イノに激怒
83(OVID, Metamorphoses IV:464-511)|ティシフォンはアタマスとイノを狂わせる
83(OVID, Metamorphoses IV:512-542)|イノが女神レウコトーエとなる
83(OVID, Metamorphoses IV:543-562)|テーベの女性たちを変えるジュノー
83(OVID, Metamorphoses IV:563-603)|カドモスとハルモニアは蛇になる
83(OVID, Metamorphoses IV:604-662)|ペルセウスとアトラス
83(OVID, Metamorphoses IV:663-705)|ペルセウスはアンドロメダを救うと申し出る
83(OVID, Metamorphoses IV:706-752)|ペルセウスが海蛇を倒す
83(OVID, Metamorphoses IV:753-803)|ペルセウスはメドゥーサの物語を語る
83(OVID, Metamorphoses V)|ペルセウス、カリオペ、プロセルピナ、アレトゥーサ、ピエリデス
83(OVID, Metamorphoses V:1-29)|フィネウスは花嫁を失ったことへの復讐を求めている
83(OVID, Metamorphoses V:30-73)|戦い：アティスの死
83(OVID, Metamorphoses V:74-106)|戦い：アイダス、クロミスらの死
83(OVID, Metamorphoses V:107-148)|戦い：ランペティデス、ドリラスなど
83(OVID, Metamorphoses V:149-199)|ペルセウスはゴルゴンの頭を使う
83(OVID, Metamorphoses V:200-249)|フィネウスは石に変えられる
83(OVID, Metamorphoses V:250-293)|ヘリコンのミネルバ
83(OVID, Metamorphoses V:294-331)|ピエリデスとミューズの間のコンテスト
83(OVID, Metamorphoses V:332-384)|カリオペは歌う：キューピッドがディスを恋に落とす
83(OVID, Metamorphoses V:385-424)|カリオペは歌う：ディスとプロセルピナのレイプ
83(OVID, Metamorphoses V:425-486)|カリオペは歌う：セレスはプロセルパインを探す
83(OVID, Metamorphoses V:487-532)|カリオペは歌う：セレスは木星に助けを求める
83(OVID, Metamorphoses V:533-571)|カリオペは歌う：ペルセポネの運命
83(OVID, Metamorphoses V:572-641)|カリオペは歌う：アレトゥーサの物語
83(OVID, Metamorphoses V:642-678)|カリオペは歌います：トリプトレモス。 ピエリデス家の運命
83(OVID, Metamorphoses VI)|アラクネ、ニオベ、マルシュアス、プロクネ、フィロメラ、ボレアス
83(OVID, Metamorphoses VI:1-25)|アラクネはミネルヴァを拒絶する
83(OVID, Metamorphoses VI:26-69)|パラス・ミネルヴァがアラクネに挑む
83(OVID, Metamorphoses VI:70-102)|パラスは巣を編む
83(OVID, Metamorphoses VI:103-128)|アラクネはそれに応えて彼女の言葉を織り交ぜる
83(OVID, Metamorphoses VI:129-145)|アラクネが蜘蛛に変身
83(OVID, Metamorphoses VI:146-203)|ニオベはラトナ崇拝を拒否
83(OVID, Metamorphoses VI:204-266)|神々の復讐: ニオベの息子たちは殺される
83(OVID, Metamorphoses VI:267-312)|ニオベの娘たちは殺される：彼女の運命は。
83(OVID, Metamorphoses VI:313-381)|ラトナとリュキア人の物語
83(OVID, Metamorphoses VI:382-400)|マルシュアスの物語
83(OVID, Metamorphoses VI:401-438)|プロクネとテレウスの結婚
83(OVID, Metamorphoses VI:438-485)|プロクネの妹フィロメラに対するテレウスの情熱
83(OVID, Metamorphoses VI:486-548)|テレウスはフィロメラを強制する
83(OVID, Metamorphoses VI:549-570)|フィロメラは切断される
83(OVID, Metamorphoses VI:571-619)|真実が明らかになります
83(OVID, Metamorphoses VI:619-652)|無慈悲な饗宴
83(OVID, Metamorphoses VI:653-674)|彼らは鳥に変身します
83(OVID, Metamorphoses VI:675-721)|ボレアスとオリテュイア
83(OVID, Metamorphoses VII)|ジェイソン、メディア、ミノス、ペスト、ミルミドン、プロクリス
83(OVID, Metamorphoses VII:1-73)|メディアはジェイソンへの愛に苦悩する
83(OVID, Metamorphoses VII:74-99)|ジェイソンはメディアと結婚することを約束する
83(OVID, Metamorphoses VII:100-158)|ジェイソンがゴールデンフリースを獲得
