0|抽象，非具象芸術
12B71|仮面, 仮装 〜 非キリスト教の儀式に関する物品
12B72|入れ墨 〜 非キリスト教の儀式の方法
12B73|祈祷の器具 〜 非キリスト教の儀式に関する物品
12B74|物品と方法〜 瞑想 (非キリスト教)
12B741|瞑想に使用されるシンボル 〜 非キリスト教
12B75|儀式に関するその他の物品または方法〜 非キリスト教
12B8|宗教団体 〜 非キリスト教
12B81|秘密結社 〜 非キリスト教
12B82|友愛会 〜 非キリスト教
12B83|年齢層 〜 非キリスト教
12B84|密儀宗教 〜 非キリスト教
12B9|その他の社会的活動 〜 非キリスト教
12B91|神々に敬意を表する祝祭・祭典 〜 非キリスト教
12B92|遊び・競技 〜 非キリスト教
12BB13|描写 〜 女神, 半女神, 女傑, etc. (非キリスト教)
12BB13(...)|描写 〜 女神, 半女神, 女傑, etc. (名を伴う) (非キリスト教)
12BB13(...)1|描写 〜 女神, 半女神, 女傑, etc. (名を伴う) (非キリスト教) - 非キリスト教の神または女神の若年期, 青春期
12BB13(...)11|描写 〜 女神, 半女神, 女傑, etc. (名を伴う) (非キリスト教) - 非キリスト教の神または女神の誕生
12BB13(...)12|描写 〜 女神, 半女神, 女傑, etc. (名を伴う) (非キリスト教) - 非キリスト教の神または女神の幼少期, 養育
12BB13(...)2|描写 〜 女神, 半女神, 女傑, etc. (名を伴う) (非キリスト教) - 非キリスト教の神または女神の情事
12BB13(...)3|描写 〜 女神, 半女神, 女傑, etc. (名を伴う) (非キリスト教) - 非キリスト教の神または女神による最重要な偉業
12BB13(...)4|描写 〜 女神, 半女神, 女傑, etc. (名を伴う) (非キリスト教) - 非キリスト教の神または女神の攻撃的な, 敵意に満ちた活動・関係
12BB13(...)5|描写 〜 女神, 半女神, 女傑, etc. (名を伴う) (非キリスト教) - 非キリスト教の神または女神の攻撃的でない, 友好的な, あるいは中立的な活動・関係
12BB13(...)6|描写 〜 女神, 半女神, 女傑, etc. (名を伴う) (非キリスト教) - 非キリスト教の神または女神の苦難, 災難
12BB13(...)68|描写 〜 女神, 半女神, 女傑, etc. (名を伴う) (非キリスト教) - 非キリスト教の神または女神の死
12BB13(...)69|描写 〜 女神, 半女神, 女傑, etc. (名を伴う) (非キリスト教) - 非キリスト教の神または女神の賛美, 神格化
12BB13(...)7|描写 〜 女神, 半女神, 女傑, etc. (名を伴う) (非キリスト教) - 非キリスト教の神または女神の特定の／寓意的風貌
12BB13(...)78|描写 〜 女神, 半女神, 女傑, etc. (名を伴う) (非キリスト教) - 非キリスト教の神または女神の勝利
12BB13(...)79|描写 〜 女神, 半女神, 女傑, etc. (名を伴う) (非キリスト教) - 非キリスト教の神または女神の崇敬, 崇拝
12BB13(...)8|描写 〜 女神, 半女神, 女傑, etc. (名を伴う) (非キリスト教) - 非キリスト教の神または女神のアトリビュート
12BB13(...)9|描写 〜 女神, 半女神, 女傑, etc. (名を伴う) (非キリスト教) - 非キリスト教の神または女神の後裔, 仲間, 随員, etc.
12BB42|儀式的実践 〜 思春期・成人式 (「通過儀礼」) (非キリスト教) - BB - 女の子たち
12BB51|聖職者 〜 非キリスト教 - BB - 女聖職者
12BB511|新しい聖職者の叙任 〜 非キリスト教 - BB - 女聖職者
12BB512|施しを求める、遍歴の聖職者 〜 非キリスト教 - BB - 女聖職者
12BB513|神殿の奉仕者 〜 非キリスト教 - BB - 女聖職者
12BB5131|神殿の見張り 〜 非キリスト教 - BB - 女聖職者
12BB52|占い師, 預言者 〜 非キリスト教 - BB - 女占い師, 女預言者
12BB62|祭壇 〜 非キリスト教 - BB - 屋外
12BB621|家庭用祭壇 〜 非キリスト教 - BB - 屋外
12BB63|彫像, 絵画, etc. 〜 崇拝に使用される物品 (非キリスト教) - BB - 屋外
12BB84|密儀宗教 〜 非キリスト教 - BB - 女のみ
12BB91|神々に敬意を表する祝祭・祭典 〜 非キリスト教 - BB - 女のみ
12C|エジプト宗教
12C1|視覚化された概念・観念 〜 エジプト宗教
12C13|描写 〜 エジプトの神, 半神, 英雄, etc.
12C13(...)|描写 〜 エジプトの神, 半神, 英雄, etc. (名を伴う)
12C13(...)1|描写 〜 エジプトの神, 半神, 英雄, etc. (名を伴う) - 非キリスト教の神または女神の若年期, 青春期
12C13(...)11|描写 〜 エジプトの神, 半神, 英雄, etc. (名を伴う) - 非キリスト教の神または女神の誕生
12C13(...)12|描写 〜 エジプトの神, 半神, 英雄, etc. (名を伴う) - 非キリスト教の神または女神の幼少期, 養育
12C13(...)2|描写 〜 エジプトの神, 半神, 英雄, etc. (名を伴う) - 非キリスト教の神または女神の情事
12C13(...)3|描写 〜 エジプトの神, 半神, 英雄, etc. (名を伴う) - 非キリスト教の神または女神による最重要な偉業
12C13(...)4|描写 〜 エジプトの神, 半神, 英雄, etc. (名を伴う) - 非キリスト教の神または女神の攻撃的な, 敵意に満ちた活動・関係
12C13(...)5|描写 〜 エジプトの神, 半神, 英雄, etc. (名を伴う) - 非キリスト教の神または女神の攻撃的でない, 友好的な, あるいは中立的な活動・関係
12C13(...)6|描写 〜 エジプトの神, 半神, 英雄, etc. (名を伴う) - 非キリスト教の神または女神の苦難, 災難
12C13(...)68|描写 〜 エジプトの神, 半神, 英雄, etc. (名を伴う) - 非キリスト教の神または女神の死
12C13(...)69|描写 〜 エジプトの神, 半神, 英雄, etc. (名を伴う) - 非キリスト教の神または女神の賛美, 神格化
12C13(...)7|描写 〜 エジプトの神, 半神, 英雄, etc. (名を伴う) - 非キリスト教の神または女神の特定の／寓意的風貌
12C13(...)78|描写 〜 エジプトの神, 半神, 英雄, etc. (名を伴う) - 非キリスト教の神または女神の勝利
12C13(...)79|描写 〜 エジプトの神, 半神, 英雄, etc. (名を伴う) - 非キリスト教の神または女神の崇敬, 崇拝
12C13(...)8|描写 〜 エジプトの神, 半神, 英雄, etc. (名を伴う) - 非キリスト教の神または女神のアトリビュート
12C13(...)9|描写 〜 エジプトの神, 半神, 英雄, etc. (名を伴う) - 非キリスト教の神または女神の後裔, 仲間, 随員, etc.
12C13(AMON-RE)|アモン=ラー, 太陽神
12C13(AMON-RE)1|アモン=ラー, 太陽神 - 非キリスト教の神または女神の若年期, 青春期
12C13(AMON-RE)11|アモン=ラー, 太陽神 - 非キリスト教の神または女神の誕生
12C13(AMON-RE)12|アモン=ラー, 太陽神 - 非キリスト教の神または女神の幼少期, 養育
12C13(AMON-RE)2|アモン=ラー, 太陽神 - 非キリスト教の神または女神の情事
12C13(AMON-RE)3|アモン=ラーによる最重要な偉業
12C13(AMON-RE)31|日中に天空を、夜間に冥府を通過するアモン=ラー
12C13(AMON-RE)4|アモン=ラー, 太陽神 - 非キリスト教の神または女神の攻撃的な, 敵意に満ちた活動・関係
12C13(AMON-RE)5|アモン=ラー, 太陽神 - 非キリスト教の神または女神の攻撃的でない, 友好的な, あるいは中立的な活動・関係
12C13(AMON-RE)6|アモン=ラー, 太陽神 - 非キリスト教の神または女神の苦難, 災難
12C13(AMON-RE)68|アモン=ラー, 太陽神 - 非キリスト教の神または女神の死
12C13(AMON-RE)69|アモン=ラー, 太陽神 - 非キリスト教の神または女神の賛美, 神格化
12C13(AMON-RE)7|アモン=ラー, 太陽神 - 非キリスト教の神または女神の特定の／寓意的風貌
12C13(AMON-RE)78|アモン=ラー, 太陽神 - 非キリスト教の神または女神の勝利
12C13(AMON-RE)79|アモン=ラー, 太陽神 - 非キリスト教の神または女神の崇敬, 崇拝
12C13(AMON-RE)8|アモン=ラー, 太陽神 - 非キリスト教の神または女神のアトリビュート
12C13(AMON-RE)9|アモン=ラー, 太陽神 - 非キリスト教の神または女神の後裔, 仲間, 随員, etc.
12C13(HORUS)|ホルス, オシリスとイシスの息子
12C13(HORUS)1|ホルス, オシリスとイシスの息子 - 非キリスト教の神または女神の若年期, 青春期
12C13(HORUS)11|ホルス, オシリスとイシスの息子 - 非キリスト教の神または女神の誕生
12C13(HORUS)12|ホルス, オシリスとイシスの息子 - 非キリスト教の神または女神の幼少期, 養育
12C13(HORUS)2|ホルス, オシリスとイシスの息子 - 非キリスト教の神または女神の情事
12C13(HORUS)3|ホルス, オシリスとイシスの息子 - 非キリスト教の神または女神による最重要な偉業
12C13(HORUS)4|ホルスの攻撃的な, 敵意に満ちた活動・関係
12C13(HORUS)41|父オシリスの殺害者セトと戦うホルス
12C13(HORUS)5|ホルス, オシリスとイシスの息子 - 非キリスト教の神または女神の攻撃的でない, 友好的な, あるいは中立的な活動・関係
12C13(HORUS)6|ホルス, オシリスとイシスの息子 - 非キリスト教の神または女神の苦難, 災難
12C13(HORUS)68|ホルス, オシリスとイシスの息子 - 非キリスト教の神または女神の死
12C13(HORUS)69|ホルス, オシリスとイシスの息子 - 非キリスト教の神または女神の賛美, 神格化
12C13(HORUS)7|ホルス, オシリスとイシスの息子 - 非キリスト教の神または女神の特定の／寓意的風貌
12C13(HORUS)78|ホルス, オシリスとイシスの息子 - 非キリスト教の神または女神の勝利
12C13(HORUS)79|ホルス, オシリスとイシスの息子 - 非キリスト教の神または女神の崇敬, 崇拝
12C13(HORUS)8|ホルス, オシリスとイシスの息子 - 非キリスト教の神または女神のアトリビュート
12C13(HORUS)9|ホルス, オシリスとイシスの息子 - 非キリスト教の神または女神の後裔, 仲間, 随員, etc.
12C13(OSIRIS)|オシリス, 冥府の神
12C13(OSIRIS)1|オシリス, 冥府の神 - 非キリスト教の神または女神の若年期, 青春期
12C13(OSIRIS)11|オシリス, 冥府の神 - 非キリスト教の神または女神の誕生
12C13(OSIRIS)12|オシリス, 冥府の神 - 非キリスト教の神または女神の幼少期, 養育
12C13(OSIRIS)2|オシリス, 冥府の神 - 非キリスト教の神または女神の情事
12C13(OSIRIS)3|オシリス, 冥府の神 - 非キリスト教の神または女神による最重要な偉業
12C13(OSIRIS)4|オシリス, 冥府の神 - 非キリスト教の神または女神の攻撃的な, 敵意に満ちた活動・関係
12C13(OSIRIS)5|オシリス, 冥府の神 - 非キリスト教の神または女神の攻撃的でない, 友好的な, あるいは中立的な活動・関係
12C13(OSIRIS)6|オシリスの苦難, 災難
12C13(OSIRIS)68|オシリスの死
12C13(OSIRIS)681|弟セトに殺されるオシリス
12C13(OSIRIS)69|オシリスのの苦難, 災難 - 非キリスト教の神または女神の賛美, 神格化
12C13(OSIRIS)7|オシリス, 冥府の神 - 非キリスト教の神または女神の特定の／寓意的風貌
12C13(OSIRIS)78|オシリス, 冥府の神 - 非キリスト教の神または女神の勝利
12C13(OSIRIS)79|オシリス, 冥府の神 - 非キリスト教の神または女神の崇敬, 崇拝
12C13(OSIRIS)8|オシリス, 冥府の神 - 非キリスト教の神または女神のアトリビュート
12C13(OSIRIS)9|オシリス, 冥府の神 - 非キリスト教の神または女神の後裔, 仲間, 随員, etc.
12C13(THOTH)|トト, 月の神
12C13(THOTH)1|トト, 月の神 - 非キリスト教の神または女神の若年期, 青春期
12C13(THOTH)11|トト, 月の神 - 非キリスト教の神または女神の誕生
12C13(THOTH)12|トト, 月の神 - 非キリスト教の神または女神の幼少期, 養育
12C13(THOTH)2|トト, 月の神 - 非キリスト教の神または女神の情事
12C13(THOTH)3|トトによる最重要な偉業
12C13(THOTH)31|審判の際に死者たちの心臓の重さを量り、結果をオシリスに報告するトト
12C13(THOTH)4|トト, 月の神 - 非キリスト教の神または女神の攻撃的な, 敵意に満ちた活動・関係
12C13(THOTH)5|トト, 月の神 - 非キリスト教の神または女神の攻撃的でない, 友好的な, あるいは中立的な活動・関係
12C13(THOTH)6|トト, 月の神 - 非キリスト教の神または女神の苦難, 災難
12C13(THOTH)68|トト, 月の神 - 非キリスト教の神または女神の死
12C13(THOTH)69|トト, 月の神 - 非キリスト教の神または女神の賛美, 神格化
12C13(THOTH)7|トト, 月の神 - 非キリスト教の神または女神の特定の／寓意的風貌
12C13(THOTH)78|トト, 月の神 - 非キリスト教の神または女神の勝利
12C13(THOTH)79|トト, 月の神 - 非キリスト教の神または女神の崇敬, 崇拝
12C13(THOTH)8|トト, 月の神 - 非キリスト教の神または女神のアトリビュート
12C13(THOTH)9|トト, 月の神 - 非キリスト教の神または女神の後裔, 仲間, 随員, etc.
12C2|儀式的実践 〜 エジプト宗教
12C21|崇拝・敬虔 (全般) 〜 エジプト宗教
12C212|供儀 〜 エジプト宗教
12C2121|動物の供儀 〜 エジプト宗教
12C213|作曲・舞踊 〜 エジプト宗教
12C214|オルギア 〜 エジプト宗教
12C215|瞑想 〜 エジプト宗教
12C216|行列 〜 エジプト宗教
12C217|儀礼食 〜 エジプト宗教
12C218|奉献 〜 エジプト宗教
12C2181|献堂, e.g. 神殿の 〜 エジプト宗教
12C219|その他の儀式的実践 〜 エジプト宗教
12C3|特定の物品を用いた儀式的実践 〜 エジプト宗教
12C31|豊作を願う儀式 〜 耕土, 人間, 家畜 (エジプト宗教)
12C311|雨乞い 〜 豊作を願う儀式 (エジプト宗教)
12C4|儀式的実践 〜 人生の段階 (エジプト宗教)
12C44|儀式的実践 〜 死と埋葬 (エジプト宗教)
12C441|葬送儀礼, 祖先崇拝 〜 エジプト宗教
12C5|宗教関係の職員 〜 エジプト宗教
12C51|聖職者 〜 エジプト宗教
12C513|神殿の奉仕者 〜 エジプト宗教
12C52|占い師, 預言者 〜 エジプト宗教
12C6|崇拝の場所 〜 エジプト宗教
12C61|神殿, 聖堂 〜 エジプト宗教
12C62|祭壇 〜 エジプト宗教
12C621|家庭用祭壇 〜 エジプト宗教
12C63|彫像, 絵画, etc. 〜 崇拝に使用される物品 (エジプト宗教)
12CC13|描写 〜 エジプトの女神, 半女神, 女傑, etc.
12CC13(...)|描写 〜 エジプトの女神, 半女神, 女傑, etc. (名を伴う)
12CC13(...)1|描写 〜 エジプトの女神, 半女神, 女傑, etc. (名を伴う) - 非キリスト教の神または女神の若年期, 青春期
12CC13(...)11|描写 〜 エジプトの女神, 半女神, 女傑, etc. (名を伴う) - 非キリスト教の神または女神の誕生
12CC13(...)12|描写 〜 エジプトの女神, 半女神, 女傑, etc. (名を伴う) - 非キリスト教の神または女神の幼少期, 養育
12CC13(...)2|描写 〜 エジプトの女神, 半女神, 女傑, etc. (名を伴う) - 非キリスト教の神または女神の情事
12CC13(...)3|描写 〜 エジプトの女神, 半女神, 女傑, etc. (名を伴う) - 非キリスト教の神または女神による最重要な偉業
12CC13(...)4|描写 〜 エジプトの女神, 半女神, 女傑, etc. (名を伴う) - 非キリスト教の神または女神の攻撃的な, 敵意に満ちた活動・関係
12CC13(...)5|描写 〜 エジプトの女神, 半女神, 女傑, etc. (名を伴う) - 非キリスト教の神または女神の攻撃的でない, 友好的な, あるいは中立的な活動・関係
12CC13(...)6|描写 〜 エジプトの女神, 半女神, 女傑, etc. (名を伴う) - 非キリスト教の神または女神の苦難, 災難
12CC13(...)68|描写 〜 エジプトの女神, 半女神, 女傑, etc. (名を伴う) - 非キリスト教の神または女神の死
12CC13(...)69|描写 〜 エジプトの女神, 半女神, 女傑, etc. (名を伴う) - 非キリスト教の神または女神の賛美, 神格化
12CC13(...)7|描写 〜 エジプトの女神, 半女神, 女傑, etc. (名を伴う) - 非キリスト教の神または女神の特定の／寓意的風貌
12CC13(...)78|描写 〜 エジプトの女神, 半女神, 女傑, etc. (名を伴う) - 非キリスト教の神または女神の勝利
12CC13(...)79|描写 〜 エジプトの女神, 半女神, 女傑, etc. (名を伴う) - 非キリスト教の神または女神の崇敬, 崇拝
12CC13(...)8|描写 〜 エジプトの女神, 半女神, 女傑, etc. (名を伴う) - 非キリスト教の神または女神のアトリビュート
12CC13(...)9|描写 〜 エジプトの女神, 半女神, 女傑, etc. (名を伴う) - 非キリスト教の神または女神の後裔, 仲間, 随員, etc.
12CC13(ISIS)|イシス, 地母神
12CC13(ISIS)1|イシス, 地母神 - 非キリスト教の神または女神の若年期, 青春期
12CC13(ISIS)11|イシス, 地母神 - 非キリスト教の神または女神の誕生
12CC13(ISIS)12|イシス, 地母神 - 非キリスト教の神または女神の幼少期, 養育
12CC13(ISIS)2|イシス, 地母神 - 非キリスト教の神または女神の情事
12CC13(ISIS)3|イシス, 地母神 - 非キリスト教の神または女神による最重要な偉業
12CC13(ISIS)4|イシス, 地母神 - 非キリスト教の神または女神の攻撃的な, 敵意に満ちた活動・関係
12CC13(ISIS)5|イシス, 地母神 - 非キリスト教の神または女神の攻撃的でない, 友好的な, あるいは中立的な活動・関係
12CC13(ISIS)6|イシスの苦難, 災難
12CC13(ISIS)61|殺害された夫オシリスの遺体を見つけ出し、彼を生き返らせるイシス
12CC13(ISIS)68|イシスの苦難, 災難 - 非キリスト教の神または女神の死
12CC13(ISIS)69|イシスの苦難, 災難 - 非キリスト教の神または女神の賛美, 神格化
12CC13(ISIS)7|イシス, 地母神 - 非キリスト教の神または女神の特定の／寓意的風貌
12CC13(ISIS)78|イシス, 地母神 - 非キリスト教の神または女神の勝利
12CC13(ISIS)79|イシス, 地母神 - 非キリスト教の神または女神の崇敬, 崇拝
12CC13(ISIS)8|イシス, 地母神 - 非キリスト教の神または女神のアトリビュート
12CC13(ISIS)9|イシス, 地母神 - 非キリスト教の神または女神の後裔, 仲間, 随員, etc.
12CC51|聖職者 〜 エジプト宗教 - CC - 女聖職者
12CC513|神殿の奉仕者 〜 エジプト宗教 - CC - 女聖職者
12CC52|占い師, 預言者 〜 エジプト宗教 - CC - 女占い師, 女預言者
12CC62|祭壇 〜 エジプト宗教 - CC - 屋外
12CC621|家庭用祭壇 〜 エジプト宗教 - CC - 屋外
12CC63|彫像, 絵画, etc. 〜 崇拝に使用される物品 (エジプト宗教) - CC - 屋外
12D|バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教
12D1|視覚化された概念・観念 〜 バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教
12D13|描写 〜 神, 半神, 英雄, etc. (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教)
12D13(...)|描写 〜 神, 半神, 英雄, etc. (名を伴う) (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教)
12D13(...)1|描写 〜 神, 半神, 英雄, etc. (名を伴う) (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教) - 非キリスト教の神または女神の若年期, 青春期
12D13(...)11|描写 〜 神, 半神, 英雄, etc. (名を伴う) (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教) - 非キリスト教の神または女神の誕生
12D13(...)12|描写 〜 神, 半神, 英雄, etc. (名を伴う) (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教) - 非キリスト教の神または女神の幼少期, 養育
12D13(...)2|描写 〜 神, 半神, 英雄, etc. (名を伴う) (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教) - 非キリスト教の神または女神の情事
12D13(...)3|描写 〜 神, 半神, 英雄, etc. (名を伴う) (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教) - 非キリスト教の神または女神による最重要な偉業
12D13(...)4|描写 〜 神, 半神, 英雄, etc. (名を伴う) (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教) - 非キリスト教の神または女神の攻撃的な, 敵意に満ちた活動・関係
12D13(...)5|描写 〜 神, 半神, 英雄, etc. (名を伴う) (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教) - 非キリスト教の神または女神の攻撃的でない, 友好的な, あるいは中立的な活動・関係
12D13(...)6|描写 〜 神, 半神, 英雄, etc. (名を伴う) (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教) - 非キリスト教の神または女神の苦難, 災難
12D13(...)68|描写 〜 神, 半神, 英雄, etc. (名を伴う) (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教) - 非キリスト教の神または女神の死
12D13(...)69|描写 〜 神, 半神, 英雄, etc. (名を伴う) (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教) - 非キリスト教の神または女神の賛美, 神格化
12D13(...)7|描写 〜 神, 半神, 英雄, etc. (名を伴う) (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教) - 非キリスト教の神または女神の特定の／寓意的風貌
12D13(...)78|描写 〜 神, 半神, 英雄, etc. (名を伴う) (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教) - 非キリスト教の神または女神の勝利
12D13(...)79|描写 〜 神, 半神, 英雄, etc. (名を伴う) (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教) - 非キリスト教の神または女神の崇敬, 崇拝
12D13(...)8|描写 〜 神, 半神, 英雄, etc. (名を伴う) (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教) - 非キリスト教の神または女神のアトリビュート
12D13(...)9|描写 〜 神, 半神, 英雄, etc. (名を伴う) (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教) - 非キリスト教の神または女神の後裔, 仲間, 随員, etc.
12D2|儀式的実践 〜 バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教
12D21|崇拝・敬虔 (全般) 〜 バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教
12D211|祈り 〜 バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教
12D212|供儀 〜 バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教
12D2121|動物の供儀 〜 バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教
12D2122|人身供儀 〜 バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教
12D2123|犠牲祭 〜 バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教
12D5|宗教関係の職員 〜 バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教
12D51|聖職者 〜 バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教
12D6|崇拝の場所・物品 〜 バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教
12D61|神殿, 聖堂 〜 バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教
12D62|祭壇 〜 バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教
12D63|彫像, 絵画, etc. 〜 バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教の崇拝に使用される物品
12DD13|描写 〜 女神, 半女神, 女傑, etc. (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教)
12DD13(...)|描写 〜 女神, 半女神, 女傑, etc. (名を伴う) (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教)
12DD13(...)1|描写 〜 女神, 半女神, 女傑, etc. (名を伴う) (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教) - 非キリスト教の神または女神の若年期, 青春期
12DD13(...)11|描写 〜 女神, 半女神, 女傑, etc. (名を伴う) (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教) - 非キリスト教の神または女神の誕生
12DD13(...)12|描写 〜 女神, 半女神, 女傑, etc. (名を伴う) (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教) - 非キリスト教の神または女神の幼少期, 養育
12DD13(...)2|描写 〜 女神, 半女神, 女傑, etc. (名を伴う) (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教) - 非キリスト教の神または女神の情事
12DD13(...)3|描写 〜 女神, 半女神, 女傑, etc. (名を伴う) (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教) - 非キリスト教の神または女神による最重要な偉業
12DD13(...)4|描写 〜 女神, 半女神, 女傑, etc. (名を伴う) (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教) - 非キリスト教の神または女神の攻撃的な, 敵意に満ちた活動・関係
12DD13(...)5|描写 〜 女神, 半女神, 女傑, etc. (名を伴う) (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教) - 非キリスト教の神または女神の攻撃的でない, 友好的な, あるいは中立的な活動・関係
12DD13(...)6|描写 〜 女神, 半女神, 女傑, etc. (名を伴う) (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教) - 非キリスト教の神または女神の苦難, 災難
12DD13(...)68|描写 〜 女神, 半女神, 女傑, etc. (名を伴う) (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教) - 非キリスト教の神または女神の死
12DD13(...)69|描写 〜 女神, 半女神, 女傑, etc. (名を伴う) (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教) - 非キリスト教の神または女神の賛美, 神格化
12DD13(...)7|描写 〜 女神, 半女神, 女傑, etc. (名を伴う) (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教) - 非キリスト教の神または女神の特定の／寓意的風貌
12DD13(...)78|描写 〜 女神, 半女神, 女傑, etc. (名を伴う) (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教) - 非キリスト教の神または女神の勝利
12DD13(...)79|描写 〜 女神, 半女神, 女傑, etc. (名を伴う) (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教) - 非キリスト教の神または女神の崇敬, 崇拝
12DD13(...)8|描写 〜 女神, 半女神, 女傑, etc. (名を伴う) (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教) - 非キリスト教の神または女神のアトリビュート
12DD13(...)9|描写 〜 女神, 半女神, 女傑, etc. (名を伴う) (バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教) - 非キリスト教の神または女神の後裔, 仲間, 随員, etc.
12DD13(ISHTAR)|イシュタル, バビロニア・アッシリアの肥沃・繁殖の女神
12DD13(ISHTAR)1|イシュタル, バビロニア・アッシリアの肥沃・繁殖の女神 - 非キリスト教の神または女神の若年期, 青春期
12DD13(ISHTAR)11|イシュタル, バビロニア・アッシリアの肥沃・繁殖の女神 - 非キリスト教の神または女神の誕生
12DD13(ISHTAR)12|イシュタル, バビロニア・アッシリアの肥沃・繁殖の女神 - 非キリスト教の神または女神の幼少期, 養育
12DD13(ISHTAR)2|イシュタル, バビロニア・アッシリアの肥沃・繁殖の女神 - 非キリスト教の神または女神の情事
12DD13(ISHTAR)3|イシュタル, バビロニア・アッシリアの肥沃・繁殖の女神 - 非キリスト教の神または女神による最重要な偉業
12DD13(ISHTAR)4|イシュタル, バビロニア・アッシリアの肥沃・繁殖の女神 - 非キリスト教の神または女神の攻撃的な, 敵意に満ちた活動・関係
12DD13(ISHTAR)5|イシュタル, バビロニア・アッシリアの肥沃・繁殖の女神 - 非キリスト教の神または女神の攻撃的でない, 友好的な, あるいは中立的な活動・関係
12DD13(ISHTAR)6|イシュタルの苦難, 災難
12DD13(ISHTAR)61|イシュタルの冥府降下
12DD13(ISHTAR)68|イシュタルの苦難, 災難 - 非キリスト教の神または女神の死
12DD13(ISHTAR)69|イシュタルの苦難, 災難 - 非キリスト教の神または女神の賛美, 神格化
12DD13(ISHTAR)7|イシュタル, バビロニア・アッシリアの肥沃・繁殖の女神 - 非キリスト教の神または女神の特定の／寓意的風貌
12DD13(ISHTAR)78|イシュタル, バビロニア・アッシリアの肥沃・繁殖の女神 - 非キリスト教の神または女神の勝利
12DD13(ISHTAR)79|イシュタル, バビロニア・アッシリアの肥沃・繁殖の女神 - 非キリスト教の神または女神の崇敬, 崇拝
12DD13(ISHTAR)8|イシュタル, バビロニア・アッシリアの肥沃・繁殖の女神 - 非キリスト教の神または女神のアトリビュート
12DD13(ISHTAR)9|イシュタル, バビロニア・アッシリアの肥沃・繁殖の女神 - 非キリスト教の神または女神の後裔, 仲間, 随員, etc.
12DD51|聖職者 〜 バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教 - DD - 女聖職者
12DD62|祭壇 〜 バビロニア・アッシリア宗教と、中近東と北アフリカのその他の古代宗教 - DD - 屋外
12E|ギリシア宗教 (ミノス文明とミケーネ文明の文化を含む)
12E1|視覚化された概念・観念 〜 ギリシア宗教
