4|社会, 文明, 文化
48BB143|生徒を訓練する芸術家 - BB - 屋外
48BB15|助手や生徒を伴う作業場の芸術家 - BB - 屋外
48BB19|自身の作品を破壊する芸術家 - BB - 屋外
48C|芸術; 芸術家
48C1|建築
48C10|architectura', 象徴的表現,寓意とエンブレム ~ 建築; 'architettura' (リーパ)
48C101|建築の起源
48C11|作業中の建築家
48C111|デッサンする、スケッチする ~ 建築家
48C112|古代建築を研究する建築家
48C113|パトロンにデッサンや模型を示す建築家
48C114|建築活動を監督する建築家
48C12|非作業状況の建築家
48C13|建築家の肖像、自画像
48C14|一般的な建築表現
48C141|実際の建物の表現 (存在しているまたは存在した）
48C1411|外観 ~ 建物の表現
48C14111|鳥瞰図 ~ 建物の表現
48C1412|内部 ~ 建物の表現
48C1413|建物の風刺画
48C142|建築設計または模型
48C1421|ひとつの建築計画のデザイン、模型のシリーズ等
48C1422|模型 ~ 建築
48C1423|設計図 ~ 建築
48C14231|フロアプラン ~ 建築設計または模型
48C1424|部分 ~ 建築設計または模型
48C1425|外観 ~ 建築設計または模型
48C14251|鳥瞰図 ~ 建築設計または模型
48C14252|ファサード ~ 建築設計または模型
48C1426|内部 ~ 建築設計または模型
48C1427|結合された内外装 ~ 建築設計または模型
48C143|架空のおよび幻想の建築
48C1431|架空の建築, 非現実的建築のファンタジー
48C1432|理想のまたは空想の建築計画の模型
48C1433|設計図 ~ 架空のおよび幻想の建築設計または模型
48C1434|部分 ~ 架空のおよび幻想の建築設計または模型
48C1435|外観 ~ 架空のおよび幻想の建築設計または模型
48C14351|鳥瞰図 ~ 架空のおよび幻想の建築設計または模型
48C1436|内部 ~ 架空のおよび幻想の建築設計または模型
48C1437|結合された内外装 ~ 架空のおよび幻想の建築設計または模型
48C144|建築上のフォリー
48C145|絵画、彫刻における建築背景等
48C1451|architekturbild'
48C149|建物の廃墟 ~ 建築
48C15|建築家の道具、器具
48C16|建築ディテール
48C161|円柱, 柱 ~ 建築
48C1611|半円柱, 付け柱 ~ 建築
48C1612|柱頭 (~ 円柱, 柱)
48C1613|基部 (~ 円柱, 柱)
48C1614|螺旋またはソロモン柱
48C1615|柱廊
48C162|アーチ, アーキヴォールト ~ 建築
48C1621|アーケード ~ 建築
48C1622|アーチ形天井 ~ 建築
48C1622(...)|アーチ形天井 (名称を伴う)
48C16221|鍵石 ~ 建築
48C1623|ドーム ~ 建築
48C1624|円屋根 (concha)' ~ 建築
48C163|様式, 建築様式についての学術書 ~ 建築
48C1631|ドーリア式 ~ 建築
48C1632|トスカナ式~ 建築
48C1633|イオニア式 ~ 建築
48C1634|コリント式 ~ 建築
48C1635|コンポジット式 ~ 建築
48C164|建設的 (建築的) 部分 ~ 人間
48C1641|男像柱 ~ 建築
48C1642|女像柱 ~ 建築
48C165|繰形 ~ 建築
48C165(...)|繰形 ~ 建築 (名称を伴う)
48C166|表面装飾 ~ 建築
48C1661|粗面積み ~ 表面装飾 (建築)
48C167|舗道, 床 ~ 建築
48C168|他の建築ディテール
48C168(...)|他の建築ディテール (名称を伴う)
48C168(ARCHITRAVE)|他の建築ディテール: アーキトレーブ
48C2|彫刻
48C20|Sculptura', 象徴的表現,寓意とエンブレム ~ 彫刻; 'Scoltura' (リーパ)
48C21|作業中の彫刻家
48C211|模型、ボッツェットを制作する彫刻家
48C212|(中空) 鋳造
48C213|古代の遺物を研究する彫刻家
48C22|仕事以外の状況での彫刻家
48C23|彫刻家の肖像、自画像
48C24|彫刻作品, 彫刻作品の複製
48C241|彫刻の回廊
48C242|蝋人形の飾り棚
48C243|彫刻作品の風刺画
48C244|彫刻作品の台座(おそらくヘルメ柱の形態で)
48C25|彫刻家の道具、 器具
48C25(...)|彫刻家の道具、 器具 (名称を伴う)
48C25(MALLET)|彫刻家の道具、 器具: 木槌
48C26|メダル (その特定の機能に関係なく、彫刻作品としてみなされる)
48C27|宝石、宝玉
48C3|応用美術、美術工芸; インダストリアルデザイン
48C30|象徴的表現,寓意とエンブレム ~ 応用美術
48C31|職人 ~ 応用美術
48C311|宝石細工人, 金細工職人, 銀細工職人
48C312|職人 ~ 基部 金属
48C313|陶工, 陶芸家
48C314|ガラス吹き工
48C315|綴織職人, ゴブラン織職人
48C316|指物師, 木製家具職人, 'ébéniste'
48C32|応用美術の職人の肖像、自画像
48C33|応用芸術の作品
48C34|職人の道具、器具 
48C34(...)|職人の道具、器具  (名称を伴う)
48C34(POTTER'S WHEEL)|職人の道具、器具 : ろくろ
48C34(TOUCH-STONE)|職人の道具、器具 : 試金石
48C35|飾り付ける, 飾る ~ 応用美術
48C351|飾る 'en relief', appliquéing
48C352|飾る 'en creux'
48C3521|エングレービング
48C3522|エッチング
48C3523|木版 ~ 応用美術
48C35231|木彫り
48C353|平面装飾 ~ 応用美術
48C3531|絵画 ~ 応用美術
48C35311|漆塗り ~ 応用美術
48C3532|印刷する ~ 応用美術
48C3533|エナメルを塗ること ~ 応用美術
48C3534|化粧張り加工 ~ 応用美術
48C35341|象嵌細工 ~ 応用美術
48C35342|寄木細工をする ~ 応用美術
48C3535|象嵌, ニエロ象嵌 ~ 応用美術
48C3536|皮殻でおおう ~ 応用美術
48C36|インダストリアルデザイン
48C361|インダストリアルデザイナー
48C4|記念碑的芸術
48C40|象徴的表現,寓意とエンブレム ~ 記念碑的芸術
48C41|記念碑的芸術の芸術家
48C411|モザイクを作る人
48C412|壁画家
48C413|ステンドガラス作家
48C42|記念碑的芸術の芸術家の肖像、自画像
48C43|記念碑的芸術作品
48C44|記念碑的芸術の芸術家の道具、器具 
48C5|絵画, 素描とグラフィックアート
48C51|絵画 (彩色本、細密画を含む)
48C510|Pictura', 象徴的表現,寓意とエンブレム ~ 絵画; 'Pittura' (リーパ)
48C5101|絵画と素描の起源
48C511|作業中の画家, 工房にて
48C5110|画家の霊感
48C51101|画家とそのミューズ
48C51102|作曲する画家, 楽器を伴う画家
48C5111|作業場, 工房 ~ 画家
48C51111|工房の必需品 ~ 画家
48C5112|作業状況 ~ 画家
48C51121|画面構成、スケッチを制作する画家
48C51122|古代の遺物を研究する画家
48C51123|生きたモデルから制作する画家
48C511231|服を着たモデルから制作する画家
48C511232|ヌードモデルから制作する画家
48C5113|モデル,モデルになる人 ~ 絵画
48C5114|色を準備する画家
48C5115|生徒を訓練する画家
48C51151|助手と生徒を伴う作業中の画家
48C5119|自身の作品を破壊する画家
48C512|非作業状況の画家
48C513|画家の肖像、自画像
48C514|絵, 絵画
48C5141|gemalte Galerie'
48C5142|画中画
48C5143|絵画の風刺
48C515|画家の道具、器具
48C5151|イーゼル
48C5152|パレット
48C5153|絵筆 ~ 画家の器具
48C5154|マネキン, ダミー
48C5155|下絵のデッサン帳 ~ 画家の器具
48C5156|絵画の額等
48C51561|passe-partout'
48C51562|(見せかけの) 絵の描かれたカーテン
48C5157|腕杖
48C52|素描
48C520|象徴的表現,寓意とエンブレム ~ 素描
48C521|作業中の製図工
48C5211|古代の遺物を研究する製図工
48C5212|素描の稽古
48C522|非作業状況の製図工
48C523|製図工の肖像、自画像
48C524|素描, スケッチ
48C525|製図工の道具、器具
48C5251|カメラ・オブスクラ (カメラ obscura)' (~ 製図工の道具、器具)
48C5252|カメラ・ルチダ (カメラ lucida)' (~ 製図工の道具、器具)
48C5253|凸面鏡 (~ 製図工の道具、器具)
48C5254|影像器具, '自動転写式肖像 (physionotrace)'
48C5255|透視図法のための器具
48C53|グラフィックアート
48C530|象徴的表現,寓意とエンブレム ~ グラフィックアート
48C531|版画家
48C5311|木版師, 木版画家
48C5312|版画家, エッチング工
48C5313|石版画家
48C532|版画家の肖像、自画像
48C533|版画 例: エングレービング, エッチング, リトグラフ
48C534|版画家の道具、器具
48C534(...)|版画家の道具、器具 (名称を伴う)
48C6|写真術, 映画撮影術
48C61|写真術
48C610|象徴的表現,寓意とエンブレム ~ 写真術
48C611|作業中の写真家
48C6111|スタジオ ~ 写真家
48C61111|スタジオの必需品 ~ 写真家
48C6112|写真を撮る
48C61121|モデル,モデルになる人の写真を撮る
48C6113|暗室
48C6114|現像
48C61141|現像する ~ フィルム
48C61142|印刷する ~ フィルム
48C612|非作業状況の写真家
48C613|写真家の肖像、自画像
48C614|写真
48C6141|ネガ ~ 写真術
48C6142|スライド
48C6143|写真乾板, フィルム ~ 写真術
48C6144|デジタル写真
48C615|写真機
48C6151|カメラ ~ 写真術
48C62|映画撮影術
48C620|象徴的表現,寓意とエンブレム ~ 映画撮影術
48C621|作業中の映画撮影技師
48C6211|スタジオ ~ 映画撮影技師
48C6212|撮影する, 作業中の映画撮影技師
48C62121|長編特作映画を製作する
48C62122|アニメーションを製作する
48C6213|モンタージュ, 編集する ~ フィルム
48C622|非作業状況の映画撮影技師
48C623|映画撮影技師の肖像、肖像画
48C624|フィルム, セルロイド
48C6241|フィルム１巻
48C625|映写機
48C6251|フィルムカメラ, ムービー・カメラ, ビデオカメラ
48C6252|フィルム映写機
48C6253|幻灯機
48C63|写真術と映画撮影術の最初の始まり
48C7|音楽
48C70|musica', 象徴的表現,寓意とエンブレム ~ 音楽; 'musica'(リーパ)
48C701|音楽の起源
48C702|音楽の魔力
48C71|作曲家
48C711|作業中の作曲家
48C7110|作曲家の霊感
48C71101|作曲家とそのミューズ
48C712|非作業状況の作曲家
48C713|作曲家の肖像
48C72|音楽家
48C721|作業中の音楽家
48C7210|音楽家の霊感
48C72101|音楽家とそのミューズ
48C7211|生徒を訓練する音楽家, 音楽の稽古
48C722|非作業状況の音楽家 
48C723|音楽家の肖像
48C723(...)|音楽家の肖像 (職業の名称 を伴う)
48C73|楽器; 楽器のグループ
48C731|弦楽器 (弓楽器)
48C7311|バイオリン, フィドル
48C7312|ヴィオラ, チェロ; コントラバス
48C7313|ビオール, レベック (バイオリンに似た楽器)
48C7314|ハーディガーディ
48C7315|弓を使って弾く他の弦楽器
48C7315(...)|弓を使って弾く他の弦楽器 (名称を伴う)
48C732|弦楽器 (撥弦楽器)
48C7321|たて琴, キタラー, プサルテリー
48C7322|ハープ
48C7323|リュートとリュートの特別な形態, 例: テオルボ
48C7324|シターン, マンドリン, ギター, バラライカ
48C7325|ダルシマー, ツィター
48C7326|他の弦楽器 (撥弦楽器)
48C7326(...)|他の弦楽器 (撥弦楽器) (名称を伴う)
48C733|鍵盤楽器
48C7331|スピネット, バージナル
48C7332|クラビコード, ハープシコード
48C7333|ピアノ
48C73331|グランドピアノ
48C7334|オルガン
48C73341|教会オルガン
48C7335|アコーディオン
48C7336|他の鍵盤楽器
48C7336(...)|他の鍵盤楽器 (名称を伴う)
48C734|打楽器
48C7341|ドラム (楽器)
48C73411|タンバリン
48C7342|カスタネット
48C7343|カリヨン, 鐘
48C73431|ベル ~ 楽器
48C7344|他の打楽器
48C7344(...)|他の打楽器 (名称を伴う)
48C735|管楽器
48C7351|フルート, アウロス, ティビア
48C73511|リコーダー (楽器)
48C73512|クラリネット, バスーン, オーボエ, ショーム
48C73513|トラヴェルソ
48C7352|ホルン, トランペット, コルネット, トロンボーン, チューバ
48C73521|サクソフォーン
48C7353|パンパイプ
48C7354|バッグパイプ, ミュゼット
48C7355|ハーモニカ
48C7356|他の管楽器
48C7356(...)|他の管楽器 (名称を伴う)
48C7356(CONCH)|他の管楽器: 法螺貝
48C736|楽器 ~ ポピュラーミュージック
48C737|即席楽器 (台所用品, 等)
48C737(...)|即席楽器 (名称を伴う)
48C737(RUMBLING-POT)|即席楽器: 鍋を鳴らす
48C738|付属品 ~ 音楽: メトロノーム, 譜面台, 音叉等
48C74|音楽の表記
48C741|楽譜の印刷版
48C742|手稿譜
48C7421|自筆 ~ 音楽の表記
48C743|音楽理論
48C75|音楽を作る; 楽器を伴う音楽家
48C751|楽器を伴う1人の人, 演奏はしていない
48C7511|楽器を調律する
48C75111|リュートを調弦する
48C7512|楽器を伴う人, 物思いにふける, 熟考する
48C752|楽器を演奏する1人
48C7521|弦楽器を演奏する1人 (弓楽器)
48C7522|弦楽器を演奏する1人 (撥弦楽器)
48C7523|鍵盤楽器を演奏する1人
48C7524|打楽器を演奏する1人
48C7525|管楽器を演奏する1人
48C753|1つ以上の楽器を伴う音楽家
48C7531|音楽家の大集団, オーケストラ
48C7532|音楽家の小集団, 小集団, ジャズバンド
48C754|器楽と声楽の混成
48C7541|弾き語りをする歌手
48C75411|吟遊詩人, 'jongleur'
48C75412|吟唱詩人, 抒情詩人
48C7542|歌手 (歌手達) に同行する音楽家 (音楽家達)
48C755|声楽, 歌う
48C7551|伴奏を伴わない歌手
48C75511|男性歌手
48C75512|女性歌手
48C7552|合唱団
48C756|ポピュラーミュージック, ストリート・ミュージック
48C7561|器楽ポピュラーミュージック
48C75611|ハーディガーディ奏者
48C75612|バレルオルガン奏者
48C75613|1人で複数の楽器を演奏する, 一人楽団
48C75614|吹奏楽団, ストリートバンド
48C7562|声楽ポピュラーミュージック
48C75621|バラード歌手, バラード売り
48C76|自動式の' 音楽, 機械音楽
48C761|オルゴール
48C762|ストリートオルガン, 'pierement'
48C763|ピアノラ; オーケストリオン
48C77|指揮者 ~ 音楽
48C771|指揮棒 ~ 指揮者
48C78|音楽を聞く
48C8|舞台芸術: バレエ, 劇場, 楽劇, 映画
48C80|象徴的表現,寓意とエンブレム ~ 舞台芸術
48C801|象徴的表現,寓意とエンブレム ~ ダンスとバレエ
48C802|象徴的表現,寓意とエンブレム ~ 劇場
48C8021|象徴的表現,寓意とエンブレム ~ 劇文学
48C803|象徴的表現,寓意とエンブレム ~ 楽劇
48C804|象徴的表現, 寓意, エンブレム ~ 映画
48C81|舞台とその設備
48C811|舞台美術
48C812|舞台裏
48C813|セット, 風景 ~ 舞台
48C8131|背景幕
48C8132|照明 ~ 舞台
48C8133|幕 ~ 舞台
48C814|楽屋 ~ 舞台
48C82|舞台関係者
48C821|監督, 製作者 ~ 舞台
48C822|振付師
48C823|黒子
48C824|舞台係
48C83|役者, 舞台芸術家 (非作業状況)
48C831|舞台芸術家の肖像 (舞踏家, 俳優等)
48C8311|舞踏家の肖像
48C8312|男優、俳優の肖像
48C8313|オペラ歌手の肖像
48C8314|キャバレー舞台芸術家の肖像
48C8315|映画男優、映画女優の肖像
48C832|非作業状況の舞台芸術家
48C8321|舞踏家 (非作業状況)
48C8322|男優, 女優 (非作業状況)
48C8323|オペラ歌手 (非作業状況)
48C8324|キャバレー舞台芸術家 (非作業状況)
48C8325|映画男優, 映画女優 (非作業状況)
48C84|バレエ, バレエの公演
48C841|練習 ~ バレエ
48C842|バレエ団; 舞台上の舞踏家
48C8421|男性舞踏家
48C8422|女性舞踏家
48C843|バレエのステップ, ポジション
48C844|バレエの衣装
48C85|劇場, 演劇
48C851|リハーサル, 役の研究をする ~ 劇場
48C852|俳優のグループ, 一座; 舞台上の役者
48C8521|俳優 (舞台上の)
48C85211|男優による女形
48C8522|女優 (舞台上の)
48C85221|男性を演じる女優
48C8523|一座 (俳優) 'en route'
48C85231|街に入る一座, 上演を告知する
48C853|舞台衣裳
48C854|演劇のジャンル
48C8541|宗教劇
48C85411|道徳 ~ 宗教劇
48C8542|雄弁家の劇
48C8543|commedia dell'arte'
48C85431| 'コメディア・デッラルテ (commedia dell'arte)' における類型
48C85431(...)| 'コメディア・デッラルテ (commedia dell'arte)' における類型 (名称を伴う)
48C85431(COLOMBINE)| 'コメディア・デッラルテ (commedia dell'arte)' における類型: コロンビーナ
48C85431(HARLEQUIN)| 'コメディア・デッラルテ (commedia dell'arte)' における類型: ハーレクイン
48C85431(PANTALONE)| 'コメディア・デッラルテ (commedia dell'arte)' における類型: パンタローネ
48C85431(PIERROT)| 'コメディア・デッラルテ (commedia dell'arte)' における類型: ピエロ
48C85431(PULCINELLA)| 'コメディア・デッラルテ (commedia dell'arte)' における類型: プルチネッラ
48C8544|無言劇, 黙劇, 仮面劇
48C85441|活人劇 (tableau vivant)'
48C8545|悲劇
48C85450|Tragedia' (リーパ)
48C8546|喜劇
48C85460|Comedia', 'Comedia vecchia' (リーパ)
48C8547|サテュロス劇, 笑劇
48C8548|他の演劇のジャンル
48C85481|全体演劇, ミクストメディア
48C85482|ハプニング ~ 舞台
48C855|人形とマリオネットショー
48C8551|人形
48C85511|パンチとジュディ
48C8552|マリオネット
48C856|影絵芝居
48C86|楽劇, 楽劇の上演
48C861|リハーサル, 役の研究をする ~ 楽劇
48C862|オペラ
48C8621|オペラ歌手 (male)
48C8622|オペラ歌手 (女性)
48C863|オペレッタ, ミュージカル 'Singspiel'
48C864|キャバレー
48C8641|キャバレー舞台芸術家
48C865|寄席演芸, バラエティーショー
48C8651|ストリップショー
48C87|映画, 映画上映
48C871|画面上の俳優
48C8711|映画俳優 (画面上の)
48C8712|映画女優 (画面上の)
48C872|映画解説者
48C873|ジャンル ~ フィルム
48C8731|長編映画
48C8732|自然映画
48C8733|ドキュメンタリー映画
48C8734|アニメーション
48C9|文学 ~ 芸術
48C90|litterae', 象徴的表現,寓意とエンブレム ~ 文学; 'Lettere' (リーパ)
48C901|象徴的表現,寓意とエンブレム ~ 詩; 'Poesia' (リーパ)
48C9011|象徴的表現,寓意とエンブレム ~ 叙事詩, 物語詩
48C90111|象徴的表現,寓意とエンブレム ~ 英雄詩; 'Poema heroico' (リーパ)
48C9012|象徴的表現,寓意とエンブレム ~ 抒情詩 'Poema lirico' (リーパ)
48C90121|象徴的表現, 寓意, エンブレム ~ 愛詩
48C9013|象徴的表現,寓意とエンブレム ~ 哀歌
48C9014|象徴的表現,寓意とエンブレム ~ 風刺詩; 'Poema satirico' (リーパ)
48C9015|象徴的表現,寓意とエンブレム ~ 田園詩; 'Poema pastorale' (リーパ)
48C902|象徴的表現,寓意とエンブレム ~ 散文
48C9021|象徴的表現,寓意とエンブレム ~ 叙事詩, 散文物語
48C91|作家, 詩人, 著者
48C910|詩人の霊感; 'Furore 詩人ico' (リーパ)
48C9101|詩人とそのミューズ
48C911|著者, 詩作
48C9111|自筆 ~ 著者, 詩人
48C9112|著者, 詩人の口述
48C912|poète maudit'
48C913|自身の著作を読む著者
48C919|自身の作品を破壊する著者
48C92|非作業状況の著者
48C921|名声 ~ 作家, 'poeta laureatus'
48C93|作家の肖像
48CC21|作業中の彫刻家 - CC - 屋外
48CC211|模型、ボッツェットを制作する彫刻家 - CC - 屋外
48CC212|(中空) 鋳造 - CC - 屋外
48CC213|古代の遺物を研究する彫刻家 - CC - 屋外
48CC511|作業中の画家, 工房にて - CC - 屋外
48CC5110|画家の霊感 - CC - 屋外
48CC51101|画家とそのミューズ - CC - 屋外
48CC51102|作曲する画家, 楽器を伴う画家 - CC - 屋外
48CC5111|作業場, 工房 ~ 画家 - CC - 屋外
48CC51111|工房の必需品 ~ 画家 - CC - 屋外
48CC5112|作業状況 ~ 画家 - CC - 屋外
48CC51121|画面構成、スケッチを制作する画家 - CC - 屋外
48CC51122|古代の遺物を研究する画家 - CC - 屋外
48CC51123|生きたモデルから制作する画家 - CC - 屋外
48CC511231|服を着たモデルで制作する画家 - CC - 屋外
48CC511232|ヌードモデルから制作する画家 - CC - 屋外
48CC5113|モデル,モデルになる人 ~ 絵画 - CC - 屋外
48CC5114|色を準備する画家 - CC - 屋外
48CC5115|生徒を訓練する画家 - CC - 屋外
48CC51151|助手と生徒を伴う作業中の画家 - CC - 屋外
48CC5119|自身の作品を破壊する画家 - CC - 屋外
48CC521|作業中の製図工 - CC - 屋外
48CC5211|古代の遺物を研究する製図工 - CC - 屋外
48CC5212|素描の稽古 - CC - 屋外
48CC611|作業中の写真家 - CC - 屋外
48CC6111|スタジオ ~ 写真家 - CC - 屋外
48CC61111|スタジオの必需品 ~ 写真家 - CC - 屋外
48CC6112|写真を撮る - CC - 屋外
48CC61121|モデル,モデルになる人の写真を撮る - CC - 屋外
48CC6113|暗室 - CC - 屋外
48CC6114|現像 - CC - 屋外
48CC61141|現像する ~ フィルム - CC - 屋外
48CC61142|印刷する ~ フィルム - CC - 屋外
48CC621|作業中の映画撮影技師 - CC - 屋外
48CC6211|スタジオ ~ 映画撮影技師 - CC - 屋外
48CC6212|撮影する, 作業中の映画撮影技師 - CC - 屋外
48CC62121|長編特作映画を製作する - CC - 屋外
48CC62122|アニメーションを製作する - CC - 屋外
48CC6213|モンタージュ, 編集する ~ フィルム - CC - 屋外
48CC7|音楽 - CC - 屋外
48CC70|musica', 象徴的表現,寓意とエンブレム ~ 音楽; 'musica'(リーパ) - CC - 屋外
48CC701|音楽の起源 - CC - 屋外
48CC702|音楽の魔力 - CC - 屋外
48CC71|作曲家 - CC - 屋外
48CC711|作業中の作曲家 - CC - 屋外
48CC7110|作曲家の霊感 - CC - 屋外
48CC71101|作曲家とそのミューズ - CC - 屋外
48CC712|非作業状況の作曲家 - CC - 屋外
48CC713|作曲家の肖像 - CC - 屋外
48CC72|音楽家 - CC - 屋外
48CC721|作業中の音楽家 - CC - 屋外
48CC7210|音楽家の霊感 - CC - 屋外
48CC72101|音楽家とそのミューズ - CC - 屋外
48CC7211|生徒を訓練する音楽家, 音楽の稽古 - CC - 屋外
48CC722|非作業状況の音楽家  - CC - 屋外
48CC723|音楽家の肖像 - CC - 屋外
48CC723(...)|音楽家の肖像 (職業の名称 を伴う) - CC - 屋外
48CC73|楽器; 楽器のグループ - CC - 屋外
48CC731|弦楽器 (弓楽器) - CC - 屋外
48CC7311|バイオリン, フィドル - CC - 屋外
48CC7312|ヴィオラ, チェロ; コントラバス - CC - 屋外
48CC7313|ビオール, レベック (バイオリンに似た楽器) - CC - 屋外
48CC7314|ハーディガーディ - CC - 屋外
48CC7315|弓を使って弾く他の弦楽器 - CC - 屋外
48CC7315(...)|弓を使って弾く他の弦楽器 (名称を伴う) - CC - 屋外
48CC732|弦楽器 (撥弦楽器) - CC - 屋外
48CC7321|たて琴, キタラー, プサルテリー - CC - 屋外
48CC7322|ハープ - CC - 屋外
48CC7323|リュートとリュートの特別な形態, 例: テオルボ - CC - 屋外
48CC7324|シターン, マンドリン, ギター, バラライカ - CC - 屋外
48CC7325|ダルシマー, ツィター - CC - 屋外
48CC7326|他の弦楽器 (撥弦楽器) - CC - 屋外
48CC7326(...)|他の弦楽器 (撥弦楽器) (名称を伴う) - CC - 屋外
48CC733|鍵盤楽器 - CC - 屋外
48CC7331|スピネット, バージナル - CC - 屋外
48CC7332|クラビコード, ハープシコード - CC - 屋外
48CC7333|ピアノ - CC - 屋外
48CC73331|グランドピアノ - CC - 屋外
48CC7334|オルガン - CC - 屋外
48CC73341|教会オルガン - CC - 屋外
48CC7335|アコーディオン - CC - 屋外
48CC7336|他の鍵盤楽器 - CC - 屋外
48CC7336(...)|他の鍵盤楽器 (名称を伴う) - CC - 屋外
48CC734|打楽器 - CC - 屋外
48CC7341|ドラム (楽器) - CC - 屋外
48CC73411|タンバリン - CC - 屋外
48CC7342|カスタネット - CC - 屋外
48CC7343|カリヨン, 鐘 - CC - 屋外
48CC73431|ベル ~ 楽器 - CC - 屋外
48CC7344|他の打楽器 - CC - 屋外
48CC7344(...)|他の打楽器 (名称を伴う) - CC - 屋外
48CC735|管楽器 - CC - 屋外
48CC7351|フルート, アウロス, ティビア - CC - 屋外
48CC73511|リコーダー (楽器) - CC - 屋外
48CC73512|クラリネット, バスーン, オーボエ, ショーム - CC - 屋外
48CC73513|トラヴェルソ - CC - 屋外
48CC7352|ホルン, トランペット, コルネット, トロンボーン, チューバ - CC - 屋外
48CC73521|サクソフォーン - CC - 屋外
48CC7353|パンパイプ - CC - 屋外
48CC7354|バッグパイプ, ミュゼット - CC - 屋外
48CC7355|ハーモニカ - CC - 屋外
48CC7356|他の管楽器 - CC - 屋外
48CC7356(...)|他の管楽器 (名称を伴う) - CC - 屋外
48CC7356(CONCH)|他の管楽器: 法螺貝 - CC - 屋外
48CC736|楽器 ~ ポピュラーミュージック - CC - 屋外
48CC737|即席楽器 (台所用品, 等) - CC - 屋外
48CC738|付属品 ~ 音楽: メトロノーム, 譜面台, 音叉, 等 - CC - 屋外
48CC74|音楽の表記 - CC - 屋外
48CC741|楽譜の印刷版 - CC - 屋外
48CC742|手稿譜 - CC - 屋外
48CC7421|自筆 ~ 音楽の表記 - CC - 屋外
48CC743|音楽理論 - CC - 屋外
48CC75|音楽を作る; 楽器を伴う音楽家 - CC - 屋外
48CC751|楽器を伴う1人の人, 演奏はしていない - CC - 屋外
48CC7511|楽器を調律する - CC - 屋外
48CC75111|リュートを調弦する - CC - 屋外
48CC7512|楽器を伴う人, 物思いにふける, 熟考する - CC - 屋外
48CC752|楽器を演奏する1人 - CC - 屋外
48CC7521|弦楽器を演奏する1人 (弓楽器) - CC - 屋外
48CC7522|弦楽器を演奏する1人 (撥弦楽器) - CC - 屋外
48CC7523|鍵盤楽器を演奏する1人 - CC - 屋外
48CC7524|打楽器を演奏する1人 - CC - 屋外
48CC7525|管楽器を演奏する1人 - CC - 屋外
48CC753|1つ以上の楽器を伴う音楽家 - CC - '田園のコンセール (concert champêtre)'
48CC7531|音楽家の大集団, オーケストラ - CC - '田園のコンセール (concert champêtre)'
48CC7532|音楽家の小集団,, 小集団, ジャズバンド - CC - '田園のコンセール (concert champêtre)'
48CC754|器楽と声楽の混成 - CC - 屋外
48CC7541|弾き語りをする歌手 - CC - 屋外
48CC75411|吟遊詩人, 'jongleur' - CC - 屋外
48CC75412|吟唱詩人, 抒情詩人 - CC - 屋外
48CC7542|歌手 (歌手達) に同行する音楽家 (音楽家達) - CC - 屋外
48CC755|声楽, 歌う - CC - 屋外
48CC7551|伴奏を伴わない歌手 - CC - 屋外
48CC75511|男性歌手 - CC - 屋外
48CC75512|女性歌手 - CC - 屋外
48CC7552|合唱団 - CC - 屋外
48CC756|ポピュラーミュージック, ストリート・ミュージック - CC - 屋外
48CC7561|器楽ポピュラーミュージック - CC - 屋外
48CC75611|ハーディガーディ奏者 - CC - 屋外
48CC75612|バレルオルガン奏者 - CC - 屋外
48CC75613|1人で複数の楽器を演奏する, 一人楽団 - CC - 屋外
48CC75614|吹奏楽団, ストリートバンド - CC - 屋外
48CC7562|声楽ポピュラーミュージック - CC - 屋外
48CC75621|バラード歌手, バラード売り - CC - 屋外
48CC76|automatic' 音楽 - CC - 屋外
48CC761|オルゴール - CC - 屋外
48CC762|ストリートオルガン, 'pierement' - CC - 屋外
48CC763|ピアノラ; オーケストリオン - CC - 屋外
48CC77|指揮者 ~ 音楽 - CC - 屋外
48CC771|指揮棒 ~ 指揮者 - CC - 屋外
48CC78|音楽を聞く - CC - 屋外
48CC841|練習 ~ バレエ - CC - 女性
48CC844|バレエの衣装 - CC - 女性
48CC853|舞台衣裳 - CC - 女性
49|教育, 科学と学習
49A|教育
49A0|象徴的表現,寓意とエンブレム ~ 教育; 'Ammaestramento', Dottrina', 'educatione', 'Istitutione' (リーパ)
49A1|学習と気晴らし
49A11|教育教育の2つの主要な側面としての学習と遊び
49B|学校教育, 授業料
49B1|保育園
49B2|小学校; 学級, 授業
49B21|学校へ行く
49B211|学校に連れて行かれる, 初登校日
49B22|学校からの帰省
49B23|退学する, 最終登校日
49B24|先生と生徒
49B241|子供が教師、両親または他の大人達を教える
49B25|学校での罰
49B251|自由の制限 (学校における); 隅に立つ, 閉じ込める等
49B252|学校での体罰: 厳しく叱る, 打つ等
49B2521|むち, カンバの枝むち ~ 学校での罰
49B2522|生徒が教師を罰する
49B253|反省文を書く ~ 学校での罰
49B3|社会人教育
49B31|中等教育
49B32|職業教育 例: 工業高等専門学校
49B33|高等教育 例: 教員養成大学
49B4|大学
49B40|大学の擬人化; 'Academia' (リーパ)
49B41|大学組織
49B411|大学の設立
49B4111|大学設立の記念式
49B412|大学の理事会、高官
49B413|儀式の先導者
49B4131|儀式の先導者の職杖
49B414|記章, 印 ~ 大学
49B415|学部 ~ 大学
49B416|大学校舎, カレッジ
49B42|大学教育
49B421|講義 ~ 大学
