5|Idées et Concepts Abstraits
73C7456|l'esprit impur qui prend avec lui sept autres esprits plus méchants que lui ~ doctrine de Jésus-Christ à propos de l'amour etc. (Matthieu 12:43-45)
73C7457|'Si vous m'aimez, vous observerez mes commandements' ~ doctrine de Jésus-Christ à propos de l'amour etc. (Jean 14:15)
73C7458|'Soyez généreux ...' ~ doctrine de Jésus-Christ à propos de l'amour etc. (Luc 6:36)
73C7459|le grand commandement de la loi ~ doctrine de Jésus-Christ à propos de l'amour etc. (Matthieu 22:34-40)
73C74591|'Tu aimeras le Seigneur ...' ~ doctrine de Jésus-Christ à propos de l'amour etc.
73C74592|'Tu aimeras ton prochain comme toi-même' ~ doctrine de Jésus-Christ à propos de l'amour etc.
73C746|doctrine de Jésus-Christ ~ le Royaume des cieux
73C7461|cherchez le Royaume des cieux ~ doctrine de Jésus-Christ (Matthieu 6:33; Luc 12:31)
73C7462|'veillez donc, car vous ne savez pas quel jour votre Seigneur va venir' ~ doctrine de Jésus-Christ à propos du Royaume des cieux (Matthieu 24:42-44, 25:13; Luc 12:40)
73C7463|'que vos reins soient ceints et que vos lampes brûlent' ~ doctrine de Jésus-Christ à propos du Royaume des cieux (Luc 12:35)
73C7464|le trésor céleste, que ni voleur n'approche, ni mite ne détruit ~ doctrine de Jésus-Christ à propos du Royaume des cieux (Matthieu 6:20; Luc 12:33)
73C7465|'dans la maison de mon Père il y a beaucoup de demeures' ~ doctrine de Jésus-Christ à propos du Royaume des cieux (Jean 14:2)
73C7466|'beaucoup sont appelés, peu sont élus' ~ doctrine de Jésus-Christ à propos du Royaume des cieux (Matthieu 22:14)
73C7467|'A la résurrection on ... est comme des anges dans le ciel' ~ doctrine de Jésus-Christ à propos du Royaume des cieux (Matthieu 22:30)
73C747|paroles de Jésus-Christ ~ lui-même ou le but de sa venue sur terre (1ière part.)
73C7471|'Je suis la lumière du monde' ~ paroles de Jésus-Christ (Jean 8:12, 9:5)
73C7472|'Je suis le pain de vie' ~ paroles de Jésus-Christ (Jean 6:35, 6:48)
73C7473|'Je suis la vraie vigne' ~ paroles de Jésus-Christ (Jean 15:1)
73C7474|'Je suis le chemin et la vérité et la vie' ~ paroles de Jésus-Christ (Jean 14:6)
73C7475|'Je suis venu apporter le feu sur la terre' ~ paroles de Jésus-Christ (Luc 12:49)
73C7476|Jésus-Christ est venu mettre la division sur terre (Matthieu 10:34-36; Luc 12:51-53)
73C7477|Jésus-Christ se déclare être le juge véridique (Jean 8:14-18)
73C7478|'Venez à moi, vous tous qui peinez et qui êtes chargés' ~ paroles de Jésus-Christ (Matthieu 11:28)
73C74781|'... mon joug est facile à porter et mon fardeau léger' ~ paroles de Jésus-Christ (Matthieu 11:30)
73C7479|'Si quelqu'un a soif ...' ~ paroles de Jésus-Christ (Jean 7:37)
73C748|paroles de Jésus-Christ ~ lui-même ou le but de sa venue sur terre (2ième part.)
73C7481|le monde me hait ~ paroles de Jésus-Christ (Jean 7:7)
73C7482|Jésus-Christ dit que par lui le monde peut être sauvé (Jean 3:17, 12:47)
73C7483|'Nul ne peut venir à moi si le Père ... ne l'attire' ~ paroles de Jésus-Christ (Jean 6:44)
73C7484|'ma chair est nourriture ..., et mon sang boisson' ~ paroles de Jésus-Christ (Jean 6:55)
73C7485|'...nul ne connaît le Fils si ce n'est le Père...' ~ paroles du Christ (Matthieu 11:27)
73C749|paroles de Jésus-Christ : sermon sur la fin du monde (Matthieu 24; Marc 13; Luc 21)
73C75|représentations de la doctrine et des paroles de Jésus-Christ
73C76|condamnations et malédictions
73C761|Jésus-Christ maudit les villes du lac de Gennésareth (Chorazeïn, Bethsaïde, Capharnaüm) (Matthieu 11:20-24; Luc 10:13-15)
73C762|sermons de Jésus-Christ contre les scribes et les Pharisiens (Matthieu 23; Marc 12:38-40; Luc 11:42-52, 20:45-47)
73C7621|Ils lient de pesants fardeaux et les imposent aux épaules des gens, mais eux-mêmes se refusent à les remuer du doigt (Matthieu 23:4)
73C763|'malheur à vous juristes' ~ condamnations et malédictions de Jésus-Christ (Luc 11:46)
73C77|béatitudes et bénédictions de Jésus-Christ
73C771|béatitudes du sermon sur la montagne
73C7710|'Beatitudine a guisa d'emblema' (Ripa)
73C7711|série représentant les béatitudes du sermon sur la montagne (Matthieu 5:3-12)
73C77111|heureux les pauvres d'esprit
73C771110|'Beatitudine prima', 'Povertà di spirito' (Ripa)
73C77112|heureux ceux qui sont en deuil
73C771120|'Beatitudine terza' (Ripa)
73C77113|heureux les doux
73C771130|'Beatitudine seconda' (Ripa)
73C77114|heureux ceux qui ont faim et soif
73C771140|'Beatitudine quarta' (Ripa)
73C77115|heureux les miséricordieux
73C771150|'Beatitudine sesta' (Ripa)
73C77116|heureux les coeurs purs
73C771160|'Beatitudine quinta' (Ripa)
73C77117|heureux les pacificateurs
73C771170|'Beatitudine septima' (Ripa)
73C77118|heureux ceux qui sont persécutés pour la justice
73C771180|'Beatitudine ottava' (Ripa)
73C772|autres bénédictions de Jésus-Christ
73C78|Jésus-Christ baptisant (en Judée) (Jean 3:26)
73C781|les apôtres de Jésus-Christ baptisant (Jean 4:1-2)
73C8|Jésus-Christ enseignant (2e part.) : paraboles et proverbes de Jésus-Christ
73C81|paraboles et proverbes de Jésus-Christ ~ agriculture
73C811|le semeur ~ parabole de Jésus-Christ (Matthieu 13:3-9; Marc 4:3-9; Luc 8:5-8)
73C812|l'ivraie au milieu du blé ~ parabole de Jésus-Christ (Matthieu 13:24-30)
73C8121|un semeur a semé du bon grain dans son champ ~ l'ivraie au milieu du blé
73C8122|pendant que le semeur et ses serviteurs dorment, son ennemi (le diable) a semé de l'ivraie au milieu du blé
73C8123|au temps de la moisson l'ivraie est liée en bottes et brûlée, quant au blé il est rassemblé dans la grange du seigneur
73C813|le grain de moutarde devient un arbre dans lequel des oiseaux viennent faire leur nid (Matthieu 13:31-32; Marc 4:31-32; Luc 13:18-19)
73C814|la semence qui pousse d'elle-même ~ parabole de Jésus-Christ (Marc 4:26-29)
73C815|les ouvriers dans la vigne ~ parabole de Jésus-Christ (Matthieu 20:1-16)
73C8151|un maître de maison engage des ouvriers pour sa vigne ~ parabole de Jésus-Christ
73C8152|à la fin de la journée le maître de maison paie le même salaire à tous les ouvriers; ceux qui ont travaillé toute la journée se plaignent
73C816|un homme demande à ses deux fils d'aller travailler à sa vigne ~ parabole de Jésus-Christ (Matthieu 21:28-30)
73C817|les vignerons meurtriers ~ parabole de Jésus-Christ (Matthieu 21:33-41; Marc 12:1-9; Luc 20:9-16)
73C8171|les vignerons meurtriers tuent les serviteurs que le maître de maison avait envoyés récolter le raisin ~ parabole de Jésus-Christ
73C8172|le maître de maison envoie son fils, '... ils le saisirent, le jetèrent hors de la vigne et le tuèrent'
73C818|paraboles et proverbes de Jésus-Christ ~ le règne végétal
73C8181|le figuier stérile planté dans la vigne ~ parabole de Jésus-Christ (Luc 13:6-9)
73C8182|tout bon arbre porte de bons fruits; l'arbre malade produit de mauvais fruits ~ proverbe de Jésus-Christ (Matthieu 7:17-18, 12:33; Luc 6:43)
73C8183|tout arbre qui ne produit pas de fruits est jeté au feu ~ proverbe de Jésus-Christ (Matthieu 7:19)
73C8184|'... toute plante que n'a pas planté mon Père céleste, sera arrachée' ~ proverbe de Jésus-Christ (Matthieu 15:13)
73C819|autres paraboles et proverbes de Jésus-Christ ~ agriculture
73C82|paraboles et proverbes de Jésus-Christ ~ le monde animal
73C821|le bon berger (Jésus-Christ) protège ses brebis contre les loups; 'Je suis le bon pasteur' (Jean 10:1-16)
73C8211|'Je suis la porte des brebis' ~ parabole du bon pasteur
73C8212|'des voleurs et des pillards' escaladent le toit de la bergerie ~ parabole du bon pasteur
73C8213|les brebis suivent le bon berger ~ parabole du bon pasteur
73C8214|le mercenaire n'est pas berger, il s'enfuit à l'approche des loups ~ parabole du bon pasteur
73C8215|'J'ai d'autres brebis, qui ne sont pas de cet enclos' ~ parabole du bon pasteur
73C822|la brebis égarée est trouvée par le berger ~ parabole du bon pasteur (Matthieu 18:12-14; Luc 15:4-7)
73C823|le loup déguisé en berger ~ parabole du bon pasteur
73C824|les faux prophètes déguisés en brebis ~ parabole du bon pasteur (Matthieu 7:15)
73C825|'comme le berger (le Fils de l'Homme) sépare les brebis des chèvres' (Matthieu 25:32)
73C826|l'âne ou le boeuf tombé dans un puits ~ parabole de Jésus-Christ (Luc 14:5)
73C827|autres paraboles et proverbes de Jésus-Christ ~ le règne animal
73C83|paraboles et proverbes de Jésus-Christ ~ rapports maître-serviteur
73C831|'aucun domestique ne peut servir deux maîtres' ~ proverbe de Jésus-Christ (Matthieu 6:24; Luc 16:13)
73C832|le domestique sans pitié : le roi lui remet sa dette ~ parabole de Jésus-Christ (Matthieu 18:23-35)
73C8321|le domestique sans pitié attaque un de ses compagnons qui lui doit de l'argent, et le jette en prison ~ parabole du domestique sans pitié
73C8322|le roi reproche à son domestique son manque de pitié et le livre aux tortionnaires ~ parabole du domestique sans pitié
73C833|l'intendant renvoyé demande aux débiteurs de son maître de changer leurs comptes (Luc 16:1-8)
73C834|le créancier et les deux débiteurs (Luc 7:41-42)
73C835|autres paraboles et proverbes de Jésus-Christ ~ rapports maître-serviteur
73C84|paraboles et proverbes de Jésus-Christ ~ précaution et diligence
73C841|les vierges sages et les vierges folles ~ parabole de Jésus-Christ (Matthieu 25:1-13)
73C8411|les vierges sages et les vierges folles dorment
73C8412|quand l'époux est annoncé toutes se réveillent; les vierges folles demandent aux vierges sages de l'huile pour leurs lampes
73C8413|les vierges sages entrent avec l'époux (Jésus-Christ); les vierges folles se trouvent devant la porte fermée
73C8414|représentations non-narratives des vierges sages et des vierges folles
73C84141|représentation d'une, ou de plusieurs, vierge(s) sage(s)
73C84142|représentation d'une, ou de plusieurs, vierge(s) folle(s)
73C842|le maître de maison part pour un long voyage ~ parabole de Jésus-Christ (Marc 13:34-37)
73C8421|certains serviteurs restent en éveil en attendant le retour du maître, d'autres dorment
73C843|les talents ~ parabole de Jésus-Christ (Matthieu 25:14-30; Luc 19:12-27)
73C8431|un maître remet des talents à ses serviteurs
73C8432|deux serviteurs font des affaires avec l'argent; un creuse un trou et y met l'argent
73C8433|une fois rentré le maître règle ses comptes avec ses serviteurs, qu'il désire récompenser selon leur mérite
73C8434|deux serviteurs sont récompensés, le troisième est jeté dans les ténèbres
73C844|calculer la dépense avant de construire une tour (Luc 14:28-30)
73C845|un roi partant en guerre considère ses chances ~ parabole de Jésus-Christ (Luc 14:31-32)
73C846|la pièce d'argent retrouvée (Luc 15:8-9)
73C847|autres paraboles et proverbes de Jésus-Christ ~ précaution et diligence
73C85|paraboles et proverbes de Jésus-Christ ~ richesse et pauvreté
73C851|le riche insensé, qui meurt au moment où il veut construire des greniers plus grands pour y entasser ses récoltes (Luc 12:16-21)
73C852|un homme riche (Dives) festoie alors que le pauvre Lazare meurt de faim à sa porte (les chiens léchants ses ulcères) (Luc 16:19-31)
73C8521|Lazare meurt : son âme est mise par des anges entre les mains d'Abraham
73C85211|l'âme de Lazare entre les mains d'Abraham
73C8522|Dives meurt; son âme est emportée par des diables en enfer
73C8523|l'enterrement de Dives
73C8524|en enfer Dives (généralement montrant sa langue du doigt) voit Lazare au paradis
73C86|paraboles et proverbes de Jésus-Christ ~ amour terrestre et amour divin
73C861|le bon Samaritain (Luc 10:30-37)
73C8611|un voyageur est attaqué par des bandits ~ parabole du bon Samaritain
73C8612|un prêtre et/ou un Lévite vien(nen)t à passer sans s'occuper de l'homme blessé ~ parabole du bon Samaritain
73C8613|un Samaritain bande les plaies du voyageur
73C86131|le Samaritain charge sur sa propre monture (un âne ou un cheval) le voyageur blessé et le conduit à l'auberge
73C8614|le Samaritain et le voyageur blessé arrivent à l'auberge; le voyageur est pris en charge
73C8615|le Samaritain paie l'aubergiste
73C862|un homme, importuné la nuit par un ami, refuse de se lever pour lui donner trois pains (Luc 11:5-8)
73C863|le grand dîner; les noces royales ~ parabole de Jésus-Christ (Matthieu 22:1-14; Luc 14:16-24)
73C8631|première invitation à la fête ~ parabole des noces royales
73C86311|les invités aux noces royales se font excuser
73C8632|deuxième invitation aux noces royales : les serviteurs sont tués
73C8633|le roi étant mis au courant se venge des invités de mauvaise volonté en incendiant leurs villes
73C8634|des indigents, des estropiés, des aveugles et des boiteux sont amenés et s'asseyent à table ~ parabole des noces royales
73C8635|le roi aperçoit un convive qui ne porte pas de vêtement de noce : 'Jetez-le, pieds et poings liés, dans les ténèbres du dehors' ~ parabole des noces royales
73C8636|l'invité indigne est traîné dehors ~ parabole des noces royales
73C864|parabole de l'enfant prodigue (Luc 15:11-32)
73C8641|le fils prodigue demande sa part d'héritage; son père lui donne l'argent (dans un sac)
73C8642|adieux et départ du fils prodigue
73C8643|le fils prodigue dissipe son bien en faisant la fête avec des prostituées; généralement dans un bordel ou une auberge)
73C86431|ayant dilapidé tout son argent le fils prodigue est chassé par les prostituées
73C8644|le fils prodigue se trouve dans l'indigence et demande du travail à un fermier
73C8645|le fils prodigue garde les porcs et mange de leur auge
73C86451|le fils prodigue se repent de sa vie antérieure et prie
73C8646|le fils prodigue s'en retourne à la maison, où son père l'attend
73C86461|le fils prodigue s'agenouille devant son père, qui le prend dans ses bras
73C86462|le festin pour le fils prodigue
73C86463|préparations, p.ex. le fils prodigue reçoit une nouvelle tunique, abattage du veau gras; le fils aîné fait des objections
73C865|autres paraboles et proverbes de Jésus-Christ ~ amour terrestre et amour divin
73C87|paraboles et proverbes de Jésus-Christ ~ le Royaume des cieux et la religion
73C871|'le Royaume des cieux est semblable à du levain ...' ~ proverbe de Jésus-Christ (Matthieu 13:33; Luc 13:20-21)
73C872|'le Royaume des cieux est comparable à un trésor caché dans un champ' ~ proverbe de Jésus-Christ (Matthieu 13:44)
73C873|'le Royaume des cieux est comparable à un marchand en quête de perles fines' ~ proverbe de Jésus-Christ (Matthieu 13:45-46)
73C874|'le Royaume des cieux est comparable à un filet qu'on jette en mer et qui ramène toutes sortes de poissons' ~ proverbe de Jésus-Christ (Matthieu 13:47-48)
73C875|'le Royaume des cieux est comparable à un maître de maison qui sort son trésor...' proverbe de Jésus-Christ (Matthieu 13:52)
73C876|'une ville située sur une colline ne peut être cachée' ~ proverbe de Jésus-Christ (Matthieu 5:14)
73C877|une bougie (ou lampe) allumée mise sous le boisseau (ou dans un endroit secret, ou sous le lit, ou couvert d'un pot) ~ proverbe de Jésus-Christ (Matthieu 5:15; Marc 4:21; Luc 8:16)
73C878|'Mais c'est par le doigt de Dieu que je chasse les démons...' ~ proverbe de Jésus-Christ (Luc 11:20)
73C879|autres paraboles et proverbes de Jésus-Christ ~ le Royaume des cieux et la religion
73C88|autres paraboles et proverbes de Jésus-Christ
73C881|le mauvais juge et la veuve persévérante (Luc 18:2-5)
73C882|le Pharisien priant dans le temple avec le collecteur d'impôts repentant (Luc 18:10-14)
73C883|l'invité à des noces qui prend une place modeste et qui en reçoit une meilleure ('Mon ami, avance plus haut') (Luc 14:8-11)
73C9|Jésus-Christ et la prière
73C91|Jésus-Christ priant (en général), p.ex. : au désert
73C911|les disciples cherchent Jésus-Christ qui est en prière (Marc 1:35-37; Luc 4:42)
73C92|Jésus-Christ formule les conditions nécessaires à la prière
73C921|'quand tu pries entre dans la chambre' ~ Jésus-Christ formule les conditions nécessaires à la prière (Matthieu 6:6)
73C922|'quand vous êtes debout en prière, si vous avez quelque chose contre quelqu'un, pardonnez' ~ Jésus-Christ formule les conditions nécessaires à la prière (Marc 11:25)
73C923|'priez pour ceux qui vous persécutent' ~ Jésus-Christ formule les conditions nécessaires à la prière (Matthieu 5:44)
73C924|'tout ce que vous demandez dans la prière, si vous avez la foi, vous le recevrez' ~ Jésus-Christ formule les conditions nécessaires à la prière (Matthieu 21:22; Marc 11:24)
73C93|la prière du Seigneur, le 'Notre Père' (Matthieu 6:9-13; Luc 11:2-4)
73C931|'notre Père qui êtes aux cieux' ~ la prière du Seigneur
73C932|'que ton nom soit sanctifié' ~ la prière du Seigneur
73C933|'que ton règne arrive' ~ la prière du Seigneur
73C934|'que ta volonté soit faite sur terre, comme au ciel' ~ la prière du Seigneur
73C935|'donne-nous aujourd'hui notre pain quotidien' ~ la prière du Seigneur
73C936|'et pardonne-nous nos offenses, comme nous avons pardonné à ceux qui nous ont offensés' ~ la prière du Seigneur
73C937|'et ne nous laisse pas tomber en tentation' ~ la prière du Seigneur
73C938|'mais délivre-nous du mal' ~ la prière du Seigneur
73C939|'car c'est à toi qu'appartiennent le règne' ~ la prière du Seigneur
73C9391|'et la puissance' ~ la prière du Seigneur
73C9392|'et la gloire, pour les siècles des siècles ~ la prière du Seigneur
73C94|Et une voix vint du ciel: "Je l'ai glorifié, et je le glorifierai encore" (Jean 12:28-29)
73C941|Philippe et André en route vers le Christ pour lui dire quelques Grecs souhaitent le rencontrer (Jean 12:20-22)
73D|la Passion de Jésus-Christ
73D1|prélude de la Passion de Jésus-Christ
73D11|Jésus-Christ annonçant sa Passion (en différentes occasions) (Matthieu 16:21, 17:22-23; Marc 8:32, 9:31; Luc 9:22, 9:44)
73D12|Caïphe et les prêtres complotent contre Jésus-Christ (Matthieu 26:3-5; Marc 14:1-2; Luc 22:2; Jean 11:47-53)
73D121|Caïphe prédisant la passion de Jésus-Christ
73D13|le repas à Béthanie (au domicile de Simon le Lépreux) (Matthieu 26:6-13; Marc 14:3-9; Jean 12:1-11)
73D131|la tête de Jésus-Christ est ointe par Marie (Madeleine)
73D132|les pieds de Jésus-Christ sont oints par Marie (Madeleine)
73D133|les grands prêtres complotent contre Lazare
73D14|l'entrée à Jérusalem : la foule étend ses vêtements sur la route devant Jésus-Christ monté sur un âne, et agite des rameaux de palmier (Matthieu 21:1-11, 21:14-16; Marc 11:1-11; Luc 19:28-40; Jean 12:12-19)
73D141|Jésus-Christ envoie chercher l'âne ~ l'entrée de Jésus-Christ à Jérusalem
73D142|les disciples prennent l'âne après avoir apaisé les protestations du propriétaire ~ l'entrée de Jésus-Christ à Jérusalem
73D143|les enfants dans le temple crient 'Hosanna'
73D144|Philippe et André en route vers le Christ pour lui dire quelques Grecs souhaitent le rencontrer (Jean 12:20-22)
73D15|purification du temple (la 'première' et la 'seconde') : Jésus-Christ chasse les changeurs du temple avec un fouet (Matthieu 21:12-13; Marc 11:15-17; Luc 19:45-46; Jean 12:12-19)
73D151|après la purification du temple les Juifs demandent à Jésus-Christ quel signe il leur montrera
73D152|'détruisez ce temple et en trois jours je le relèverai' ~ purification du temple
73D16|Jésus-Christ pleure sur Jérusalem et sa destruction future (Luc 19:41-44)
73D161|les signes dans les cieux et sur terre annonçant la destruction de Jérusalem (Luc 21:25)
73D17|les adieux de Jésus-Christ à Marie, généralement en présence de Marie Madeleine
73D2|l'épisode de la Cène
73D21|préparations de la Pâque ~ la Cène (Matthieu 26:17-20; Marc 14:12-17; Luc 22:7-14)
73D211|deux disciples suivent un homme portant une cruche d'eau
73D22|querelle entre les apôtres sur lequel d'entre eux doit être considéré le plus grand
73D23|Jésus-Christ lave les pieds de ses apôtres (Jean 13:1-20)
73D231|Jésus-Christ lave les pieds de Pierre
73D24|la Cène (en général) (Matthieu 26:21-35; Marc 14:18-31; Luc 22:3, 22:15-23; Jean 13:21-38)
73D241|Jésus-Christ annonce qu'il sera trahi, ce qui provoque des réactions diverses chez les apôtres
73D242|Judas Iscariote est dénoncé comme celui qui trahira Jésus-Christ (la communion de Judas)
73D2421|Satan s'introduit dans Judas ~ la Cène
73D243|Jésus-Christ prédit que Pierre le reniera
73D244|institution de l'Eucharistie, c.-à-d. Jésus-Christ montrant ou bénissant le pain (l'hostie) et/ou le vin (Matthieu 26:26-27; Marc 14:22-23; Luc 22:19-20; Jean 13:26; 1 Corinthiens 11:23-25)
73D245|communion des apôtres : Jésus-Christ donne du pain (l'hostie) et/ou du vin aux apôtres (qui se tiennent debout)
73D25|représentations inhabituelles de la Cène, p.ex. : les apôtres remplacés par d'autres personnes
73D26|Judas se rend chez les grands prêtres pour leur livrer Jésus-Christ contre une somme d'argent (Matthieu 26:14-16; Marc 14:10-11; Luc 22:4-6)
73D27|Jésus-Christ s'adressant à ses disciples après la Cène (Jean 14-16)
73D271|représentations du contenu du sermon de Jésus-Christ après la Cène
73D271(...)|représentations du contenu du sermon de Jésus-Christ après la Cène (avec LIVRE CHAPITRE:VERSET)
73D271(Jo. 14:2)|'dans la maison de mon Père il y a beaucoup de demeures'
73D271(Jo. 16:13)|'lorsque viendra l'Esprit de vérité ...'
73D271(Jo. 16:21)|une femme quand elle accouche est dans l'affliction, mais elle est tout à la joie lorsqu'elle a donné le jour à l'enfant
73D28|la prière de Jésus-Christ pour ses apôtres (Jean 17:1-26)
73D3|l'arrestation, le procès et le supplice de Jésus-Christ
73D31|Gethsémani, le mont des Oliviers, 'Oelberg' (Matthieu 26:36-56; Marc 14:32-52; Luc 22:39-53; Jean 18:1-12)
73D311|Jésus-Christ marchant vers (ou dans) le jardin de Gethsémani (avant la prière)
73D312|la prière de Jésus-Christ dans le jardin de Gethsémani en pleine nuit
73D3121|l'angoisse de Jésus-Christ : pour le réconforter un ou plusieurs anges lui apparaissent tenant un calice et/ou une croix
73D31211|l'angoisse de Jésus-Christ; trois (ou les douze) apôtres dormant
73D312111|les apôtres dormant (seuls) ~ jardin de Gethsémani
73D3122|Jésus-Christ demande aux apôtres de veiller et de prier ~ jardin de Gethsémani
73D313|le baiser de Judas : accompagné de soldats portant des torches et des lanternes, il embrasse Jésus-Christ
73D3131|Jésus-Christ se fait connaître; les soldats tombent à genoux ~ le baiser de Judas
73D314|l'arrestation de Jésus-Christ ~ jardin de Gethsémani
73D3141|Pierre dégaine son épée et tranche l'oreille de Malchus
73D3142|Malchus est guéri par Jésus-Christ
73D315|Jésus-Christ est emmené ~ jardin de Gethsémani
73D3151|Jésus-Christ est traîné à travers le ruisseau du Cédron
73D316|les disciples abandonnent Jésus-Christ et prennent la fuite
73D3161|un disciple est sur le point d'être arrêté mais abandonne son vêtement et s'enfuit tout nu, ou à demi-nu
73D32|le procès de Jésus-Christ; Jésus-Christ devant ses juges
73D321|Jésus-Christ devant Hanne; il se peut qu'un soldat soit sur le point de le frapper (Jean 18:13, 18:19-24)
73D322|Jésus-Christ devant le Sanhédrin et le grand-prêtre, Caïphe, ainsi qu'éventuellement Hanne; il se peut qu'un soldat soit sur le point de frapper Jésus-Christ, car celui-ci refuse de parler (Matthieu 26:57-66; Marc 14:53-64; Luc 22:54, 22:66-71)
73D3221|de faux témoins se présentent ~ le procès de Jésus-Christ
73D3222|Caïphe déchire ses vêtements ~ le procès de Jésus-Christ
73D323|Jésus-Christ devant Ponce Pilate (Matthieu 27:11-26; Marc 15:2-15; Luc 23:2-7, 23:13-25; Jean 18:28 - 19:16)
73D3231|Pilate en discussion avec les Juifs
73D32311|le choix entre Jésus-Christ et Barabbas
73D3232|la femme de Pilate (ou un messager) l'avertit d'avoir rêvé de Jésus-Christ
73D3233|Pilate se lave les mains (en signe d'innocence)
73D324|Jésus-Christ devant le roi Hérode; parfois un vêtement splendide est apporté (Luc 23:8-11)
73D325|Jésus-Christ est mené d'un juge à l'autre
73D33|histoire du reniement de Pierre (Matthieu 26:58, 26:69-75; Marc 14:54, 14:66-72; Luc 22:55-62; Jean 18:15-18, 18:25-27)
73D331|Pierre renie Jésus-Christ, généralement devant une servante et quelques soldats
73D332|le repentir de Pierre
73D3321|le coq chantant ~ le reniement de Pierre
73D34|le repentir et la mort de Judas (Matthieu 27:3-10; Actes 1:16-20)
73D341|Judas devant le Sanhédrin rapportant les pièces d'argent, qu'il jette par terre
73D342|Judas répand ses entrailles après une chute
73D343|Judas se pend
73D344|la punition de Judas en enfer
73D345|les grands prêtres achètent le champ d'un potier
73D35|le supplice de Jésus-Christ
73D351|la flagellation par des soldats, Jésus-Christ est généralement attaché à une colonne (Matthieu 27:26; Marc 15:15; Jean 19:1)
73D3511|préparations de la flagellation de Jésus-Christ
73D3512|Jésus-Christ couvert de plaies causées par la flagellation
73D35121|Jésus-Christ à la colonne (après la flagellation)
73D3513|Jésus-Christ rassemblant ses vêtements après la flagellation
73D352|le couronnement d'épines : des soldats, armés de bâtons, placent une couronne d'épines sur la tête de Jésus-Christ et lui donnent un roseau (Matthieu 27:27-31; Marc 15:16-20; Jean 19:2-3)
73D3521|préparations du couronnement d'épines de Jésus-Christ
73D3522|tête de Jésus-Christ portant la couronne d'épines
73D353|le Christ aux outrages, il se peut qu'il ait les yeux bandés
73D3531|les Juifs insultent Jésus-Christ dans le palais de Caïphe (Matthieu 26:67-68; Marc 14:65)
73D3532|des soldats se moquent de Jésus-Christ dans le palais de Pilate (Luc 22:63-65)
73D354|'Herrgottsruhbild' (Jésus-Christ se reposant après son supplice)
73D355|Jésus-Christ en prison (seul)
73D36|Pilate montrant Jésus-Christ à la foule, 'Ostentatio Christi', 'Ecce Homo' (Jean 19:4-6)
73D361|Jésus-Christ seul (appelé également 'Ecce Homo')
73D37|Jésus-Christ, couché ou traîné sur des marches, est maltraité en présence de Ponce Pilate (rupture du roseau)
73D4|du palais de Ponce Pilate au Golgotha : la montée vers le Calvaire (Matthieu 27:31-33; Marc 15:20-22; Luc 23:26-33; Jean 19:17)
73D41|Jésus-Christ portant sa croix, seul, ou avec l'assistance d'autres (p.ex. Simon de Cyrène)
73D411|Jésus-Christ s'effondrant ~ portement de croix
73D4111|première chute ~ Jésus-Christ portant sa croix
73D4112|deuxième chute ~ Jésus-Christ portant sa croix
73D4113|troisième chute ~ Jésus-Christ portant sa croix
73D412|Simon de Cyrène est réquisitionné pour aider Jésus-Christ à porter sa croix
73D413|Jésus-Christ croise Marie, il se peut que celle-ci s'évanouisse ('Lo Spasimo') ~ Jésus-Christ portant sa croix
73D414|les femmes de Jérusalem se lamentent sur Jésus-Christ; celui-ci cherche à les consoler
73D415|Jésus-Christ croise Véronique, qui tient un linge pour lui essuyer le visage
73D42|la montée vers le Calvaire, la croix étant portée par d'autres que Jésus-Christ
73D423|Jésus-Christ croise Marie, il se peut que celle-ci tombe en défaillance ~ la croix étant portée par d'autres que Jésus-Christ
73D43|stations de la croix
73D431|les 14 stations franciscaines du chemin de la croix
73D431(...)|les 14 stations franciscaines du chemin de la croix (avec NOMBRE de la station)
73D44|l'arrivée de Jésus-Christ au lieu dit Golgotha
73D5|la Crucifixion de Jésus-Christ : prélude de la mort de Jésus-Christ sur la croix (Matthieu 27:34-44; Marc 15:23-32; Luc 23:33-43; Jean 19:18-24)
73D51|Jésus-Christ dépouillé de ses vêtements
73D511|Marie (soit Marie Madeleine, soit un soldat) ceint les reins de Jésus-Christ d'un bout de tissu
73D5111|Marie déchirant un morceau de sa cape
73D512|les soldats se disputent, ou tirent au sort, la tunique sans couture de Jésus-Christ (avant la Crucifixion)
73D52|Jésus-Christ, assis sur la croix, ou près de la croix, ou sur une pierre, attend dans l'angoisse sa crucifixion, 'Christus im Elend', 'Christus in der Rast'
73D521|Jésus-Christ dans l'angoisse, assis sur un rocher (seul)
73D522|Jésus-Christ se tenant debout près de la croix
73D53|Jésus-Christ refuse la boisson assoupissante, qui lui est offerte
73D54|fabrication de la croix ~ prélude de la mort de Jésus-Christ
73D541|Hedroit forgeant les clous pour la crucifixion de Jésus-Christ
73D55|élévation de la croix : Jésus-Christ est cloué à la croix, qui est couchée par terre
73D551|élévation de la croix sur laquelle Jésus-Christ est déjà fixé
73D56|élévation de la croix (sur laquelle Jésus-Christ n'est pas encore fixé)
73D561|Jésus-Christ montant sur la croix (à l'aide d'une échelle)
73D562|Jésus-Christ cloué à la croix déjà érigée
73D57|élévation des croix des deux malfaiteurs (les deux larrons)
73D58|l'inscription : I(esus) N(azarenus) R(ex) I(udaeorum) ~ la crucifixion de Jésus-Christ
