9|ギリシャ・ローマ神話と古代史
98B(CYRUS)1|キュロスの若年期, 幼少期, 養育
98B(CYRUS)11|アステュアゲス王の命を受けたハルパゴスは、キュロスを殺す代わりに、羊飼いミトリダテスにその赤子を渡して捨てさせる
98B(CYRUS)111|キュロスを、死産した自身の子どもの代わりに育てるミトリダテスの妻
98B(CYRUS)12|牝犬に養われる、幼児のキュロス
98B(CYRUS)13|仲間たちと遊んでいる少年キュロスが王に選出され、仲間のひとりを鞭で打つように命じる
98B(CYRUS)131|鞭で撃たれた少年の父親が訴えたため、祖父アステュアゲスのもとに呼びつけられるキュロス
98B(CYRUS)2|ペルシア王キュロス(の物語) - 古典古代の歴史上の人物の情事
98B(CYRUS)3|ペルシア王キュロス(の物語) - 古典古代の歴史上の人物の名を添えることができる描写
98B(CYRUS)4|キュロスの攻撃的な関係
98B(CYRUS)41|キュロスの策略で、宴に連れてこられるトミュリスの息子スパルガピセス; キュロスが、泥酔して寝ている部下を虐殺したように見えたため、スパルガピセスは自害する
98B(CYRUS)5|キュロスの攻撃的でない活動
98B(CYRUS)51|キュロスの自制: 捕われたアブラダタスの妻パンテイアとの関係を絶つキュロス
98B(CYRUS)52|兎の死骸に隠された、ハルパガスからの伝言を受け取るキュロス
98B(CYRUS)6|ペルシア王キュロス(の物語) - 古典古代の歴史上の人物の苦難, 災難
98B(CYRUS)68|ペルシア王キュロス(の物語) - 古典古代の歴史上の人物の死
98B(CYRUS)69|ペルシア王キュロス(の物語) - 古典古代の歴史上の人物の賛美, 神格化
98B(CYRUS)7|ペルシア王キュロス(の物語) - 死後に起こる出来事 〜 古典古代の歴史上の人物
98B(CYRUS)8|ペルシア王キュロス(の物語) - 想像上の, 明らかに伝説上の加筆 〜 古典古代の歴史上の人物
98B(CYRUS)9|ペルシア王キュロス(の物語) - 古典古代の歴史上の人物の肖像
98B(DAMOCLES)|ディオニュシオス一世の廷臣, シラクーザの僭主ダモクレス
98B(DAMOCLES)1|ディオニュシオス一世の廷臣, シラクーザの僭主ダモクレス - 古典古代の歴史上の人物の若年期, 幼少期, 養育
98B(DAMOCLES)2|ディオニュシオス一世の廷臣, シラクーザの僭主ダモクレス - 古典古代の歴史上の人物の情事
98B(DAMOCLES)3|ディオニュシオス一世の廷臣, シラクーザの僭主ダモクレス - 古典古代の歴史上の人物の名を添えることができる描写
98B(DAMOCLES)4|ディオニュシオス一世の廷臣, シラクーザの僭主ダモクレス - 古典古代の歴史上の人物の攻撃的な関係
98B(DAMOCLES)5|ディオニュシオス一世の廷臣, シラクーザの僭主ダモクレス - 古典古代の歴史上の人物の攻撃的でない活動
98B(DAMOCLES)6|ディオニュシオス一世の廷臣, シラクーザの僭主ダモクレス - 古典古代の歴史上の人物の苦難, 災難
98B(DAMOCLES)68|ディオニュシオス一世の廷臣, シラクーザの僭主ダモクレス - 古典古代の歴史上の人物の死
98B(DAMOCLES)69|ディオニュシオス一世の廷臣, シラクーザの僭主ダモクレス - 古典古代の歴史上の人物の賛美, 神格化
98B(DAMOCLES)7|ディオニュシオス一世の廷臣, シラクーザの僭主ダモクレス - 死後に起こる出来事 〜 古典古代の歴史上の人物
98B(DAMOCLES)8|ディオニュシオス一世の廷臣, シラクーザの僭主ダモクレス - 想像上の, 明らかに伝説上の加筆 〜 古典古代の歴史上の人物
98B(DAMOCLES)9|ディオニュシオス一世の廷臣, シラクーザの僭主ダモクレス - 古典古代の歴史上の人物の肖像
98B(DAMON)|ピテュアスの友人ダモン(の物語)
98B(DAMON)1|ピテュアスの友人ダモン(の物語) - 古典古代の歴史上の人物の若年期, 幼少期, 養育
98B(DAMON)2|ピテュアスの友人ダモン(の物語) - 古典古代の歴史上の人物の情事
98B(DAMON)3|ピテュアスの友人ダモン(の物語) - 古典古代の歴史上の人物の名を添えることができる描写
98B(DAMON)4|ピテュアスの友人ダモン(の物語) - 古典古代の歴史上の人物の攻撃的な関係
98B(DAMON)5|ピテュアスの友人ダモン(の物語) - 古典古代の歴史上の人物の攻撃的でない活動
98B(DAMON)6|ダモンの苦難, 災難
98B(DAMON)61|友人ピュティアスの保釈保証人になったダモンは、土壇場でピュティアスが戻ってきたため、処刑を免れる
98B(DAMON)68|ダモンの苦難, 災難 - 古典古代の歴史上の人物の死
98B(DAMON)69|ダモンの苦難, 災難 - 古典古代の歴史上の人物の賛美, 神格化
98B(DAMON)7|ピテュアスの友人ダモン(の物語) - 死後に起こる出来事 〜 古典古代の歴史上の人物
98B(DAMON)8|ピテュアスの友人ダモン(の物語) - 想像上の, 明らかに伝説上の加筆 〜 古典古代の歴史上の人物
98B(DAMON)9|ピテュアスの友人ダモン(の物語) - 古典古代の歴史上の人物の肖像
98B(DARIUS)|ペルシア王ダレイオス一世(の物語)
98B(DARIUS)1|ペルシア王ダレイオス一世(の物語) - 古典古代の歴史上の人物の若年期, 幼少期, 養育
98B(DARIUS)2|ペルシア王ダレイオス一世(の物語) - 古典古代の歴史上の人物の情事
98B(DARIUS)3|ペルシア王ダレイオス一世(の物語) - 古典古代の歴史上の人物の名を添えることができる描写
98B(DARIUS)4|ペルシア王ダレイオス一世(の物語) - 古典古代の歴史上の人物の攻撃的な関係
98B(DARIUS)5|ダレイオス一世の攻撃的でない活動
98B(DARIUS)51|バビロンの女王(セミラミスまたはニトクリス)の墓を開けるダレイオス
98B(DARIUS)52|ペルシア王に選出されるダレイオス; 日の出の際に最初にいなないたのが、ダレイオスの馬であった
98B(DARIUS)6|ペルシア王ダレイオス一世(の物語) - 古典古代の歴史上の人物の苦難, 災難
98B(DARIUS)68|ペルシア王ダレイオス一世(の物語) - 古典古代の歴史上の人物の死
98B(DARIUS)69|ペルシア王ダレイオス一世(の物語) - 古典古代の歴史上の人物の賛美, 神格化
98B(DARIUS)7|ペルシア王ダレイオス一世(の物語) - 死後に起こる出来事 〜 古典古代の歴史上の人物
98B(DARIUS)8|ペルシア王ダレイオス一世(の物語) - 想像上の, 明らかに伝説上の加筆 〜 古典古代の歴史上の人物
98B(DARIUS)9|ペルシア王ダレイオス一世(の物語) - 古典古代の歴史上の人物の肖像
98B(DECIUS MUS)|デキウス・ムス(の物語)
98B(DECIUS MUS)1|デキウス・ムス(の物語) - 古典古代の歴史上の人物の若年期, 幼少期, 養育
98B(DECIUS MUS)2|デキウス・ムス(の物語) - 古典古代の歴史上の人物の情事
98B(DECIUS MUS)3|デキウス・ムス(の物語) - 古典古代の歴史上の人物の名を添えることができる描写
98B(DECIUS MUS)4|デキウス・ムス(の物語) - 古典古代の歴史上の人物の攻撃的な関係
98B(DECIUS MUS)5|デキウス・ムスの攻撃的でない活動
98B(DECIUS MUS)51|易者に相談するデキウス・ムス
98B(DECIUS MUS)52|冥界の神々に身を捧げるデキウス・ムス
98B(DECIUS MUS)6|デキウス・ムスの苦難, 災難
98B(DECIUS MUS)68|デキウス・ムスの死: 優勢な軍を相手に、死ぬまで戦うデキウス・ムス
98B(DECIUS MUS)69|デキウス・ムスの苦難, 災難 - 古典古代の歴史上の人物の賛美, 神格化
98B(DECIUS MUS)7|デキウス・ムス(の物語) - 死後に起こる出来事 〜 古典古代の歴史上の人物
98B(DECIUS MUS)8|デキウス・ムス(の物語) - 想像上の, 明らかに伝説上の加筆 〜 古典古代の歴史上の人物
98B(DECIUS MUS)9|デキウス・ムス(の物語) - 古典古代の歴史上の人物の肖像
98B(DEMOCLES)|デモクレス(の物語)
98B(DEMOCLES)1|デモクレス(の物語) - 古典古代の歴史上の人物の若年期, 幼少期, 養育
98B(DEMOCLES)2|デモクレス(の物語) - 古典古代の歴史上の人物の情事
98B(DEMOCLES)3|デモクレス(の物語) - 古典古代の歴史上の人物の名を添えることができる描写
98B(DEMOCLES)4|デモクレス(の物語) - 古典古代の歴史上の人物の攻撃的な関係
98B(DEMOCLES)5|デモクレス(の物語) - 古典古代の歴史上の人物の攻撃的でない活動
98B(DEMOCLES)6|デモクレスの苦難, 災難
98B(DEMOCLES)68|デモクレスの死: 僭主デメトリウスの愛から逃れて熱湯の入った大鍋に身を投じるデモクレス
98B(DEMOCLES)69|デモクレスの苦難, 災難 - 古典古代の歴史上の人物の賛美, 神格化
98B(DEMOCLES)7|デモクレス(の物語) - 死後に起こる出来事 〜 古典古代の歴史上の人物
98B(DEMOCLES)8|デモクレス(の物語) - 想像上の, 明らかに伝説上の加筆 〜 古典古代の歴史上の人物
98B(DEMOCLES)9|デモクレス(の物語) - 古典古代の歴史上の人物の肖像
98B(DEMOCRITUS)|哲学者デモクリトス(の物語)
98B(DEMOCRITUS)1|哲学者デモクリトス(の物語) - 古典古代の歴史上の人物の若年期, 幼少期, 養育
98B(DEMOCRITUS)2|哲学者デモクリトス(の物語) - 古典古代の歴史上の人物の情事
98B(DEMOCRITUS)3|哲学者デモクリトス(の物語) - 古典古代の歴史上の人物の名を添えることができる描写
98B(DEMOCRITUS)4|哲学者デモクリトス(の物語) - 古典古代の歴史上の人物の攻撃的な関係
98B(DEMOCRITUS)5|デモクリトスの攻撃的でない活動
98B(DEMOCRITUS)51|書物や骸骨に囲まれて瞑想をしていたデモクリトスは、彼の健康を心配したアデブラの住民たちに送られた友人ヒッポクラテスを迎え入れる
98B(DEMOCRITUS)6|哲学者デモクリトス(の物語) - 古典古代の歴史上の人物の苦難, 災難
98B(DEMOCRITUS)68|哲学者デモクリトス(の物語) - 古典古代の歴史上の人物の死
98B(DEMOCRITUS)69|哲学者デモクリトス(の物語) - 古典古代の歴史上の人物の賛美, 神格化
98B(DEMOCRITUS)7|哲学者デモクリトス(の物語) - 死後に起こる出来事 〜 古典古代の歴史上の人物
98B(DEMOCRITUS)8|哲学者デモクリトス(の物語) - 想像上の, 明らかに伝説上の加筆 〜 古典古代の歴史上の人物
98B(DEMOCRITUS)9|哲学者デモクリトス(の物語) - 古典古代の歴史上の人物の肖像
98B(DEMOSTHENES)|デモステネス(の物語)
98B(DEMOSTHENES)1|デモステネス(の物語) - 古典古代の歴史上の人物の若年期, 幼少期, 養育
98B(DEMOSTHENES)2|デモステネス(の物語) - 古典古代の歴史上の人物の情事
98B(DEMOSTHENES)3|デモステネス(の物語) - 古典古代の歴史上の人物の名を添えることができる描写
98B(DEMOSTHENES)4|デモステネス(の物語) - 古典古代の歴史上の人物の攻撃的な関係
98B(DEMOSTHENES)5|デモステネスの攻撃的でない活動
98B(DEMOSTHENES)51|話し方を改良するために、海辺で演説をするデモステネス
98B(DEMOSTHENES)52|デモステネスの寛大: ロドス島に追放されたアイスキネスを追いかけて、彼に金袋を受け取らせるデモステネス
98B(DEMOSTHENES)6|デモステネス(の物語) - 古典古代の歴史上の人物の苦難, 災難
98B(DEMOSTHENES)68|デモステネス(の物語) - 古典古代の歴史上の人物の死
98B(DEMOSTHENES)69|デモステネス(の物語) - 古典古代の歴史上の人物の賛美, 神格化
98B(DEMOSTHENES)7|デモステネス(の物語) - 死後に起こる出来事 〜 古典古代の歴史上の人物
98B(DEMOSTHENES)8|デモステネス(の物語) - 想像上の, 明らかに伝説上の加筆 〜 古典古代の歴史上の人物
98B(DEMOSTHENES)9|デモステネス(の物語) - 古典古代の歴史上の人物の肖像
98B(DENTATUS, M'.C.)|マニウス・クリウス・デンタトゥス(の物語)
98B(DENTATUS, M'.C.)1|マニウス・クリウス・デンタトゥス(の物語) - 古典古代の歴史上の人物の若年期, 幼少期, 養育
98B(DENTATUS, M'.C.)2|マニウス・クリウス・デンタトゥス(の物語) - 古典古代の歴史上の人物の情事
98B(DENTATUS, M'.C.)3|マニウス・クリウス・デンタトゥス(の物語) - 古典古代の歴史上の人物の名を添えることができる描写
98B(DENTATUS, M'.C.)4|マニウス・クリウス・デンタトゥス(の物語) - 古典古代の歴史上の人物の攻撃的な関係
98B(DENTATUS, M'.C.)5|マニウス・クリウス・デンタトゥスの攻撃的でない活動
98B(DENTATUS, M'.C.)51|炉辺で簡単な料理を作っていたマニウス・クリウス・デンタトゥスは、サムニウム人の贈物を拒絶する
98B(DENTATUS, M'.C.)6|マニウス・クリウス・デンタトゥス(の物語) - 古典古代の歴史上の人物の苦難, 災難
98B(DENTATUS, M'.C.)68|マニウス・クリウス・デンタトゥス(の物語) - 古典古代の歴史上の人物の死
98B(DENTATUS, M'.C.)69|マニウス・クリウス・デンタトゥス(の物語) - 古典古代の歴史上の人物の賛美, 神格化
98B(DENTATUS, M'.C.)7|マニウス・クリウス・デンタトゥス(の物語) - 死後に起こる出来事 〜 古典古代の歴史上の人物
98B(DENTATUS, M'.C.)8|マニウス・クリウス・デンタトゥス(の物語) - 想像上の, 明らかに伝説上の加筆 〜 古典古代の歴史上の人物
98B(DENTATUS, M'.C.)9|マニウス・クリウス・デンタトゥス(の物語) - 古典古代の歴史上の人物の肖像
98B(DIOGENES)|哲学者ディオゲネス(の物語)
98B(DIOGENES)1|哲学者ディオゲネス(の物語) - 古典古代の歴史上の人物の若年期, 幼少期, 養育
98B(DIOGENES)2|哲学者ディオゲネス(の物語) - 古典古代の歴史上の人物の情事
98B(DIOGENES)3|哲学者ディオゲネス(の物語) - 古典古代の歴史上の人物の名を添えることができる描写
98B(DIOGENES)4|哲学者ディオゲネス(の物語) - 古典古代の歴史上の人物の攻撃的な関係
98B(DIOGENES)5|ディオゲネスの攻撃的でない活動
98B(DIOGENES)51|ディオゲネスを訪問するアレクサンドロス大王; 樽の傍らに座るディオゲネスは、日光を遮らないでほしいとアレクサンドロスに求める
98B(DIOGENES)52|日中、たいてい混雑した市場において、ディオゲネスは火を灯したランタンを持って、誠実な人間を探そうとする
98B(DIOGENES)53|プラトンの言う人間の定義を、羽毛をむしり取ったニワトリを見せて蔑むディオゲネス
98B(DIOGENES)54|少年が手ですくって水を飲んでいるのを見たディオゲネスは、飲用の椀を捨てる
98B(DIOGENES)6|哲学者ディオゲネス(の物語) - 古典古代の歴史上の人物の苦難, 災難
98B(DIOGENES)68|哲学者ディオゲネス(の物語) - 古典古代の歴史上の人物の死
98B(DIOGENES)69|哲学者ディオゲネス(の物語) - 古典古代の歴史上の人物の賛美, 神格化
98B(DIOGENES)7|哲学者ディオゲネス(の物語) - 死後に起こる出来事 〜 古典古代の歴史上の人物
98B(DIOGENES)8|哲学者ディオゲネス(の物語) - 想像上の, 明らかに伝説上の加筆 〜 古典古代の歴史上の人物
98B(DIOGENES)9|哲学者ディオゲネス(の物語) - 古典古代の歴史上の人物の肖像
98B(DIONYSIUS II)|シラクーザの僭主ディオニュシオス二世(の物語)
98B(DIONYSIUS II)1|シラクーザの僭主ディオニュシオス二世(の物語) - 古典古代の歴史上の人物の若年期, 幼少期, 養育
98B(DIONYSIUS II)2|シラクーザの僭主ディオニュシオス二世(の物語) - 古典古代の歴史上の人物の情事
98B(DIONYSIUS II)3|シラクーザの僭主ディオニュシオス二世(の物語) - 古典古代の歴史上の人物の名を添えることができる描写
98B(DIONYSIUS II)4|シラクーザの僭主ディオニュシオス二世(の物語) - 古典古代の歴史上の人物の攻撃的な関係
98B(DIONYSIUS II)5|デュオニュソス二世の攻撃的でない活動
98B(DIONYSIUS II)51|シチリアから追い出されたシラクーザの僭主ディオニュシオス二世は、コリントへ行き、自活するために学校の教師になる
98B(DIONYSIUS II)6|シラクーザの僭主ディオニュシオス二世(の物語) - 古典古代の歴史上の人物の苦難, 災難
98B(DIONYSIUS II)68|シラクーザの僭主ディオニュシオス二世(の物語) - 古典古代の歴史上の人物の死
98B(DIONYSIUS II)69|シラクーザの僭主ディオニュシオス二世(の物語) - 古典古代の歴史上の人物の賛美, 神格化
98B(DIONYSIUS II)7|シラクーザの僭主ディオニュシオス二世(の物語) - 死後に起こる出来事 〜 古典古代の歴史上の人物
98B(DIONYSIUS II)8|シラクーザの僭主ディオニュシオス二世(の物語) - 想像上の, 明らかに伝説上の加筆 〜 古典古代の歴史上の人物
98B(DIONYSIUS II)9|シラクーザの僭主ディオニュシオス二世(の物語) - 古典古代の歴史上の人物の肖像
98B(DUILIUS, C.)|ガイウス・ドゥイリウス(の物語)
98B(DUILIUS, C.)1|ガイウス・ドゥイリウス(の物語) - 古典古代の歴史上の人物の若年期, 幼少期, 養育
98B(DUILIUS, C.)2|ガイウス・ドゥイリウス(の物語) - 古典古代の歴史上の人物の情事
98B(DUILIUS, C.)3|ガイウス・ドゥイリウス(の物語) - 古典古代の歴史上の人物の名を添えることができる描写
98B(DUILIUS, C.)4|ガイウス・ドゥイリウス(の物語) - 古典古代の歴史上の人物の攻撃的な関係
98B(DUILIUS, C.)5|ガイウス・ドゥイリウスの攻撃的でない活動
98B(DUILIUS, C.)51|夫のガイウス・ドゥイリウスに叱責されたビリアは、「Dixissem tibi nisi putassem, omnibus viris os olere」と言って自身を正当化する
98B(DUILIUS, C.)52|ミラエでカルタゴ軍を倒した後、海軍の勝利を讃えられるドゥイリウス
98B(DUILIUS, C.)6|ガイウス・ドゥイリウス(の物語) - 古典古代の歴史上の人物の苦難, 災難
98B(DUILIUS, C.)68|ガイウス・ドゥイリウス(の物語) - 古典古代の歴史上の人物の死
98B(DUILIUS, C.)69|ガイウス・ドゥイリウス(の物語) - 古典古代の歴史上の人物の賛美, 神格化
98B(DUILIUS, C.)7|ガイウス・ドゥイリウス(の物語) - 死後に起こる出来事 〜 古典古代の歴史上の人物
98B(DUILIUS, C.)8|ガイウス・ドゥイリウス(の物語) - 想像上の, 明らかに伝説上の加筆 〜 古典古代の歴史上の人物
98B(DUILIUS, C.)9|ガイウス・ドゥイリウス(の物語) - 古典古代の歴史上の人物の肖像
98B(EMPEDOCLES)|哲学者エンペドクレス(の物語)
98B(EMPEDOCLES)1|哲学者エンペドクレス(の物語) - 古典古代の歴史上の人物の若年期, 幼少期, 養育
98B(EMPEDOCLES)2|哲学者エンペドクレス(の物語) - 古典古代の歴史上の人物の情事
98B(EMPEDOCLES)3|哲学者エンペドクレス(の物語) - 古典古代の歴史上の人物の名を添えることができる描写
98B(EMPEDOCLES)4|哲学者エンペドクレス(の物語) - 古典古代の歴史上の人物の攻撃的な関係
98B(EMPEDOCLES)5|哲学者エンペドクレス(の物語) - 古典古代の歴史上の人物の攻撃的でない活動
98B(EMPEDOCLES)6|エンペドクレスの苦難, 災難
98B(EMPEDOCLES)68|エンペドクレスの死: エトナ山の噴火口へ投身する哲学者
98B(EMPEDOCLES)69|エンペドクレスの苦難, 災難 - 古典古代の歴史上の人物の賛美, 神格化
98B(EMPEDOCLES)7|哲学者エンペドクレス(の物語) - 死後に起こる出来事 〜 古典古代の歴史上の人物
98B(EMPEDOCLES)8|哲学者エンペドクレス(の物語) - 想像上の, 明らかに伝説上の加筆 〜 古典古代の歴史上の人物
98B(EMPEDOCLES)9|哲学者エンペドクレス(の物語) - 古典古代の歴史上の人物の肖像
98B(EPAMINONDAS)|エパメイノンダス(の物語)
98B(EPAMINONDAS)1|エパメイノンダス(の物語) - 古典古代の歴史上の人物の若年期, 幼少期, 養育
98B(EPAMINONDAS)2|エパメイノンダス(の物語) - 古典古代の歴史上の人物の情事
98B(EPAMINONDAS)3|エパメイノンダス(の物語) - 古典古代の歴史上の人物の名を添えることができる描写
98B(EPAMINONDAS)4|エパメイノンダス(の物語) - 古典古代の歴史上の人物の攻撃的な関係
98B(EPAMINONDAS)5|エパメイノンダスの攻撃的でない活動
98B(EPAMINONDAS)51|アルタクセルクセスの贈物を拒絶するエパメイノンダス
98B(EPAMINONDAS)6|エパメイノンダスの苦難, 災難
98B(EPAMINONDAS)68|エパメイノンダスの死: 自身の身体から槍を引き抜くことを拒むエパメイノンダス
98B(EPAMINONDAS)69|エパメイノンダスの苦難, 災難 - 古典古代の歴史上の人物の賛美, 神格化
98B(EPAMINONDAS)7|エパメイノンダス(の物語) - 死後に起こる出来事 〜 古典古代の歴史上の人物
98B(EPAMINONDAS)8|エパメイノンダス(の物語) - 想像上の, 明らかに伝説上の加筆 〜 古典古代の歴史上の人物
98B(EPAMINONDAS)9|エパメイノンダス(の物語) - 古典古代の歴史上の人物の肖像
98B(EPICURUS)|哲学者エピクロス
98B(EPICURUS)1|哲学者エピクロス - 古典古代の歴史上の人物の若年期, 幼少期, 養育
98B(EPICURUS)2|哲学者エピクロス - 古典古代の歴史上の人物の情事
98B(EPICURUS)3|哲学者エピクロス - 古典古代の歴史上の人物の名を添えることができる描写
98B(EPICURUS)4|哲学者エピクロス - 古典古代の歴史上の人物の攻撃的な関係
98B(EPICURUS)5|哲学者エピクロス - 古典古代の歴史上の人物の攻撃的でない活動
98B(EPICURUS)6|哲学者エピクロス - 古典古代の歴史上の人物の苦難, 災難
98B(EPICURUS)68|哲学者エピクロス - 古典古代の歴史上の人物の死
98B(EPICURUS)69|哲学者エピクロス - 古典古代の歴史上の人物の賛美, 神格化
98B(EPICURUS)7|哲学者エピクロス - 死後に起こる出来事 〜 古典古代の歴史上の人物
98B(EPICURUS)8|哲学者エピクロス - 想像上の, 明らかに伝説上の加筆 〜 古典古代の歴史上の人物
98B(EPICURUS)9|哲学者エピクロス - 古典古代の歴史上の人物の肖像
98B(EUDAMIDAS)|エウダミダス一世(の物語)
98B(EUDAMIDAS)1|エウダミダス一世(の物語) - 古典古代の歴史上の人物の若年期, 幼少期, 養育
98B(EUDAMIDAS)2|エウダミダス一世(の物語) - 古典古代の歴史上の人物の情事
98B(EUDAMIDAS)3|エウダミダス一世(の物語) - 古典古代の歴史上の人物の名を添えることができる描写
98B(EUDAMIDAS)4|エウダミダス一世(の物語) - 古典古代の歴史上の人物の攻撃的な関係
98B(EUDAMIDAS)5|エウダミダス一世(の物語) - 古典古代の歴史上の人物の攻撃的でない活動
98B(EUDAMIDAS)6|エウダミダス一世の苦難, 災難
98B(EUDAMIDAS)68|エウダミダス一世の死: お金がないエウダミダスは、死の床で、母と娘の世話を二人の友人に託す; エウダミダスの遺言
98B(EUDAMIDAS)69|エウダミダス一世の苦難, 災難 - 古典古代の歴史上の人物の賛美, 神格化
98B(EUDAMIDAS)7|エウダミダス一世(の物語) - 死後に起こる出来事 〜 古典古代の歴史上の人物
98B(EUDAMIDAS)8|エウダミダス一世(の物語) - 想像上の, 明らかに伝説上の加筆 〜 古典古代の歴史上の人物
98B(EUDAMIDAS)9|エウダミダス一世(の物語) - 古典古代の歴史上の人物の肖像
98B(FABIUS DORSUO, C.)|ガイウス・ファビウス・ドルソ(の物語)
98B(FABIUS DORSUO, C.)1|ガイウス・ファビウス・ドルソ(の物語) - 古典古代の歴史上の人物の若年期, 幼少期, 養育
98B(FABIUS DORSUO, C.)2|ガイウス・ファビウス・ドルソ(の物語) - 古典古代の歴史上の人物の情事
98B(FABIUS DORSUO, C.)3|ガイウス・ファビウス・ドルソ(の物語) - 古典古代の歴史上の人物の名を添えることができる描写
98B(FABIUS DORSUO, C.)4|ガイウス・ファビウス・ドルソ(の物語) - 古典古代の歴史上の人物の攻撃的な関係
98B(FABIUS DORSUO, C.)5|ファビウス・ドルソの攻撃的でない活動
98B(FABIUS DORSUO, C.)51|ガイウス・ファビウス・ドルソの勇気・敬虔: 聖職者の服を着たガイウス・ファビウス・ドルソは、ガリア人に包囲された首都を去ってクイリナレへ行き、そこで犠牲をささげる
98B(FABIUS DORSUO, C.)6|ガイウス・ファビウス・ドルソ(の物語) - 古典古代の歴史上の人物の苦難, 災難
98B(FABIUS DORSUO, C.)68|ガイウス・ファビウス・ドルソ(の物語) - 古典古代の歴史上の人物の死
98B(FABIUS DORSUO, C.)69|ガイウス・ファビウス・ドルソ(の物語) - 古典古代の歴史上の人物の賛美, 神格化
98B(FABIUS DORSUO, C.)7|ガイウス・ファビウス・ドルソ(の物語) - 死後に起こる出来事 〜 古典古代の歴史上の人物
98B(FABIUS DORSUO, C.)8|ガイウス・ファビウス・ドルソ(の物語) - 想像上の, 明らかに伝説上の加筆 〜 古典古代の歴史上の人物
98B(FABIUS DORSUO, C.)9|ガイウス・ファビウス・ドルソ(の物語) - 古典古代の歴史上の人物の肖像
98B(FABIUS MAXIMUS, Q.)|クィントゥス・ファビウス・マクシムス・クンクタトル(の物語)
98B(FABIUS MAXIMUS, Q.)1|クィントゥス・ファビウス・マクシムス・クンクタトル(の物語) - 古典古代の歴史上の人物の若年期, 幼少期, 養育
98B(FABIUS MAXIMUS, Q.)2|クィントゥス・ファビウス・マクシムス・クンクタトル(の物語) - 古典古代の歴史上の人物の情事
98B(FABIUS MAXIMUS, Q.)3|クィントゥス・ファビウス・マクシムス・クンクタトル(の物語) - 古典古代の歴史上の人物の名を添えることができる描写
98B(FABIUS MAXIMUS, Q.)4|クィントゥス・ファビウス・マクシムス・クンクタトル(の物語) - 古典古代の歴史上の人物の攻撃的な関係
98B(FABIUS MAXIMUS, Q.)5|クィントゥス・ファビウス・マクシムス・クンクタトルの攻撃的でない活動
98B(FABIUS MAXIMUS, Q.)51|カルタゴの議会に戦争か平和の選択肢を与える、クィントゥス・ファビウス・マクシムス・クンクタトル; h彼はトーガのひだを寄せている姿で描かれる
98B(FABIUS MAXIMUS, Q.)52|馬に乗って、息子と、自身と同名の者の野営地を訪れるクィントゥス・ファビウス・マクシムス; 同名の者に、馬から降りるように命じられると、快く従う
98B(FABIUS MAXIMUS, Q.)6|クィントゥス・ファビウス・マクシムス・クンクタトル(の物語) - 古典古代の歴史上の人物の苦難, 災難
98B(FABIUS MAXIMUS, Q.)68|クィントゥス・ファビウス・マクシムス・クンクタトル(の物語) - 古典古代の歴史上の人物の死
98B(FABIUS MAXIMUS, Q.)69|クィントゥス・ファビウス・マクシムス・クンクタトル(の物語) - 古典古代の歴史上の人物の賛美, 神格化
98B(FABIUS MAXIMUS, Q.)7|クィントゥス・ファビウス・マクシムス・クンクタトル(の物語) - 死後に起こる出来事 〜 古典古代の歴史上の人物
98B(FABIUS MAXIMUS, Q.)8|クィントゥス・ファビウス・マクシムス・クンクタトル(の物語) - 想像上の, 明らかに伝説上の加筆 〜 古典古代の歴史上の人物
98B(FABIUS MAXIMUS, Q.)9|クィントゥス・ファビウス・マクシムス・クンクタトル(の物語) - 古典古代の歴史上の人物の肖像
98B(FABRICIUS, C.)|ガイウス・ファブリキウス・ルスキヌス(の物語)
98B(FABRICIUS, C.)1|ガイウス・ファブリキウス・ルスキヌス(の物語) - 古典古代の歴史上の人物の若年期, 幼少期, 養育
98B(FABRICIUS, C.)2|ガイウス・ファブリキウス・ルスキヌス(の物語) - 古典古代の歴史上の人物の情事
98B(FABRICIUS, C.)3|ガイウス・ファブリキウス・ルスキヌス(の物語) - 古典古代の歴史上の人物の名を添えることができる描写
98B(FABRICIUS, C.)4|ガイウス・ファブリキウス・ルスキヌス(の物語) - 古典古代の歴史上の人物の攻撃的な関係
98B(FABRICIUS, C.)5|ガイウス・ファブリキウス・ルスキヌスの攻撃的でない活動
98B(FABRICIUS, C.)51|ピュロスの陣営の大使であるガイウス・ファブリキウス・ルスキヌス; ピュロスが突然カーテンを開けて象を見せると、彼は勇敢に立ち向かう
98B(FABRICIUS, C.)52|ピュロスの贈物を拒絶するガイウス・ファブリキウス
98B(FABRICIUS, C.)6|ガイウス・ファブリキウス・ルスキヌス(の物語) - 古典古代の歴史上の人物の苦難, 災難
98B(FABRICIUS, C.)68|ガイウス・ファブリキウス・ルスキヌス(の物語) - 古典古代の歴史上の人物の死
98B(FABRICIUS, C.)69|ガイウス・ファブリキウス・ルスキヌス(の物語) - 古典古代の歴史上の人物の賛美, 神格化
98B(FABRICIUS, C.)7|ガイウス・ファブリキウス・ルスキヌス(の物語) - 死後に起こる出来事 〜 古典古代の歴史上の人物
98B(FABRICIUS, C.)8|ガイウス・ファブリキウス・ルスキヌス(の物語) - 想像上の, 明らかに伝説上の加筆 〜 古典古代の歴史上の人物
98B(FABRICIUS, C.)9|ガイウス・ファブリキウス・ルスキヌス(の物語) - 古典古代の歴史上の人物の肖像
