5|Ideias e conceitos abstractos
73C8122|enquanto o semeador e os seus homens dormiam, veio o inimigo (o diabo) e semeou joio no meio do trigo
73C8123|no momento da colheita, o joio é amarrado e queimado, mas o trigo é colhido e colocado no celeiro do senhor
73C813|o grão de mostarda torna-se uma árvore na qual os pássaros fazem o ninho (Mateus 13, 31-32; Marcos 4, 31-32; Lucas 13, 18-19)
73C814|a semente cresce secretamente ( o grão que germina) ~ parábola de Cristo (Marcos 4, 26-29)
73C815|os trabalhadores da vinha ~ parábola de Cristo (Mateus 20, 1-16)
73C8151|o proprietário envia trabalhadores para a sua vinha
73C8152|no final do dia, o proprietário paga a todos os trabalhadores na mesma medida; os que trabalharam o dia inteiro protestam
73C816|um homem pede aos seus dois filhos para que trabalhem na sua vinha ~ parábola de Cristo (Mateus 21, 28-30)
73C817|os vinhateiros homicidas ~ parábola de Cristo (Mateus 21, 33-41; Marcos 12, 1-9; Lucas 20, 9-16)
73C8171|os vinhateiros matam os servos do proprietário, que tinham sido enviados para recolher os frutos
73C8172|por fim o proprietário envia o seu filho, "... lançaram-no fora da vinha, e mataram-no"
73C818|parábolas e máximas de Cristo ~ boas e más plantas e frutos
73C8181|a figueira na vinha, que não produz frutos (figueira estéril) ~ parábola de Cristo (Lucas 13, 6-9)
73C8182|a árvore boa dá bons frutos; a árvore má dá maus frutos ~ parábolas de Cristo (Mateus 7, 17-18; Mateus 12, 33; Lucas 6, 43)
73C8183|a árvore que não dá fruto é lançada ao fogo ~ parábolas de Cristo (Mateus 7, 19)
73C8184|"Toda a planta que não tenha sido plantada por meu Pai celeste será arrancada" ~ parábolas de Cristo (Mateus 15, 13)
73C819|outras parábolas e máximas de Cristo ~ agricultura
73C82|parábolas e máximas de Cristo ~ o mundo animal
73C821|o bom pastor (Cristo) defende as suas ovelhas contra os lobos; "Eu sou o bom pastor" (João 10, 1-16)
73C8211|"Eu sou a porta das ovelhas" ~ parábola do bom pastor
73C8212|ladrões e salteadores sobem ao telhado ~ parábola do bom pastor
73C8213|as ovelhas seguem o bom pastor ~ parábola do bom pastor
73C8214|o mercenário não é um pastor, pois foge quando vê o lobo a chegar ~ parábola do bom pastor
73C8215|"Tenho ainda outras ovelhas que não são deste redil" ~ parábola do bom pastor
73C822|a ovelha tresmalhada é procurada e encontrada pelo pastor ~ parábola do bom pastor (Mateus 18, 12-14; Lucas 15, 4-7)
73C823|lobo disfarçado de pastor ~ parábola do bom pastor
73C824|falsos profetas em pele de cordeiro ~ parábola do bom pastor (Mateus 7, 15)
73C825|como pastor (o Filho do Homem) separa as ovelhas dos cabritos (Mateus 25, 32)
73C826|um burro (jumento) ou boi cai dentro do poço ~ parábola de Cristo (Lucas 14, 5)
73C827|outras parábolas e máximas de Cristo ~ o mundo animal
73C83|parábolas e máximas de Cristo ~ a relação entre senhor e servo
73C831|"nenhum servo pode servir a dois senhores" ~ parábolas de Cristo (Mateus 6, 24; Lucas 16, 13)
73C832|o servo impiedoso: o rei perdoa-lhe as dívidas ~ parábolas de Cristo (Mateus 18, 23-35)
73C8321|o servo impiedoso ataca o seu companheiro que lhe deve dinheiro, e manda-o prender ~ parábola do servo impiedoso
73C8322|o rei repreende o servo pela sua falta de misericórdia e entrega-o aos torturadores ~ parábola do servo impiedoso
73C833|o administrador que ia ser demitido faz com que os devedores do seu senhor mudem as suas dívidas (Lucas 16, 1-8)
73C834|o credor e os dois devedores (Lucas 7, 41-42)
73C835|outras parábolas e máximas de Cristo ~ relações entre senhor e servo
73C84|parábolas e máximas de Cristo ~ precaução e diligência
73C841|as virgens prudentes e insensatas  ~ parábolas de Cristo (Mateus 25, 1-13)
73C8411|as virgens prudentes e insensatas a dormir
73C8412|quando o noivo chega, todas acordam e as virgens insensatas pedem às prudentes óleo para as lâmpadas
73C8413|as virgens prudentes entram em casa com o noivo (Cristo); as virgens insensatas são deixadas de fora
73C8414|representações não narrativas das virgens prudentes e insensatas
73C84141|representação da(s) virgem(ns) prudente(s)
73C84142|representação da(s) virgem(ns) insensata(s)
73C842|o dono da casa que parte em viagem ~ parábolas de Cristo (Marcos 13, 34-37)
73C8421|alguns dos servos esperam o regresso do dono da casa, outros dormem
73C843|os talentos ou dinheiros ~ parábolas de Cristo (Mateus 25, 14-30, Lucas 19, 12-27)
73C8431|o senhor distribui os talentos ou dinheiros pelos seus servos
73C8432|dois servos negoceiam com o dinheiro; um servo enterra-o
73C8433|depois do regresso do senhor, os servos são chamados a fazer contas e são recompensados de acordo com a sua capacidade (de fazer render o dinheiro)
73C8434|dois servos são recompensados, o terceiro é lançado nas trevas exteriores
73C844|calculando a despesa para construir uma torre (Lucas 14, 28-30)
73C845|um rei, que parte para a guerra, considera as suas possibilidades ~ parábolas de Cristo (Lucas 14, 31-32)
73C846|a dracma perdida é recuperada (Lucas 15, 8-9)
73C847|outras parábolas e máximas de Cristo ~ precaução e diligência
73C85|parábolas e máximas de Cristo ~ riqueza e pobreza
73C851|o rico insensato, cuja morte chega quando tinha reunido todo o seu dinheiro para construir novos celeiros (Lucas 12, 16-21)
73C852|o homem rico festeja, enquanto Lázaro está à sua porta, faminto (os cães lambem as feridas de Lázaro) (Lucas 16, 19-31)
73C8521|Lázaro morre: a sua alma é conduzida pelos anjos ao seio de Abraão
73C85211|a alma de Lázaro no seio de Abraão
73C8522|o homem rico morre; a sua alma é levada para o inferno por demónios
73C8523|enterro do homem rico
73C8524|no inferno o homem rico vê Lázaro no paraíso; normalmente o homem rico é representado a apontar para a sua língua
73C86|parábolas e máximas de Cristo ~ amor humano e divino 
73C861|o bom samaritano (Lucas 10, 30-37)
73C8611|um viajante é atacado por salteadores ~ parábola do bom samaritano
73C8612|um sacerdote e/ou um levita passaram pelo homem ferido sem o ajudar ~ parábola do bom samaritano
73C8613|um samaritano trata as feridas do viajante
73C86131|o samaritano leva o viajante ferido na sua montada (burro ou cavalo) para uma estalagem
73C8614|o samaritano e o viajante ferido chegam à estalagem; o viajante é tratado
73C8615|o samaritano paga ao estalajadeiro
73C862|o amigo importuno, que pede ao seu amigo três pães emprestados e este não se levanta para lhos dar (Lucas 11, 5-8)
73C863|o grande jantar; o banquete de casamento real ~ parábolas de Cristo (Mateus 22, 1-14; Lucas 14, 16-24).
73C8631|primeiro convite para o banquete ~ parábola do grande banquete 
73C86311|os convidados para o banquete declinam o convite
73C8632|segundo convite para o banquete: os servos são mortos
73C8633|O rei é informado da morte dos servos e vinga-se dos convidados relutantes incendiando a sua cidade ~ parábola do grande banquete 
73C8634|pobres,  aleijados e cegos são trazidos e sentados à mesa ~ parábola do grande banquete 
73C8635|o rei vê um convidado sem o traje nupcial: "amarrai-lhe os pés e as mãos e lançai-o nas trevas exteriores" ~ parábola do grande banquete 
73C8636|o convidado indigno é arrastado para fora ~ parábola do grande banquete 
73C864|a parábola do filho pródigo (Lucas 15, 11-32)
73C8641|o filho pródigo pede a sua herança; o pai dá-lhe (um saco de) dinheiro
73C8642|despedida e partida do filho pródigo
73C8643|o filho pródigo entre as prostitutas festejando e gastando o seu património, normalmente num bordel ou numa estalagem
73C86431|depois de gastar o dinheiro todo, o filho pródigo é expulso pelas prostitutas
73C8644|o filho pródigo, impulsionado pela necessidade, pede trabalho a um fazendeiro
73C8645|o filho pródigo a guardar porcos e a comer da sua cuba
73C86451|o filho pródigo arrepende-se da sua vida e reza
73C8646|o filho pródigo regressa a casa, onde o seu pai o espera
73C86461|o filho pródigo ajoelha-se diante do pai, que o abraça
73C86462|recepção festiva do filho pródigo
73C86463|preparações, e.g. o filho pródigo recebe vestes novas; o vitelo gordo é abatido; o filho mais velho protesta
73C865|outras parábolas e máximas de Cristo ~ amor humano e divino 
73C87|parábolas e máximas de Cristo ~ o Reino do Céu e religião
73C871|"o Reino do Céu é semelhante ao fermento..."  ~ parábolas de Cristo (Mateus 13, 3; Lucas 13, 20-21)
73C872|"o Reino do Céu é semelhante a um tesouro escondido num campo" ~ parábolas de Cristo (Mateus 13, 44)
73C873|"o Reino do Céu é semelhante a um negociante que busca boas pérolas" ~ parábolas de Cristo (Mateus 13, 45-46)
73C874|"o Reino do Céu é semelhante a uma rede que, lançada ao mar, apanha toda a espécie de peixes" (Mateus 13, 47-48)
73C875|"o Reino do Céu é semelhante a um pai de família que tira coisas novas e velhas do seu tesouro" ~ parábolas de Cristo (Mateus 13, 52)
73C876|"não  se pode esconder uma cidade situada sobre um monte" ~ parábolas de Cristo (Mateus 5, 14)
73C877|a candeia (ou lamparina) debaixo do alqueire (num lugar escondido, debaixo da cama, ou coberta com um vaso) ~ parábolas de Cristo (Mateus 5, 15; Marcos 4, 21; Lucas 8, 16)
73C878|"Mas se eu expulso os demónios pela mão de Deus ..."  ~ parábolas de Cristo (Lucas 11, 20)
73C879|outras parábolas e máximas de Cristo ~ o Reino do Céu e religião
73C88|outras parábolas e máximas de Cristo
73C881|o juiz iníquo e a viúva perseverante (Lucas 18, 2-5)
73C882|o fariseu em oração e o publicano penitente no templo (Lucas 18, 10-14)
73C883|o humilde convidado para o casamento a quem é oferecido um lugar melhor ~ parábolas de Cristo ("Amigo, vem mais para cima") (Lucas 14, 8-11)
73C9|Cristo e a oração
73C91|Cristo em oração (em geral), e.g.: no deserto
73C911|os discípulos procuram Cristo, que está em oração (Marcos 1, 35-37; Lucas 4, 42)
73C92|condições de Cristo para a oração
73C921|"quando orares, entra no quarto mais secreto" ~ condições de Cristo para a oração (Mateus 6, 6)
73C922|"quando vos levantais para orar, se tiverdes alguma coisa contra alguém, perdoai-lhe primeiro" ~ condições de Cristo para a oração (Marcos 11, 24)
73C923|"orai pelos que vos perseguem" ~ condições de Cristo para a oração (Mateus 5, 44)
73C924|"tudo quanto pedirdes, com fé, na oração, haveis de recebê-lo" ~ condições de Cristo para a oração (Mateus 21, 22; Marcos 11, 24)
73C93|o Pai Nosso (Mateus 6, 9-13; Lucas 11, 2-4)
73C931|"Pai nosso, que estais no Céu" ~ o Pai Nosso
73C932|"santificado seja o teu nome" ~ o Pai Nosso
73C933|"venha o teu Reino" ~ o Pai Nosso
73C934|"faça-se a tua vontade, como no Céu, assim também na terra" ~ o Pai Nosso
73C935|"dá-nos hoje o nosso pão de cada dia" ~ o Pai Nosso
73C936|"perdoa as nossas ofensas, como nós perdoámos a quem nos tem ofendido" ~ o Pai Nosso
73C937|"e não nos deixes cair em tentação" ~ o Pai Nosso
73C938|"mas livra-nos do Mal"~ o Pai Nosso
73C939|"porque teu é o reino" ~ o Pai Nosso
73C9391|"e o poder" ~ o Pai Nosso
73C9392|"e a glória, para sempre" ~ o Pai Nosso
73C94|"Veio, então, uma voz do Céu: Já a manifestei e voltarei a manifestá-la!" (João 12, 28-29)
73C941|Filipe e André a caminho, para dizer a Cristo que alguns gregos querem conhecê-lo (João 12, 20-22)
73D|Paixão de Cristo
73D1|prelúdio da Paixão de Cristo
73D11|Cristo prediz a sua Paixão (em várias ocasiões) (Mateus 16, 21; 17, 22-23; Marcos 8, 32; 9, 31; Lucas 9, 22; 9, 44)
73D12|Caifás e os sacerdotes conspirando contra Cristo (Mateus 26, 3-5; Marcos 14, 1-2; Lucas 22, 2; João 11, 47-53)
73D121|Caifás prevê a Paixão de Cristo
73D13|jantar na Betânia (em casa de Simão, o leproso) (Mateus 26, 6-13; Marcos 14, 3-9; João 12, 1-11)
73D131|Maria (Madalena) unge a cabeça de Cristo
73D132|Maria (Madalena) unge os pés de Cristo
73D133|os sumos sacerdotes conspiram contra Lázaro
73D14|entrada em Jerusalém: a multidão estende as suas vestes diante de Cristo montado num burro, e agita ramos de palma (Mateus 21, 1-11; 21, 14-16; Marcos 11, 1-11; Lucas 19, 28- 40; João 12, 12-19)
73D141|a procura de um burro (jumento) ~ entrada de Cristo em Jerusalém
73D142|os discípulos levam o burro (jumento) após os protestos iniciais do seu proprietário ~ entrada de Cristo em Jerusalém
73D143|Hosana das crianças no templo 
73D144|Filipe e André a caminho, para dizer a Cristo que alguns gregos querem conhecê-lo (João 12, 20-22)
73D15|purificação do templo (primeira e segunda): Cristo expulsa os vendedores do templo com um chicote (Mateus 21, 12-13; Marcos 11, 15-17; Lucas 19, 45-46; João 2, 14-19)
73D151|após a purificação do templo, os judeus pedem a Cristo um sinal
73D152|"Destruí este templo, e em três dias Eu o levantarei" ~ purificação do templo
73D16|Cristo chora sobre Jerusalém e a sua destruição futura (Lucas 19, 41-44)
73D161|sinais na terra e no céu anunciam a destruição de Jerusalém (Lucas 21, 25)
73D17|Cristo despede-se de Maria, normalmente Maria Madalena está presente
73D2|a Última Ceia
73D21|preparativos para Páscoa ~ Última Ceia (Mateus 26, 17-20; Marcos 14, 12-17; Lucas 22, 7-14)
73D211|dois discípulos seguem um homem que carrega um cântaro de água
73D22|os discípulos discutem sobre quem de entre eles deve ser considerado o maior (Lucas 22, 24)
73D23|Cristo lava os pés dos apóstolos (João 13, 1-20)
73D231|Cristo lava os pés de Pedro
73D24|Última Ceia (em geral) (Mateus 26, 21-35; Marcos 14, 18-31; Lucas 22, 3; Lucas 22, 15-23; João 13, 21-38)
73D241|anúncio da traição de Cristo e reacção dos apóstolos 
73D242|Judas Iscariotes é revelado como o traidor de Cristo (comunhão de Judas)
73D2421|Satanás encarna em Judas ~ Última Ceia
73D243|Cristo anuncia a negação de Pedro
73D244|instituição da Eucaristia, i.e. Cristo mostra ou abençoa o pão (a hóstia) e/ou o vinho (Mateus 26, 26-27; Marcos 14, 22-23; Lucas 22, 19-20; João 13, 26; 1 Coríntios 11, 23-25)
73D245|comunhão dos apóstolos: Cristo distribui o pão (hóstia) e/ou o vinho aos apóstolos
73D25|representações incomuns da Última Ceia, e.g.: os apóstolos são substituídos por outros
73D26|Judas vai falar com os sumos sacerdotes, trai Cristo e recebe a recompensa (Mateus 26, 14-16; Marcos 14, 10-11; Lucas 22, 4-6)
73D27|Cristo fala aos discípulos depois da Última Ceia (João 14-16)
73D271|representações do conteúdo dos discursos de Cristo depois da Última Ceia
73D271(...)|representações do conteúdo dos discursos de Cristo depois da Última Ceia (com LIVRO CAPÍTULO, VERSÍCULO)
73D271(Jo. 14:2)|"na casa de meu Pai há muitas moradas"
73D271(Jo. 16:13)|"Quando ele vier, o Espírito da Verdade..."
73D271(Jo. 16:21)|uma mulher em trabalho de parto sofre, mas alegra-se quando dá à luz o seu filho
73D28|a oração de Cristo pelos apóstolos (João 17, 1-26)
73D3|prisão de Cristo, julgamento e tortura
73D31|Getsémani, Monte das Oliveiras, "Oelberg" (Mateus 26, 36-56; Marcos 14, 32-52; Lucas 22, 39-53; João 18, 1-12)
73D311|Cristo na estrada ou no jardim de Getsémani (ainda não em oração)
73D312|oração de Cristo no jardim (horto)  de Getsémani durante a noite
73D3121|agonia de Cristo: um ou mais anjos aparecem a Cristo para o confortar com um cálice e/ou uma cruz
73D31211|agonia de Cristo; três (ou onze) apóstolos a dormir
73D312111|os apóstolos a dormir (sozinhos) ~ horto de Getsémani
73D3122|Cristo chama os apóstolos para ficarem acordados e em oração ~ horto de Getsémani
73D313|o beijo de Judas: acompanhado por soldados com tochas e lanternas, Judas beija Cristo
73D3131|Cristo dá-se a conhecer; os soldados caem no chão ~ o beijo de Judas
73D314|a prisão de Cristo ~ horto de Getsémani
73D3141|Pedro desembainha a sua espada e corta a orelha de Malco
73D3142|Malco é curado por Cristo
73D315|Cristo é levado ~ horto de Getsémani
73D3151|Cristo é arrastado pelo ribeiro de Cedron
73D316|os discípulos abandonam Cristo e fogem
73D3161|um dos discípulos em fuga é quase capturado, mas consegue escapar meio vestido, ou nú
73D32|julgamento de Cristo, Cristo perante os juízes
73D321|Cristo diante de Anás; um soldado pode estar quase a bater em Cristo (João 18, 13; 18, 19-24)
73D322|Cristo diante do Sinédrio com Caifás como sumo sacerdote e, possivelmente, Anás; um soldado pode estar quase a bater em Cristo por ele permanecer em silêncio (Mateus 26, 57-66; Marcos 14, 53-64; Lucas 22, 54; Lucas 22, 66-71)
73D3221|falsas testemunhas ~ julgamento de Cristo 
73D3222|Caifás rasga as suas vestes ~ julgamento de Cristo 
73D323|Cristo diante de Pôncio Pilatos (Mateus 27, 11-26; Marcos 15, 2-15; Lucas 23, 2-7; Lucas 23, 13-25; João 18, 28 - 19, 16)
73D3231|Pilatos discute com os judeus
73D32311|escolha entre Cristo e Barrabás
73D3232|a mulher de Pilatos (ou um mensageiro) avisa-o de um sonho que teve sobre Cristo
73D3233|Pilatos lava as mãos (declinando qualquer responsabilidade)
73D324|Cristo diante de Herodes; por vezes é coberto com uma capa vistosa (Lucas 23, 8-11)
73D325|Cristo é conduzido de um juiz para outro
73D33|história da negação de Pedro (Mateus 26, 58; Mateus 16, 69-75; Marcos 14, 54; Marcos 14, 66-72; Lucas 22, 55-62; João 18, 15-18; João 18, 25-27)
73D331|negação de Pedro, normalmente em frente de uma criada e alguns soldados
73D332|arrependimento de Pedro
73D3321|o canto do galo ~ arrependimento de Pedro
73D34|arrependimento e morte de Judas (Mateus 27, 3-10; Actos 1, 16-20)
73D341|Judas diante do Sinédrio devolve as moedas de prata; Judas atira as moedas ao chão
73D342|Judas esventrado após uma queda
73D343|Judas enforca-se
73D344|punição de Judas no inferno
73D345|os sumos sacerdotes compram o campo do oleiro
73D35|tortura de Cristo
73D351|os soldados flagelam Cristo, que normalmente está atado à coluna (Mateus 27, 26; Marcos 15,15; João 19,1)
73D3511|preparativos para a flagelação de Cristo
73D3512|Cristo, com as feridas causadas pela flagelação
73D35121|Cristo atado à coluna (depois da flagelação)
73D3513|Cristo reúne as suas vestes depois da flagelação
73D352|a coroação de espinhos: soldados com paus colocam a coroa de espinhos na cabeça de Cristo, e dão-lhe uma cana para a mão (Mateus 27, 27-31; Marcos 15, 16-20; João 19, 2-3)
73D3521|preparativos para a coroação de espinhos
73D3522|cabeça de Cristo com a coroa de espinhos
73D353|escárnio de Cristo, que pode estar de olhos vendados
73D3531|no palácio de Caifás, Cristo é escarnecido pelos judeus (Mateus 26, 67-68; Marcos 14, 65)
73D3532|no palácio de Pilatos, Cristo é escarnecido pelos soldados (Lucas 22, 63-65)
73D354|"Herrgottsruhbild" (repouso de Cristo depois da tortura)
73D355|Cristo na prisão (sozinho)
73D36|Pilatos mostra Cristo ao povo, "Ostentatio Christi", "Ecce Homo" (João 19, 4-6)
73D361|Cristo sozinho (também designado como "Ecce Homo")
73D37|Cristo, deitado ou arrastado ao longo de uma escadaria, é espancado na presença de Pilatos (quebra da cana)
73D4|do palácio de Pilatos até o Gólgota: a procissão para o Calvário (Mateus 27, 31-33; Marcos 15, 20-22; Lucas 23, 26-33; João 19, 17)
73D41|carregando a cruz: Cristo carrega a cruz, sozinho ou com a ajuda de outros (e.g. Simão, o Cireneu)
73D411|Cristo cai ~ carregar a cruz
73D4111|primeira queda ~ Cristo carrega a cruz
73D4112|segunda queda ~ Cristo carrega a cruz
73D4113|terceira queda ~ Cristo carrega a cruz
73D412|Simão, o Cireneu, é forçado a ajudar Cristo a carregar a cruz 
73D413|Cristo encontra Maria que, por vezes, desfalece ("Lo Spasimo") ~ Cristo carrega a cruz
73D414|Cristo é lamentado pelas mulheres de Jerusalém; por vezes Cristo consola-as
73D415|Cristo encontra Verónica, que tem um pano com o qual lhe enxuga o rosto 
73D42|Cristo é levado para o Gólgota; a cruz é carregada por outros
73D423|Cristo encontra Maria que, por vezes, desfalece ~ a cruz é carregada por outros
73D43|estações da Via Sacra
73D431|as catorze estações franciscanas da Via Sacra
73D431(...)|as catorze estações franciscanas da Via Sacra (com o NÚMERO da estação)
73D44|chegada de Cristo ao Calvário
73D5|a Crucificação: acontecimentos que precedem a morte de Cristo na cruz (Mateus 27, 34-44; Marcos 15, 23-32; Lucas 23, 33-43; João 19, 18-24)
73D51|Cristo despojado das suas vestes
73D511|Cristo é coberto com um pano (por Maria, Maria Madalena ou por um soldado)
73D5111|Maria arranca uma parte do seu manto
73D512|os soldados lançam sortes ou disputam a túnica de Cristo
73D52|Cristo em agonia à espera de ser crucificado; está sentado ou próximo da cruz ou numa pedra, "Christus im Elend", "Christus in der Rast"
73D521|Cristo em sofrimento, sentado numa pedra fria (sozinho)
73D522|Cristo em pé junto à cruz
73D53|é oferecida uma bebida a Cristo, mas ele recusa
73D54|construção da cruz ~ acontecimentos que precedem a morte de Cristo na cruz
73D541|Hedroit forja os pregos para a crucificação de Cristo
73D55|o erguer da cruz: Cristo é pregado na cruz, que está deitada no chão
73D551|a cruz na qual Cristo é pregado, é erguida
73D56|o erguer da cruz: elevação da cruz (sem Cristo)
73D561|Cristo sobe para a cruz (com a ajuda de uma escada)
73D562|Cristo é pregado na cruz já erguida
73D57|o erguer das cruzes dos dois ladrões
73D58|a inscrição I(esus) N(azarenus) R(ex) I(udaeorum) ~ crucificação de Cristo
73D581|Pilatos escreve a inscrição ~ crucificação de Cristo
73D582|a inscrição é colocada na cruz ~ crucificação de Cristo
73D583|os sacerdotes criticam a inscrição; Pilatos recusa-se a alterá-la
73D6|a crucificação de Cristo: morte de Cristo na cruz; Gólgota (Mateus 27, 45-58; Marcos 15, 33-45; Lucas 23, 44-52; João 19, 25-38)
73D61|representações dos vários episódios no Gólgota durante a permanência de Cristo na cruz; nenhum episódio em especial é destacado
73D611|a(s) cruz(es) a meia distância
73D612|a(s) cruz(es) em fundo
73D62|representações da morte de Cristo na cruz, com destaque para um episódio particular ou palavra de Cristo (até à morte de Cristo)
73D621|"Pai, perdoa-lhes ..." ~ palavras de Cristo na cruz
73D622|soldados lançando os dados pela posse da túnica de Cristo ~ morte de Cristo na cruz
73D623|espectadores, normalmente incluindo sacerdotes e escribas, insultam Cristo ~ Cristo na cruz
73D624|um ou ambos os ladrões insultam Cristo
73D6241|"hoje estarás comigo no paraíso" ~ palavras de Cristo na cruz
73D625|espectadores aos pés da cruz, entre os quais Maria, Maria Madalena e João Evangelista; Maria pode ser representada desfalecida
73D6251|"mulher, eis o teu filho ..." ~ palavras de Cristo na cruz
73D626|o céu escurece a partir da sexta hora até à nona hora (representado por um eclipse solar) ~ morte de Cristo
73D6261|"meu Deus, meu Deus, por que me abandonaste?" ~ palavras de Cristo na cruz
73D6262|espectadores escarnecem de Cristo ~ palavras de Cristo na cruz
73D627|"tenho sede" ~ palavras de Cristo na cruz
73D6271|um dos soldados (Stefaton) oferece a Cristo uma esponja embebida em vinagre, sobre a parte superior de uma cana ou uma lança
73D62711|Longino trespassa o peito de Cristo; Stefaton oferece vinagre a Cristo
73D628|"tudo está consumado" ~ palavras de Cristo na cruz
73D629|"Pai, nas tuas mãos entrego o meu espírito" ~ palavras de Cristo na cruz
73D6291|Cristo, dá um grito forte e morre
73D63|morte de Cristo na cruz, em que um momento específico é destacado (logo após a morte de Cristo)
73D631|o centurião confessa a sua fé em Cristo; por vezes os soldados fazem o mesmo
73D632|os discípulos de Cristo e as mulheres deixam o Gólgota
73D633|Longino perfura o peito de Cristo com uma lança
73D634|os soldados quebram as pernas dos ladrões com paus
73D64|Cristo crucificado, com personagens específicas aos pés da cruz
73D641|Cristo crucificado com Maria e João em cada um dos lados da cruz; a Santa Cruz
73D6411|Maria e João juntos; por vezes Maria desfalece ~ Cristo crucificado
73D642|Cristo crucificado com Maria Madalena, que normalmente chora e abraça a cruz
73D643|Cristo crucificado com Maria, João e Maria Madalena
73D644|Cristo crucificado com Stefaton e/ou Longino
73D645|Cristo crucificado com Maria, João, Stefaton e Longino
73D646|Cristo crucificado com outras personagens
73D65|representações de Cristo na cruz associadas a outros episódios da Paixão
73D651|Cristo na cruz; exclusivamente com cenas que precedem a crucificação
73D652|Cristo na cruz; exclusivamente com cenas que sucedem à crucificação
73D66|Cristo crucificado no Gólgota (sozinho, sem ninguém a assistir)
73D661|as três cruzes com os crucificados, sozinhas
73D662|um ou ambos os ladrões na sua cruz
73D67|pormenores iconográficos das cenas da crucificação (para serem usados exclusivamente como anotações adicionais)
73D671|pormenores das cenas da crucificação ~ figura de Cristo (exclusivamente para anotações adicionais)
73D6711|túnica longa, "colobium" ~ pormenores das cenas da crucificação
73D6712|tanga ~ pormenores das cenas da crucificação
73D6713|Cristo nú ~ pormenores das cenas da crucificação
73D6714|o sangue que brota das feridas de Cristo
73D67141|anjo(s) apanham o sangue de Cristo com um cálice
73D6715|(pés descansam no) supedâneo ~ pormenores das cenas da crucificação
73D6716|três pregos; dois para as mãos de Cristo, um para os seus pés ~ pormenores das cenas da crucificação
73D6717|Cristo ainda vivo ~ pormenores das cenas da crucificação
73D6718|Cristo morto ~ pormenores das cenas da crucificação
73D672|(o crânio ou esqueleto de) Adão aos pés da cruz de Cristo (pormenores iconográficos para serem usados exclusivamente como anotações adicionais)
73D6721|outros personagens ou objectos "incomuns" aos pés da cruz de Cristo, e.g.: Hades (Plutão)
73D673|o diabo ou animais diabólicos atacam a cruz de Cristo (pormenores iconográficos para serem usados exclusivamente como anotações adicionais)
73D674|o sol e a lua no céu, um de cada lado da cruz de Cristo
73D675|os soldados deixam o Gólgota
73D68|eventos em e em torno de Jerusalém no momento da morte de Cristo
73D681|o véu do templo rasga-se ~ morte de Cristo
73D682|a terra treme, os túmulos abrem-se, a ressurreição dos mortos ~ morte de Cristo
73D6821|os ressuscitados aparecem aos seus parentes ~ morte de Cristo
73D69|José de Arimateia pede a Pilatos o corpo de Cristo
73D691|José de Arimateia (e outros) no caminho para o Gólgota
73D7|da deposição de Cristo até ao sepulcro (Mateus 27, 59-66; Marcos 15, 46-47; Lucas 23, 53-56; João 19, 39-42)
73D71|descida da cruz: Cristo é descido da cruz, normalmente por Nicodemos e José de Arimateia, que são representados em pé sobre a escada (ambos os braços de Cristo estão despregados)
73D711|Cristo é descido da cruz (um braço do Cristo ainda está pregado na cruz)
73D712|Cristo é deposto ~ descida da cruz
73D713|os ladrões são descidos das suas cruzes
73D714|a(s) cruz(es) vazia(s)
73D72|lamentação sobre Cristo morto
73D721|lamentação sobre Cristo morto, pelos seus familiares e amigos (Cristo é normalmente representado sem a coroa de espinhos)
73D7211|o corpo de Cristo deitado no chão
73D7212|o corpo de Cristo é suportado
73D72121|o corpo de Cristo suportado por Maria, na presença de outros personagens
73D7213|o corpo de Cristo no ou sobre o sepulcro
73D722|Pietà, "Vesperbild", "Marienklage"  (sem outros personagens): Maria chora por Cristo, com ou sem a coroa de espinhos
73D7221|Cristo morto no colo de Maria
73D7222|Cristo morto deitado aos pés de Maria
73D7223|apenas as cabeças de Cristo e Maria ~ Maria chora por Cristo
73D723|os anjos lamentam Cristo
73D724|"Epitaphios" ~ lamentação sobre Cristo morto
73D73|Homem das dores, "Imago Pietatis", "Erbärmdebild", "Schmerzensmann";  Cristo em pé mostrando as suas feridas, normalmente com a coroa de espinhos, e outros instrumentos da Paixão, de pé ou sentado sobre o seu sepulcro
73D731|Homem das dores representado a meio corpo
73D732|Homem das dores representado em corpo inteiro, sentado ou de pé
73D733|Homem das dores, com outros
73D7331|Homem das dores com Maria
73D73311|Homem das dores com Maria e João
73D7332|Homem das Dores suportado ou acompanhado por anjos a chorar, "Engelpietà"
73D74|transporte do corpo de Cristo para o sepulcro
73D75|preparativos para a sepultura de Cristo
73D751|Cristo deitado sobre a pedra da unção
73D752|a aquisição de pomada, perfumes e linho ~ sepultura de Cristo
73D753|as feridas são lavadas ~ sepultura de Cristo
73D754|as santas mulheres ungem o corpo de Cristo
73D755|o corpo de Cristo é envolto numa mortalha (sudário) e em ligaduras
73D756|o sepulcro é aberto ~ sepultura de Cristo
73D76|sepultura de Cristo (possivelmente por anjos)
73D761|Cristo deitado no sarcófago
73D77|eventos que ocorrem após a sepultura de Cristo
73D771|o regresso do funeral de Cristo
73D772|a vigília fúnebre das santas mulheres
73D773|lamentações sobre o túmulo fechado de Cristo
73D774|os judeus pedem a Pilatos para o sepulcro ser guardado
73D7741|o túmulo de Cristo é selado
