4|Société, Civilisation, Culture
48C32|portrait, autoportrait d'un artisan d'art
48C33|oeuvre d'art appliqué
48C34|outils, instruments d'un artisan
48C34(...)|outils, instruments d'un artisan (avec NOM)
48C34(POTTER'S WHEEL)|outils, instruments d'un artisan: tour de potier
48C34(TOUCH-STONE)|outils, instruments d'un artisan : pierre de touche
48C35|décorer, orner ~ arts appliqués
48C351|décorer en relief, applique
48C352|décorer en creux
48C3521|graver
48C3522|graver à l'eau-forte
48C3523|ciseler ~ arts appliqués
48C35231|ciseler des d'éclat (de bois)
48C353|décoration plane ~ arts appliqués
48C3531|couvrir de peinture ~ art appliqué
48C35311|enduire de laque ~ art appliqué
48C3532|imprimer ~ art appliqué
48C3533|émaillage ~ art appliqué
48C3534|placage ~ art appliqué
48C35341|faire des 'intarsia' ~ art appliqué
48C35342|faire de la marqueterie ~ art appliqué
48C3535|damasquinage, niellure, orner de nielles ~ arts appliqués
48C3536|incrustation ~ art appliqué
48C36|dessin industriel
48C361|dessinateur, créateur, styliste industriel
48C4|les arts monumentaux
48C40|représentations symboliques, allégories et emblèmes ~ les arts monumentaux
48C41|artiste ~ art monumental
48C411|mosaïste
48C412|fresquiste
48C413|artiste en vitraux, verrier
48C42|portrait, autoportrait de l'artiste ~ arts monumentaux
48C43|oeuvre d'art monumental
48C44|instruments et accessoires de l'artiste ~ arts monumentaux
48C5|peinture, dessin et arts graphiques
48C51|peinture (y compris l'illustration de livre et la peinture de miniature)
48C510|'Pictura', représentations symboliques, allégories et emblèmes ~ peinture; 'Pittura' (Ripa)
48C5101|les origines de la peinture et du dessin
48C511|peintre au travail, dans son atelier
48C5110|inspiration du peintre
48C51101|le peintre et sa muse
48C51102|le peintre faisant de la musique, peintre avec des instruments de musique
48C5111|atelier, studio ~ peintre
48C51111|matériel d'atelier ~ peintre
48C5112|stades du travail ~ peintre
48C51121|le peintre faisant des dessins préliminaires, des esquisses
48C51122|le peintre étudiant des vestiges de l'art classique
48C51123|peintre travaillant d'après modèle
48C511231|peintre travaillant d'après un modèle habillé
48C511232|peintre travaillant d'après un nu
48C5113|modèle ~ peintre
48C5114|le peintre préparant ses couleurs
48C5115|le peintre formant des élèves
48C51151|le peintre au travail avec des assistants ou des élèves
48C5119|peintre détruisant son oeuvre
48C512|peintre dans ses moments de loisir
48C513|portrait, autoportrait de peintre
48C514|peinture, tableau
48C5141|'gemalte Galerie'
48C5142|une peinture à l'intérieur d'une peinture
48C5143|caricature d'une peinture
48C515|outils, accessoires du peintre
48C5151|chevalet
48C5152|palette
48C5153|pinceaux ~ outils du peintre
48C5154|mannequin (statue articulée ~ artistes)
48C5155|livres de modèles ~ accessoires du peintre
48C5156|cadre, encadrement de peinture, etc.
48C51561|passe-partout (encadrement)
48C51562|rideau (feint) de peinture
48C5157|appuie-main
48C52|dessin
48C520|représentations symboliques, allégories et emblèmes ~ dessin
48C521|dessinateur au travail
48C5211|dessinateur étudiant des vestiges de l'art classique
48C5212|leçon de dessin
48C522|le dessinateur dans ses moments de loisir
48C523|portrait, autoportrait du dessinateur
48C524|dessin, esquisse
48C525|outils, accessoires du dessinateur
48C5251|'camera obscura' (~ outils, accessoires de dessinateur)
48C5252|'camera lucida' (~ outils, accessoires de dessinateur)
48C5253|miroir convexe (~ outils, accessoires de dessinateur)
48C5254|appareil d'ombres, de silhouettes projetées, physionotrace
48C5255|instruments pour un dessin en perspective
48C53|les arts graphiques
48C530|représentations symboliques, allégories et emblèmes ~ les arts graphiques
48C531|artiste ~ arts graphiques
48C5311|le graveur sur bois, le xylographe
48C5312|le graveur, l'aquafortiste, graveur à l'eau-forte
48C5313|graveur de lithographie
48C532|portrait, autoportrait de graveur d'art
48C533|estampe, p.ex. : gravure, eau-forte, lithographie
48C534|outils et accessoires du graveur d'art
48C534(...)|outils et accessoires du graveur d'art (avec NOM)
48C6|photographie, cinématographie
48C61|photographie
48C610|représentations symboliques, allégories et emblèmes ~ photographie
48C611|photographe au travail
48C6111|studio, atelier de photographe
48C61111|accessoires de studio ~ photographe
48C6112|photographier
48C61121|photographier un modèle
48C6113|chambre noire
48C6114|traiter le film
48C61141|développer ~ film
48C61142|imprimer ~ film
48C612|photographe dans ses moments de loisir
48C613|portrait, autoportrait de photographe
48C614|photographie, photo, cliché
48C6141|négatif ~ photographie
48C6142|diapositive
48C6143|plaque sensible, film ~ photographie
48C6144|photo digitale, photo numérique
48C615|équipement photographique
48C6151|appareil photographique
48C62|cinématographie
48C620|représentations symboliques, allégories et emblèmes ~ cinématographie
48C621|cinéaste au travail
48C6211|studio ~ cinématographie
48C6212|filmer, tourner, cinéaste au travail
48C62121|tourner un long métrage
48C62122|faire un dessin animé
48C6213|montage ~ film
48C622|cinéaste dans ses moments de loisir
48C623|portrait, autoportrait de cinéaste
48C624|film, pellicule
48C6241|bobine de film
48C625|appareils servant à la cinématographie
48C6251|caméra (film), caméra pour vidéo
48C6252|projecteur de film
48C63|les débuts de la photographie et du cinéma
48C7|musique
48C70|'Musica', représentations symboliques, allégories et emblèmes ~ musique; 'Musica' (Ripa)
48C701|les origines de la musique
48C702|puissance magique de la musique
48C71|compositeur
48C711|compositeur au travail
48C7110|inspiration du compositeur
48C71101|le compositeur et sa muse
48C712|le compositeur dans ses moments de loisir
48C713|portrait de compositeur
48C72|musicien
48C721|musicien au travail
48C7210|inspiration du musicien
48C72101|le musicien et sa muse
48C7211|musicien instruisant des élèves, leçon de musique
48C722|musicien dans ses moments de loisir
48C723|portrait de musicien
48C723(...)|portrait de musicien (avec NOM de la profession)
48C73|instruments de musique, groupe d'instruments de musique
48C731|instruments à corde (et archet)
48C7311|violon
48C7312|alto, violoncelle; contrebasse
48C7313|viole, rebec (sorte de violon)
48C7314|vielle
48C7315|autres instruments à cordes et archet
48C7315(...)|autres instruments à cordes et archet (avec NOM)
48C732|instruments à cordes (pincées ou grattées)
48C7321|lyre, cithare, psaltérion
48C7322|harpe
48C7323|luth et formes spéciales de luths, p.ex. : le théorbe
48C7324|cistre, mandoline, guitare, balalaïka
48C7325|tympanon, cithare
48C7326|autres instruments à cordes (pincées ou grattées)
48C7326(...)|autres instruments à cordes (pincées ou grattées) (avec NOM)
48C733|instruments à clavier(s)
48C7331|épinette, virginal
48C7332|clavicorde, clavecin
48C7333|pianoforte
48C73331|piano à queue, de concert
48C7334|orgue
48C73341|orgue d'église
48C7335|accordéon
48C7336|autres instruments à clavier(s)
48C7336(...)|autres instruments à clavier(s) (avec NOM)
48C734|instrument à percussion
48C7341|tambour (instrument de musique)
48C73411|tambourin
48C7342|claquettes, castagnettes
48C7343|carillon
48C73431|sonnette ~ instrument de musique
48C7344|autres instruments à percussion
48C7344(...)|autres instruments à percussion (avec NOM)
48C735|instruments à vent
48C7351|flûte, 'aulos', flageolet
48C73511|flûte à bec
48C73512|clarinette, basson, hautbois, chalumeau
48C73513|flûte traversière
48C7352|cor, trompette, cornet à pistons, trombone, tuba
48C73521|saxophone
48C7353|flûte de Pan
48C7354|cornemuse, musette, loure
48C7355|harmonica
48C7356|autres instruments à vent
48C7356(...)|autres instruments à vent (avec NOM)
48C7356(CONCH)|autres instruments à vent : conque
48C736|instruments ~ musique populaire
48C737|instruments improvisés de musique (ustensiles de cuisine, etc.)
48C737(...)|
48C737(RUMBLING-POT)|instruments improvisés de musique: tambour à friction
48C738|accessoires ~ musique; métronome, pupitre à musique, diapason, etc.
48C74|notation musicale
48C741|édition imprimée de composition musicale, partition
48C742|manuscrit musical
48C7421|manuscrit autographe ~ partition
48C743|théorie de la musique
48C75|faire de la musique; musicien avec son instrument
48C751|une personne avec instrument de musique, qu'il ne joue pas
48C7511|accorder un instrument
48C75111|accorder le luth
48C7512|personne avec instrument de musique, songeant, contemplant
48C752|une personne jouant un instrument
48C7521|une personne jouant un instrument à corde et archet
48C7522|une personne jouant un instrument à cordes pincées ou grattées
48C7523|une personne jouant un instrument à clavier(s)
48C7524|une personne jouant un instrument à percussion
48C7525|une personne jouant un instrument à vent
48C753|plusieurs musiciens avec leur instrument
48C7531|grand groupe de musiciens, orchestre symphonique
48C7532|petit groupe de musiciens, orchestre de chambre, jazz-band
48C754|ensemble de musique instrumentale et vocale
48C7541|chanteur s'accompagnant lui-même
48C75411|ménestrel, troubadour, jongleur
48C75412|aède, barde, poète lyrique
48C7542|musicien(s) accompagnant un ou des chanteurs
48C755|musique vocale, chanter
48C7551|chanter sans accompagnement
48C75511|chanteur
48C75512|chanteuse, cantatrice
48C7552|choeur
48C756|musique populaire, musique des rues
48C7561|musique instrumentale populaire
48C75611|joueur de vielle
48C75612|joueur d'orgue de Barbarie
48C75613|une personne exécutant de la musique sur plusieurs instruments, homme-orchestre, multi-instrumentiste
48C75614|orchestre de cuivres, fanfare
48C7562|musique vocale populaire
48C75621|chanteur de ballades, de romances, vendeur de ballades, de romances
48C76|musique mécanique
48C761|boîte à musique
48C762|orgue mécanique des rues, 'pierement'
48C763|piano mécanique, Pianola; 'orchestrion' : sorte d'orgue mécanique produisant uniquement des sons d'instruments à vent
48C77|chef d'orchestre
48C771|baguette du chef d'orchestre
48C78|écouter de la musique
48C8|les arts de la scène : ballet, théâtre, drame musical, film
48C80|représentations symboliques, allégories et emblèmes ~ les arts de la scène
48C801|représentations symboliques, allégories et emblèmes ~ danse et ballet
48C802|représentations symboliques, allégories et emblèmes ~ le théâtre
48C8021|représentations symboliques, allégories et emblèmes ~ littérature dramatique
48C803|représentations symboliques, allégories et emblèmes ~ drame musical
48C804|représentations symboliques, allégories et emblèmes ~ film
48C81|la scène et son installation
48C811|conception, plan, de la décoration scénique
48C812|derrière la scène
48C813|décor ~ scène
48C8131|toile de fond
48C8132|les feux de la rampe, les projecteurs
48C8133|rideau ~ scène
48C814|loge d'artiste ~ théâtre
48C82|personnes associées au théâtre
48C821|directeur, producteur, réalisateur
48C822|chorégraphe
48C823|souffleur
48C824|machiniste
48C83|acteur, artiste (dans ses moments de loisir)
48C831|portrait d'artiste (danseur, acteur, etc.)
48C8311|portrait de danseur
48C8312|portrait d'acteur, actrice
48C8313|portrait de chanteur d'opéra
48C8314|portrait de cabaretier
48C8315|portrait d'acteur,-rice, de cinéma
48C832|artiste dans ses moments de loisir
48C8321|danseur (dans ses moments de loisir)
48C8322|acteur, actrice (dans ses moments de loisir)
48C8323|chanteur d'opéra (dans ses moments de loisir)
48C8324|cabaretier (dans ses moments de loisir)
48C8325|acteur, actrice, de cinéma (dans ses moments de loisir)
48C84|le ballet, spectacle de danse
48C841|entraînement ~ ballet
48C842|troupe de danseurs; danseurs en scène
48C8421|danseur (masc.)
48C8422|danseuse
48C843|pas de danse, positions
48C844|costume de danseur de ballet
48C85|théâtre, représentation théâtrale
48C851|répétition, apprendre un rôle ~ théâtre
48C852|groupe d'acteurs, troupe; acteurs en scène
48C8521|acteur (sur scène)
48C85211|acteur dans le rôle d'une femme
48C8522|actrice (sur scène)
48C85221|actrice dans le rôle d'un homme
48C8523|la troupe (acteurs) en route
48C85231|la troupe entrant dans une ville, annonçant le spectacle
48C853|costume de théâtre
48C854|genres de littérature théâtrale
48C8541|drame religieux
48C85411|morale, moralité ~ genre théâtral
48C8542|drame de rhétoricien
48C8543|'commedia dell'arte'
48C85431|personnages types de la 'commedia dell'arte'
48C85431(...)|personnages types de la 'commedia dell'arte' (avec NOM)
48C85431(COLOMBINE)|personnages types de la 'commedia dell'arte' : Colombine
48C85431(HARLEQUIN)|personnages types de la 'commedia dell'arte' : Arlequin
48C85431(PANTALONE)|personnages types de la 'commedia dell'arte' : Pantalon
48C85431(PIERROT)|personnages types de la 'commedia dell'arte' : Pierrot
48C85431(PULCINELLA)|personnages types de la 'commedia dell'arte' : Pulcinelle
48C8544|pantomime, masque
48C85441|tableau vivant
48C8545|tragédie
48C85450|'Tragedia' (Ripa)
48C8546|comédie
48C85460|'Comedia', 'Comedia vecchia' (Ripa)
48C8547|pièce satirique, farce
48C8548|autres genres de la littérature théâtrale
48C85481|spectacle total, multimédia
48C85482|un happening ~ théâtre
48C855|spectacle de fantoches et de marionnettes
48C8551|fantoche, pantin
48C85511|Punch et Judy : spectacle de marionnettes à gaine mettant en scène Polichinelle et Judith
48C8552|marionnette
48C856|spectacle de théâtre d'ombres
48C86|drame musical, représentation de drame musical
48C861|répétition, étudier un rôle ~ drame musical
48C862|opéra
48C8621|chanteur d'opéra (masc.)
48C8622|chanteuse d'opéra, cantatrice
48C863|opérette, musical, comédie musicale, 'Singspiel'
48C864|cabaret
48C8641|artiste de cabaret
48C865|vaudeville, spectacle de variétés
48C8651|strip-tease
48C87|film, oeuvre cinématographique
48C871|acteurs sur l'écran
48C8711|acteur de cinéma (sur l'écran)
48C8712|actrice de cinéma (sur l'écran)
48C872|présentateur de film
48C873|genres de films
48C8731|long métrage, grand film
48C8732|film scientifique sur la nature
48C8733|documentaire, court métrage
48C8734|film d'animation, dessins animés
48C9|littérature ~ arts
48C90|'litterae', représentations symboliques, allégories et emblèmes ~ littérature; 'Lettere' (Ripa)
48C901|représentations symboliques, allégories et emblèmes ~ poésie; 'Poesia' (Ripa)
48C9011|représentations symboliques, allégories et emblèmes ~ poésie épique, narrative
48C90111|représentations symboliques, allégories et emblèmes ~ poésie héroïque; 'Poema heroico' (Ripa)
48C9012|représentations symboliques, allégories et emblèmes ~ poésie lyrique; 'Poema lirico' (Ripa)
48C90121|représentations symboliques, allégories et emblèmes ~ poésie d'amour
48C9013|représentations symboliques, allégories et emblèmes ~ élégie
48C9014|représentations symboliques, allégories et emblèmes ~ poésie satirique; 'Poema satirico' (Ripa)
48C9015|représentations symboliques, allégories et emblèmes ~ poésie pastorale; 'Poema pastorale' (Ripa)
48C902|représentations symboliques, allégories et emblèmes ~ prose
48C9021|représentations symboliques, allégories et emblèmes ~ prose épique, narrative
48C91|écrivain, poète, auteur
48C910|l'inspiration du poète; 'Furore poetico' (Ripa)
48C9101|le poète et sa muse
48C911|auteur, poète écrivant
48C9111|autographe ~ auteur, poète
48C9112|auteur, poète dictant
48C912|poète maudit
48C913|auteur lisant son oeuvre
48C919|auteur détruisant son oeuvre
48C92|auteur dans ses moments de loisir
48C921|Renommée ~ écrivain, 'poeta laureatus'
48C93|portrait d'un écrivain
48CC21|sculpteur au travail - CC - en plein air
48CC211|sculpteur faisant une ébauche - CC - en plein air
48CC212|moulage (en creux) - CC - en plein air
48CC213|sculpteur étudiant des vestiges de l'art classique - CC - en plein air
48CC511|peintre au travail, dans son atelier - CC - en plein air
48CC5110|inspiration du peintre - CC - en plein air
48CC51101|le peintre et sa muse - CC - en plein air
48CC51102|le peintre faisant de la musique, peintre avec des instruments de musique - CC - en plein air
48CC5111|atelier, studio ~ peintre - CC - en plein air
48CC51111|matériel d'atelier ~ peintre - CC - en plein air
48CC5112|stades du travail ~ peintre - CC - en plein air
48CC51121|le peintre faisant des dessins préliminaires, des esquisses - CC - en plein air
48CC51122|le peintre étudiant des vestiges de l'art classique - CC - en plein air
48CC51123|peintre travaillant d'après modèle - CC - en plein air
48CC511231|peintre travaillant d'après un modèle habillé - CC - en plein air
48CC511232|peintre travaillant d'après un nu - CC - en plein air
48CC5113|modèle ~ peintre - CC - en plein air
48CC5114|le peintre préparant ses couleurs - CC - en plein air
48CC5115|le peintre formant des élèves - CC - en plein air
48CC51151|le peintre au travail avec des assistants ou des élèves - CC - en plein air
48CC5119|peintre détruisant son oeuvre - CC - en plein air
48CC521|dessinateur au travail - CC - en plein air
48CC5211|dessinateur étudiant des vestiges de l'art classique - CC - en plein air
48CC5212|leçon de dessin - CC - en plein air
48CC611|photographe au travail - CC - en plein air
48CC6111|studio, atelier de photographe - CC - en plein air
48CC61111|accessoires de studio ~ photographe - CC - en plein air
48CC6112|photographier - CC - en plein air
48CC61121|photographier un modèle - CC - en plein air
48CC6113|chambre noire - CC - en plein air
48CC6114|traiter le film - CC - en plein air
48CC61141|développer ~ film - CC - en plein air
48CC61142|imprimer ~ film - CC - en plein air
48CC621|cinéaste au travail - CC - en plein air
48CC6211|studio ~ cinématographie - CC - en plein air
48CC6212|filmer, tourner, cinéaste au travail - CC - en plein air
48CC62121|tourner un long métrage - CC - en plein air
48CC62122|faire un dessin animé - CC - en plein air
48CC6213|montage ~ film - CC - en plein air
48CC7|musique - CC - en plein air
48CC70|'Musica', représentations symboliques, allégories et emblèmes ~ musique; 'Musica' (Ripa) - CC - en plein air
48CC701|les origines de la musique - CC - en plein air
48CC702|puissance magique de la musique - CC - en plein air
48CC71|compositeur - CC - en plein air
48CC711|compositeur au travail - CC - en plein air
48CC7110|inspiration du compositeur - CC - en plein air
48CC71101|le compositeur et sa muse - CC - en plein air
48CC712|le compositeur dans ses moments de loisir - CC - en plein air
48CC713|portrait de compositeur - CC - en plein air
48CC72|musicien - CC - en plein air
48CC721|musicien au travail - CC - en plein air
48CC7210|inspiration du musicien - CC - en plein air
48CC72101|le musicien et sa muse - CC - en plein air
48CC7211|musicien instruisant des élèves, leçon de musique - CC - en plein air
48CC722|musicien dans ses moments de loisir - CC - en plein air
48CC723|portrait de musicien - CC - en plein air
48CC723(...)|portrait de musicien (avec NOM de la profession) - CC - en plein air
48CC73|instruments de musique, groupe d'instruments de musique - CC - en plein air
48CC731|instruments à corde (et archet) - CC - en plein air
48CC7311|violon - CC - en plein air
48CC7312|alto, violoncelle; contrebasse - CC - en plein air
48CC7313|viole, rebec (sorte de violon) - CC - en plein air
48CC7314|vielle - CC - en plein air
48CC7315|autres instruments à cordes et archet - CC - en plein air
48CC7315(...)|autres instruments à cordes et archet (avec NOM) - CC - en plein air
48CC732|instruments à cordes (pincées ou grattées) - CC - en plein air
48CC7321|lyre, cithare, psaltérion - CC - en plein air
48CC7322|harpe - CC - en plein air
48CC7323|luth et formes spéciales de luths, p.ex. : le théorbe - CC - en plein air
48CC7324|cistre, mandoline, guitare, balalaïka - CC - en plein air
48CC7325|tympanon, cithare - CC - en plein air
48CC7326|autres instruments à cordes (pincées ou grattées) - CC - en plein air
48CC7326(...)|autres instruments à cordes (pincées ou grattées) (avec NOM) - CC - en plein air
48CC733|instruments à clavier(s) - CC - en plein air
48CC7331|épinette, virginal - CC - en plein air
48CC7332|clavicorde, clavecin - CC - en plein air
48CC7333|pianoforte - CC - en plein air
48CC73331|piano à queue, de concert - CC - en plein air
48CC7334|orgue - CC - en plein air
48CC73341|orgue d'église - CC - en plein air
48CC7335|accordéon - CC - en plein air
48CC7336|autres instruments à clavier(s) - CC - en plein air
48CC7336(...)|autres instruments à clavier(s) (avec NOM) - CC - en plein air
48CC734|instrument à percussion - CC - en plein air
48CC7341|tambour (instrument de musique) - CC - en plein air
48CC73411|tambourin - CC - en plein air
48CC7342|claquettes, castagnettes - CC - en plein air
48CC7343|carillon - CC - en plein air
48CC73431|sonnette ~ instrument de musique - CC - en plein air
48CC7344|autres instruments à percussion - CC - en plein air
48CC7344(...)|autres instruments à percussion (avec NOM) - CC - en plein air
48CC735|instruments à vent - CC - en plein air
48CC7351|flûte, 'aulos', flageolet - CC - en plein air
48CC73511|flûte à bec - CC - en plein air
48CC73512|clarinette, basson, hautbois, chalumeau - CC - en plein air
48CC73513|flûte traversière - CC - en plein air
48CC7352|cor, trompette, cornet à pistons, trombone, tuba - CC - en plein air
48CC73521|saxophone - CC - en plein air
48CC7353|flûte de Pan - CC - en plein air
48CC7354|cornemuse, musette, loure - CC - en plein air
48CC7355|harmonica - CC - en plein air
48CC7356|autres instruments à vent - CC - en plein air
48CC7356(...)|autres instruments à vent (avec NOM) - CC - en plein air
48CC7356(CONCH)|autres instruments à vent : conque - CC - en plein air
48CC736|instruments ~ musique populaire - CC - en plein air
48CC737|instruments improvisés de musique (ustensiles de cuisine, etc.) - CC - en plein air
48CC738|accessoires ~ musique; métronome, pupitre à musique, diapason, etc. - CC - en plein air
48CC74|notation musicale - CC - en plein air
48CC741|édition imprimée de composition musicale, partition - CC - en plein air
48CC742|manuscrit musical - CC - en plein air
48CC7421|manuscrit autographe ~ partition - CC - en plein air
48CC743|théorie de la musique - CC - en plein air
48CC75|faire de la musique; musicien avec son instrument - CC - en plein air
48CC751|une personne avec instrument de musique, qu'il ne joue pas - CC - en plein air
48CC7511|accorder un instrument - CC - en plein air
48CC75111|accorder le luth - CC - en plein air
48CC7512|personne avec instrument de musique, songeant, contemplant - CC - en plein air
48CC752|une personne jouant un instrument - CC - en plein air
48CC7521|une personne jouant un instrument à corde et archet - CC - en plein air
48CC7522|une personne jouant un instrument à cordes pincées ou grattées - CC - en plein air
48CC7523|une personne jouant un instrument à clavier(s) - CC - en plein air
48CC7524|une personne jouant un instrument à percussion - CC - en plein air
48CC7525|une personne jouant un instrument à vent - CC - en plein air
48CC753|plusieurs musiciens avec leur instrument - CC - concert champêtre
48CC7531|grand groupe de musiciens, orchestre symphonique - CC - concert champêtre
48CC7532|petit groupe de musiciens, orchestre de chambre, jazz-band - CC - concert champêtre
48CC754|ensemble de musique instrumentale et vocale - CC - en plein air
48CC7541|chanteur s'accompagnant lui-même - CC - en plein air
48CC75411|ménestrel, troubadour, jongleur - CC - en plein air
48CC75412|aède, barde, poète lyrique - CC - en plein air
48CC7542|musicien(s) accompagnant un ou des chanteurs - CC - en plein air
48CC755|musique vocale, chanter - CC - en plein air
48CC7551|chanter sans accompagnement - CC - en plein air
48CC75511|chanteur - CC - en plein air
48CC75512|chanteuse, cantatrice - CC - en plein air
48CC7552|choeur - CC - en plein air
48CC756|musique populaire, musique des rues - CC - en plein air
48CC7561|musique instrumentale populaire - CC - en plein air
48CC75611|joueur de vielle - CC - en plein air
48CC75612|joueur d'orgue de Barbarie - CC - en plein air
48CC75613|une personne exécutant de la musique sur plusieurs instruments, homme-orchestre, multi-instrumentiste - CC - en plein air
48CC75614|orchestre de cuivres, fanfare - CC - en plein air
48CC7562|musique vocale populaire - CC - en plein air
48CC75621|chanteur de ballades, de romances, vendeur de ballades, de romances - CC - en plein air
48CC76|musique mécanique - CC - en plein air
48CC761|boîte à musique - CC - en plein air
48CC762|orgue mécanique des rues, 'pierement' - CC - en plein air
48CC763|piano mécanique, Pianola; 'orchestrion' : sorte d'orgue mécanique produisant uniquement des sons d'instruments à vent - CC - en plein air
48CC77|chef d'orchestre - CC - en plein air
48CC771|baguette du chef d'orchestre - CC - en plein air
48CC78|écouter de la musique - CC - en plein air
48CC841|entraînement ~ ballet - CC - femme
48CC844|costume de danseur de ballet - CC - femme
48CC853|costume de théâtre - CC - femme
49|éducation, science et le savoir
49A|éducation
49A0|représentations symboliques, allégories et emblèmes ~ éducation; 'Ammaestramento', Dottrina', 'Educatione', 'Istitutione' (Ripa)
49A1|étude et distraction
49A11|étude et distraction considérés comme les deux aspects principaux de l'éducation
49B|enseignement scolaire, éducation
49B1|école maternelle
49B2|école primaire; classe
49B21|aller à l'école
49B211|être apporté à l'école, premier jour de classe
49B22|rentrer à la maison après l'école
49B23|quitter l'école, derniers jours de classe
49B24|enseignant et élève
49B241|élève instruisant le maître, les parents ou autres adultes
49B25|punition à l'école
49B251|entrave à la liberté (à l'école); être dans le coin, avoir une retenue, etc.
49B252|châtiment corporel à l'école : fustiger, frapper, etc.
49B2521|baguette, verge ~ châtiment scolaire
49B2522|élève châtiant le maître
49B253|faire des lignes ~ châtiment scolaire
49B3|éducation supérieure
49B31|enseignement secondaire
49B32|enseignement professionnel, p.ex. : école technique du premier cycle
49B33|enseignement supérieur, p.ex. : école normale primaire, centre pédagogique de formation des maîtres
49B4|université
49B40|personnification d'université; 'Academia' (Ripa)
49B41|organisation universitaire
49B411|fonder une université
49B4111|commémoration de la fondation d'une université
49B412|conseil d'administration, dignitaires d'université
49B413|appariteur, huissier de faculté
49B4131|masse d'huissier
49B414|insigne, sceau ~ université
49B415|facultés ~ université
49B416|bâtiments universitaires, collège, établissement d'éducation supérieure
49B42|enseignement universitaire
49B421|cours ~ université
49B4211|discours inaugural ~ université
49B4212|'magister cum discipulis' ~ université
49B4213|gravure sur bois de l''Accipies', 'accipies tanti doctoris dogmata sacra'
49B4214|travaux pratiques ~ université
49B422|examen ~ université
49B423|recevoir le titre de docteur, un doctorat
49B4231|thèse de doctorat
49B4232|diplôme universitaire
49B4233|titre honorifique
49B43|professeur
49B431|groupe de professeurs
49B44|étudiant
49B441|étudier ~ université
49B4411|étudier la nuit
49B442|vie estudiantine
49B4421|tenue estudiantine
49B4422|chambre d'étudiant
49B4423|amours estudiantines
49B4424|étudiant de première année ~ université
49B44241|inscription ~ université
49B4425|vacances estudiantines
49B4426|étudiant renvoyé, expulsé
49B4427|émeute d'étudiants
49B4428|organisation estudiantine
49B44281|club (étudiants)
49B44282|'fraternity' : club d'étudiants aux États Unis
49B44283|initiation (étudiants), bizutage
49B44284|fête (étudiants)
49B44285|cortège d'étudiants
49B4429|étudiant vagabondant, 'Bettelstudent'
49BB43|professeur - BB - professeur féminin
49BB431|groupe de professeurs - BB - professeur féminin
49BB44|étudiant - BB - étudiante
49BB441|étudier ~ université - BB - étudiante
49BB4411|étudier la nuit - BB - étudiante
49BB442|vie estudiantine - BB - étudiante
49BB4421|tenue estudiantine - BB - étudiante
49BB4422|chambre d'étudiant - BB - étudiante
49BB4423|amours estudiantines - BB - étudiante
49BB4424|étudiant de première année ~ université - BB - étudiante
49BB44241|inscription ~ université - BB - étudiante
49BB4425|vacances estudiantines - BB - étudiante
49BB4426|étudiant renvoyé, expulsé - BB - étudiante
49BB4427|émeute d'étudiants - BB - étudiante
49BB4428|organisation estudiantine - BB - étudiante
49BB44281|club (étudiants) - BB - étudiante
49BB44282|'fraternity' : club d'étudiants aux États Unis - BB - étudiante
49BB44283|initiation (étudiants), bizutage - BB - étudiante
49BB44284|fête (étudiants) - BB - étudiante
49BB44285|cortège d'étudiants - BB - étudiante
49BB4429|étudiant vagabondant, 'Bettelstudent' - BB - étudiante
49C|aspects (en général) de la science
49C0|représentations symboliques, allégories et emblèmes ~ science, 'Scientia'; 'Scienza', 'Studio' (Ripa)
49C01|science vs. tentation du monde
49C011|scientifique renonçant au monde, 'la tour d'ivoire'
49C1|les Arts libéraux, 'Artes Liberales'
49C11|le Trivium (personnification de la Grammaire, la Dialectique et la Rhétorique)
49C111|'Grammatica' (~ trivium); 'Grammatica' (Ripa)
49C112|'Dialectica' (~ trivium); 'Dialettica' (Ripa)
49C113|'Rhetorica', 'Eloquentia' (~ trivium); 'Rettorica' (Ripa)
49C12|le Quadrivium (personnification de l'Arithmétique, l'Astronomie et la Musique)
49C121|'Arithmetica' (~ quadrivium); 'Aritmetica' (Ripa)
49C122|'Geometria' (~ quadrivium); 'Geometria' (Ripa)
49C123|'Astronomia' (~ quadrivium); 'Astronomia' (Ripa)
49C124|'Musica' (~ quadrivium); 'Musica' (Ripa)
49C13|les Arts libéraux accompagnés d'autres disciplines
49C131|les Arts libéraux accompagnés de la Philosophie ou de la Sagesse
49C14|les Arts libéraux représentés autrement, p.ex. par des emblèmes, des symboles
49C15|'Artes Liberales' vs. 'Artes Vulgares'
49C151|'Artes Vulgares'(Arts mécaniques)
49C16|les quatre facultés (personnifications)
49C161|Théologie (une des quatre facultés)
49C162|Jurisprudence (une des quatre facultés)
49C163|Médecine (une des quatre facultés)
49C164|Philosophie (une des quatre facultés)
49C17|les Lettres
49C2|la philosophie
49C20|'Philosophia'; 'Filosofia' (Ripa)
49C201|'Philosophia' discutant avec un philosophe
49C21|disciplines philosophiques
49C211|métaphysique, 'Metaphysica'; 'Metafisica' (Ripa)
49C212|la logique, 'Logica'; 'Logica' (Ripa)
49C213|théorie de la connaissance
49C2131|l'antre de Platon, 'antrum Platonicum'
49C214|l'esthétique
49C3|savant, érudit, philosophe
49C31|groupe de savants ou de philosophes
49C32|savant dans son cabinet de travail
49C33|société savante, académie des sciences
49C34|savant itinérant
49C4|discussion, dialogue, débat ~ savant, philosophe
