5|Abstraktní myšlenky a pojmy
73D732|celá postava Bolestného muže, sedící nebo stojící
73D733|Bolestný muž spolu s ostatními
73D7331|Bolestný muž spolu s Marií
73D73311|Bolestný muž spolu s Marií a Janem
73D7332|Bolestný muž podporovaný nebo doprovázený truchlícími anděly, "Engelpietà
73D74|nesení Kristova těla do hrobu
73D75|přípravy na Kristovo uložení do hrobu
73D751|Kristus ležící na kameni pomazání
73D752|nákup masti, koření a plátna ~ Kristovo uložení do hrobu
73D753|omývání ran ~ Kristovo uložení do hrobu
73D754|svaté ženy pomazávají Kristovo tělo
73D755|Kristovo tělo je zabaleno do rubáše a obvazů
73D756|hrob je otevřen ~ uložení Krista do hrobu
73D76|Christ's entombment (possibly by angels)
73D761|Kristus ležící v sarkofágu
73D77|events after Christ's entombment
73D771|návrat z Kristova pohřbu
73D772|hlídání smrti svatými ženami
73D773|truchlící u zavřeného Kristova hrobu
73D774|židé žádají Piláta, aby nechal hrob hlídat
73D7741|zapečetění Kristova hrobu
73D7742|vojáci střežící Kristův hrob
73D78|(architektonická) stavba představující nebo symbolizující Boží hrob
73D8|nástroje umučení a pět zraněných údů
73D81|'Arma Christi'
73D811|'Arma Christi' ~ Christ
73D82|jednotlivé nástroje pašijí
73D82(...)|jednotlivé nástroje pašijí (s NAME)
73D82(COCK ON COLUMN)|kohout na sloupku ~ nástroje umučení
73D82(COLUMN)|sloup (bičování) ~ nástroje utrpení
73D82(CROSS)|kříž ~ nástroje umučení
73D82(CROWN OF THORNS)|trnová koruna ~ nástroje utrpení
73D82(FOOTPRINTS OF CHRIST)|kristovy stopy ~ nástroje utrpení
73D82(HEAD OF JUDAS)|jidášova hlava ~ nástroje utrpení
73D82(LANCE)|lance ~ nástroje pašijí
73D82(NAILS)|hřebíky ~ nástroje umučení
73D82(REED)|rákos ~ nástroje pašijí
73D82(SHROUD)|rubáš ~ nástroje umučení
73D83|pět zraněných údů Krista: srdce (zranění na boku), ruce a nohy
73D831|rána na Kristově rameni
73D9|Kristus v podsvětí, utrpení pekla, Kristus v Limbu, "descensus ad inferos", "Anastasis"
73D91|Kristus přichází ke vchodu do pekla a rozbíjí dveře
73D92|Christ enters hell
73D93|Christ gains victory over diabolic powers
73D931|Kristus káže v pekle
73D932|Kristus probodne Satana kopím nebo křížem
73D933|Kristus šlápl na ďábla(y)
73D934|Satan v okovech ~ Kristus v pekle
73D94|Kristus opouští peklo: osvobozuje z pekla patriarchy, proroky, krále a další osoby, mezi nimi Adama, Evu, Mojžíše, Davida a Jana Křtitele
73D95|triumfální příchod Krista a těch, které zachránil, do ráje; jsou přijati Marií, Henochem a Eliášem nebo Dobrým zloduchem
73D951|dobrý zločinec nese svůj kříž do ráje
73DD55|vztyčení kříže: Kristus je přibit na kříž, který leží na zemi - DD - tři kříže
73DD551|vztyčení kříže, na který je Kristus přibit již - DD - tři kříže
73DD56|vztyčení kříže: vztyčení kříže (bez Krista) - DD - tři kříže
73DD561|Kristus na kříži (s pomocí žebříku) - DD - tři kříže
73DD562|Kristus je přibit na vztyčený kříž - DD - tři kříže
73DD61|komplexní zobrazení událostí na Golgotě během Kristova visení na kříži, žádná konkrétní událost není zdůrazněna - DD - pouze Kristus na kříži
73DD611|kříž(e) ve střední vzdálenosti - DD - pouze Kristus na kříži
73DD612|kříž(y) v pozadí - DD - pouze Kristus na kříži
73DD62|zobrazení Kristovy smrti na kříži se zdůrazněním určité události nebo výroku o Kristu (až do Kristovy smrti) - DD - pouze Kristus na kříži
73DD621|"Otče, odpusť jim..." ~ výrok Krista na kříži - DD - pouze Kristus na kříži
73DD622|vojáci házejí kostkami o Kristovo bezešvé roucho ~ Kristova smrt na kříži - DD - pouze Kristus na kříži
73DD623|kolemjdoucí, mezi nimi obvykle kněží a zákoníci, urážejí Krista ~ Kristus na kříži - DD - pouze Kristus na kříži
73DD624|jeden nebo oba zločinci urážejí Krista - DD - pouze Kristus na kříži
73DD6241|"dnes budeš se mnou v ráji" ~ výrok Krista na kříži - DD - pouze Kristus na kříži
73DD625|přihlížející u paty kříže, mezi nimi Marie, Máří Magdaléna a Jan Evangelista; Marie může být zobrazena, jak omdlévá - DD - jen Kristus na kříži
73DD6251|"Ženo, hle, tvůj syn..." ~ výrok Krista na kříži - DD - pouze Kristus na kříži
73DD626|tma od šesté do deváté hodiny (představovaná zatměním slunce) ~ Kristova smrt - DD - pouze Kristus na kříži
73DD6261|"Bože můj, Bože můj, proč jsi mě opustil" ~ výrok Krista na kříži - DD - pouze Kristus na kříži
73DD6262|okolostojící se vysmívají Kristu ~ výroky Krista na kříži - DD - pouze Kristus na kříži
73DD627|"Žízním" ~ výrok Krista na kříži - DD - pouze Kristus na kříži
73DD6271|jeden z vojáků (Stephaton) dává Kristu ocet na houbě připevněné na tyči nebo kopí - DD - pouze Kristus na kříži
73DD62711|Longinus probodl Kristův bok; Stephaton dává Kristu ocet - DD - pouze Kristus na kříži
73DD628|"Dokonáno jest" ~ výrok Krista na kříži - DD - pouze Kristus na kříži
73DD629|"Otče, do tvých rukou odevzdávám svého ducha" ~ výrok Krista na kříži - DD - pouze Kristus na kříži
73DD6291|Kristus vydává hlasitý výkřik a umírá - DD - pouze Kristus na kříži
73DD63|Kristova smrt na kříži se zdůrazněním konkrétní události (těsně po Kristově smrti) - DD - pouze Kristus na kříži
73DD631|setník vyznává svou víru v Krista; někdy totéž dělají vojáci - DD - jen Kristus na kříži
73DD632|Kristovi učedníci a ženy opouštějící Golgotu - DD - pouze Kristus na kříži
73DD633|Longinus probodne kopím Kristův bok - DD - pouze Kristus na kříži
73DD634|vojáci lámou údy zločinců holemi - DD - jen Kristus na kříži
73DD64|ukřižovaný Kristus, s konkrétními osobami pod křížem - DD - tři kříže
73DD641|ukřižovaný Kristus s Marií a Janem po obou stranách kříže; Svatý Kříž - DD - tři kříže
73DD6411|Marie a Jan blízko sebe; někdy Marie omdlévá ~ ukřižovaný Kristus - DD - tři kříže
73DD642|ukřižovaný Kristus s Marií Magdalenou, která obvykle pláče a objímá kříž - DD - tři kříže
73DD643|ukřižovaný Kristus s Marií, Janem a Marií Magdalenou - DD - tři kříže
73DD644|ukřižovaný Kristus se Stephatonem a/nebo Longinem - DD - tři kříže
73DD645|ukřižovaný Kristus s Marií, Janem, Stephatonem a Longinem - DD - tři kříže
73DD646|ukřižovaný Kristus s dalšími osobami - DD - tři kříže
73DD65|Kristus na kříži v kombinaci s dalšími scénami z Umučení Krista - DD - tři kříže
73DD651|Kristus na kříži; přidány pouze scény před ukřižováním - DD - tři kříže
73DD652|Kristus na kříži; přidány pouze scény po ukřižování - DD - tři kříže
73E|události od zmrtvýchvstání po Letnice (Matouš 28; Marek 16; Lukáš 24; Jan 20-21; Skutky 1,3-11); smrt Marie a Josefa
73E1|Kristovo vzkříšení
73E11|události těsně před vzkříšením
73E111|boží ruka probouzí Krista
73E112|anděl (andělé) otevřeli Kristův hrob, např.: odvalením kamene
73E113|David u Kristova hrobu
73E12|Kristus, obvykle s praporem, vstává z hrobu; často v kombinaci se spícími a/nebo vyděšenými vojáky
73E121|Kristus odsune víko sarkofágu ~ Vzkříšení
73E1211|víko sarkofágu otevřené andělem ~ Kristovo vzkříšení
73E122|Částečně viditelný Kristus stojící v otevřeném sarkofágu
73E123|Kristus vystupuje z hrobu
73E1231|Kristus prochází zavřenými chrámovými dveřmi
73E13|události bezprostředně po vzkříšení
73E131|Kristus stojí na hrobě nebo v jeho blízkosti ~ události po vzkříšení
73E132|Kristus sedící (trůnící) na hrobě
73E133|Kristus se vznáší nad hrobem nebo v jeho blízkosti
73E14|symbolická zobrazení vzkříšení
73E15|vzkříšeného Krista (s ranami, ale bez trnové koruny), někdy držícího kříž
73E16|vyděšení a/nebo spící vojáci u Kristova hrobu
73E161|starší podplatí vojáky penězi ~ Kristovo vzkříšení
73E162|spící vojáci u Kristova hrobu
73E2|prázdný hrob ~ Kristovo vzkříšení
73E21|anděl(é) v prázdném Kristově hrobě nebo u něj
73E22|svaté ženy (tři Marie) na cestě ke hrobu nebo u něj, aby pomazaly Kristovo tělo
73E23|anděl(é) oslovující svaté ženy ~ Kristovo vzkříšení
73E231|anděl(é) oslovující Marii Magdalénu ~ Kristovo vzkříšení
73E232|Marie Magdaléna zahalená do Kristova rubáše
73E24|svaté ženy vyprávějí apoštolům o prázdném hrobě ~ Kristovo zmrtvýchvstání
73E25|Jan, Petr a Marie Magdaléna se blíží k otevřenému Kristovu hrobu
73E251|Petr a/nebo Jan se ujistí, že Kristův hrob je prázdný
73E3|zjevení Krista po vzkříšení
73E31|Máří Magdaléna klečící před Kristem, který je obvykle zobrazován jako zahradník s motykou a/nebo rýčem; "Noli me tangere"
73E32|Kristus, snad oblečený jako poutník, se zjevuje své matce, která je obvykle zobrazována, jak se modlí
73E321|Kristus a Marie se objímají ~ po vzkříšení
73E33|Kristus se zjevuje svatým ženám, obvykle třem Mariím
73E34|cesta do Emauz: dva učedníci (Kleofáš a Petr) na cestě
73E341|Kleofáš a Petr se setkávají s Kristem (někdy jsou oblečeni jako poutníci)
73E342|Kleofáš a Petr přicházejí k Emauzské bráně nebo do hostince; Kristus je požádán, aby zůstal
73E3421|Kristovi brání v cestě učedníci Kleofáš a Petr, kteří ho tahají za šaty ~ cesta do Emauz
73E343|večeře v Emauzích: Kristus je rozpoznán při žehnání nebo lámání chleba
73E344|Kristus mizí ~ večeře v Emauzích
73E3441|dva učedníci Kleofáš a Petr bez Krista u stolu ~ večeře v Emauzích
73E345|Kleofáš a Petr se vracejí do Jeruzaléma
73E3451|Kleofáš a Petr informují apoštoly ~ návrat z Emauz do Jeruzaléma
73E35|Kristus se zjevuje apoštolům (shromážděným za zamčenými dveřmi)
73E351|Kristus u stolu s apoštoly ~ po vzkříšení
73E3511|apoštolové přinášejí jídlo Kristu
73E352|Kristus ukazuje apoštolům své rány
73E353|Kristus žehná apoštolům ~ po vzkříšení
73E354|Kristus dýchá na apoštoly (někdy z Kristových úst vychází holubice)
73E355|Kristus nabádá apoštoly, aby zůstali v Jeruzalémě
73E36|tomášova nedůvěřivost
73E361|apoštolové říkají Tomášovi, že viděli Pána; Tomášovy pochybnosti
73E362|Kristus se znovu zjevuje apoštolům (Tomáš je přítomen)
73E363|Christ shows Thomas his wounds
73E364|Tomáš se dotýká nebo natahuje ruce, aby se dotkl rány na Kristově boku, někdy Kristus vede Tomášovu ruku
73E3641|Kristus s rozpřaženýma rukama ~ Tomášova nedůvěra
73E3642|Christ embracing Thomas
73E36421|Tomáš položí ruce na Kristova ramena
73E365|Tomáš natahuje ruku, aby se dotkl ran na Kristových rukou
73E366|Kristus napomíná Tomáše a apoštoly
73E37|zjevení Krista u Genezaretského jezera (Galilejského, Tiberiadského): zázračné vytažení ryb (po zmrtvýchvstání)
73E371|Kristus na břehu nařizuje apoštolům, aby hodili sítě na pravou stranu lodi
73E372|když je síť plná ryb, Jan poznává Pána ~ zjevení Krista u Genezaretského jezera
73E373|Petr se vrhá do moře a plave nebo se brodí ke Kristu
73E3731|Petr kráčí po vodě směrem ke Kristu na břehu
73E374|úlovek je vytažen na břeh: Petr nese těžkou síť s rybami ~ Genezaretské jezero
73E375|Kristus dává apoštolům ryby a chléb
73E376|petrovo poslání ("Pasce oves meas"): Kristus ukazuje na beránka, Petr snad s klíči v rukou
73E3761|Kristus vede Petra za ruku do katedrály
73E38|další zjevení Krista před nanebevstoupením
73E381|Kristus se zjevuje kajícímu Petrovi v jeskyni
73E4|Kristus a jeho apoštolové na Olivové hoře
73E41|scény před Nanebevstoupením
73E411|poslání apoštolů po vzkříšení
73E412|Kristus přednáší nebo hovoří s apoštoly
73E413|Kristus žehná apoštolům na Olivové hoře
73E42|nanebevstoupení (Kristus obklopený zářivým světlem nebo v mandorle)
73E421|Kristus vstupuje do nebe, drží se Boží ruky nebo mu pomáhá anděl (andělé)
73E422|Kristus na obloze ~ Nanebevstoupení Páně
73E4221|Christ carried up by angels ~ Ascension
73E423|Kristus vznesený oblakem ~ Nanebevstoupení
73E424|Kristus jedoucí na voze ~ Nanebevstoupení Páně
73E425|Christ almost vanished: only feet visible ~ Ascension
73E426|Kristus vystupuje do nebe, zatímco apoštolové sedí u stolu (~ Marek 16,14-19)
73E427|Kristus vystupuje do nebe, apoštolové (a Marie) pod ním
73E43|anděl (andělé) hovoří s apoštoly a možná i s dalšími svědky Nanebevstoupení
73E44|kristovy stopy na Olivové hoře ~ Nanebevstoupení Páně
73E5|Letnice: Duch svatý sestupuje na (Marii a) apoštoly, někdy na Pavla a/nebo na přítomné zástupce národů (Sk 2,1-4)
73E51|ducha svatého vycházejícího od Boha Otce (nebo přítomného Boha Otce)
73E52|duch svatý vychází z Krista
73E53|duch svatý vychází z prázdného Kristova trůnu
73E54|ducha svatého vycházejícího od Boha Otce a Krista
73E6|apoštolové, inspirováni Duchem svatým, oslovují zástupce národů ~ Letnice (Sk 2,5-41)
73E61|Petr má kázání
73E62|Petr a ostatní apoštolové křtí
73E63|apoštolové se rozloučí a rozejdou se do všech stran
73E7|Mariina smrt, nanebevzetí a korunovace (někdy jsou přítomny některé z "dcer Hebrejů")
73E71|zvěstování smrti Marie andělem (Gabrielem) s palmovou ratolestí
73E711|Mariina modlitba (obvykle v zahradě) ~ zvěstování Mariiny smrti
73E712|Marie v rozhovoru se svými služebnicemi ~ zvěstování Mariiny smrti
73E72|zázračné shromáždění apoštolů: každý z nich je přinesen na oblaku k Marii na smrtelné posteli
73E73|Marie přijímá poslední svaté přijímání od Jana Evangelisty nebo od Krista
73E74|dormition: Marie na smrtelné posteli; apoštolové jsou shromážděni kolem ní (evangelista Jan může být zobrazen spící nebo snící)
73E741|Kristus se zjevuje a bere Mariinu duši ("assumptio animae")
73E7411|rozhovor mezi Marií a Kristem ~ Dormition
73E742|other representations ~ Mary's death, e.g.: Mary kneeling before her bed
73E75|pohřbení Marie
73E751|pohřební průvod ~ Mariina smrt
73E7511|velekněz Jechoniáš je potrestán za to, že se pokusil převrátit Mariin pohřební prsten: jeho ruce se k němu přilepily
73E752|apoštolové drží stráž u Mariina hrobu
73E76|Kristus vzkřísí Marii z mrtvých
73E77|nanebevzetí Panny Marie ("assumptio corporis"): je vynesena do nebe anděly
73E771|Mariin hrob plný květin
73E772|Marie upustí svůj pásek do Tomášových rukou ~ předpoklad
73E78|nanebevzetí Panny Marie spojené s její korunovací
73E79|korunovace Marie v nebi (obvykle za přítomnosti Nejsvětější Trojice)
73E791|korunovace Marie Bohem Otcem
73E792|korunovace Marie Kristem
73E793|korunovace Marie Bohem Otcem a Kristem
73E794|korunovace Kristem a Duchem svatým
73E795|korunovace Marie jedním nebo více anděly
73E8|Josefova smrt a korunovace
73E81|Josef na smrtelné posteli; přítomnost Krista a Marie
73E82|korunovace Josefa v nebi
73EE1|Vzkříšení Krista - EE - hrob uzavřen (s neporušenými pečetěmi)
73EE11|události těsně před Zmrtvýchvstáním - EE - hrob uzavřen (s neporušenými pečetěmi)
73EE111|boží ruka probouzí Krista - EE - hrob uzavřen (s neporušenými pečetěmi)
73EE112|anděl (andělé) otevřeli Kristův hrob, např.: odvalením kamene - EE - hrob uzavřen (s neporušenými pečetěmi)
73EE113|David u Kristova hrobu - EE - hrob uzavřen (s neporušenými pečetěmi)
73EE12|Kristus, obvykle s praporem, vstává z hrobu; často v kombinaci se spícími a/nebo vyděšenými vojáky - EE - hrob uzavřen (s neporušenými pečetěmi)
73EE121|Kristus odsune víko sarkofágu ~ Vzkříšení - EE - hrob uzavřen (s neporušenými pečetěmi)
73EE1211|víko sarkofágu otevřené andělem ~ Kristovo vzkříšení - EE - hrob uzavřen (s neporušenými pečetěmi)
73EE122|Kristus, částečně viditelný, stojící v otevřeném sarkofágu - EE - hrobka zavřená (s neporušenými pečetěmi)
73EE123|Kristus vychází z hrobu - EE - hrob je uzavřen (s neporušenými pečetěmi)
73EE1231|Kristus prochází zavřenými chrámovými dveřmi - EE - hrob je zavřený (s neporušenými pečetěmi)
73EE13|události bezprostředně po Zmrtvýchvstání - EE - hrob uzavřen (s neporušenými pečetěmi)
73EE131|Kristus stojí na hrobě nebo v jeho blízkosti ~ události po vzkříšení - EE - hrob uzavřen (s neporušenými pečetěmi)
73EE132|Kristus sedí (trůní) na hrobě - EE - hrob uzavřen (s neporušenými pečetěmi)
73EE133|Kristus se vznáší nad hrobem nebo v jeho blízkosti - EE - hrob uzavřen (s neporušenými pečetěmi)
73EE14|symbolické zobrazení vzkříšení - EE - zavřený hrob (s neporušenými pečetěmi)
73EE15|vzkříšený Kristus (s ranami, ale bez trnové koruny), někdy držící kříž - EE - zavřený hrob (s neporušenými pečetěmi)
73EE16|vyděšení a/nebo spící vojáci u Kristova hrobu - EE - hrob uzavřen (s neporušenými pečetěmi)
73EE161|starší podplácejí vojáky penězi ~ Kristovo vzkříšení - EE - hrob uzavřen (s neporušenými pečetěmi)
73EE162|spící vojáci u Kristova hrobu - EE - hrob uzavřen (s neporušenými pečetěmi)
73EE35|Kristus se zjevuje apoštolům (shromážděným za zamčenými dveřmi) - EE - Tomáš není přítomen
73EE351|Kristus u stolu s apoštoly ~ po vzkříšení - EE - Tomáš nepřítomen
73EE3511|apoštolové přinášejí jídlo Kristu - EE - Tomáš není přítomen
73EE352|Kristus ukazuje apoštolům své rány - EE - Tomáš není přítomen
73EE353|Kristus žehná apoštolům ~ po vzkříšení - EE - Tomáš nepřítomen
73EE354|Kristus dýchá na apoštoly (někdy z Kristových úst vychází holubice) - EE - Tomáš není přítomen
73EE355|Kristus nabádá apoštoly, aby zůstali v Jeruzalémě - EE - Tomáš není přítomen
73F|životy a činy Kristových apoštolů; epištoly
73F1|společenství učedníků (kázání, uzdravování atd.) (Sk 2,42-47; 4,32 - 5,11)
73F11|učedníci čekají na Kristův návrat
73F12|učedníci káží a křtí (obecně)
73F13|učedníci uzdravující nemocné (obecně)
73F14|disciples persecuted
73F141|disciples persecuted by Saul (Paul)
73F1411|sbor je rozptýlen Saulovým pronásledováním
73F142|učedníci se vysmívali (nebo byli biti)
73F143|disciples arrested
73F15|disciples live sharing their goods communally
73F151|disciples sell land, houses, etc.
73F1511|Josef (Barnabáš) prodává pozemek a peníze dává apoštolům
73F152|disciples receiving gifts
73F153|rozdělování darů Kristovými učedníky každému podle jeho potřeb
73F154|příběh Ananiáše a Safiry
73F1541|Ananiáš prodává pozemek a část ceny přináší apoštolům
73F1542|Ananiáš, pokáraný Petrem, padá a umírá mezi svými dary
73F1543|Ananiáš odnesen a pohřben mladými muži
73F1544|Peter questioning Sapphira, who then dies too
73F1545|Safira odnesena a pohřbena mladými muži
73F16|sedm vybraných diakonů, mezi nimi Štěpán, který může být zobrazen klečící před Petrem ~ společenství učedníků (Sk 6,1-6)
73F17|po Agabově předpovědi velkého hladu přinášejí Saul (Pavel) a Barnabáš dary shromážděné v Antiochii obci v Jeruzalémě (Sk 11,27-30)
73F2|životy a činy apoštolů (část I)
73F21|petrův život a činy
73F211|Petr uprostřed učedníků navrhuje, aby byl na Jidášovo místo vybrán apoštol (Sk 1,15-26)
73F2111|jsou jmenováni dva učedníci: Josef zvaný Barnabáš (Barsabas, Justus) a Matěj
73F2112|učedníci se modlí za správné rozhodnutí ~ výměna Jidáše
73F2113|los padl na Matouše ~ náhrada za Jidáše
73F2114|Matouš zvolen z vnuknutí Ducha svatého
73F212|petrovy zázraky (někdy ve spolupráci s jinými)
73F2121|uzdravení chromého žebráka u Krásné brány chrámu Petrem a Janem (Sk 3 - 4,31)
73F21211|Petr, Jan a uzdravený muž vstoupí do chrámu, kde Petr pronese kázání
73F21212|Petr a Jan zatčeni
73F21213|Petr a Jan jsou vyslýcháni veleknězem a sanhedrinem
73F21214|když propuštění Petr a Jan vyprávějí učedníkům o událostech
73F21215|učedníci chválí Pána, místo shromáždění se otřásá
73F2122|množství nemocných uzdravených Petrem a dalšími učedníky (Skutky 5,12-16)
73F21221|nemocné lidi vyvedli na ulici, aby na ně dopadl Petrův stín
73F2123|velekněz a saduceové nechají Petra a apoštoly uvěznit (Skutky 5,17-42)
73F21231|v noci anděl otevírá dveře vězení ~ Petrův život a skutky
73F21232|ráno najdou strážníci dveře vězení zavřené a apoštoly pryč; opět kážou v chrámu
73F21233|Petr a apoštolové předvedeni před Sanhedrin
73F212331|gamalielovo varování
73F21234|apoštolové jsou zbiti a poté propuštěni ~ Petr a apoštolové ve vězení
73F2124|Petr a Jan vkládají ruce na věřící v Samaří, aby přijali Ducha svatého (Skutky 8,14-17)
73F21241|Šimon Mág nabízí Petrovi peníze, aby si koupil tajemství jeho moci (Skutky 8,18-24)
73F212411|Petr odmítá peníze nabízené Šimonem Mágem
73F2125|Petr v Lyddě uzdravuje Eneáše, který byl osm let upoután na lůžko (Sk 9,32-35)
73F2126|Petr a Tabita (Dorka) (Skutky 9:36-42)
73F21261|tabitiny dobročinné skutky: šije oblečení pro chudé
73F21262|Tabitha na smrtelné posteli
73F21263|dva poslové žádají Petra, aby přišel do Joppe
73F21264|Petrovi jsou ukázány látky, které vyrobila Tabita
73F21265|Tabita je vzkříšena z mrtvých na základě Petrovy modlitby
73F2127|Peter's staff raises Gregorius Presbyter
73F2128|Petr a jeho "dcera" Petronila
73F21281|Petronilla je dočasně uzdravena Petrem
73F21282|Petr vysvětluje davu užitečnost Petroniliny nemoci
73F21283|Ptolemaios (nebo Flaccus) spatří krásu Petronily a zamiluje se do ní
73F212831|Ptolemy's grief when Petronilla's illness shows up again
73F212832|Ptolemaios jde za Petrem a stává se věřícím
73F2129|Petr a dcera zahradníka
73F21291|zahradník požádá Petra, aby se modlil za jeho dceru, která pak zemře
73F21292|Petr vychovává dceru zahradníka
73F21293|dcera zahradníka je znásilněna cizincem
73F213|Petr a setník Kornélius (Skutky 10)
73F2131|Setník Kornélius a anděl
73F2132|Kornélius posílá k Petrovi do Joppe dva služebníky a vojáka
73F2133|Petrovo vidění nečistých zvířat na střeše domu Šimona Koželuha: z nebe se snáší plachta plná čtyřnohých zvířat, plazů a nebeského ptactva
73F2134|Petr přijímá tři Kornéliovy služebníky
73F2135|Petr v Kornéliově domě: Duch svatý sestupuje na Kornélia a jeho rodinu, kteří jsou Petrem pokřtěni
73F21351|duch svatý sestupuje na pohany po Petrově modlitbě
73F2136|učedníci diskutují s Petrem o pohanech (Sk 11,1-18)
73F21361|poté, co Petr vyprávěl příběh o Kornéliově obrácení, oslavují Boha
73F214|Petr pronásledovaný v Jeruzalémě (Skutky 12,1-23)
73F2141|Král Herodes Agrippa nechá Petra zatknout a uvěznit
73F2142|Peter sleeping between two soldiers
73F2143|zjevuje se anděl a vyzývá Petra, aby se probudil ~ Petr ve vězení
73F2144|anděl vede Petra kolem spících strážců
73F2145|anděl zmizí: Petr zůstává sám na ulici
73F2146|Petr jde do "domu Marie, matky Janovy", kde je shromážděno mnoho učedníků (a klepe na dveře)
73F21461|Služebná Rhoda pozná Petra
73F21462|Rhoda řekne učedníkům, že Petr je u brány; otevřou dveře
73F21463|Petr vypráví příběh svého osvobození
73F2147|po zjištění Petrova útěku Herodes Agrippa odsoudí vězně
73F2148|Král Herodes Agrippa promlouvá k lidu; je zasažen andělem a umírá
73F215|Petr v Římě
73F2151|Petrova cesta do Říma
73F21511|Petr se vydává na ~ cestu do Říma
73F21512|Petr učí Theona, kapitána lodi, který měl vidění o apoštolovi
73F21513|Petr křtí Theona v moři: vidí Krista
73F2152|Šimon Mág přijíždí do Říma v oblaku
73F21521|Šimon Mág svými kouzly oklamal křesťany v Římě
73F2153|Petr v Římě; jeho souboj se Šimonem Mágem
73F21531|Petrovo kázání v Římě
73F21532|Petr před domem senátora Marcella, kde Šimon bydlí
73F215321|Petr pošle do domu psa, aby Šimona přivolal ven
73F215322|Marcellus se kajícně vrhá Petrovi k nohám
73F215323|Petr vyhání démona z mladého muže
73F2153231|démon, kterého Petr vyhnal z mladíka, poškodí sochu císaře
73F215324|Marcellus zázračně spojí sochu tím, že její části pokropí vodou
73F215325|Simon Magus a pes v diskusi
73F2153251|pes se vrací k Petrovi a umírá ~ souboj se Šimonem Mágem
73F215326|Peter připraví uzenou rybu tuňáka
73F215327|Šimon Mág, s nímž špatně zachází Marcelovo služebnictvo, je vyhozen z domu
73F21533|Šimon je osloven dítětem před Narcisovým domem, kde je Petr ubytován
73F21534|Kristus se zjevuje Petrovi v noci
73F21535|Petr uzdraví slepou vdovu
73F215351|ostatní slepé vdovy v Marcelově domě jsou uzdraveny světlem, v němž se zjevuje Kristus
73F21536|spor mezi Petrem a Šimonem Mágem na Fóru (spor před Neronem; Pavel může být přítomen)
73F215361|Šimon Mág zabije mladíka svým čarodějnictvím
73F2153611|Petr vzkřísí z mrtvých chlapce, kterého zabil Šimon Mág
73F215362|syn vdovy je vzkříšen z mrtvých Petrem
73F215363|šimon Mág se pokouší oživit mrtvého senátora Nikostrata, ale dokáže pohnout pouze hlavou
73F2153631|Peter resuscitates Nicostratus completely
73F2153632|matka Nikostrata přináší Petrovi peníze pro "Kristovy dívky"
73F2153633|Nikostratos také přináší peníze jako oběť
73F215364|s pomocí démonů Šimon seskočí z věže a letí nad Římem
73F215365|Petr se modlí: Šimon padá a umírá
73F2154|další scény ~ Petrovy činy a cesty
73F21541|Pavel navštíví Petra ve vězení v Antiochii a donutí ho jíst
73F216|petrovo umučení a smrt
73F2161|Petr se snaží nepozorovaně opustit Řím: u brány potkává Krista, který obvykle nese kříž ("Domine, quo vadis?")
73F2162|Petr se vrací do Říma, aby byl ukřižován
73F2163|Petr ve vězení ~ Petrovo umučení a smrt
73F21631|Peter's hair is cut
73F21632|Petr v žaláři nabere vodu ze skály a pokřtí Processuse a Martiniana, dozorce
73F2164|Petra vedou čtyři vojáci na popravu; jeho poslední modlitba
73F2165|Peter crucified upside down
73F2166|Marcellus sundává Petrovo mrtvé tělo z kříže
73F2167|pomazání Petrova těla
73F2168|Petr je pohřben v Marcellově hrobce
73F217|narrations ~ Peter after his death
73F2171|přemístění Petrových ostatků
73F22|život a činy Pavla (Saula)
73F221|příběh Pavlova obrácení (Skutky 9,1-18)
73F2211|Saul si přeje dopisy od velekněze, aby mohl pronásledovat Pánovy učedníky v Damašku
73F2212|na cestě do Damašku se Saulovi zjeví Kristus, který spadne z koně a je oslepen světlem
73F2213|slepý Saul je veden do Damašku
73F2214|ananiášovo vidění
73F2215|Ananiáš navrací Saulovi zrak vkládáním rukou
73F2216|Saul is baptized by Ananias
73F222|první aktivity Pavla po jeho obrácení (Skutky 9,19-30)
73F2221|Pavel káže v damašské synagoze
73F2222|Židé se snaží zabít Pavla
73F2223|učedníci pustili Pavla v koši dolů po hradbách města
73F2224|v Jeruzalémě Barnabáš přivádí Pavla k apoštolům
73F2225|Pavel a Petr diskutují v Jeruzalémě (Galatským 1:18)
73F2226|Pavel jde z Jeruzaléma do Tarsu
73F223|pavlovy misijní cesty
73F2231|první Pavlova misijní cesta (Skutky 13-14)
73F22311|vyslání Pavla a Barnabáše ~ první Pavlova misijní cesta
73F22312|Pavel a Barnabáš kážou v synagóze v Salamíně
73F22313|v Pafu jsou Pavel a Barnabáš předvedeni před římského místodržitele Sergia Paula
73F223131|čaroděj Elymas (Elymes, Bar-Jesus), který se snaží zabránit Pavlovi a Barnabášovi v rozhovoru, je Pavlem zasažen do očí
73F22314|Pavel a Barnabáš kážou v synagoze v Antiochii Pisidské
73F22315|Pavel a Barnabáš v Lystře
73F223151|Pavel a Barnabáš uzdraví mrzáka; obyvatelé Lystry si myslí, že jsou Merkur a Jupiter
73F223152|příprava obětní slavnosti s voly a věnci před Jupiterovým chrámem ~ Pavel a Barnabáš v Lystře
73F223153|Pavel a Barnabáš si roztrhnou šaty a snaží se zabránit obětování
73F223154|Židé přesvědčují lid ~ Pavel a Barnabáš v Lystře
