4|Society, Civilization, Culture
48A11|artist receiving commission
48A111|mecenáš (nebo klient), který navštíví umělce
48A12|artist offering his work, 'Dedikationsbild'
48A13|art lover receiving artists, 'salon (littéraire)'
48A2|kritika a diskuse o umění, umělecká kritika
48A21|positive criticism
48A211|positive criticism by (professional) critic
48A212|pozitivní kritika ze strany veřejnosti
48A22|negative criticism
48A220|umění ~ 'Invidia et Ignorantia'
48A221|negative criticism by (professional) critic
48A222|negativní kritika ze strany veřejnosti
48A23|teorie umění
48A231|'Paragone'
48A24|zasvěcení do umění
48A25|kolísání umělecké pověsti v průběhu času
48A251|favourable reputation; artistic fame
48A252|nepříznivá pověst (umělce)
48A26|parodie na umění
48A3|competition, art contest
48A31|jury ~ art contest
48A311|rozdělení cen ~ výtvarná soutěž
48A4|pocta umělci
48A41|uctění umělce vavřínovým věncem
48A42|vzpomínka na umělce
48A5|konzervace uměleckého díla
48A51|restaurování uměleckého díla
48A59|drancování umění
48A591|zotavení v oblasti umění
48A6|poškození nebo zničení uměleckého díla
48A7|prezentace uměleckého díla veřejnosti; předvádění, interpretace, recitace
48A71|performance
48A711|zkouška ~ umělecké dílo
48A712|publikum ~ umělecké představení
48A7121|applause; 'claque'
48A713|interval ~ art performance
48A72|budovy pro představení
48A721|theatre (building)
48A722|concert hall
48A723|opera house
48A724|music-hall
48A725|cinema, movie-house
48A726|cabaret (locality)
48A729|přední část domu budov používaných pro představení
48A7291|foyer ~ theatre, etc.
48A7292|auditorium ~ theatre, etc.
48A7293|stalls ~ theatre, etc.
48A7294|galleries ~ theatre, etc.
48A7295|boxes, loges ~ theatre, etc.
48A8|sbírání a vystavování výrobků výtvarného umění
48A81|art collecting
48A811|art collector
48A8111|art collection, art gallery
48A8112|kabinet kuriozit, "Kunst- und Wunderkammer
48A81121|'Kunstschrank'
48A82|exhibition ~ art
48A821|permanent exhibition, museum
48A8211|museum personnel
48A822|temporary exhibition, 'Salon'
48A83|art trade, art shop
48A831|art dealer
48A8311|antique dealer
48A832|art sale, auction
48A9|stylistická a formální diferenciace umění
48A91|styly ve výtvarném umění
48A92|folk art
48A93|naïve art
48A94|amateur art
48A95|children's art
48A96|psychotické a psychiatrické umění
48A97|'kitsch', 'Trivialkunst'
48A98|ornaments ~ art
48A981|ornament ~ geometric motifs
48A9811|ornament ~ straight lines (right angles only)
48A98111|ornament ~ meander
48A9812|ornament ~ rovné linie (střídavé a doplňkové úhly)
48A9813|ornament ~ kulaté a zakřivené tvary
48A98131|ornament ~ kruh a odvozeniny od kruhu, např.: guilloche
48A98132|ornament ~ elipsa a odvozeno od elipsy
48A98133|ornament ~ spirála a odvozeniny od spirály, např.: Řecká vlna
48A98134|ornament ~ other curved forms
48A9814|ornament ~ kombinace rovných a zakřivených linií
48A98141|ornament ~ tracery
48A9815|ornament ~ starforms
48A98151|ornament ~ pentagram
48A9816|ornament ~ radiating forms, wheelforms
48A9817|ornament ~ rotating forms
48A98171|ornament ~ yin-yang
48A98172|triskele (ornament)
48A982|anthropomorphic ornament
48A9821|ornament ~ human parts
48A98211|mask, mascaron ~ ornament
48A98212|foliated head ~ ornament
48A9822|ornament ~ human monstrosities
48A9823|ornament ~ hybridní bytosti; smíšené lidské a zvířecí formy
48A983|ornament odvozený od rostlinných forem
48A9831|foliage, tendrils, branches ~ ornament
48A98311|foliage ~ ornament
48A983111|acanthus ~ ornament
48A983112|palmette ~ ornament
48A98312|tendrils ~ ornament
48A98313|branches, 'Astwerk' ~ ornament
48A9832|ovoce a zelenina ~ ornament
48A98321|pomegranate ~ ornament
48A9833|flowers ~ ornament
48A98331|fleur-de-lis ~ ornament
48A98332|lotus ~ ornament
48A98333|svazek květin ~ ornament
48A9834|unidentifiable plant forms ~ ornament
48A98341|rosette ~ ornament
48A984|ornament odvozený od zvířecích forem
48A9841|bucranium ~ ornament
48A9842|ram's head ~ ornament
48A9843|lion's head ~ ornament
48A9844|dolphin ~ ornament
48A9845|další ornamenty odvozené od zvířecích forem
48A9846|ornament ~ hybrid animals
48A985|ornament odvozený od předmětů
48A9851|ribbon, scroll, banderole ~ ornament
48A9852|linenfold ~ ornament
48A9853|scallop, shell ~ ornament
48A9854|vase ~ ornament
48A9855|lambrequin ~ ornament
48A9856|ornament odvozený od architektonických detailů
48A9857|(jiné) ozdoby pocházející z předmětů
48A9857(...)|(jiné) ozdoby pocházející z předmětů (s NÁZVEM)
48A986|fantasy ornament
48A9861|scrollwork, strapwork ~ ornament
48A9862|auricular ornament, lobe style ~ ornament
48A9863|rocaille ornament
48A9864|other fantasy ornament
48A987|frequently used ornamental compositions
48A9871|ornament ~ arabesque
48A98711|ornament ~ candelabrum
48A9872|ornament ~ grotesque
48A9873|ornament ~ moresque
48A9874|trofej, tj.: dekorativní uspořádání symbolických nebo typických předmětů ~ ornament
48A9875|ornament ~ festoon, garland
48A9876|ornament ~ cartouche
48A9877|ornament ~ medallion
48A9878|interlace ~ ornament
48A98781|abstract interlace, knotwork ~ ornament
48A98782|animal interlace ~ ornament
48A98783|floral interlace ~ ornament
48A9879|'Laub- und Bandelwerk' ~ ornament
48AA72|budovy pro představení - AA - představení pod širým nebem
48AA721|theatre (building) - AA - open-air performances
48AA722|concert hall - AA - open-air performances
48AA723|opera house - AA - open-air performances
48AA724|music-hall - AA - open-air performances
48AA725|cinema, movie-house - AA - open-air performances
48AA726|cabaret (locality) - AA - open-air performances
48AA729|předzahrádky budov používaných pro představení - AA - představení pod širým nebem
48AA7291|foyer ~ theatre, etc. - AA - open-air performances
48AA7292|auditorium ~ theatre, etc. - AA - open-air performances
48AA7293|stalls ~ theatre, etc. - AA - open-air performances
48AA7294|galleries ~ theatre, etc. - AA - open-air performances
48AA7295|boxes, loges ~ theatre, etc. - AA - open-air performances
48AA982|anthropomorphic ornament - AA - stylized
48AA9821|ornament ~ human parts - AA - stylized
48AA98211|mask, mascaron ~ ornament - AA - stylized
48AA98212|foliated head ~ ornament - AA - stylized
48AA9822|ornament ~ human monstrosities - AA - stylized
48AA9823|ornament ~ hybridní bytosti; smíšené lidské a zvířecí formy - AA - stylizované
48AA983|ornament odvozený od rostlinných forem - AA - stylizovaný
48AA9831|foliage, tendrils, branches ~ ornament - AA - stylized
48AA98311|foliage ~ ornament - AA - stylized
48AA983111|acanthus ~ ornament - AA - stylized
48AA983112|palmette ~ ornament - AA - stylized
48AA98312|tendrils ~ ornament - AA - stylized
48AA98313|branches, 'Astwerk' ~ ornament - AA - stylized
48AA9832|ovoce a zelenina ~ ornament - AA - stylizovaný
48AA98321|pomegranate ~ ornament - AA - stylized
48AA9833|flowers ~ ornament - AA - stylized
48AA98331|fleur-de-lis ~ ornament - AA - stylized
48AA98332|lotus ~ ornament - AA - stylized
48AA98333|svazek květin ~ ornament - AA - stylizovaný
48AA9834|unidentifiable plant forms ~ ornament - AA - stylized
48AA98341|rosette ~ ornament - AA - stylized
48AA984|ornament odvozený od zvířecích forem - AA - stylizovaný
48AA9841|bucranium ~ ornament - AA - stylized
48AA9842|ram's head ~ ornament - AA - stylized
48AA9843|lion's head ~ ornament - AA - stylized
48AA9844|dolphin ~ ornament - AA - stylized
48AA9845|jiný ornament odvozený od zvířecích forem - AA - stylizovaný
48AA9846|ornament ~ hybrid animals - AA - stylized
48AA985|ornament odvozený od předmětů - AA - stylizovaný
48AA9851|ribbon, scroll, banderole ~ ornament - AA - stylized
48AA9852|linenfold ~ ornament - AA - stylized
48AA9853|scallop, shell ~ ornament - AA - stylized
48AA9854|vase ~ ornament - AA - stylized
48AA9855|lambrequin ~ ornament - AA - stylized
48AA9856|ornament odvozený od architektonických detailů - AA - stylizovaný
48AA9857|(ostatní) ornamenty odvozené od předmětů - AA - stylizované
48AA9857(...)|(ostatní) ornamenty odvozené od předmětů (s NAME) - AA - stylizované
48B|umělec (obecně)
48B1|umělec při práci ve své dílně
48B10|inspirace umělce (obecně)
48B101|umělec a jeho múza (obecně)
48B11|dílna, ateliér umělce (obecně)
48B111|ateliérové rekvizity (obecně pro umělce)
48B12|pracovní situace umělce
48B121|umělec (obecně) vytváří předběžné návrhy, skicuje
48B122|umělec (obecně) studující klasické pozůstatky
48B123|umělec (obecně) vytvářející model
48B124|umělec (obecně) pracující podle živého modelu
48B1241|umělec (obecně) pracující s oblečeným modelem
48B1242|umělec (obecně) pracující s nahým modelem
48B13|artist's model, sitter
48B14|vzdělávání, výuka umělce (obecně)
48B141|místo nebo instituce, kde se umělec vzdělává a školí, např.: akademie umění
48B1410|personifikace (umělecké) akademie; "Academia" (Ripa)
48B142|zázračný talent mladého umělce
48B143|artist training pupils
48B15|umělec při práci s asistenty nebo žáky
48B19|artist destroying his own work
48B2|umělec v mimopracovní situaci
48B21|Fame ~ artist
48B22|umělce a jeho rodiny, příbuzných atd.
48B23|kruh, klub umělců
48B24|Bohémský život umělce
48B25|neuznaný génius umělce
48B26|umělec na smrtelné posteli
48B3|portrét, autoportrét umělce
48B4|(profesní) organizace umělců
48B41|Cech svatého Lukáše
48B411|erb cechu svatého Lukáše
48B42|akademie, sdružení umělců
48B43|rétorická komora (nizozemsky "rederijkerskamer")
48BB1|umělec při práci, v dílně - BB - venku
48BB10|inspirace umělce (obecně) - BB - out of the doors
48BB101|umělec a jeho múza (obecně) - BB - out of doors
48BB11|dílna, ateliér umělce (všeobecně) - BB - mimo domov
48BB111|ateliérové rekvizity (obecně pro umělce) - BB - out of doors
48BB12|pracovní situace umělce - BB - mimo domov
48BB121|umělec (obecně), který vytváří předběžné návrhy, skicuje - BB - venku
48BB122|umělec (obecně) studující klasické pozůstatky - BB - mimo domov
48BB123|umělec (obecně), který vytváří model - BB - venku
48BB124|umělec (obecně) pracující podle živého modelu - BB - out of doors
48BB1241|umělec (obecně) pracující s oblečeným modelem - BB - out of doors
48BB1242|umělec (obecně) pracující s nahým modelem - BB - out of doors
48BB13|model umělce, hlídání - BB - mimo domov
48BB14|vzdělávání, výuka umělce (obecně) - BB - mimo budovu
48BB141|místo nebo instituce, kde se umělec vzdělává a školí, např.: akademie umění - BB - out of doors
48BB1410|personifikace (umělecké) akademie; "Academia" (Ripa) - BB - out of doors (mimo dveře)
48BB142|zázračný talent mladého umělce - BB - out of doors
48BB143|umělecký výcvik žáků - BB - venku
48BB15|umělec při práci s asistenty nebo žáky - BB - mimo budovu
48BB19|umělec ničící své vlastní dílo - BB - venku
48C|umění; umělci
48C1|architecture
48C10|"Architectura", symbolická zobrazení, alegorie a emblémy ~ architektura; "Architettura" (Ripa)
48C101|původ architektury
48C11|architekt při práci
48C111|designing, sketching ~ architect
48C112|architect studying ancient architecture
48C113|architekt nabízející návrh nebo model patronovi
48C114|architect supervising building activities
48C12|architekt v mimopracovní situaci
48C13|portrét, autoportrét architekta
48C14|architektonické reprezentace obecně
48C141|zobrazení skutečné budovy (existující nebo existující)
48C1411|exteriér ~ zobrazení budovy
48C14111|pohled z ptačí perspektivy ~ zobrazení budovy
48C1412|interiér ~ zobrazení budovy
48C1413|karikatura budovy
48C142|architektonický návrh nebo model
48C1421|série návrhů, modelů atd. jednoho architektonického projektu
48C1422|model ~ architecture
48C1423|plan ~ architecture
48C14231|půdorys ~ architektonický návrh nebo model
48C1424|sekce ~ architektonický návrh nebo model
48C1425|exteriér ~ architektonický návrh nebo model
48C14251|pohled z ptačí perspektivy ~ architektonický návrh nebo model
48C14252|fasáda ~ architektonický návrh nebo model
48C1426|interiér ~ architektonický návrh nebo model
48C1427|kombinace exteriéru a interiéru ~ architektonický návrh nebo model
48C143|ideální a vizionářská architektura
48C1431|fantastic architecture, unrealistic architectural fantasies
48C1432|model ideálního nebo vizionářského architektonického projektu
48C1433|plán ~ ideální nebo vizionářský architektonický návrh nebo model
48C1434|sekce ~ ideální nebo vizionářský architektonický návrh nebo model
48C1435|exteriér ~ ideální nebo vizionářský architektonický návrh nebo model
48C14351|pohled z ptačí perspektivy ~ ideální nebo vizionářský architektonický návrh nebo model
48C1436|interiér ~ ideální nebo vizionářský architektonický návrh nebo model
48C1437|kombinace exteriéru a interiéru ~ ideální nebo vizionářský architektonický návrh nebo model
48C144|architectural folly
48C145|architektonické scenérie na obrazech, sochách apod.
48C1451|'Architekturbild'
48C149|ruina budovy ~ architektura
48C15|nástroje, nářadí architekta
48C16|architectural detail
48C161|column, pillar ~ architecture
48C1611|half-column, pilaster ~ architecture
48C1612|capital (~ column, pillar)
48C1613|base (~ column, pillar)
48C1614|spirálový nebo šalamounský sloup
48C1615|colonnade
48C162|arch, archivolt ~ architecture
48C1621|arcade ~ architecture
48C1622|vault ~ architecture
48C1622(...)|trezor (s NAME)
48C16221|keystone ~ architecture
48C1623|dome ~ architecture
48C1624|'concha' ~ architecture
48C163|orders, order-books ~ architecture
48C1631|Doric order ~ architecture
48C1632|Tuscan order ~ architecture
48C1633|Ionic order ~ architecture
48C1634|Corinthian order ~ architecture
48C1635|composite order ~ architecture
48C164|constructive (architectural) parts ~ human beings
48C1641|atlantes ~ architecture
48C1642|caryatids ~ architecture
48C165|mouldings ~ architecture
48C165(...)|lišty ~ architektura (s NAME)
48C166|surface decorations ~ architecture
48C1661|rustication ~ surface decorations (architecture)
48C167|pavement, floor ~ architecture
48C168|other architectural details
48C168(...)|další architektonické detaily (s NAME)
48C168(ARCHITRAVE)|other architectural details: architrave
48C2|sculpture
48C20|"Sculptura", symbolická zobrazení, alegorie a emblémy ~ sochařství; "Scoltura" (Ripa)
48C21|sochař při práci
48C211|sochař tvořící model, bozzetto
48C212|(hollow) casting
48C213|sculptor studying classical remains
48C22|sochař v mimopracovní situaci
48C23|portrét, autoportrét sochaře
48C24|sochařské dílo, reprodukce sochařského díla
48C241|galerie soch
48C242|skříňka na voskové figuríny
48C243|karikatura sochařského díla
48C244|podstavec sochařského díla (třeba v podobě hermy)
48C25|nástroje, nářadí sochaře
48C25(...)|nástroje, nářadí sochaře (s NÁZVEM)
48C25(MALLET)|nástroje, nářadí sochaře: palička
48C26|medaile (považovaná za sochařské dílo bez ohledu na její konkrétní funkci)
48C27|gem, gemstone
48C3|užité umění, umělecká řemesla; průmyslový design
48C30|symbolická zobrazení, alegorie a emblémy ~ užité umění
48C31|craftsman ~ applied arts
48C311|jeweller, goldsmith, silversmith
48C312|craftsman ~ base metal
48C313|potter, ceramist
48C314|glass-blower
48C315|tapestry weaver, gobelin maker
48C316|joiner, cabinet maker, 'ébéniste'
48C32|portrét, autoportrét řemeslníka v oblasti užitého umění
48C33|dílo užitého umění
48C34|nástroje, nářadí řemeslníků
48C34(...)|nástroje, nářadí a náčiní řemeslníků (s NÁZVEM)
48C34(POTTER'S WHEEL)|nástroje, nářadí řemeslníků: hrnčířský kruh
48C34(TOUCH-STONE)|nástroje, nářadí řemeslníků: dotykový kámen
48C35|ornamenting, decorating ~ applied arts
48C351|decorating 'en relief', appliquéing
48C352|decorating 'en creux'
48C3521|engraving
48C3522|etching
48C3523|carving ~ applied arts
48C35231|chip carving
48C353|flat decoration ~ applied arts
48C3531|painting ~ applied arts
48C35311|lacquering ~ applied arts
48C3532|printing ~ applied arts
48C3533|enamelling ~ applied arts
48C3534|veneering ~ applied arts
48C35341|making intarsia ~ applied arts
48C35342|making marquetry ~ applied arts
48C3535|damascening, niello-ing ~ applied arts
48C3536|encrusting ~ applied arts
48C36|industrial design
48C361|industrial designer
48C4|monumentální umění
48C40|symbolická zobrazení, alegorie a emblémy ~ monumentální umění
48C41|monumental artist
48C411|mosaicist
48C412|mural painter
48C413|stained-glass artist
48C42|portrét, autoportrét monumentálního umělce
48C43|monumentální umělecké dílo
48C44|nástroje a náčiní monumentálního umělce
48C5|malba, kresba a grafika
48C51|painting (including book-illumination, miniature-painting)
48C510|"Pictura", symbolická zobrazení, alegorie a emblémy ~ malba; "Pittura" (Ripa)
48C5101|vznik malby a kresby
48C511|malíř při práci v ateliéru
48C5110|inspirace malíře
48C51101|malíř a jeho múza
48C51102|malíř muzicíruje, malíř s hudebním nástrojem
48C5111|workshop, studio ~ painter
48C51111|studio requisites ~ painter
48C5112|working situations ~ painter
48C51121|painter making preliminary designs, sketching
48C51122|painter studying classical remains
48C51123|malíř pracující podle živého modelu
48C511231|malíř pracující s oblečeným modelem
48C511232|malíř pracující s nahým modelem
48C5113|model, sitter ~ painting
48C5114|painter preparing colours
48C5115|painter training pupils
48C51151|malíř při práci s asistenty nebo žáky
48C5119|painter destroying his own work
48C512|malíř v mimopracovní situaci
48C513|portrét, autoportrét malíře
48C514|picture, painting
48C5141|'gemalte Galerie'
48C5142|picture within picture
48C5143|karikatura malby
48C515|nářadí, nástroje malíře
48C5151|easel
48C5152|palette
48C5153|štětce ~ malířské náčiní
48C5154|figurína, figurína-manipulátor
48C5155|modelové knihy ~ nástroje malíře
48C5156|rám obrazu atd.
48C51561|'passe-partout'
48C51562|(feigned) picture curtain
48C5157|maulstick
48C52|drawing
48C520|symbolická zobrazení, alegorie a emblémy ~ kresba
48C521|kreslíř při práci
48C5211|draughtsman studying classical remains
48C5212|drawing-lesson
48C522|kreslič v mimopracovní situaci
48C523|portrét, autoportrét kreslíře
48C524|drawing, sketch
48C525|nástroje, nářadí a náčiní kresliče
48C5251|"camera obscura" (~ nástroje, pomůcky kreslíře)
48C5252|"camera lucida" (~ nástroje, nářadí kreslíře)
48C5253|vypouklé zrcadlo (~ nástroje, nářadí kreslíře)
48C5254|silhouette-apparatus, 'physionotrace'
48C5255|nástroje pro perspektivní kreslení
48C53|grafické umění
48C530|symbolická zobrazení, alegorie a emblémy ~ grafické umění
48C531|graphic artist
48C5311|woodcutter, wood-engraver
48C5312|engraver, etcher
48C5313|lithographer
48C532|portrét, autoportrét grafika
48C533|print, e.g.: engraving, etching, lithograph
48C534|nástroje, náčiní grafika
48C534(...)|nástroje, náčiní grafika (s NÁZVEM)
48C6|photography, cinematography
48C61|photography
48C610|symbolická zobrazení, alegorie a emblémy ~ fotografie
48C611|fotograf při práci
48C6111|studio ~ photographer
48C61111|studio requisites ~ photographer
48C6112|taking photographs
48C61121|fotografování modelu, fotografované osoby
48C6113|dark room
48C6114|processing film
48C61141|developing ~ film
48C61142|printing ~ film
48C612|fotograf v mimopracovní situaci
48C613|portrét, autoportrét fotografa
48C614|photograph
48C6141|negative ~ photography
48C6142|transparency, slide
48C6143|plate, film ~ photography
48C6144|digital photograph
48C615|photographic apparatus
48C6151|camera ~ photography
48C62|cinematography
48C620|symbolická zobrazení, alegorie a emblémy ~ kinematografie
48C621|kameraman při práci
48C6211|studio ~ cinematographer
48C6212|natáčení, kameraman při práci
48C62121|natáčení celovečerního filmu
48C62122|tvorba animovaného filmu
48C6213|montage, cutting ~ film
48C622|kameraman v nepracovní situaci
48C623|portrét, autoportrét kameramana
48C624|film, celluloid
48C6241|cívka filmu
48C625|cinematographic apparatus
48C6251|film camera, movie camera, video camera
48C6252|film projector
48C6253|magic lantern
48C63|první počátky fotografie a kinematografie
48C7|music
48C70|"Musica", symbolická zobrazení, alegorie a emblémy ~ hudba; "Musica"(Ripa)
48C701|původ hudby
48C702|kouzelná síla hudby
48C71|composer
48C711|skladatel při práci
48C7110|inspirace skladatele
48C71101|skladatel a jeho múza
48C712|skladatel v mimopracovní situaci
48C713|portrét skladatele
48C72|musician
48C721|hudebník při práci
48C7210|inspirace hudebníka
48C72101|hudebník a jeho múza
48C7211|musician training pupils, music-lesson
48C722|hudebník v mimopracovní situaci
48C723|portrét hudebníka
48C723(...)|portrét hudebníka (se jménem profese)
48C73|hudební nástroje; skupina hudebních nástrojů
48C731|string instruments (bowed)
48C7311|violin, fiddle
48C7312|viola, violoncello; double bass
48C7313|viol, rebec (violin-like instruments)
48C7314|hurdy-gurdy
48C7315|ostatní smyčcové nástroje, na které se hraje smyčcem
48C7315(...)|ostatní smyčcové nástroje hrané smyčcem (s NAME)
48C732|string instruments (plucked)
48C7321|lyre, cithara, psaltery
48C7322|harp
48C7323|loutna a speciální formy loutny, např.: theorba
48C7324|cithern, mandolin, guitar, balalaika
48C7325|dulcimer, zither
48C7326|other string instruments (plucked)
48C7326(...)|ostatní smyčcové nástroje (drnkací) (s NAME)
48C733|keyboard instruments
48C7331|spinet, virginal
48C7332|clavichord, harpsichord
48C7333|pianoforte
48C73331|grand piano
48C7334|organ
48C73341|church organ
48C7335|accordion
48C7336|other keyboard instruments
48C7336(...)|ostatní klávesové nástroje (s NAME)
48C734|percussion instruments
48C7341|drum (musical instrument)
48C73411|tambourine
48C7342|clappers, castanets
48C7343|carillon, chimes
48C73431|bell ~ musical instruments
48C7344|other percussion instruments
48C7344(...)|ostatní bicí nástroje (s NAME)
48C735|wind instruments
48C7351|flute, aulos, tibia
48C73511|recorder (musical instrument)
48C73512|clarinet, bassoon, oboe, shawm
48C73513|transverse flute
48C7352|horn, trumpet, cornet, trombone, tuba
48C73521|saxophone
48C7353|panpipes
48C7354|bagpipe, musette
48C7355|mouth organ
48C7356|other wind instruments
48C7356(...)|ostatní dechové nástroje (s NAME)
48C7356(CONCH)|other wind instruments: conch
48C736|instruments ~ popular music
48C737|improvised musical instruments (kitchen-utensils, etc.)
48C737(...)|improvizované hudební nástroje (s NAME)
48C737(RUMBLING-POT)|improvised musical instruments: rumbling pot
48C738|accessories ~ music: metronome, music-stand, tuning-fork, etc.
48C74|notový zápis hudby
48C741|tištěné vydání partitury
48C742|rukopis hudební partitury
48C7421|autograf ~ notový zápis hudby
48C743|musical theory
48C75|muzicírování; hudebník s nástrojem
48C751|jedna osoba s hudebním nástrojem, nehrající
48C7511|ladění nástroje
48C75111|ladění loutny
48C7512|osoba s hudebním nástrojem, přemýšlející, rozjímající
48C752|jedna osoba hrající na nástroj
48C7521|one person playing string instrument (bowed)
48C7522|one person playing string instrument (plucked)
48C7523|one person playing keyboard instrument
48C7524|one person playing percussion instrument
48C7525|one person playing wind instrument
48C753|více než jeden hudebník s nástrojem
48C7531|velká skupina hudebníků, orchestr
48C7532|malá skupina hudebníků, komorní orchestr, jazzová kapela
48C754|společná instrumentální a vokální hudba
48C7541|singer accompanying himself
48C75411|minstrel, 'jongleur'
48C75412|bard, lyric poet
48C7542|musician(s) accompanying singer(s)
48C755|vocal music, singing
48C7551|zpěvák bez doprovodu
48C75511|male singer
48C75512|female singer
48C7552|choir
48C756|popular music, street music
48C7561|instrumental popular music
48C75611|hurdy-gurdy player
48C75612|barrel-organ player
48C75613|one person playing several instruments, one-man band
48C75614|brass band, street band
48C7562|vocal popular music
48C75621|ballad singer, ballad seller
48C76|'automatic' music
48C761|musical box
48C762|street-organ, 'pierement'
48C763|pianola; orchestrion
48C77|conductor ~ music
48C771|baton ~ conductor
48C78|poslech hudby
48C8|jevištní umění: balet, divadlo, hudební drama, film
48C80|symbolická zobrazení, alegorie a emblémy ~ jevištní umění
48C801|symbolická zobrazení, alegorie a emblémy ~ tanec a balet
48C802|symbolická zobrazení, alegorie a emblémy ~ divadlo
48C8021|symbolická zobrazení, alegorie a emblémy ~ dramatická literatura
48C803|symbolická zobrazení, alegorie a emblémy ~ hudební drama
48C804|symbolic representations, allegories, emblems ~ motion picture
48C81|jeviště a jeho vybavení
48C811|stage design
48C812|za jevištěm
48C813|set, scenery ~ stage
48C8131|backdrop
48C8132|lights ~ stage
48C8133|curtain ~ stage
48C814|dressing-room ~ stage
48C82|osoby spojené s jevištěm
48C821|režisér, producent ~ jeviště
48C822|choreographer
48C823|prompter
48C824|stage-hand
48C83|performer, artiste (non-work situations)
48C831|portrét umělce (tanečníka, herce atd.)
48C8311|portrét tanečnice
48C8312|portrét herce, herečky
48C8313|portrét operního pěvce
48C8314|portrét kabaretiéra
48C8315|portrét filmového herce, filmové herečky
48C832|umělec v jiné než pracovní situaci
48C8321|dancer (non-work situations)
48C8322|actor, actress (non-work situations)
48C8323|opera-singer (non-work situations)
48C8324|cabaret-artiste (non-work situations)
48C8325|film actor, film actress (non-work situations)
48C84|balet, baletní představení
48C841|training ~ ballet
48C842|baletní skupina; tanečníci na jevišti
48C8421|male dancer
48C8422|female dancer
48C843|ballet steps, positions
48C844|ballet dress
48C85|theatre, theatrical performance
48C851|zkoušení, studium role ~ divadlo
48C852|skupina herců, soubor; herci na jevišti
48C8521|herec (na jevišti)
48C85211|female impersonation by actor
48C8522|herečka (na jevišti)
48C85221|male impersonation by actress
48C8523|troupe (actors) 'en route'
48C85231|soubor vjíždí do města a ohlašuje představení
48C853|stage costume
48C854|theatrical genres
48C8541|religious drama
48C85411|morality ~ theatrical genre
48C8542|rhetorician's drama
48C8543|'commedia dell'arte'
48C85431|typy v "commedia dell'arte
48C85431(...)|typy v "commedia dell'arte" (s NAME)
48C85431(COLOMBINE)|typy v "commedia dell'arte": Colombine
48C85431(HARLEQUIN)|typy v "commedia dell'arte": Harlekýn
48C85431(PANTALONE)|typy v "commedia dell'arte": Pantalone
48C85431(PIERROT)|typy v "commedia dell'arte": Pierrot
48C85431(PULCINELLA)|typy v "commedia dell'arte": Pulcinella
48C8544|pantomime, dumb show, masque
48C85441|'tableau vivant'
48C8545|tragedy
48C85450|'Tragedia' (Ripa)
48C8546|comedy
48C85460|'Comedia', 'Comedia vecchia' (Ripa)
48C8547|satyr play, farce
48C8548|other theatrical genres
48C85481|total theatre, mixed media
48C85482|happening ~ stage
48C855|loutkové a marionetové divadlo
48C8551|puppet
48C85511|Punch and Judy
48C8552|marionette
48C856|shadow-play
48C86|hudební drama, provedení hudebního dramatu
48C861|zkoušení, studium role ~ hudební drama
48C862|opera
48C8621|opera-singer (male)
48C8622|opera-singer (female)
48C863|operetta, musical, 'Singspiel'
48C864|cabaret
48C8641|cabaret-artiste
48C865|vaudeville, variety-show
48C8651|strip-tease
48C87|motion picture, film show
48C871|herci na obrazovce
48C8711|filmový herec (na plátně)
48C8712|filmová herečka (na plátně)
48C872|film explicator
48C873|genres ~ film
48C8731|feature movie
48C8732|nature film
48C8733|documentary film
48C8734|animated cartoon
48C9|literature ~ arts
48C90|"litterae", symbolická zobrazení, alegorie a emblémy ~ literatura; "Lettere" (Ripa)
48C901|symbolická zobrazení, alegorie a emblémy ~ poezie; "Poesia" (Ripa)
48C9011|symbolická zobrazení, alegorie a emblémy ~ epická, narativní poezie
48C90111|symbolická zobrazení, alegorie a emblémy ~ hrdinská poezie; "Poema heroico" (Ripa)
48C9012|symbolická zobrazení, alegorie a emblémy ~ lyrická poezie; "Poema lirico" (Ripa)
48C90121|symbolic representations, allegories, emblems ~ love poetry
48C9013|symbolická zobrazení, alegorie a emblémy ~ elegie
48C9014|symbolická zobrazení, alegorie a emblémy ~ satirická poezie; "Poema satirico" (Ripa)
48C9015|symbolická zobrazení, alegorie a emblémy ~ pastorální poezie; "Poema pastorale" (Ripa)
48C902|symbolická zobrazení, alegorie a emblémy ~ próza
48C9021|symbolická zobrazení, alegorie a emblémy ~ epická, narativní próza
48C91|writer, poet, author
48C910|inspirace básníka; "Furore poetico" (Ripa)
48C9101|básník a jeho múza
48C911|author, poet writing
48C9111|autograph ~ author, poet
48C9112|author, poet dictating
48C912|'poète maudit'
48C913|autor čte ze svého díla
48C914|autor představuje své dílo mecenáši nebo dárci
48C919|author destroying his own work
48C92|autor v mimopracovní situaci
48C921|Fame ~ writer, 'poeta laureatus'
48C93|portrét spisovatele
48CC21|sochař při práci - CC - mimo domov
48CC211|sochař tvořící model, bozzetto - CC - venku přede dveřmi
48CC212|(dutý) odlitek - CC - mimo dveře
48CC213|sochař studující klasické pozůstatky - CC - venku
48CC511|malíř při práci, v ateliéru - CC - mimo domov
48CC5110|inspirace malíře - CC - out of door
48CC51101|malíř a jeho múza - CC - out of doors
48CC51102|malíř muzicíruje, malíř s hudebním nástrojem - CC - venku
48CC5111|dílna, ateliér ~ malíř - CC - out of doors
48CC51111|ateliérové rekvizity ~ malíř - CC - out of doors
48CC5112|pracovní situace ~ malíř - CC - venku
