2|Natuur
31B81|manieren om simpele zielen te genezen (volksverhalen)
31B811|scheren (doen alsof je simpele zielen geneest)
31B812|het bakken van het hoofd, bijvoorbeeld door de bakker van Eeclo (hoofden tijdelijk vervangen door kool)
31B813|zuivering (doen alsof je simpele zielen geneest)
31B814|het gieten van vloeistof in het lichaam, met behulp van een trechter
31B9|wijze mannen versus dwazen
31BB1|slapen; bewusteloosheid - BB - buiten
31BB10|'Sonno' (Ripa) - BB - buiten
31BB11|slapen in bed - BB - buiten
31BB12|slapen in stoel - BB - buiten
31BB13|slapen op de grond - BB - buiten
31BB14|gapen - BB - buiten
31BB15|rekken ~ slaap - BB - buiten
31BB16|gaan slapen - BB - buiten
31BB161|naar bed gaan - BB - buiten
31BB162|siesta - BB - buiten
31BB17|waking up - BB - buiten
31BB171|opstaan uit bed - BB - buitenshuis
31BB18|bewusteloosheid - BB - buiten
31BB181|flauwvallen, bezwijming - BB - buiten
31BB19|rusten - BB - buiten
31C|geest (of ziel) versus lichaam
31D|menselijk leven en zijn leeftijden (jong, volwassen, oud, enz.)
31D1|de leeftijden van de mens
31D11|de eerste jaren ~ de leeftijden van de mens
31D110|Kinderjaren (alleg.)
31D111|zuigeling, baby ~ de leeftijden van de mens
31D1111|mannelijke zuigeling
31D1112|vrouwelijke zuigeling
31D112|kind
31D1120|Kinderjaren (alleg.)
31D1121|peuter ~ de leeftijden van de mens
31D11211|peuter (jongen)
31D11212|peuter (vrouwelijk)
31D1122|kind tussen peuter en jeugd (van onbepaald geslacht)
31D11221|jongen (kind tussen peuter en jeugd)
31D112210|Jeugd (alleg.)
31D11222|meisje (kind tussen peuter en jeugd)
31D112220|Meisjesjaren (alleg.)
31D1129|filosofisch kind ~ alchemie
31D12|jeugd, jongeman, adolescent
31D120|Jeugd, Adolescentie, 'Iuventus'; 'Adolescenza', 'Gioventù' (Ripa)
31D13|adolescent, jonge vrouw, meisje
31D130|Maagdelijkheid
31D14|volwassen man
31D140|Volwassenheid, Meerderheid; 'Virilità' (Ripa)
31D15|volwassen vrouw
31D150|Vrouwelijkheid
31D16|oude man
31D160|Oude Leeftijd, 'Senectus'; 'Vecchiezza' (Ripa)
31D161|'beau vieillard'
31D162|lelijke oude man
31D17|oude vrouw
31D171|mooie oude vrouw, 'belle vieille'
31D172|lelijke oude vrouw, heks
31D2|menselijk leven verdeeld in fasen
31D2(...)|het menselijk leven is verdeeld in fasen, bijvoorbeeld drie, vier, zeven, twaalf fasen.
31D21|de leeftijden van de mens voorgesteld door een trap
31D21(...)|de leeftijden van de mens voorgesteld door een trap (met AANTAL treden)
31D3|menselijk leven verdeeld in decennia
31D30|0-10 jaar
31D31|10-20 jaar
31D32|20-30 jaar
31D33|30-40 jaar
31D34|40-50 jaar
31D35|50-60 jaar
31D36|60-70 jaar
31D37|70-80 jaar
31D38|80-90 jaar
31D39|90-100 jaar
31D4|verjaardag
31D4(...)|verjaardag (met AANTAL jaren)
31D41|... jaar oud
31D41(...)|... jaar oud (met AANTAL jaren)
31D5|jong versus oud; jong en oud
31D51|kinderen die zich gedragen als volwassenen
31D52|volwassenen die zich gedragen als kinderen
31D6|verjonging
31D61|fontein van de jeugd, 'Fontaine de Jouvence'
31D62|verjonging door middel van vuur, of door te koken
31D7|onnatuurlijke veroudering
31D71|'paidogeron', d.w.z. kind of jeugd met baard of ander teken van ouderdom
31D8|persoonlijke naam
31D81|naamdag
31D82|de persoon en zijn naam
31D83|pseudoniem
31D84|bijnaam
31D85|het geven of ontvangen van een naam
31D9|de levensduur
31D90|'Età in generale' (Ripa)
31D91|lang leven
31D910|'Vita longa' (Ripa)
31D92|kort leven
31D920|'Velocità della vita humana', 'Vita breve' (Ripa)
31DD3|menselijk leven verdeeld in decennia - DD - decennia boven 100 jaar
31DD30|0-10 jaar - DD - decennia boven 100 jaar
31DD31|10-20 years - DD - decennia boven 100 jaar
31DD32|20-30 jaar - DD - decennia boven 100 jaar
31DD33|30-40 jaar - DD - decennia boven 100 jaar
31DD34|40-50 jaar - DD - decennia boven 100 jaar
31DD35|50-60 jaar - DD - decennia boven 100 jaar
31DD36|60-70 years - DD - decennia boven 100 jaar
31DD37|70-80 years - DD - decennia boven 100 jaar
31DD38|80-90 jaar - DD - decennia boven 100 jaar
31DD39|90-100 jaar - DD - decennia boven 100 jaar
31E|dood van menselijk wezen
31E1|stervende
31E11|afhandeling van zaken ~ sterven
31E111|het maken van een testament
31E112|familiebijeenkomst ~ stervende persoon
31E113|laatste woorden en laatste gunsten, nuncupate
31E12|sterfbed
31E121|dood met geloof (vredige dood) versus dood zonder geloof (angst voor de dood)
31E122|vredig sterven, gelukkige dood
31E1221|euthanasie, het veroorzaken van een gemakkelijke dood
31E123|doodsstrijd, onrustige dood; angst voor de dood
31E13|'Ars moriendi'
31E14|dood op verschillende leeftijden
31E141|doodgeboren kind
31E142|dood van een kind
31E143|dood van een jong persoon
31E144|dood van een volwassen persoon
31E15|naar de hemel gaan zonder te sterven
31E2|oorzaken van overlijden
31E21|natuurlijke dood
31E211|dood op hoge leeftijd
31E212|dood door ziekte
31E213|'sudden death'
31E22|dood door ongeluk (niet-gewelddadige dood)
31E221|ongelukkige dood ~ water
31E2211|dood door verdrinking (niet gewelddadig)
31E2212|verdronken persoon
31E222|ongelukkige dood ~ temperatuur
31E2221|accidentele dood door hitte
31E22211|ongelukkige dood ~ brand
31E2222|accidentele dood ~ koud
31E223|accidentele dood ~ interne oorzaken
31E2231|accidentele dood ~ honger
31E2232|accidentele dood ~ dorst
31E2233|accidentele dood ~ gebrek aan lucht, verstikking
31E2234|accidentele dood ~ vergif
31E224|accidentele dood door vallende objecten
31E225|sterven door de gevolgen van een val
31E228|dood veroorzaakt door effecten van natuurlijke omgevingen, vooral natuurlijke rampen
31E229|dood veroorzaakt door ongewenste effecten van menselijke activiteiten, in het verkeer, op het werk, enz.
31E23|gewelddadige dood, gedood worden; mishandeld en misbruikt worden; de dood zoeken
31E231|gewelddadige dood ~ elementen
31E2311|gewelddadige dood ~ water
31E23111|verdrinken, 'walking the plank'
31E231111|kielhalen
31E23112|continue druppelen (gewelddadige dood ~ water)
31E2312|gewelddadige dood ~ vuur
31E23121|gewelddadige dood door verbranding op de brandstapel; brandstapel
31E231211|gewelddadige dood door verbranding op de rooster
31E23122|gewelddadige dood door een deel van het lichaam te martelen met vuur
31E231221|gewelddadige dood door koken
31E23123|gewelddadige dood door elektrocutie
31E231231|gewelddadige dood in elektrische stoel
31E2313|gewelddadige dood ~ aarde
31E23131|levend begraven (gewelddadige dood)
31E231311|volledig begraven (gewelddadige dood)
31E231312|gedeeltelijk begraven
31E23132|ingemetseld levend (gewelddadige dood)
31E2314|gewelddadige dood ~ lucht
31E23141|ontzegging van lucht, verstikking
31E23142|gewelddadige dood door vergassing; verstikking
31E23143|gewelddadige dood ~ gevaarlijke dampen
31E232|gewelddadige dood ~ temperatuur
31E2321|gewelddadige dood door hitte (kokend lood, brandende kolen, enz.)
31E2322|gewelddadige dood door kou
31E23221|gewelddadige dood door bevriezing
31E233|gewelddadige dood ~ interne oorzaken
31E2331|gewelddadige dood door uithongering
31E23319|gewelddadige dood door overvoeding, dwangvoeding
31E2332|gewelddadige dood door dorst
31E2333|gewelddadige dood door vergif
31E23331|gewelddadige dood door vergiftiging in voedsel
31E23332|gewelddadige dood door vergiftiging in drank
31E233321|gewelddadige dood door vergiftigde beker
31E23333|gewelddadige dood door beet of steek van giftig dier
31E233331|gewelddadige dood door slangenbeet
31E23334|gewelddadige dood door vergiftigd voorwerp
31E23335|gewelddadige dood door vergiftiginginjectie
31E234|gewelddadige dood door slagen, schoppen, prikken, enz.
31E2341|gewelddadige dood ~ het gooien van een zwaar object
31E23411|gewelddadige dood door steniging
31E2342|gewelddadige dood door een klap op het hoofd
31E23421|gewelddadige dood door klap op het hoofd met voorwerp
31E23422|gewelddadige dood door een klap op het hoofd met een projectiel
31E23423|gewelddadige dood door een klap op het hoofd met de hand
31E2343|gewelddadige dood door slagen elders
31E23431|gewelddadige dood door geseling
31E2344|gewelddadige dood door schuren
31E2345|gewelddadige dood door steken
31E23451|gewelddadige dood in een vat met spijkers die door de zijkanten zijn gedreven
31E2346|gewelddadige dood door wapen
31E23461|gewelddadige dood door pijl(en)
31E23462|gewelddadige dood door lans, speer
31E23463|gewelddadige dood door splijtende en slaande wapens
31E234631|gewelddadige dood door zwaard
31E234632|gewelddadige dood door dolk, mes
31E2347|gewelddadige dood door vuurwapens
31E23471|gewelddadige dood door bom, handgranaat
31E23472|gewelddadige dood door fusillade
31E2348|gewelddadige dood ~ gegooid worden (van een hoogte), in een put gegooid worden
31E23481|gewelddadige dood ~ door een valluik gegooid worden
31E235|gewelddadige dood ~ mishandeling, marteling
31E2351|gewelddadige dood door rekken
31E2352|gewelddadige dood door buiging
31E2353|gewelddadige dood door te worden vastgebonden in een ongebruikelijke positie
31E23531|gewelddadige dood door breken op het rad
31E23532|gewelddadige dood door gebonden te zijn, vastgebonden, achter voertuig of dier
31E2354|gewelddadige dood door wurging
31E23541|gewelddadige dood door persing
31E2355|gewelddadige dood door ophanging
31E2356|gewelddadige dood door kruisiging
31E23561|gewelddadige dood door kruisiging rechtop
31E23562|gewelddadige dood door kruisiging ondersteboven
31E23563|gewelddadige dood door kruisiging op een X-vormig kruis
31E236|gewelddadige dood door verminking of verminking
31E2361|gewelddadige dood door breken van botten
31E2362|gewelddadige dood door het verwijderen van delen van het lichaam door snijden, zagen, scheuren
31E23621|gewelddadige dood door onthoofding
31E236211|gewelddadige dood ~ onthoofding door guillotine
31E236212|hoofdloos lichaam van een onthoofd persoon
31E236219|hoofd van een onthoofd persoon
31E2362191|hoofd van een onthoofd persoon op een bord
31E2362192|hoofd van een onthoofd persoon op een paal of paal
31E2362193|mishandeling van het hoofd van een onthoofd persoon
31E23622|gewelddadige dood door het uittrekken van de tong
31E23623|gewelddadige dood door uithalen van ingewanden, uittrekken van darmen
31E23624|gewelddadige dood door vierendelen
31E23625|gewelddadige dood door blindheid
31E2363|gewelddadige dood door villen
31E2364|gewelddadige dood door het openen van slagaders
31E2365|gewelddadige dood door te worden geworpen naar wilde dieren
31E237|gewelddadige dood door psychologische middelen
31E238|op zoek naar de dood, zelfmoord
31E2381|zelfopoffering, dood in dienst van een hoger doel
31E2382|zelfmoord uit wanhoop
31E3|het lijk
31E31|certificering van overlijden, autopsie, post-mortem onderzoek
31E311|emissie van laatste adem bevestigd door een veer of een spiegel onder de neus te plaatsen
31E32|schijndood
31E321|(pogingen tot) reanimatie, bijvoorbeeld door kunstmatige beademing
31E33|ontbinding (van dood lichaam)
31E331|lijk geconserveerd door natuurlijke oorzaken
31E3311|de mijnwerker van Falun
31E3312|natuurlijke mummificatie
31E34|het vinden van een overleden persoon
31E4|opstanding uit de dood
31E5|leven versus dood
31E51|ontmoeting tussen de (drie) levenden en de (drie) doden
31E52|'Et in Arcadia ego'
31EE22|dood door ongeluk (niet-gewelddadige dood) - EE - gewond raken door ongeluk (dood niet betrokken)
31EE221|ongelukkige dood ~ water - EE - gewond raken door een ongeluk (dood niet betrokken)
31EE2211|dood door verdrinking (niet gewelddadig) - EE - gewond raken door een ongeluk (dood niet betrokken)
31EE2212|verdronken persoon - EHBO - gewond raken door een ongeluk (geen dood betrokken)
31EE222|accidentele dood ~ temperatuur - EE - gewond raken door een ongeluk (dood niet betrokken)
31EE2221|accidentele dood door hitte - EE - gewond raken door een ongeluk (dood niet betrokken)
31EE22211|accidentele dood ~ brand - EE - gewond raken door een ongeluk (dood niet betrokken)
31EE2222|ongelukkige dood ~ koud - EE - gewond raken door een ongeluk (dood niet betrokken)
31EE223|accidentele dood ~ interne oorzaken - EE - gewond raken door een ongeluk (dood niet betrokken)
31EE2231|accidentele dood ~ honger - EE - gewond raken door een ongeluk (dood niet betrokken)
31EE2232|accidentele dood ~ dorst - EE - gewond raken door een ongeluk (dood niet betrokken)
31EE2233|accidentele dood ~ gebrek aan lucht, verstikking - EE - per ongeluk gewond raken (dood niet betrokken)
31EE2234|accidentele dood ~ vergiftiging - EE - gewond raken door een ongeluk (dood niet betrokken)
31EE224|accidentele dood door vallende objecten - EE - gewond raken door een ongeluk (dood niet betrokken)
31EE225|sterven door de gevolgen van een val - EE - gewond raken door een ongeluk (dood niet betrokken)
31EE228|dood veroorzaakt door effecten van natuurlijke omgeving, vooral natuurlijke rampen - EE - gewond raken door een ongeluk (dood niet betrokken)
31EE229|dood veroorzaakt door ongewenste effecten van menselijke activiteiten, in het verkeer, op het werk, enz. - EE - gewond raken door een ongeluk (geen dood betrokken)
31EE23|gewelddadige dood, gedood worden; mishandeld en misbruikt worden; op zoek naar de dood - EE - dood niet zeker; gewonde persoon
31EE231|gewelddadige dood ~ elementen - EE - dood niet zeker; gewonde persoon
31EE2311|gewelddadige dood ~ water - EE - dood niet zeker; gewonde persoon
31EE23111|verdrinken, 'walking the plank' (gewelddadige dood ~ water) - EE - dood niet zeker; gewonde persoon
31EE231111|keelhalen - EE - dood niet zeker; gewonde persoon
31EE23112|voortdurend druppelen (gewelddadige dood ~ water) - EE - dood niet zeker; gewonde persoon
31EE2312|gewelddadige dood ~ brand - EE - dood niet zeker; gewonde persoon
31EE23121|gewelddadige dood door verbranding op de brandstapel; pyre - EE - dood niet zeker; gewonde persoon
31EE231211|gewelddadige dood door verbranding op de rooster - EE - dood niet zeker; gewonde persoon
31EE23122|gewelddadige dood door een deel van het lichaam te martelen met vuur - EE - dood niet zeker; gewonde persoon
31EE231221|gewelddadige dood door koken - EE - dood niet zeker; gewonde persoon
31EE23123|gewelddadige dood door elektrocutie - EE - dood niet zeker; gewonde persoon
31EE231231|gewelddadige dood in elektrische stoel - EE - dood niet zeker; gewonde persoon
31EE2313|gewelddadige dood ~ aarde - EE - dood niet zeker; gewonde persoon
31EE23131|levend begraven (gewelddadige dood) - EE - dood niet zeker; gewonde persoon
31EE231311|volledig begraven (gewelddadige dood) - EE - dood niet zeker; gewonde persoon
31EE231312|gedeeltelijk begraven - EE - dood niet zeker; gewonde persoon
31EE23132|ingemetseld levend (gewelddadige dood) - EE - dood niet zeker; gewonde persoon
31EE2314|gewelddadige dood ~ lucht - EE - dood niet zeker; gewonde persoon
31EE23141|beroving van lucht, verstikking - EE - dood niet zeker; gewonde persoon
31EE23142|gewelddadige dood door vergassing; verstikking - EE - dood niet zeker; gewonde persoon
31EE23143|gewelddadige dood ~ gevaarlijke dampen - EE - dood niet zeker; gewonde persoon
31EE232|gewelddadige dood ~ temperatuur - EE - dood niet zeker; gewonde persoon
31EE2321|gewelddadige dood door hitte (kokend lood, brandende kolen, enz.) - EE - dood niet zeker; gewonde persoon
31EE2322|gewelddadige dood door kou - EE - dood niet zeker; gewonde persoon
31EE23221|gewelddadige dood door bevriezing - EE - dood niet zeker; gewonde persoon
31EE233|gewelddadige dood ~ interne oorzaken - EE - dood niet zeker; gewonde persoon
31EE2331|gewelddadige dood door uithongering - EE - dood niet zeker; gewonde persoon
31EE23319|gewelddadige dood door overvoeding, dwangvoeding - EE - dood niet zeker; gewonde persoon
31EE2332|gewelddadige dood door dorst - EE - dood niet zeker; gewonde persoon
31EE2333|gewelddadige dood door vergif - EE - dood niet zeker; gewonde persoon
31EE23331|gewelddadige dood door vergiftiging in voedsel - EE - dood niet zeker; gewonde persoon
31EE23332|gewelddadige dood door vergiftiging in drank - EE - dood niet zeker; gewonde persoon
31EE233321|gewelddadige dood door vergiftigde beker - EE - dood niet zeker; gewonde persoon
31EE23333|gewelddadige dood door beet of steek van giftig dier - EE - dood niet zeker; gewonde persoon
31EE233331|gewelddadige dood door slangenbeet - EE - dood niet zeker; gewonde persoon
31EE23334|gewelddadige dood door vergiftigd voorwerp - EE - dood niet zeker; gewonde persoon
31EE23335|gewelddadige dood door vergiftiging - EE - dood niet zeker; gewonde persoon
31EE234|gewelddadige dood door slagen, schoppen, steken, enz. - EE - dood niet zeker; gewonde persoon
31EE2341|gewelddadige dood ~ gooien van zwaar object - EE - dood niet zeker; gewonde persoon
31EE23411|gewelddadige dood door steniging - EE - dood niet zeker; gewonde persoon
31EE2342|gewelddadige dood door een klap op het hoofd - EE - dood niet zeker; gewonde persoon
31EE23421|gewelddadige dood door klap op het hoofd met voorwerp - EE - dood niet zeker; gewonde persoon
31EE23422|gewelddadige dood door klap op het hoofd met projectiel - EE - dood niet zeker; gewonde persoon
31EE23423|gewelddadige dood door een klap op het hoofd met de hand - EE - dood niet zeker; gewonde persoon
31EE2343|gewelddadige dood door slagen elders - EE - dood niet zeker; gewonde persoon
31EE23431|gewelddadige dood door geseling - EE - dood niet zeker; gewonde persoon
31EE2344|gewelddadige dood door schuren - EE - dood niet zeker; gewonde persoon
31EE2345|gewelddadige dood door steken - EE - dood niet zeker; gewonde persoon
31EE23451|gewelddadige dood in een vat met spijkers door de zijkanten gedreven - EE - dood niet zeker; gewonde persoon
31EE2346|gewelddadige dood door wapen - EE - dood niet zeker; gewonde persoon
31EE23461|gewelddadige dood door pijl(en) - EE - dood niet zeker; gewonde persoon
31EE23462|gewelddadige dood door lans, speer - EE - dood niet zeker; gewonde persoon
31EE23463|gewelddadige dood door splijtende en slaande wapens - EE - dood niet zeker; gewonde persoon
31EE234631|gewelddadige dood door zwaard - EE - dood niet zeker; gewonde persoon
31EE234632|gewelddadige dood door dolk, mes - EE - dood niet zeker; gewonde persoon
31EE2347|gewelddadige dood door vuurwapens - EE - dood niet zeker; gewonde persoon
31EE23471|gewelddadige dood door bom, handgranaat - EE - dood niet zeker; gewonde persoon
31EE23472|gewelddadige dood door fusillade - EE - dood niet zeker; gewonde persoon
31EE2348|gewelddadige dood ~ gegooid worden (van een hoogte), in een put gegooid worden - EE - dood niet zeker; gewonde persoon
31EE23481|gewelddadige dood ~ door een valdeur gegooid worden - EE - dood niet zeker; gewonde persoon
31EE235|gewelddadige dood ~ mishandeling, marteling - EE - dood niet zeker; gewonde persoon
31EE2351|gewelddadige dood door rekken - EE - dood niet zeker; gewonde persoon
31EE2352|gewelddadige dood door buiging - EE - dood niet zeker; gewonde persoon
31EE2353|gewelddadige dood door in een ongebruikelijke positie te worden vastgebonden - EE - dood niet zeker; gewonde persoon
31EE23531|gewelddadige dood door breken op het rad - EE - dood niet zeker; gewonde persoon
31EE23532|gewelddadige dood door te worden gebonden, vastgebonden, achter voertuig of dier - EE - dood niet zeker; gewonde persoon
31EE2354|gewelddadige dood door wurging - EE - dood niet zeker; gewonde persoon
31EE23541|gewelddadige dood door persing - EE - dood niet zeker; gewonde persoon
31EE2355|gewelddadige dood door ophanging - EE - dood niet zeker; gewonde persoon
31EE2356|gewelddadige dood door kruisiging - EE - dood niet zeker; gewonde persoon
31EE23561|gewelddadige dood door kruisiging rechtop - EE - dood niet zeker; gewonde persoon
31EE23562|gewelddadige dood door kruisiging ondersteboven - EE - dood niet zeker; gewonde persoon
31EE23563|gewelddadige dood door kruisiging op een X-vormig kruis - EE - dood niet zeker; gewonde persoon
31EE236|gewelddadige dood door verminking of verminking - EE - dood niet zeker; gewonde persoon
31EE2361|gewelddadige dood door breken van botten - EE - dood niet zeker; gewonde persoon
31EE2362|gewelddadige dood door verwijdering van delen van het lichaam door snijden, zagen, scheuren - EE - dood niet zeker; gewonde persoon
31EE23621|gewelddadige dood door onthoofding - EE - dood niet zeker; gewonde persoon
31EE236211|gewelddadige dood ~ onthoofding door guillotine - EE - dood niet zeker; gewonde persoon
31EE236212|lichaam zonder hoofd van een onthoofd persoon - EE - dood niet zeker; gewonde persoon
31EE236219|hoofd van een onthoofde persoon - EE - dood niet zeker; gewonde persoon
31EE2362191|hoofd van een onthoofd persoon op een bord - EE - dood niet zeker; gewonde persoon
31EE2362192|hoofd van een onthoofd persoon op paal - EE - dood niet zeker; gewonde persoon
31EE2362193|mishandeling van het hoofd van een onthoofd persoon - EE - dood niet zeker; gewonde persoon
31EE23622|gewelddadige dood door uittrekken van tong - EE - dood niet zeker; gewonde persoon
31EE23623|gewelddadige dood door uithalen van ingewanden, het eruit trekken van darmen - EE - dood niet zeker; gewonde persoon
31EE23624|gewelddadige dood door vierendelen - EE - dood niet zeker; gewonde persoon
31EE23625|gewelddadige dood door blindheid - EE - dood niet zeker; gewonde persoon
31EE2363|gewelddadige dood door villen - EE - dood niet zeker; gewonde persoon
31EE2364|gewelddadige dood door het openen van slagaders - EE - dood niet zeker; gewonde persoon
31EE2365|gewelddadige dood door te worden gegooid naar wilde dieren - EE - dood niet zeker; gewonde persoon
31EE237|gewelddadige dood door psychologische middelen - EE - dood niet zeker; gewonde persoon
31EE238|op zoek naar de dood, zelfmoord - EE - dood niet zeker; gewond persoon
31EE2381|zelfopoffering, dood in dienst van een hoger doel - EE - dood niet zeker; gewonde persoon
31EE2382|zelfmoord uit wanhoop - EE - dood niet zeker; gewonde persoon
31F|symbolen en personificaties van de Dood
31F1|symbolen van de dood
31F11|doodshoofd, schedel (symbool van de Dood)
31F111|schedel als waarschuwingssignaal
31F12|botten (symbool van de Dood)
31F2|personificaties van de dood; 'Morte' (Ripa)
31F21|Dood als kind
31F22|Dood als jeugd
31F23|Dood als mens
31F24|Dood als oude man
31F25|Dood als (rottend) lijk
31F26|Dood als skelet
31F27|Dood als duivels wezen
31F3|dans van de Dood; Dood samen met één of meer menselijke wezens
31F31|Dood die danst met meer dan één mens.
31F31(...)|Dood die danst met meer dan één mens (met AANTAL) personen
31F32|Dood die danst met één persoon
31F33|Dood strijdend met het Leven, of met de levenden
31F331|Dood die Leven overwint of het levende
31F34|Dood overwon
31FF2|personificaties van de Dood; 'Morte' (Ripa) - FF - Dood als vrouwelijk
31FF21|Dood als kind - FF - Dood als vrouwelijk
31FF22|Dood als jeugd - FF - Dood als vrouwelijk
31FF23|Dood als man - FF - Dood als vrouw
31FF24|Dood als oude man - FF - Dood als vrouwelijke
31FF25|Dood als (rottend) lijk - FF - Dood als vrouwelijk
31FF26|Dood als skelet - FF - Dood als vrouwelijk
31FF27|Dood als duivels wezen - FF - Dood als vrouwelijk
31G|de ziel
31G1|de ziel tijdens het leven
31G2|de ziel tijdens de dood
31G3|de ziel na de dood
31G31|de ziel die het lichaam verlaat in de vorm van een klein menselijk wezen
31G311|de ziel gedragen naar de hemel door engelen
31G32|de ziel reist
31G321|schip van de doden
31G322|engel die een ziel naar de hemel leidt, 'psychopompos'
31G33|de ziel onderzocht; de ziel voor haar rechter
31G331|weging van de ziel
31G332|opening van het boek des levens
31G34|de veroordeelde ziel; 'Anima dannata' (Ripa)
31G35|engelen en duivels die vechten om de ziel
31G36|de ziel gaat naar zijn laatste bestemming
31G361|duivel die de ziel wegneemt
31G4|de ziel in de eeuwigheid
32|mensentypen; volkeren en nationaliteiten
32A|menselijke types
32A1|de vier temperamenten; 'Complessione' (Ripa)
32A11|cholerisch temperament
32A110|'Colerico (per il fuoco)' (Ripa)
32A12|sanguïnische temperament
32A120|'Sanguigno (per l'aria)' (Ripa)
32A13|flegmatisch temperament
32A130|'Flemmatico (per l'acqua)' (Ripa)
32A14|melancholische temperament
32A140|'Malenconico (per la terra)', 'Malinconia' (Ripa)
32A141|'Weltschmerz'
32A2|dik en dun (menselijke types)
32A21|dik (menselijk type)
32A210|'Grassezza' (Ripa)
32A211|steatopyge (menselijk type)
32A22|dun (menselijk type)
32A3|optimist and pessimist (mensentypen)
32A31|optimist
32A32|pessimist
32A4|verschillende menselijke types
32A41|ascetisch
32A42|lafaard
32A43|veelvraat
32A44|gierigaard
32A45|parasiet, profiteur
32A46|luiaard
32A49|andere menselijke types
32A49(...)|andere menselijke types (met NAAM van type)
32A5|karikaturen (menselijke types)
32A6|fysiognomie
32A61|frenologie
32A62|chirognomie
32A7|karakters (menselijke types)
32A8|passies, emoties, genegenheden
32B|mensen; etnische groepen; nationaliteiten
32B1|prehistorische mens
32B11|reconstructie van prehistorische mens
32B11(...)|reconstructie van prehistorische mens (met NAAM)
32B11(NEANDERTHAL)|reconstructie van prehistorische mens: Neanderthaler
32B12|wederopbouw van het leven en de cultuur van de prehistorische mens
32B2|'historical' volkeren en nationaliteiten
32B2(...)|historische volkeren en nationaliteiten (met NAAM)
32B2(AMBRONES)|historische volkeren: Ambrones
32B2(AZTEC)|historische volkeren: Azteken
32B2(BATAVIANS)|historische volkeren: Bataven
32B2(CARIANS)|historische volkeren: Cariërs
32B2(CARTHAGINIANS)|historische volkeren: Carthagers
32B2(GAULS)|historische volkeren: Galliërs
32B2(GOTHS)|historische volkeren: Goten
32B2(LYDIANS)|historische volkeren: Lydiërs
32B2(OSCI)|historische volkeren: Osci
32B2(PHOENICIANS)|historische volkeren: Feniciërs
32B2(ROMANS)|historische volkeren: Romeinen
32B2(SCYTHIANS)|historische volkeren: Scythen
32B2(TEUTONS)|historische volkeren: Teutonen
32B2(THRACIANS)|historische volkeren: Thraciërs
32B3|mensen en nationaliteiten (anders dan prehistorisch of 'historical')
32B31|Europese volkeren
32B311|inheemse Europese volkeren
32B311(...)|inheemse Europese volkeren (met NAAM)
32B311(ALBANIANS)|Europeanen: Albanezen
32B311(BELGIANS)|Europeanen: Belgen
32B311(BRITONS)|Europeanen: Britten
32B311(BULGARIANS)|Europeanen: Bulgaren
32B311(CROATS)|Europeanen: Kroaten
32B311(CZECHS)|Europeanen: Tsjechen
32B311(DANES)|Europeanen: Denen
32B311(DUTCH)|Europeanen: Nederlands
32B311(ENGLISH)|Europeanen: Engels
32B311(FLEMINGS)|Europeanen: Vlamingen
32B311(FRENCH)|Europeanen: Fransen
32B311(GERMANS)|Europeanen: Duitsers
32B311(GREEKS)|Europeanen: Grieken
32B311(HUNGARIANS)|Europeanen: Hongaren
32B311(IRISH)|Europeanen: Ieren
32B311(ITALIANS)|Europeanen: Italianen
32B311(POLES)|Europeanen: Polen
32B311(PORTUGUESE)|Europeanen: Portugees
32B311(RUMANIANS)|Europeanen: Roemenen
32B311(RUSSIANS)|Europeanen: Russen
32B311(SCOTS)|Europeanen: Schotten
32B311(SERBIANS)|Europeanen: Serviërs
32B311(SLAVS)|Europeanen: Slaven
32B311(SLOVAKS)|Europeanen: Slowaken
32B311(SPANIARDS)|Europeanen: Spanjaarden
32B311(SWEDES)|Europeanen: Zweden
32B311(WALLOONS)|Europeanen: Walen
32B312|(nakomelingen van) Europese emigranten, persoon die migreert vanuit Europa
32B312(...)|(nakomelingen van) Europese emigranten, persoon die migreert vanuit Europa (met NAAM van BESTEMMING)
32B312(AMERICA)|(nakomelingen van) Europese emigranten naar Amerika
32B312(AUSTRALIA)|(nakomelingen van) Europese emigranten naar Australië
32B313|Europese immigranten, persoon die migreert naar Europa
32B313(...)|Europese immigranten (met NAAM van OORSPRONG)
32B313(MOROCCO)|Europese immigranten uit Marokko
32B313(SRI LANKA)|Europese immigranten uit Sri Lanka
32B32|Afrikaanse volkeren, Afrikanen
32B32(...)|Afrikaanse volkeren, Afrikanen (met NAAM)
32B32(BEDOUINS)|Afrikanen: Bedoeïenen
32B32(TUNISIANS)|Afrikanen: Tunesiërs
32B321|inheemse volkeren van Sub-Saharisch Afrika
32B321(...)|(inheemse) volkeren van sub-Sahara Afrika (met NAAM)
32B321(BANTUS)|mensen van sub-Saharisch Afrika: Bantoevolkeren
32B321(NIGERIANS)|mensen uit Sub-Saharisch Afrika: Nigerianen
32B3211|Amerikanen met Afrikaanse wortels, Afro-Amerikanen
32B3212|(nakomelingen van) Afrikaanse emigranten, persoon die migreert vanuit Afrika
32B3212(...)|(nakomelingen van) Afrikaanse emigranten, persoon die migreert vanuit Afrika (met NAAM van BESTEMMING)
32B3212(AMERICA)|(nakomelingen van) Afrikaanse emigranten naar Amerika
32B3212(GREAT BRITAIN)|(nakomelingen van) Afrikaanse emigranten naar Groot-Brittannië
