5|Abstracte Ideeën en Concepten
73C937|'en leid ons niet in verzoeking' ~ het Onze Vader gebed
73C938|'Maar verlos ons van het kwaad' ~ het Onze Vader
73C939|'voor u is het koninkrijk' ~ het Onze Vader
73C9391|'en de kracht' ~ het Onze Vader gebed
73C9392|'en de glorie, voor eeuwig' ~ het Onze Vader gebed
73C94|Een stem uit de hemel zegt: Ik heb er al eer aan gebracht, en Ik zal er opnieuw eer aan brengen!" (Johannes 12:28-29)
73D|Passie van Christus
73D1|voorspel tot de Passie van Christus
73D11|Christus voorspelt zijn lijden (op verschillende momenten) (Matteüs 16:21, 17:22-23; Marcus 8:32, 9:31; Lucas 9:22, 9:44)
73D12|Caiaphas en de priesters samenzweren tegen Christus (Matteüs 26:3-5; Marcus 14:1-2; Lucas 22:2; Johannes 11:47-53)
73D121|Caiaphas profeteert over het lijden van Christus
73D13|Maaltijd in Bethanië (in het huis van Simon de Melaatse) (Matteüs 26:6-13; Marcus 14:3-9; Johannes 12:1-11)
73D131|Het hoofd van Christus wordt gezalfd door Maria (Magdalena)
73D132|De voeten van Christus worden gezalfd door Maria (Magdalena)
73D133|hoofdpriesters die samenzweren tegen Lazarus
73D14|Intocht in Jeruzalem: mensen spreiden hun kleren voor Christus op de ezel en zwaaien met palmtakken (Matteüs 21:1-11, 21:14-16; Marcus 11:1-11; Lucas 19:28-40; Johannes 12:12-19)
73D141|het sturen voor de ezel ~ de intocht van Christus in Jeruzalem
73D142|De discipelen nemen de ezel mee na aanvankelijke protesten van de eigenaar ~ De intocht van Christus in Jeruzalem
73D143|Kinderen's Hosanna in de tempel
73D144|Philip en Andrew zijn onderweg naar Christus om hem te vertellen dat enkele Grieken hem willen ontmoeten (Johannes 12:20-22)
73D15|Zuivering van de tempel ('eerste' en 'tweede'): Christus die de geldwisselaars uit de tempel verdrijft met een zweep (Matteüs 21:12-13; Marcus 11:15-17; Lucas 19:45-46; Johannes 12:12-19)
73D151|Joden vragen om een teken na de reiniging van de tempel door Christus
73D152|'vernietig dit tempel en over drie dagen zal ik het weer oprichten' ~ zuivering van de tempel
73D16|Christus treurt over Jeruzalem en zijn toekomstige vernietiging (Lucas 19:41-44)
73D161|Tekenen in de natuur en in de lucht die de vernietiging van Jeruzalem voorspellen (Lucas 21:25)
73D17|Christus neemt afscheid van Maria, meestal is Maria Magdalena aanwezig
73D2|de aflevering van het Laatste Avondmaal
73D21|voorbereiding van het Pascha ~ Laatste Avondmaal (Matteüs 26:17-20; Marcus 14:12-17; Lucas 22:7-14)
73D211|Twee discipelen volgen een man die een kruik water draagt.
73D22|onenigheid onder de apostelen wie van hen als de grootste moet worden beschouwd
73D23|Christus wast de voeten van de apostelen (Johannes 13:1-20)
73D231|Christus wast de voeten van Petrus
73D24|Laatste Avondmaal (in het algemeen) (Matteüs 26:21-35; Marcus 14:18-31; Lucas 22:3, 22:15-23; Johannes 13:21-38)
73D241|aankondiging van het verraad van Christus, en de reactie van de apostelen
73D242|Judas Iskariot wordt onthuld als de verrader van Christus (avondmaal van Judas)
73D2421|Satan komt binnen in Judas ~ Laatste Avondmaal
73D243|Christus voorspelt de verloochening van Petrus
73D244|instelling van de Eucharistie, d.w.z. Christus die brood (hostie) en/of wijn toont of zegent (Matteüs 26:26-27; Marcus 14:22-23; Lucas 22:19-20; Johannes 13:26; 1 Korintiërs 11:23-25)
73D245|Communie van de apostelen: Christus die brood (hostie) en/of wijn geeft aan de (staande) apostelen
73D25|ongewone voorstellingen van het Laatste Avondmaal, bijv.: de apostelen vervangen door andere mensen
73D26|Judas gaat naar de hogepriesters, verraadt Christus en ontvangt de beloning (Matteüs 26:14-16; Marcus 14:10-11; Lucas 22:4-6)
73D27|Christus spreekt zijn discipelen toe na het Laatste Avondmaal (Johannes 14-16)
73D271|representaties van de inhoud van de toespraken van Christus na het Laatste Avondmaal
73D271(...)|representaties van de inhoud van de toespraken van Christus na het Laatste Avondmaal (met BOEK HOOFDSTUK:VERS)
73D271(Jo. 14:2)|'in het huis van mijn Vader zijn veel kamers'
73D271(Jo. 16:13)|'Wanneer de Geest van de waarheid komt ..'
73D271(Jo. 16:21)|Een vrouw in barensnood heeft verdriet, maar heeft vreugde na de geboorte van haar kind.
73D28|Het gebed van Christus voor zijn apostelen (Johannes 17:1-26)
73D3|Aanhouding, proces en marteling van Christus
73D31|Gethsemane, Olijfberg, 'Oelberg' (Matteüs 26:36-56; Marcus 14:32-52; Lucas 22:39-53; Johannes 18:1-12)
73D311|Jezus op weg naar de tuin van Getsemane (nog niet aan het bidden)
73D312|Het gebed van Christus in de tuin van Gethsemane tijdens de nacht
73D3121|lijden van Christus: om hem te troosten verschijnt een of meer engelen aan Christus met een kelk en/of kruis
73D31211|lijden van Christus; drie (of elf) apostelen die slapen
73D312111|de slapende apostelen (alleen) ~ Tuin van Gethsemane
73D3122|Christus roept de apostelen op om wakker te blijven en te bidden ~ Tuin van Gethsemane
73D313|de kus van Judas: vergezeld door soldaten met fakkels en lantaarns, kust hij Christus
73D3131|Christus maakt zichzelf bekend; de soldaten vallen op de grond ~ de kus van Judas
73D314|De arrestatie van Christus ~ Tuin van Gethsemane
73D3141|Peter trekt zijn zwaard en snijdt het oor van Malchus eraf.
73D3142|Malchus wordt genezen door Christus.
73D315|Christus wordt weggeleid ~ Tuin van Gethsemane
73D3151|Christus wordt door de beek Cedron gesleept
73D316|de discipelen verlaten Christus en vluchten
73D3161|Een van de vluchtende discipelen van Christus wordt bijna gegrepen, maar weet half gekleed, of naakt, te ontsnappen.
73D32|proces van Christus, Christus voor zijn rechters
73D321|Christus voor Annas (Hanna); misschien een soldaat die op het punt staat Christus te slaan (Johannes 18:13, 18:19-24)
73D322|Christus voor het Sanhedrin met Kajafas als hogepriester, en mogelijk Annas; misschien een soldaat die Christus wil slaan omdat Hij zwijgt (Matteüs 26:57-66; Marcus 14:53-64; Lucas 22:54, 22:66-71)
73D3221|valse getuigen ~ proces van Christus
73D3222|Caiaphas scheurt zijn kleren ~ proces van Christus
73D323|Jezus voor Pontius Pilatus (Matteüs 27:11-26; Marcus 15:2-15; Lucas 23:2-7, 23:13-25; Johannes 18:28 - 19:16)
73D3231|Pilate in debat met de Joden
73D32311|keuze tussen Christus en Barabbas
73D3232|De vrouw van Pilatus (of een boodschapper) waarschuwt hem voor een droom die ze had over Christus
73D3233|Pilate zijn handen wassen (in onschuld)
73D324|Christus voor Koning Herodes; soms wordt er een prachtige mantel gebracht (Lucas 23:8-11)
73D325|Christus werd van de ene rechter naar de andere gebracht
73D33|Verhaal van de verloochening van Petrus (Matteüs 26:58, 26:69-75; Marcus 14:54, 14:66-72; Lucas 22:55-62; Johannes 18:15-18, 18:25-27)
73D331|Peter ontkent Christus, meestal voor een dienstmeisje en enkele soldaten
73D332|Berouw van Petrus
73D3321|de kraaiende haan ~ ontkenning van Petrus
73D34|Berouw en dood van Judas (Matteüs 27:3-10; Handelingen 1:16-20)
73D341|Judas voor het Sanhedrin die de zilverstukken teruggeeft; hij gooit het geld op de grond.
73D342|Judas wordt opengesneden na een val.
73D343|Judas hangt zichzelf op
73D344|straf van judas in de hel
73D345|hoofdpriesters kopen het pottenbakkersveld
73D35|martelingen van Christus
73D351|Kastijding door soldaten, Christus meestal vastgebonden aan een zuil (Matteüs 27:26; Marcus 15:15; Johannes 19:1)
73D3511|voorbereidingen voor de geseling van Christus
73D3512|Christus met wonden veroorzaakt door geseling
73D35121|Christus aan de geselkolom (na de geseling)
73D3513|Christus verzamelt zijn kleren na de geseling
73D352|de kroon met doornen: soldaten met stokken plaatsen een doornenkroon op het hoofd van Christus en geven hem een riet (Matteüs 27:27-31; Marcus 15:16-20; Johannes 19:2-3)
73D3521|voorbereidingen voor de kroonig van Christus met doornen
73D3522|hoofd van Christus met doornenkroon
73D353|bespottingen van Christus, die misschien geblinddoekt is
73D3531|in het paleis van Kajafas wordt Christus bespot door Joden (Matteüs 26:67-68; Marcus 14:65)
73D3532|in het paleis van Pilatus wordt Christus bespot door soldaten (Lucas 22:63-65)
73D354|'Herrgottsruhbild' (Christus die rust na zijn martelingen)
73D355|Christus in de gevangenis (alleen)
73D36|Pilate toont Christus aan het volk, 'Ostentatio Christi', 'Ecce Homo' (Johannes 19:4-6)
73D361|Christus alleen (ook wel 'Ecce Homo')
73D37|Christus, liggend op of over een vlucht treden gesleept, wordt mishandeld in de aanwezigheid van Pilatus (breken van het riet)
73D4|Van het paleis van Pilatus naar Golgotha: de processie naar Golgotha (Matteüs 27:31-33; Marcus 15:20-22; Lucas 23:26-33; Johannes 19:17)
73D41|dragen van het kruis: Christus draagt het kruis, alleen of met hulp van anderen (bijv. Simon de Cyreneër)
73D411|Christus die instort ~ het dragen van het kruis
73D4111|eerste val ~ Christus die het kruis draagt
73D4112|tweede val ~ Christus die het kruis draagt
73D4113|derde val ~ Christus die het kruis draagt
73D412|Simon de Cyrene gedwongen om Christus te helpen het kruis te dragen
73D413|Christus ontmoet Maria, die soms flauwvalt ('Lo Spasimo') ~ Christus die het kruis draagt
73D414|Christus beklaagd door vrouwen van Jeruzalem; soms troost hij hen
73D415|Christus ontmoet Veronica, die een doek heeft om het gezicht van Christus af te vegen
73D42|Christus wordt naar Golgotha geleid, het kruis wordt door anderen gedragen.
73D423|Christus ontmoet Maria, die soms bezwijmt ~ het kruis gedragen door anderen
73D43|staties van de kruisweg
73D431|de 14 franciscaanse staties van de kruisweg
73D431(...)|de 14 Franciscaner staties van het kruis (met NUMMER van de statie)
73D44|De aankomst van Christus op Golgotha
73D5|De kruisiging van Christus: voorafschaduwing van Christus' dood aan het kruis (Matteüs 27:34-44; Marcus 15:23-32; Lucas 23:33-43; Johannes 19:18-24)
73D51|Christus ontkleed
73D511|Christus is bedekt met een lendendoek (door Maria, Maria Magdalena of een soldaat)
73D5111|Mary scheurt een stuk van haar mantel af
73D512|soldaten die loten voor of ruzie maken over Jezus' naadloze kleed
73D52|Christus in doodsangst wachtend om gekruisigd te worden; hij zit op of nabij het kruis of op een steen, Christus in doodsangst, Christus in rust
73D521|Christus in nood, zittend op de koude steen (alleen)
73D522|Christus staat bij het kruis
73D53|Christus wordt een verdovend drankje aangeboden, maar hij weigert het.
73D54|Het maken van het kruis ~ prelude tot Christus' dood aan het kruis
73D541|Hedroit smeedt de spijkers voor de kruisiging van Christus
73D55|De oprichting van het kruis: Christus wordt aan het kruis genageld dat op de grond ligt
73D551|het optillen van het kruis waaraan Christus al genageld is
73D56|De oprichting van het kruis: het optillen van het kruis (zonder Christus)
73D561|Christus die het kruis beklimt (met behulp van een ladder)
73D562|Christus wordt aan het opgerichte kruis genageld
73D57|ophangen van de kruisen van de twee dieven
73D58|de opschrift: I(esus) N(azarenus) R(ex) I(udaeorum) ~ de kruisiging van Christus
73D581|Pilate schrijft het opschrift ~ Christus' kruisiging
73D582|De inscriptie is geplaatst ~ de kruisiging van Christus
73D583|De priesters klagen over de opschrift; Pilatus weigert het te veranderen
73D6|de kruisiging van Christus: de dood van Christus aan het kruis; Golgotha (Matteüs 27:45-58; Marcus 15:33-45; Lucas 23:44-52; Johannes 19:25-38)
73D61|uitgebreide representaties van de gebeurtenissen op Golgotha tijdens de kruisiging van Christus, geen specifieke gebeurtenis benadrukt
73D611|de kruis(en) in de middelste afstand
73D612|de kruis(ten) op de achtergrond
73D62|representaties van Christus' dood aan het kruis, met een specifieke gebeurtenis of uitspraak van Christus benadrukt (tot aan Christus' dood)
73D621|'Vader, vergeef hun ...' ~ uitspraak van Christus aan het kruis
73D622|soldaten die dobbelen om Christus' naadloze kleed ~ Christus' dood aan het kruis
73D623|omstanders, meestal priesters en schriftgeleerden onder hen, beledigen Christus ~ Christus aan het kruis
73D624|één of beide van de misdadigers die Christus beledigen
73D6241|'Vandaag zul je bij mij in het paradijs zijn' ~ uitspraak van Christus aan het kruis
73D625|Omstanders aan de voet van het kruis, onder wie Maria, Maria Magdalena en Johannes de Evangelist; Maria kan flauwvallen worden weergegeven
73D6251|'vrouw, zie, uw zoon ...' ~ uitspraak van Christus aan het kruis
73D626|duisternis van het zesde tot het negende uur (vertegenwoordigd door een zonsverduistering) ~ de dood van Christus
73D6261|'Mijn God, mijn God, waarom hebt Gij mij verlaten' ~ uitspraak van Christus aan het kruis
73D6262|omstanders bespotten Christus ~ uitspraken van Christus aan het kruis
73D627|'Ik heb dorst' ~ uitspraak van Christus aan het kruis
73D6271|Een van de soldaten (Stephaton) geeft Christus azijn op een spons bevestigd aan een stok of lans
73D62711|Longinus doorboort de zijde van Christus; Stephaton geeft Christus azijn.
73D628|'Het is volbracht' ~ uitspraak van Christus aan het kruis
73D629|'Vader, in uw handen beveel ik mijn geest' ~ uitspraak van Christus aan het kruis
73D6291|Christus slaakt een luide kreet en sterft.
73D63|De dood van Christus aan het kruis met een specifiek benadrukt gebeurtenis (net na de dood van Christus)
73D631|De centurion belijdt zijn geloof in Christus; soms doen de soldaten hetzelfde
73D632|De discipelen van Christus en de vrouwen die Golgotha verlaten
73D633|Longinus doorboort de zijde van Christus met een lans
73D634|de soldaten breken de ledematen van de misdadigers met knuppels
73D64|gekruisigde Christus, met specifieke personen onder het kruis
73D641|gekruisigde Christus met Maria en Johannes aan weerszijden van het kruis; Heilig Kruis
73D6411|Mary en John dicht bij elkaar; soms Mary flauwvallend ~ gekruisigde Christus
73D642|Gekruisigde Christus met Maria Magdalena, die meestal huilt en het kruis omhelst
73D643|Gekruisigde Christus met Maria, Johannes en Maria Magdalena
73D644|Gekruisigde Christus met Stephaton en/of Longinus
73D645|Gekruisigde Christus met Maria, Johannes, Stephaton en Longinus
73D646|gekruisigde Christus met andere personen
73D65|Christus aan het kruis gecombineerd met andere scènes uit het Lijden
73D651|Christus aan het kruis; alleen scènes die aan de kruisiging voorafgaan toegevoegd
73D652|Christus aan het kruis; alleen scènes na de kruisiging toegevoegd
73D66|Christus aan het kruis op Golgotha (alleen, zonder omstanders)
73D661|de drie kruisen met de gekruisigde, zonder omstanders
73D662|een of beide van de misdadigers op hun kruisen
73D67|iconografische bijzonderheden van kruisigingsscènes (alleen te gebruiken als aanvullende notatie)
73D671|Bijzonderheden van kruisigingsscènes ~ Christus zelf (alleen aanvullende notatie)
73D6711|lange mantel, 'colobium' ~ bijzonderheden van kruisigingsscènes
73D6712|lendendoek ~ bijzonderheden van kruisigingsscènes
73D6713|Christus naakt ~ bijzonderheden van kruisigingsscènes
73D6714|bloed spuitend uit Christus' wonden
73D67141|engel(en) vangen het bloed van Christus op in beker(s)
73D6715|(voeten rustend op) suppedaneum ~ bijzonderheden van kruisigingsscènes
73D6716|drie spijkers; twee voor de handen van Christus, één voor zijn voeten ~ bijzonderheden van kruisigingsscènes
73D6717|Christus leeft nog steeds ~ bijzonderheden van kruisigingsscènes
73D6718|Christus dood ~ bijzonderheden van kruisigingsscènes
73D672|(het schedel of skelet van) Adam aan de voet van het kruis van Christus (iconografische bijzonderheid om alleen als aanvullende notatie te worden gebruikt)
73D6721|andere 'ongewone' personen of objecten aan de voet van het kruis van Christus, bijv.: Hades (Pluto)
73D673|de duivel of duivelse dieren die het kruis van Christus aanvallen (iconografische bijzonderheid om alleen als aanvullende notatie te gebruiken)
73D674|Zon en maan in de lucht aan weerszijden van het kruis van Christus
73D675|de soldaten die Golgotha verlaten
73D68|Gebeurtenissen in en rond Jeruzalem op het moment van de dood van Christus
73D681|de scheuring van de sluier van de tempel ~ Christus' dood
73D682|aardbeving, geopende graven en opstanding van de doden ~ Christus' dood
73D6821|De herrezenen verschijnen aan hun verwanten ~ de dood van Christus
73D69|Joseph van Arimathea vraagt Pilatus om het lichaam van Christus.
73D691|Joseph van Arimathea (met anderen) op weg naar Golgotha
73D7|van de kruisafneming van Christus tot zijn begrafenis (Matteüs 27:58-66; Marcus 15:46-47; Lucas 23:53-56; Johannes 19:39-42)
73D71|Afdaling van het kruis: Christus wordt van het kruis gehaald, meestal door Nicodemus en Jozef van Arimathea die op de ladders staan (beide armen van Christus losgemaakt)
73D711|Christus wordt van het kruis gehaald (één arm van Christus nog steeds genageld aan het kruis)
73D712|Christus wordt neergelegd ~ afdaling van het kruis
73D713|De dieven worden van hun kruisen gehaald.
73D714|de lege kruis(en)
73D72|de rouw over de dode Christus
73D721|Klaagzang over de dode Christus door zijn familieleden en vrienden (Christus meestal zonder doornenkroon)
73D7211|Het lichaam van Christus ligt op de grond
73D7212|het lichaam van Christus ondersteund
73D72121|Lichaam van Christus ondersteund door Maria, anderen aanwezig
73D7213|Lichaam van Christus op of in het graf
73D722|'Pietà', 'Vesperbild', 'Marienklage' (geen anderen aanwezig): Christus, al dan niet met doornenkroon, betreurd door Maria
73D7221|de dode Christus in de schoot van Maria
73D7222|de dode Christus liggend aan Maria's voeten
73D7223|alleen de hoofden van Christus en Maria ~ Christus betreurd door Maria
73D723|Christus betreurd door engelen
73D724|'Epitaphios' ~ rouwen over de dode Christus
73D73|Man van Smarten, 'Imago Pietatis', 'Erbärmdebild', 'Schmerzensmann'; de rechtopstaande Christus die zijn wonden toont, meestal met de doornenkroon, en vergezeld door de instrumenten van de Passie, staand of zittend in zijn graf
73D731|halve of driekwart figuur van de Man van Smarten
73D732|volledige figuur, zittend of staand van de Man van Smarten
73D733|Man van Smarten samen met anderen
73D7331|Man van Smarten samen met Maria
73D73311|Man van Smarten samen met Maria en Johannes
73D7332|Man van Smarten ondersteund of vergezeld door treurende engelen, Engelpietà
73D74|richting van het lichaam van Christus naar het graf
73D75|voorbereidingen voor de begrafenis van Christus
73D751|Christus liggend op de steen van zalving
73D752|de aankoop van zalf, specerijen en linnen ~ de graflegging van Christus
73D753|het wassen van de wonden ~ de graflegging van Christus
73D754|de heilige vrouwen zalven het lichaam van Christus
73D755|Het lichaam van Christus is gewikkeld in een lijkwade en in verband.
73D756|het graf is geopend ~ begrafenis van Christus
73D76|Begrafenis van Christus (mogelijk door engelen)
73D761|Christus liggend in de sarcofaag
73D77|gebeurtenissen na de begrafenis van Christus
73D771|de terugkeer van Christus' begrafenis
73D772|de doodswake door de heilige vrouwen
73D773|rouwenden bij het gesloten graf van Christus
73D774|de Joden vragen Pilatus om het graf te laten bewaken
73D7741|de verzegeling van het graf van Christus
73D7742|soldaten bewaken het graf van Christus
73D78|architectonische structuur die de Heilige Grafkerk vertegenwoordigt of symboliseert
73D8|de instrumenten van het Lijden en de vijf gewonde ledematen
73D81|'Arma Christi'
73D811|'Arma Christi' ~ Christus
73D82|enkele instrumenten van het Lijden
73D82(...)|enkele instrumenten van het Lijden (met NAAM)
73D82(COCK ON COLUMN)|Haan op zuil ~ instrumenten van het lijden
73D82(COLUMN)|kolom (van de geseling) ~ instrumenten van het Lijden
73D82(CROSS)|kruis ~ instrumenten van de Passie
73D82(CROWN OF THORNS)|kroon van doornen ~ instrumenten van het Lijden
73D82(FOOTPRINTS OF CHRIST)|Voetafdrukken van Christus ~ instrumenten van het Lijden
73D82(HEAD OF JUDAS)|hoofd van Judas ~ instrumenten van het Lijden
73D82(LANCE)|lans ~ instrumenten van het Lijden
73D82(NAILS)|nagels ~ instrumenten van het Lijden
73D82(REED)|rieten ~ instrumenten van het Lijden
73D82(SHROUD)|sluier ~ instrumenten van de Passie
73D83|de vijf gewonde ledematen van Christus: hart (zijwond), handen en voeten
73D831|de wond aan de schouder van Christus
73D9|Christus in de onderwereld, verlossing van de hel, Christus in Limbo, 'descensus ad inferos', 'Anastasis'
73D91|Christus arriveert bij de ingang van de hel en breekt de deur(en).
73D92|Christus betreedt de hel
73D93|Christus behaalt de overwinning over duivelse machten
73D931|Christus die predikt in de hel
73D932|Christus steekt Satan neer met een lans of een kruis.
73D933|Christus stapt op duivel(s)
73D934|Satan in boeien ~ Christus in hel
73D94|Christus verlaat de hel: hij bevrijdt patriarchen, profeten, koningen en andere personen uit de hel, onder hen Adam, Eva, Mozes, David en Johannes de Doper.
73D95|Triomfantelijke aankomst in het paradijs van Christus en van degenen die hij gered heeft; zij worden ontvangen door Maria, door Henoch en Elia, of door de Goede Misdadiger
73D951|de goede misdadiger draagt zijn kruis het paradijs in
73DD55|De oprichting van het kruis: Christus wordt aan het kruis genageld dat op de grond ligt - DD - drie kruisen
73DD551|het optillen van het kruis waaraan Christus al genageld is - DD - drie kruisen
73DD56|De oprichting van het kruis: het optillen van het kruis (zonder Christus) - DD - drie kruisen
73DD561|Christus die het kruis beklimt (met behulp van een ladder) - DD - drie kruisen
73DD562|Christus wordt aan het opgerichte kruis genageld - DD - drie kruisen
73DD61|uitgebreide voorstellingen van de gebeurtenissen op Golgotha tijdens Christus' hangen aan het kruis, geen specifieke gebeurtenis benadrukt - DD - alleen Christus aan het kruis
73DD611|de kruis(en) in de verte - DD - alleen Christus aan het kruis
73DD612|De kruis(en) op de achtergrond - DD - alleen Christus aan het kruis
73DD62|afbeeldingen van Christus' dood aan het kruis, met een specifieke gebeurtenis of uitspraak van Christus benadrukt (tot aan Christus' dood) - DD - alleen Christus aan het kruis
73DD621|'Vader, vergeef hun ...' ~ uitspraak van Christus aan het kruis - DD - alleen Christus aan het kruis
73DD622|soldaten gooien dobbelstenen voor Christus' naadloze kleed ~ Christus' dood aan het kruis - DD - alleen Christus aan het kruis
73DD623|omstanders, meestal priesters en schriftgeleerden onder hen, beledigen Christus ~ Christus aan het kruis - DD - alleen Christus aan het kruis
73DD624|Een of beide van de misdadigers beledigen Christus - DD - alleen Christus aan het kruis
73DD6241|'Vandaag zul je bij mij in het paradijs zijn' ~ uitspraak van Christus aan het kruis - DD - alleen Christus aan het kruis
73DD625|omstanders aan de voet van het kruis, onder wie Maria, Maria Magdalena en Johannes de Evangelist; Maria kan flauwvallen worden getoond - DD - alleen Christus aan het kruis
73DD6251|'vrouw, zie, uw zoon ...' ~ uitspraak van Christus aan het kruis - DD - alleen Christus aan het kruis
73DD626|duisternis van het zesde tot het negende uur (vertegenwoordigd door een zonsverduistering) ~ Christus' dood - DD - alleen Christus aan het kruis
73DD6261|'Mijn God, mijn God, waarom hebt Gij mij verlaten' ~ uitspraak van Christus aan het kruis - DD - alleen Christus aan het kruis
73DD6262|omstanders bespotten Christus ~ uitspraken van Christus aan het kruis - DD - alleen Christus aan het kruis
73DD627|'Ik heb dorst' ~ uitspraak van Christus aan het kruis - DD - alleen Christus aan het kruis
73DD6271|Een van de soldaten (Stephaton) geeft Christus azijn op een spons bevestigd aan een stok of lans - DD - alleen Christus aan het kruis
73DD62711|Longinus doorboort de zijde van Christus; Stephaton geeft Christus azijn - DD - alleen Christus aan het kruis
73DD628|'Het is volbracht' ~ uitspraak van Christus aan het kruis - DD - alleen Christus aan het kruis
73DD629|'Vader, in uw handen beveel ik mijn geest' ~ uitspraak van Christus aan het kruis - DD - alleen Christus aan het kruis
73DD6291|Christus slaakt een luide kreet en sterft - DD - alleen Christus aan het kruis
73DD63|De dood van Christus aan het kruis met een specifiek benadrukte gebeurtenis (net na de dood van Christus) - DD - alleen Christus aan het kruis
73DD631|de centurion die zijn geloof in Christus belijdt; soms doen de soldaten hetzelfde - DD - alleen Christus aan het kruis
73DD632|De discipelen van Christus en de vrouwen die Golgotha verlaten - DD - alleen Christus aan het kruis
73DD633|Longinus doorboort de zijde van Christus met een lans - DD - alleen Christus aan het kruis
73DD634|de soldaten breken de ledematen van de misdadigers met knuppels - DD - alleen Christus aan het kruis
73DD64|gekruisigde Christus, met specifieke personen onder het kruis - DD - de drie kruisen
73DD641|Gekruisigde Christus met Maria en Johannes aan weerszijden van het kruis; Heilig Kruis - DD - de drie kruisen
73DD6411|Mary en John dicht bij elkaar; soms Mary flauwvallend ~ gekruisigde Christus - DD - de drie kruisen
73DD642|Gekruisigde Christus met Maria Magdalena, die meestal huilt en het kruis omhelst - DD - de drie kruisen
73DD643|Gekruisigde Christus met Maria, Johannes en Maria Magdalena - DD - de drie kruisen
73DD644|Gekruisigde Christus met Stephaton en/of Longinus - DD - de drie kruisen
73DD645|Gekruisigde Christus met Maria, Johannes, Stephaton en Longinus - DD - de drie kruisen
73DD646|Gekruisigde Christus met andere personen - DD - de drie kruisen
73DD65|Christus aan het kruis gecombineerd met andere scènes uit het Lijden - DD - de drie kruisen
73DD651|Christus aan het kruis; alleen scènes voorafgaand aan de kruisiging toegevoegd - DD - de drie kruisen
73DD652|Christus aan het kruis; alleen scènes na de kruisiging toegevoegd - DD - de drie kruisen
73E|gebeurtenissen van Opstanding tot Pinksteren (Matteüs 28; Marcus 16; Lucas 24; Johannes 20-21; Handelingen 1:3-11); dood van Maria en Jozef
73E1|Wederopstanding van Christus
73E11|gebeurtenissen vlak voor de Opstanding
73E111|De hand van God wekt Christus op
73E112|engelen die het graf van Christus openen, bijvoorbeeld door de steen opzij te rollen
73E113|David bij het graf van Christus
73E12|Christus, meestal met een banier in de hand, verrijst uit het graf; vaak gecombineerd met slapende en/of angstige soldaten
73E121|Christus duwt het deksel van de sarcofaag weg ~ Opstanding
73E1211|het deksel van de sarcofaag werd geopend door een engel ~ Opstanding van Christus
73E122|Christus, deels zichtbaar, staand in de geopende sarcofaag
73E123|Christus die uit het graf stapt
73E1231|Christus die door de gesloten tempeldeur stapt
73E13|gebeurtenissen direct na de Opstanding
73E131|Christus staat op of nabij het graf ~ gebeurtenissen na de Opstanding
73E132|Christus zittend (verheven) op het graf
73E133|Christus zwevend boven of in de buurt van het graf
73E14|symbolische voorstellingen van de Opstanding
73E15|de verrezen Christus (met wonden, maar zonder doornenkroon), soms het kruis vasthoudend
73E16|bange en/of slapende soldaten bij het graf van Christus
73E161|De ouderen omkopen de soldaten met geld ~ Opstanding van Christus
73E162|slapende soldaten bij het graf van Christus
73E2|de lege graftombe ~ Opstanding van Christus
73E21|engel(en) in of bij het lege graf van Christus
73E22|de heilige vrouwen (de drie Maria's) op weg naar of bij het graf, om het lichaam van Christus te zalven
73E23|Engel(en) die de heilige vrouwen aanspreken ~ Opstanding van Christus
73E231|Engel(en) die Maria Magdalena aanspreken ~ Opstanding van Christus
73E232|Maria Magdalena gehuld in het lijkwade van Christus
73E24|De heilige vrouwen vertellen de apostelen over het lege graf ~ Opstanding van Christus
73E25|John, Peter en Mary Magdalene benaderen het open graf van Christus
73E251|Peter en/of John zorgen ervoor dat het graf van Christus leeg is
73E3|verschijningen van Christus na de Opstanding
73E31|Maria Magdalena knielend voor Christus, die meestal wordt voorgesteld als een tuinman met een houweel en/of een spade; Noli me tangere
73E32|Christus, misschien gekleed als een pelgrim, verschijnt aan zijn moeder, die meestal biddend wordt afgebeeld
73E321|Christus en Maria omhelzen ~ na de Opstanding
73E33|Christus verschijnt aan de heilige vrouwen, meestal de drie Maria's
73E34|de reis naar Emmaus: twee discipelen (Cleopas en Peter) onderweg
73E341|Cleopas en Peter ontmoeten Christus (soms zijn ze verkleed als pelgrims)
73E342|Cleopas en Peter komen aan bij de poort van Emmaus, of bij de herberg; Christus wordt gevraagd om te blijven
73E3421|Christus wordt tegengehouden door de discipelen Cleopas en Petrus die aan zijn kleding trekken ~ reis naar Emmaüs
73E343|Het avondmaal in Emmaus: Christus wordt herkend terwijl Hij het brood zegent of breekt
73E344|Christus verdwijnt ~ avondmaal in Emmaüs
73E3441|De twee discipelen Cleopas en Petrus zonder Christus aan tafel ~ avondmaal in Emmaüs
73E345|Cleopas en Peter keren terug naar Jeruzalem
73E3451|Cleopas en Peter informeren de apostelen ~ terugkeer van Emmaus naar Jeruzalem
73E35|Christus verschijnt aan de apostelen (verzameld achter gesloten deuren)
73E351|Christus aan tafel met de apostelen ~ na de Opstanding
73E3511|De apostelen brengen voedsel naar Christus.
73E352|Christus toont zijn wonden aan de apostelen
73E353|Christus zegent de apostelen ~ na de Opstanding
73E354|Christus die op de apostelen ademt (soms komt er een duif uit de mond van Christus)
73E355|Christus die de apostelen aanspoort om in Jeruzalem te blijven
