0|Abstracte, non-figuratieve Kunst
12D6|Plaatsen en objecten van verering ~ objecten van verering in Babylonisch-Assyrische religies en andere antieke religies van het Nabije Oosten en Noord-Afrika    # places and objects of worship ~ objects of worship in Babylonian-Assyrian religions and other antique religions of the Near East and Northern Africa
12D61|tempel, heiligdom ~ Babylonisch-Assyrische religies en andere antieke religies van het Nabije Oosten en Noord-Afrika    # temple, shrine ~ Babylonian-Assyrian religions and other antique religions of the Near East and Northern Africa
12D62|altaar ~ Babylonische-Assyrische religies en andere antieke religies van het Nabije Oosten en Noord-Afrika    # altar ~ Babylonian-Assyrian religions and other antique religions of the Near East and Northern Africa
12D63|beelden, schilderijen, enz. ~ objecten van verering in Babylonisch-Assyrische religies en andere antieke religies van het Nabije Oosten en Noord-Afrika    # statues, paintings, etc. ~ objects of worship in Babylonian-Assyrian religions and other antique religions of the Near East and Northern Africa
12DD13|representaties ~ godinnen, halfgodinnen, heldinnen etc. (Babylonisch-Assyrische religies en antieke religies van het Nabije Oosten en Noord-Afrika)    # representations ~ goddesses, demi-goddesses, heroines etc. (Babylonian-Assyrian religions and antique religions of the Near East and Northern Africa)
12DD13(...)|Representaties ~ godinnen, halfgodinnen, heldinnen etc. (met NAAM) (Babylonisch-Assyrische religies en antieke religies van het Nabije Oosten en Noord-Afrika)    # representations ~ goddesses, demi-goddesses, heroines etc. (with NAME) (Babylonian-Assyrian religions and antique religions of the Near East and Northern Africa)
12DD13(...)1|representaties ~ godinnen, halfgodinnen, heldinnen etc. (met NAAM) (Babylonisch-Assyrische religies en antieke religies van het Nabije Oosten en Noord-Afrika) - vroege leven, jeugd van niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines etc. (with NAME) (Babylonian-Assyrian religions and antique religions of the Near East and Northern Africa) - early life, prime youth of non-Christian god or goddess
12DD13(...)11|representaties ~ godinnen, halfgodinnen, heldinnen etc. (met NAAM) (Babylonisch-Assyrische religies en antieke religies van het Nabije Oosten en Noord-Afrika) - geboorte van een niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines etc. (with NAME) (Babylonian-Assyrian religions and antique religions of the Near East and Northern Africa) - birth of non-Christian god or goddess
12DD13(...)12|representaties ~ godinnen, halfgodinnen, heldinnen etc. (met NAAM) (Babylonisch-Assyrische religies en antieke religies van het Nabije Oosten en Noord-Afrika) - kindertijd, opvoeding van niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines etc. (with NAME) (Babylonian-Assyrian religions and antique religions of the Near East and Northern Africa) - infancy, upbringing of non-Christian god or goddess
12DD13(...)2|representaties ~ godinnen, halfgodinnen, heldinnen etc. (met NAAM) (Babylonisch-Assyrische religies en antieke religies van het Nabije Oosten en Noord-Afrika) - liefdesaffaires van niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines etc. (with NAME) (Babylonian-Assyrian religions and antique religions of the Near East and Northern Africa) - love-affairs of non-Christian god or goddess
12DD13(...)3|Representaties ~ godinnen, halfgodinnen, heldinnen etc. (met NAAM) (Babylonisch-Assyrische religies en antieke religies van het Nabije Oosten en Noord-Afrika) - belangrijkste daden van een niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines etc. (with NAME) (Babylonian-Assyrian religions and antique religions of the Near East and Northern Africa) - most important deeds of non-Christian god or goddess
12DD13(...)4|representaties ~ godinnen, halfgodinnen, heldinnen etc. (met NAAM) (Babylonisch-Assyrische religies en antieke religies van het Nabije Oosten en Noord-Afrika) - agressieve, onvriendelijke activiteiten en relaties van niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines etc. (with NAME) (Babylonian-Assyrian religions and antique religions of the Near East and Northern Africa) - aggressive, unfriendly activities and relationships of non-Christian god or goddess
12DD13(...)5|representaties ~ godinnen, halfgodinnen, heldinnen etc. (met NAAM) (Babylonisch-Assyrische religies en antieke religies van het Nabije Oosten en Noord-Afrika) - niet-agressieve, vriendelijke of neutrale activiteiten en relaties van niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines etc. (with NAME) (Babylonian-Assyrian religions and antique religions of the Near East and Northern Africa) - non-aggressive, friendly or neutral activities and relationships of non-Christian god or goddess
12DD13(...)6|representaties ~ godinnen, halfgodinnen, heldinnen etc. (met NAAM) (Babylonisch-Assyrische religies en antieke religies van het Nabije Oosten en Noord-Afrika) - lijden, ongeluk van niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines etc. (with NAME) (Babylonian-Assyrian religions and antique religions of the Near East and Northern Africa) - suffering, misfortune of non-Christian god or goddess
12DD13(...)68|representaties ~ godinnen, halfgodinnen, heldinnen etc. (met NAAM) (Babylonisch-Assyrische religies en antieke religies van het Nabije Oosten en Noord-Afrika) - dood van niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines etc. (with NAME) (Babylonian-Assyrian religions and antique religions of the Near East and Northern Africa) - death of non-Christian god or goddess
12DD13(...)69|representaties ~ godinnen, halfgodinnen, heldinnen etc. (met NAAM) (Babylonisch-Assyrische religies en antieke religies van het Nabije Oosten en Noord-Afrika) - apotheose, vergoddelijking van een niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines etc. (with NAME) (Babylonian-Assyrian religions and antique religions of the Near East and Northern Africa) - apotheosis, deification of non-Christian god or goddess
12DD13(...)7|Representaties ~ godinnen, halfgodinnen, heldinnen etc. (met NAAM) (Babylonisch-Assyrische religies en antieke religies van het Nabije Oosten en Noord-Afrika) - specifieke aspecten, allegorische aspecten van niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines etc. (with NAME) (Babylonian-Assyrian religions and antique religions of the Near East and Northern Africa) - specific aspects, allegorical aspects of non-Christian god or goddess
12DD13(...)78|representaties ~ godinnen, halfgodinnen, heldinnen etc. (met NAAM) (Babylonisch-Assyrische religies en antieke religies van het Nabije Oosten en Noord-Afrika) - triomf van een niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines etc. (with NAME) (Babylonian-Assyrian religions and antique religions of the Near East and Northern Africa) - triumph of non-Christian god or goddess
12DD13(...)79|representaties ~ godinnen, halfgodinnen, heldinnen etc. (met NAAM) (Babylonisch-Assyrische religies en antieke religies van het Nabije Oosten en Noord-Afrika) - verering, eren van een niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines etc. (with NAME) (Babylonian-Assyrian religions and antique religions of the Near East and Northern Africa) - veneration, honouring of non-Christian god or goddess
12DD13(...)8|representaties ~ godinnen, halfgodinnen, heldinnen etc. (met NAAM) (Babylonisch-Assyrische religies en antieke religies van het Nabije Oosten en Noord-Afrika) - attributen van een niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines etc. (with NAME) (Babylonian-Assyrian religions and antique religions of the Near East and Northern Africa) - attributes of non-Christian god or goddess
12DD13(...)9|Representaties ~ godinnen, halfgodinnen, heldinnen etc. (met NAAM) (Babylonisch-Assyrische religies en antieke religies van het Nabije Oosten en Noord-Afrika) - nakomeling, metgezel(s), gevolg, enz. van een niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines etc. (with NAME) (Babylonian-Assyrian religions and antique religions of the Near East and Northern Africa) - offspring, companion(s), train, etc. of non-Christian god or goddess
12DD13(ISHTAR)|Ishtar, Babylonisch-Assyrische godin van vruchtbaarheid en voortplanting    # Ishtar, Babylonian-Assyrian goddess of fertility and procreation
12DD13(ISHTAR)1|Ishtar, Babylonisch-Assyrische godin van vruchtbaarheid en voortplanting - vroege leven, jeugd van niet-christelijke godheid    # Ishtar, Babylonian-Assyrian goddess of fertility and procreation - early life, prime youth of non-Christian god or goddess
12DD13(ISHTAR)11|Ishtar, Babylonisch-Assyrische godin van vruchtbaarheid en voortplanting - geboorte van een niet-christelijke god of godin    # Ishtar, Babylonian-Assyrian goddess of fertility and procreation - birth of non-Christian god or goddess
12DD13(ISHTAR)12|Ishtar, Babylonisch-Assyrische godin van vruchtbaarheid en voortplanting - kindertijd, opvoeding van niet-christelijke god of godin    # Ishtar, Babylonian-Assyrian goddess of fertility and procreation - infancy, upbringing of non-Christian god or goddess
12DD13(ISHTAR)2|Ishtar, Babylonisch-Assyrische godin van vruchtbaarheid en voortplanting - liefdesaffaires van niet-christelijke god of godin    # Ishtar, Babylonian-Assyrian goddess of fertility and procreation - love-affairs of non-Christian god or goddess
12DD13(ISHTAR)3|Ishtar, Babylonisch-Assyrische godin van vruchtbaarheid en voortplanting - belangrijkste daden van een niet-christelijke god of godin    # Ishtar, Babylonian-Assyrian goddess of fertility and procreation - most important deeds of non-Christian god or goddess
12DD13(ISHTAR)4|Ishtar, Babylonisch-Assyrische godin van vruchtbaarheid en voortplanting - agressieve, onvriendelijke activiteiten en relaties van niet-christelijke god of godin    # Ishtar, Babylonian-Assyrian goddess of fertility and procreation - aggressive, unfriendly activities and relationships of non-Christian god or goddess
12DD13(ISHTAR)5|Ishtar, Babylonisch-Assyrische godin van vruchtbaarheid en voortplanting - niet-agressieve, vriendelijke of neutrale activiteiten en relaties van niet-christelijke god of godin    # Ishtar, Babylonian-Assyrian goddess of fertility and procreation - non-aggressive, friendly or neutral activities and relationships of non-Christian god or goddess
12DD13(ISHTAR)6|lijden, ongeluk van Ishtar    # suffering, misfortune of Ishtar
12DD13(ISHTAR)61|Ishtar daalt af in de onderwereld    # Ishtar descends into the underworld
12DD13(ISHTAR)68|lijden, tegenspoed van Ishtar - dood van niet-christelijke god of godin    # suffering, misfortune of Ishtar - death of non-Christian god or goddess
12DD13(ISHTAR)69|lijden, ongeluk van Ishtar - apotheose, vergoddelijking van een niet-christelijke god of godin    # suffering, misfortune of Ishtar - apotheosis, deification of non-Christian god or goddess
12DD13(ISHTAR)7|Ishtar, Babylonisch-Assyrische godin van vruchtbaarheid en voortplanting - specifieke aspecten, allegorische aspecten van een niet-christelijke god of godin    # Ishtar, Babylonian-Assyrian goddess of fertility and procreation - specific aspects, allegorical aspects of non-Christian god or goddess
12DD13(ISHTAR)78|Ishtar, Babylonisch-Assyrische godin van vruchtbaarheid en voortplanting - triomf van niet-christelijke god of godin    # Ishtar, Babylonian-Assyrian goddess of fertility and procreation - triumph of non-Christian god or goddess
12DD13(ISHTAR)79|Ishtar, Babylonisch-Assyrische godin van vruchtbaarheid en voortplanting - verering, eren van niet-christelijke god of godin    # Ishtar, Babylonian-Assyrian goddess of fertility and procreation - veneration, honouring of non-Christian god or goddess
12DD13(ISHTAR)8|Ishtar, Babylonisch-Assyrische godin van vruchtbaarheid en voortplanting - attributen van een niet-christelijke godheid    # Ishtar, Babylonian-Assyrian goddess of fertility and procreation - attributes of non-Christian god or goddess
12DD13(ISHTAR)9|Ishtar, Babylonisch-Assyrische godin van vruchtbaarheid en voortplanting - nakomelingen, metgezel(s), trein, enz. van niet-christelijke god of godin    # Ishtar, Babylonian-Assyrian goddess of fertility and procreation - offspring, companion(s), train, etc. of non-Christian god or goddess
12DD51|priester ~ Babylonisch-Assyrische religies en andere antieke religies van het Nabije Oosten en Noord-Afrika - DD - priesteres    # priest ~ Babylonian-Assyrian religions and other antique religions of the Near East and Northern Africa - DD - priestess
12DD62|altaar ~ Babylonisch-Assyrische religies en andere antieke religies van het Nabije Oosten en Noord-Afrika - DD - in de open lucht    # altar ~ Babylonian-Assyrian religions and other antique religions of the Near East and Northern Africa - DD - in the open air
12E|Griekse religie
12E1|Concepties en ideeën gevisualiseerd ~ Griekse religie    # conceptions and ideas visualized ~ Greek religion
12E13|representaties ~ goden, halfgoden, helden, enz. (Griekse religie)    # representations ~ gods, demi-gods, heroes, etc. (Greek religion)
12E13(...)|representaties ~ goden, halfgoden, helden, enz. (met NAAM) (Griekse religie)    # representations ~ gods, demi-gods, heroes, etc. (with NAME) (Greek religion)
12E13(...)1|representaties ~ goden, halfgoden, helden, enz. (met NAAM) (Griekse religie) - vroege leven, jeugd van niet-Christelijke god of godin    # representations ~ gods, demi-gods, heroes, etc. (with NAME) (Greek religion) - early life, prime youth of non-Christian god or goddess
12E13(...)11|representaties ~ goden, halfgoden, helden, enz. (met NAAM) (Griekse religie) - geboorte van niet-christelijke god of godin    # representations ~ gods, demi-gods, heroes, etc. (with NAME) (Greek religion) - birth of non-Christian god or goddess
12E13(...)12|representaties ~ goden, halfgoden, helden, enz. (met NAAM) (Griekse religie) - kindertijd, opvoeding van niet-christelijke god of godin    # representations ~ gods, demi-gods, heroes, etc. (with NAME) (Greek religion) - infancy, upbringing of non-Christian god or goddess
12E13(...)2|representaties ~ goden, halfgoden, helden, enz. (met NAAM) (Griekse religie) - liefdesaffaires van niet-christelijke god of godin    # representations ~ gods, demi-gods, heroes, etc. (with NAME) (Greek religion) - love-affairs of non-Christian god or goddess
12E13(...)3|representaties ~ goden, halfgoden, helden, enz. (met NAAM) (Griekse religie) - belangrijkste daden van een niet-christelijke god of godin    # representations ~ gods, demi-gods, heroes, etc. (with NAME) (Greek religion) - most important deeds of non-Christian god or goddess
12E13(...)4|representaties ~ goden, halfgoden, helden, enz. (met NAAM) (Griekse religie) - agressieve, onvriendelijke activiteiten en relaties van niet-christelijke god of godin    # representations ~ gods, demi-gods, heroes, etc. (with NAME) (Greek religion) - aggressive, unfriendly activities and relationships of non-Christian god or goddess
12E13(...)5|Representaties ~ goden, halfgoden, helden, enz. (met NAAM) (Griekse religie) - niet-agressieve, vriendelijke of neutrale activiteiten en relaties van een niet-christelijke god of godin    # representations ~ gods, demi-gods, heroes, etc. (with NAME) (Greek religion) - non-aggressive, friendly or neutral activities and relationships of non-Christian god or goddess
12E13(...)6|representaties ~ goden, halfgoden, helden, enz. (met NAAM) (Griekse religie) - lijden, ongeluk van niet-christelijke god of godin    # representations ~ gods, demi-gods, heroes, etc. (with NAME) (Greek religion) - suffering, misfortune of non-Christian god or goddess
12E13(...)68|representaties ~ goden, halfgoden, helden, enz. (met NAAM) (Griekse religie) - dood van niet-christelijke god of godin    # representations ~ gods, demi-gods, heroes, etc. (with NAME) (Greek religion) - death of non-Christian god or goddess
12E13(...)69|Representaties ~ goden, halfgoden, helden, enz. (met NAAM) (Griekse religie) - apotheose, vergoddelijking van een niet-christelijke god of godin    # representations ~ gods, demi-gods, heroes, etc. (with NAME) (Greek religion) - apotheosis, deification of non-Christian god or goddess
12E13(...)7|Representaties ~ goden, halfgoden, helden, enz. (met NAAM) (Griekse religie) - specifieke aspecten, allegorische aspecten van een niet-christelijke god of godin    # representations ~ gods, demi-gods, heroes, etc. (with NAME) (Greek religion) - specific aspects, allegorical aspects of non-Christian god or goddess
12E13(...)78|representaties ~ goden, halfgoden, helden, enz. (met NAAM) (Griekse religie) - triomf van een niet-christelijke god of godin    # representations ~ gods, demi-gods, heroes, etc. (with NAME) (Greek religion) - triumph of non-Christian god or goddess
12E13(...)79|representaties ~ goden, halfgoden, helden, enz. (met NAAM) (Griekse religie) - verering, eren van een niet-christelijke god of godin    # representations ~ gods, demi-gods, heroes, etc. (with NAME) (Greek religion) - veneration, honouring of non-Christian god or goddess
12E13(...)8|representaties ~ goden, halfgoden, helden, enz. (met NAAM) (Griekse religie) - attributen van een niet-christelijke god of godin    # representations ~ gods, demi-gods, heroes, etc. (with NAME) (Greek religion) - attributes of non-Christian god or goddess
12E13(...)9|representaties ~ goden, halfgoden, helden, enz. (met NAAM) (Griekse religie) - nakomeling, metgezel(s), volgeling, enz. van een niet-christelijke god of godin    # representations ~ gods, demi-gods, heroes, etc. (with NAME) (Greek religion) - offspring, companion(s), train, etc. of non-Christian god or goddess
12E14|representaties ~ natuurlijke fenomenen (Griekse religie)    # representations ~ natural phenomena (Greek religion)
12E15|Representaties ~ man en zijn natuur (Griekse religie)    # representations ~ man and his nature (Greek religion)
12E151|ideeën over het begin van de menselijke cultuur in oertijden ~ Griekse religie    # ideas on the beginnings of human culture in primordial times ~ Greek religion
12E16|Ideeën over het dierenrijk, de plantenwereld, realia ~ Griekse religie    # ideas on the animal kingdom, the vegetable world, realia ~ Greek religion
12E17|symbolische representaties ~ Griekse religie    # symbolic representations ~ Greek religion
12E18|de onderwereld ~ Griekse religie: Gebruik 93 E    # the underworld ~ Greek religion : Use 93 E
12E181|Afdaling in de onderwereld ~ Griekse religie    # descent into the underworld ~ Greek religion
12E19|demonen ~ Griekse religie    # demons ~ Greek religion
12E2|Rituele praktijken ~ Griekse religie    # ritual practices ~ Greek religion
12E21|verering en toewijding (in het algemeen) ~ Griekse religie    # worship and devotion (in general) ~ Greek religion
12E212|opoffering ~ Griekse religie    # sacrifice ~ Greek religion
12E2121|dierlijke offer ~ Griekse religie    # animal sacrifice ~ Greek religion
12E2122|menselijke offer ~ Griekse religie    # human sacrifice ~ Greek religion
12E2123|offerfeest ~ Griekse religie    # sacrificial feast ~ Greek religion
12E2123(...)|offerfeest (met NAAM) ~ Griekse religie    # sacrificial feast (with NAME) ~ Greek religion
12E213|'parthenia', Griekse religieuze liederen gezongen door koren van jonge meisjes    # 'parthenia', Greek religious songs by choirs of maidens
12E217|ritueel maal ~ Griekse religie    # ritual meal ~ Greek religion
12E218|wijding ~ Griekse religie    # consecration ~ Greek religion
12E2181|toewijding, bijv. van een heiligdom ~ Griekse religie    # dedication, e.g. of a sanctuary ~ Greek religion
12E25|orakel ~ Griekse religie    # oracle ~ Greek religion
12E4|Rituele praktijken ~ stadia van menselijk leven (Griekse religie)    # ritual practices ~ stadia of human life (Greek religion)
12E44|Rituele praktijken ~ dood en begrafenis (Griekse religie)    # ritual practices ~ death and burial (Greek religion)
12E441|begrafenisritueel, voorouderverering ~ Griekse religie    # funerary ritual, ancestor cult ~ Greek religion
12E5|religieuze functionarissen ~ Griekse religie    # religious functionaries ~ Greek religion
12E51|priester ~ Griekse religie    # priest ~ Greek religion
12E512|'metragyrti', rondzwervende bedelende priesters ~ Griekse religie    # 'metragyrti', wandering begging priests ~ Greek religion
12E52|ziener, profeet ~ Griekse religie    # seer, prophet ~ Greek religion
12E52(...)|ziener, profeet (met NAAM) ~ Griekse religie    # seer, prophet (with NAME) ~ Greek religion
12E6|Plaatsen en objecten van verering ~ Griekse religie    # places and objects of worship ~ Greek religion
12E61|tempel, heiligdom ~ Griekse religie    # temple, shrine ~ Greek religion
12E62|altaar ~ Griekse religie    # altar ~ Greek religion
12E621|huisaltaar ~ Griekse religie    # house-altar ~ Greek religion
12E63|beelden, schilderijen, enz. ~ objecten van verering in de Griekse religie    # statues, paintings, etc. ~ objects of worship in Greek religion
12E64|andere heilige plaatsen ~ Griekse religie    # other holy places ~ Greek religion
12E64(...)|andere heilige plaatsen (met NAAM) ~ Griekse religie    # other holy places (with NAME) ~ Greek religion
12E64(DODONA)|Dodona, plaats van verering van Zeus ~ Griekse religie    # Dodona, place of worship of Zeus ~ Greek religion
12E7|Rituele objecten en rituele middelen ~ Griekse religie    # ritual objects and ritual means ~ Greek religion
12E75|andere rituele objecten of middelen ~ Griekse religie    # other ritual objects or means ~ Greek religion
12E8|Griekse religieuze gemeenschappen    # Greek religious communities
12E84|mysterieculten ~ Griekse religie    # mystery cults ~ Greek religion
12E84(...)|mysterieculten (met NAAM) ~ Griekse religie    # mystery cults (with NAME) ~ Greek religion
12E84(DIONYSUS)|dionysische mysteriën    # Dionysian mysteries
12E84(ELEUSIS)|Eleusinische mysteriën, ter ere van Demeter    # Eleusinian mysteries, in honour of Demeter
12E84(ORPHEUS)|Orfische mysteriën    # Orphic mysteries
12E84(SAMOTHRACE)|Samothracische mysteriën, ter ere van de Cabiri    # Samothracian mysteries, in honour of the Cabiri
12E9|andere sociale activiteiten ~ Griekse religie    # other social activities ~ Greek religion
12E91|Feesten en festivals ter ere van de Griekse goden    # feasts and festivals in honour of the Greek gods
12E91(...)|feesten en festivals ter ere van de Griekse goden (met NAAM)    # feasts and festivals in honour of the Greek gods (with NAME)
12E91(ANTHESTERIA)|'Anthesteria', festival van Dionysus    # 'Anthesteria', festival of Dionysus
12E91(PANATHENAEA)|'Panathenaea', feest ter ere van Athena    # 'Panathenaea', feast in honour of Athena
12E92|Spelen en spellen ter ere van de Griekse goden    # plays and games in honour of the Greek gods
12E92(...)|Spelen en spellen ter ere van de Griekse goden (met NAAM)    # plays and games in honour of the Greek gods (with NAME)
12E92(ISTHMIAN GAMES)|Isthmische spelen, ter ere van Poseidon    # Isthmian games, in honour of Poseidon
12E92(NEMEAN GAMES)|Nemeïsche spelen, ter ere van Zeus    # Nemean games, in honour of Zeus
12E92(OLYMPIAN GAMES)|Olympische Spelen, ter ere van Zeus: Gebruik 12 E 92 (OLYMPISCHE SPELEN)    # Olympian games, in honour of Zeus : Use 12 E 92 (OLYMPIC GAMES)
12E92(OLYMPIC GAMES)|Olympische Spelen, ter ere van Zeus    # Olympic games, in honour of Zeus
12E92(PYTHIAN GAMES)|Pythische spelen, ter ere van Apollo    # Pythian games, in honour of Apollo
12EE13|Representaties ~ godinnen, halfgodinnen, heldinnen, enz. (Griekse religie)    # representations ~ goddesses, demi-goddesses, heroines, etc. (Greek religion)
12EE13(...)|representaties ~ godinnen, halfgodinnen, heldinnen, enz. (met NAAM) (Griekse religie)    # representations ~ goddesses, demi-goddesses, heroines, etc. (with NAME) (Greek religion)
12EE13(...)1|representaties ~ godinnen, halfgodinnen, heldinnen, enz. (met NAAM) (Griekse religie) - vroege leven, jeugd van niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines, etc. (with NAME) (Greek religion) - early life, prime youth of non-Christian god or goddess
12EE13(...)11|Representaties ~ godinnen, halfgodinnen, heldinnen, enz. (met NAAM) (Griekse religie) - geboorte van een niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines, etc. (with NAME) (Greek religion) - birth of non-Christian god or goddess
12EE13(...)12|representaties ~ godinnen, halfgodinnen, heldinnen, enz. (met NAAM) (Griekse religie) - kindertijd, opvoeding van niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines, etc. (with NAME) (Greek religion) - infancy, upbringing of non-Christian god or goddess
12EE13(...)2|representaties ~ godinnen, halfgodinnen, heldinnen, enz. (met NAAM) (Griekse religie) - liefdesaffaires van niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines, etc. (with NAME) (Greek religion) - love-affairs of non-Christian god or goddess
12EE13(...)3|representaties ~ godinnen, halfgodinnen, heldinnen, enz. (met NAAM) (Griekse religie) - belangrijkste daden van een niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines, etc. (with NAME) (Greek religion) - most important deeds of non-Christian god or goddess
12EE13(...)4|representaties ~ godinnen, halfgodinnen, heldinnen, enz. (met NAAM) (Griekse religie) - agressieve, onvriendelijke activiteiten en relaties van een niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines, etc. (with NAME) (Greek religion) - aggressive, unfriendly activities and relationships of non-Christian god or goddess
12EE13(...)5|representaties ~ godinnen, halfgodinnen, heldinnen, enz. (met NAAM) (Griekse religie) - niet-agressieve, vriendelijke of neutrale activiteiten en relaties van een niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines, etc. (with NAME) (Greek religion) - non-aggressive, friendly or neutral activities and relationships of non-Christian god or goddess
12EE13(...)6|representaties ~ godinnen, halfgodinnen, heldinnen, enz. (met NAAM) (Griekse religie) - lijden, ongeluk van niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines, etc. (with NAME) (Greek religion) - suffering, misfortune of non-Christian god or goddess
12EE13(...)68|representaties ~ godinnen, halfgodinnen, heldinnen, enz. (met NAAM) (Griekse religie) - dood van niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines, etc. (with NAME) (Greek religion) - death of non-Christian god or goddess
12EE13(...)69|representaties ~ godinnen, halfgodinnen, heldinnen, enz. (met NAAM) (Griekse religie) - apotheose, vergoddelijking van een niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines, etc. (with NAME) (Greek religion) - apotheosis, deification of non-Christian god or goddess
12EE13(...)7|representaties ~ godinnen, halfgodinnen, heldinnen, enz. (met NAAM) (Griekse religie) - specifieke aspecten, allegorische aspecten van een niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines, etc. (with NAME) (Greek religion) - specific aspects, allegorical aspects of non-Christian god or goddess
12EE13(...)78|Representaties ~ godinnen, halfgodinnen, heldinnen, enz. (met NAAM) (Griekse religie) - triomf van een niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines, etc. (with NAME) (Greek religion) - triumph of non-Christian god or goddess
12EE13(...)79|representaties ~ godinnen, halfgodinnen, heldinnen, enz. (met NAAM) (Griekse religie) - verering, eren van niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines, etc. (with NAME) (Greek religion) - veneration, honouring of non-Christian god or goddess
12EE13(...)8|representaties ~ godinnen, halfgodinnen, heldinnen, enz. (met NAAM) (Griekse religie) - attributen van niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines, etc. (with NAME) (Greek religion) - attributes of non-Christian god or goddess
12EE13(...)9|representaties ~ godinnen, halfgodinnen, heldinnen, enz. (met NAAM) (Griekse religie) - nakomeling, metgezel(s), gevolg, enz. van een niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines, etc. (with NAME) (Greek religion) - offspring, companion(s), train, etc. of non-Christian god or goddess
12EE51|priester ~ Griekse religie - EE - priesteres    # priest ~ Greek religion - EE - priestess
12EE512|'metragyrti', rondzwervende bedelende priesters ~ Griekse religie - EE - priesteres    # 'metragyrti', wandering begging priests ~ Greek religion - EE - priestess
12EE52|ziener, profeet ~ Griekse religie - EE - zieneres, profetes    # seer, prophet ~ Greek religion - EE - seeress, prophetess
12EE52(...)|ziener, profeet (met NAAM) ~ Griekse religie - EE - zieneres, profetes    # seer, prophet (with NAME) ~ Greek religion - EE - seeress, prophetess
12EE62|altaar ~ Griekse religie - EE - in de open lucht    # altar ~ Greek religion - EE - in the open air
12EE621|huisaltaar ~ Griekse religie - EE - in de open lucht    # house-altar ~ Greek religion - EE - in the open air
12EE63|beelden, schilderijen, enz. ~ objecten van verering in de Griekse religie - EE - in de open lucht    # statues, paintings, etc. ~ objects of worship in Greek religion - EE - in the open air
12EE84|mysterieculten ~ Griekse religie (alleen vrouwen)    # mystery cults ~ Greek religion (women only)
12EE84(...)|mysterieculten (met NAAM) ~ Griekse religie (alleen vrouwen)    # mystery cults (with NAME) ~ Greek religion (women only)
12EE84(DIONYSUS)|Dionysische mysteriën - EE - alleen vrouwen    # Dionysian mysteries - EE - women only
12EE84(ELEUSIS)|Eleusinische mysteriën, ter ere van Demeter - EE - alleen vrouwen    # Eleusinian mysteries, in honour of Demeter - EE - women only
12EE84(ORPHEUS)|Orfische mysteriën - EE - alleen vrouwen    # Orphic mysteries - EE - women only
12EE84(SAMOTHRACE)|Samothracische mysteriën, ter ere van de Cabiri - EE - alleen voor vrouwen    # Samothracian mysteries, in honour of the Cabiri - EE - women only
12EE84(THESMOPHORIA)|'Thesmophoria', mysterie ter ere van Demeter    # 'Thesmophoria', mystery in honour of Demeter
12EE91|Feesten en festivals ter ere van de Griekse goden - EE - alleen vrouwen    # feasts and festivals in honour of the Greek gods - EE - women only
12EE91(...)|feesten en festivals ter ere van de Griekse goden (met NAAM) - EE - alleen vrouwen    # feasts and festivals in honour of the Greek gods (with NAME) - EE - women only
12EE91(ANTHESTERIA)|'Anthesteria', festival van Dionysus - EE - alleen vrouwen    # 'Anthesteria', festival of Dionysus - EE - women only
12EE91(PANATHENAEA)|'Panathenaea', feest ter ere van Athena - EE - alleen vrouwen    # 'Panathenaea', feast in honour of Athena - EE - women only
12F|Romeinse religie
12F1|Concepties en ideeën gevisualiseerd ~ Romeinse religie    # conceptions and ideas visualized ~ Roman religion
12F13|Representaties ~ goden, halfgoden, helden etc. (Romeinse religie)    # representations ~ gods, demi-gods, heroes etc. (Roman religion)
