0|Abstracte, non-representatieve kunst
11R51|scènes die 'Vanitas' symboliseren
11R511|(kinderen of putti) die bellen blazen, 'Homo Bulla' ~ scène die 'Vanitas' symboliseert
11R512|(vrouw) kijkend in een spiegel ~ scène die 'Vanitas' symboliseert
11R513|Vader Tijd blaast de lamp van het leven uit ~ scène die 'Vanitas' symboliseert
11R514|Man hangend aan een tak boven een put ~ scène die 'Vanitas' symboliseert
11R6|'Vanitas' stilleven
11R61|perso(o)n(en) zitten tussen objecten die een 'Vanitas' stilleven vormen
11R7|'Vanitas' symbolen
11R71|schedel als symbool van 'Vanitas'
11R72|roken van pot als symbool van 'Vanitas'
11S|hemel, hemels paradijs, Nieuwe Aarde
11S0|Personificatie van de hemel: Caelus; 'Cielo' (Ripa)
11S1|Voorstellingen van hemels paradijs (en zijn bewoners)
11S11|hemel gerepresenteerd in de lucht, met wolken (in concentrische cirkels) en licht
11S12|hemel voorgesteld als paradijselijk landschap
11S13|hemel voorgesteld als een weide
11S14|hemel voorgesteld als Zee van Glas
11S15|hemel voorgesteld als een stad
11S16|hemel voorgesteld als de schoot van Abraham (de gezegenden in zijn schoot of in zijn armen)
11S2|symbolen van de hemel
11S3|reis naar de hemel, pad naar de hemel
11S31|ladder, trap naar de hemel
11S311|De gezegenden beklimmen de ladder, de zondaars vallen naar beneden de hel in.
11S4|de poort van de hemel, ingang tot de hemel, 'porta coeli'
11S41|St. Peter die de poort van de hemel bewaakt
11S5|ontvangst van de gezegenden in de hemel
11S51|Enoch en Elia ontvangen de zielen in de hemel
11S6|De gezegenden in de hemel, en hun activiteiten
11S61|de gezegende zang in de hemel
11S62|De gezegende maken muziek in de hemel
11S63|de gezegende aanbidding in de hemel
11S64|de gezegende banketten in de hemel
11S7|de Veertien Zaligsprekingen
11S71|de zeven gaven van het lichaam (les dons du corps)
11S711|schoonheid, 'Pulchritudo' ~ een van de zeven gaven van het lichaam
11S712|behendigheid, 'Velocitas' ~ een van de zeven gaven van het lichaam
11S713|moed, kracht, 'Fortitudo' ~ een van de zeven gaven van het lichaam
11S714|vrijheid, 'Libertas' ~ een van de zeven gaven van het lichaam
11S715|onbewogenheid, 'Impassibilitas' ~ een van de zeven gaven van het lichaam
11S716|weelde, plezier, 'Voluptas' ~ een van de zeven gaven van het lichaam
11S717|eeuwig leven, 'Vitae aeternitas' ~ een van de zeven gaven van het lichaam
11S72|de zeven gaven van de ziel ('les dons de l'esprit')
11S721|wijsheid, 'Sapientia' ~ een van de zeven gaven van de ziel
11S722|vriendschap, 'Amicitia' ~ een van de zeven geschenken van de ziel
11S723|concord, 'Concordia' ~ een van de zeven gaven van de ziel
11S724|eer, 'Honor' ~ een van de zeven gaven van de ziel
11S725|kracht, 'Potestas' ~ een van de zeven gaven van de ziel
11S726|beveiliging, 'Securitas' ~ een van de zeven gaven van de ziel
11S727|vreugde, 'Gaudium' ~ een van de zeven gaven van de ziel
11T|hel en vagevuur
11T1|representaties van de hel (met de verdoemden en duivels), meestal met brandende vuren
11T11|hel weergegeven als landschap
11T12|hel verdeeld in compartimenten
11T13|hel voorgesteld als grot of spelonk
11T14|hel voorgesteld als (verwoeste) stad, (verwoest) kasteel
11T2|symbolen van de hel
11T3|reis naar de hel
11T4|ingang van de hel
11T41|ingang van de hel als monsterlijke mond (van Leviathan)
11T411|ingang van de hel als monsterlijke mond (van Leviathan) in een landschap
11T42|ingang van de hel als poort
11T5|de verdoemde zielen, en hun straf
11T51|de verdoemde zielen geslagen, geprikt, gegeseld, enz. door duivels
11T52|de verdoemde zielen koken in grote ketels
11T53|duivels slepen de verdoemden naar het vuur van de hel
11T6|vagevuur, meestal de zielen die bidden of om voorspraak vragen
11T61|bevrijding van de zielen uit het vagevuur
11T7|limbo
11TT1|representaties van de hel (met de verdoemden en duivels), meestal met brandende vuren - TT - met de duivel (Lucifer) als heerser
11TT11|hel voorgesteld als landschap - TT - met de duivel (Lucifer) als heerser
11TT12|hel verdeeld in compartimenten - TT - met de duivel (Lucifer) als heerser
11TT13|hel voorgesteld als grot of spelonk - TT - met de duivel (Lucifer) als heerser
11TT14|hel voorgesteld als (verwoeste) stad, (verwoest) kasteel - TT - met de duivel (Lucifer) als heerser
11U|Laatste Oordeel
11U1|uitgebreide voorstelling van Laatste Oordeel: Christus (met zwaard en lelie), vaak omringd door ouderen en soms vergezeld door Maria en Johannes de Doper, verschijnt in de lucht met trompetterende engelen (en soms engelen die de instrumenten van de Passie vasthouden); na de opstanding van de doden worden de gezegenden naar de hemel geleid
11U11|weergave van Laatste Oordeel, met de aartsengel Michaël die de zielen weegt (of de gezegenden en de verdoemden verdeelt)
11U2|Aparte scènes ~ Laatste Oordeel
11U21|wederopstanding van de doden ~ Laatste Oordeel
11U22|verdeling van de gezegenden en de verdoemden ~ Laatste Oordeel
11U23|De gezegenden worden naar de hemel gebracht ~ Laatste Oordeel
11U24|de val van de verdoemden ~ Laatste Oordeel
11U3|symbolen van Laatste Oordeel
11U4|Maria en Johannes de Doper samen met (bijvoorbeeld knielend voor) de oordelende Christus, Deesis ~ Laatste Oordeel
11U5|de vijftien tekens voor de Dag des Oordeels
11U6|de tweede komst van Christus
11V|de (zeven) Werken van Barmhartigheid
11V1|het voeden van de hongerigen, 'esuriens cibatur' ~ een van de (zeven) Werken van Barmhartigheid
11V2|het geven van de dorstige te drinken, 'sitiens potatur' ~ een van de (zeven) Werken van Barmhartigheid
11V3|het onderdak bieden aan vreemden, 'hospes colligitur' ~ een van de (zeven) Werken van Barmhartigheid
11V4|kleding de naakte, 'nudus vestitur' ~ een van de (zeven) Werken van Barmhartigheid
11V5|het bezoeken van de zieken, 'aeger curatur' ~ een van de (zeven) Werken van Barmhartigheid
11V6|bezoeken of bevrijden van de gevangenen, 'incarceratus solatur' ~ een van de (zeven) Werken van Barmhartigheid
11V7|het begraven van de doden, 'mortuus sepellitur' ~ een van de (zeven) Werken van Barmhartigheid
11V8|de (zeven) spirituele Werken van Barmhartigheid
11V81|waarschuwing zondaars ~ een van de (zeven) geestelijke werken van barmhartigheid
11V82|informeren van de onwetende ~ een van de (zeven) spirituele Werken van Barmhartigheid
11V83|Het adviseren van de twijfelende ~ een van de (zeven) geestelijke Werken van Barmhartigheid
11V84|Troosten van de bedroefden ~ een van de (zeven) geestelijke werken van barmhartigheid
11V85|het onrecht geduldig verdragen ~ een van de (zeven) geestelijke Werken van Barmhartigheid
11V86|vergevingsgezindheid ~ een van de (zeven) spirituele Werken van Barmhartigheid
11V87|bidden voor de levenden en de doden ~ een van de (zeven) geestelijke werken van barmhartigheid
11V9|werken van meedogenloosheid
11VV|de (zeven) Werken van Barmhartigheid - VV - Christus aanwezig
11VV1|het voeden van de hongerigen, 'esuriens cibatur' ~ een van de (zeven) Werken van Barmhartigheid - VV - Christus aanwezig
11VV2|het geven van de dorstigen te drinken, 'sitiens potatur' ~ een van de (zeven) Werken van Barmhartigheid - VV - Christus aanwezig
11VV3|het onderdak bieden aan vreemden, 'hospes colligitur' ~ een van de (zeven) Werken van Barmhartigheid - VV - Christus aanwezig
11VV4|kleding de naakte, 'nudus vestitur' ~ een van de (zeven) Werken van Barmhartigheid - VV - Christus aanwezig
11VV5|het bezoeken van de zieken, 'aeger curatur' ~ een van de (zeven) Werken van Barmhartigheid - VV - Christus aanwezig
11VV6|bezoeken of bevrijden van de gevangenen, 'incarceratus solatur' ~ een van de (zeven) Werken van Barmhartigheid - VV - Christus aanwezig
11VV7|het begraven van de doden, 'mortuus sepellitur' ~ een van de (zeven) Werken van Barmhartigheid - VV - Christus aanwezig
11VV8|de (zeven) spirituele werken van barmhartigheid - VV - Christus aanwezig
11VV81|waarschuwing zondaars ~ een van de (zeven) geestelijke werken van barmhartigheid - VV - Christus aanwezig
11VV82|informeren van de onwetenden ~ een van de (zeven) spirituele Werken van Barmhartigheid - VV - Christus aanwezig
11VV83|Het adviseren van de twijfelende ~ een van de (zeven) geestelijke werken van barmhartigheid - VV - Christus aanwezig
11VV84|Troosten van de bedroefden ~ een van de (zeven) geestelijke werken van barmhartigheid - VV - Christus aanwezig
11VV85|verdraag onrecht geduldig ~ een van de (zeven) geestelijke werken van barmhartigheid - VV - Christus aanwezig
11VV86|vergevingsgezindheid ~ een van de (zeven) spirituele Werken van Barmhartigheid - VV - Christus aanwezig
11VV87|bidden voor de levenden en de doden ~ een van de (zeven) geestelijke werken van barmhartigheid - VV - Christus aanwezig
11VV9|werken van meedogenloosheid - VV - Christus aanwezig
12|niet-christelijke religies (inclusief instellingen, gebruiken en oudheden)
12A|Joodse religie en cultuur
12A0|'Synagoga', Synagoge, d.w.z. Joodse religie gepersonifieerd (of gesymboliseerd)
12A1|God ~ Joodse religie
12A11|De naam van God ~ Joodse religie
12A111|tetragram (in Hebreeuws schrift) ~ Joodse religie
12A112|andere namen van God ~ Joodse religie
12A112(...)|andere namen van God ~ Joodse religie (met NAAM)
12A2|Bijbelse wetten, gerechtigheid en overheid ~ Joodse religie
12A21|Joodse wetten tegen heidendom, afgoderij en godslastering
12A211|Joodse wet tegen afgoderij (Exodus 20:3; Leviticus 20; Deuteronomium 12-13, 18:9-14)
12A2111|verbod op afbeeldingen (~ Joodse wet tegen afgoderij) (Exodus 20:4, 20:22-23)
12A212|Joodse wet tegen godslastering (Exodus 20:4)
12A22|Joodse wetten van reinheid en onreinheid
12A221|Joodse wetten met betrekking tot melaatsheid (Leviticus 13-14)
12A222|Joodse wetten met betrekking tot menstruatie (Leviticus 15)
12A223|Joodse wetten betreffende reiniging van vrouwen na de bevalling (Leviticus 12)
12A23|Joodse dieetwetten (Leviticus 11, 19:23-24, 23:14; Deuteronomium 12:15-28)
12A231|Joodse wet ~ reine en onreine dieren (Deuteronomium 14:3-21)
12A232|Joodse dieetwet ~ verboden mengsels (Exodus 23:19, 34:26; Deuteronomium 16:21, 22:9-11)
12A233|Joodse dieetwet ~ slachten (Leviticus 17)
12A2331|'shehitah', Joodse slacht ritueel
12A2332|'shohet', Joodse rituele slachter
12A2333|'halaf', slachtmes
12A24|Eed van Nazireeërschap ~ Joodse religie (Numeri 6)
12A25|gerechtigheid ~ Joodse cultuur
12A251|koning ~ Joodse cultuur
12A2511|Inwijding van de koning ~ Joodse cultuur
12A25111|zalving van de koning ~ Joodse cultuur
12A25112|Kroning van de koning ~ Joodse cultuur
12A252|geweldige vergadering, geweldige synagoge, 'Keneset ha-Gedolah' ~ Joodse cultuur
12A253|gerechtsgebouwen ~ Joodse cultuur
12A2531|hoogste gerechtshof, 'Sanhedrin' ~ Joodse cultuur
12A254|Wetten van gerechtigheid ~ Joodse religie
12A26|geboden van liefde ~ Joodse religie
12A27|andere Joodse wetten
12A27(...)|andere Joodse wetten (met BOEK HOOFDSTUK:VERS)
12A27(Deut. 21:22-23)|Joodse wet van de begrafenis van opgehangen zondaars
12A27(Deut. 25:2-3)|Joodse wet van de veertig slagen voor een schuldige man
12A27(Num. 5:11-31)|ordeel over een overspelige vrouw (Joodse wet)
12A3|religieuze praktijken, aanbidding, liturgie ~ Joodse religie
12A31|altaar ~ Joodse religie
12A311|het altaar van wierook, het gouden altaar ~ Joodse religie
12A3111|het altaar van wierook in de tabernakel ~ joodse religie
12A3112|het altaar van wierook in de Tempel ~ Joodse religie
12A312|het altaar van brandoffer, het koperen altaar ~ Joodse religie
12A3121|het altaar van brandoffer in de tabernakel ~ joodse religie
12A3122|de koperen altaar in de Tempel ~ Joodse religie
12A32|Offeren van dieren ~ Joodse religie
12A321|Offerande van het paaslam ~ Joodse religie
12A322|Offer van de zondebok ~ Joodse religie
12A323|Offerande van tortelduiven ~ Joodse religie
12A33|andere aanbiedingen ~ Joodse religie
12A331|'minhah', graanoffer, graanoffer ~ Joodse religie
12A3311|maaltijdoffer van ongezuurde koeken ~ Joodse religie
12A34|dagelijkse diensten ~ Joodse religie
12A341|dagelijkse diensten in de Tempel ~ Joodse religie
12A3411|dienst voor zonsopgang ~ Joodse religie
12A34111|tempelwacht ~ Joodse religie
12A34112|het blazen van de ramshoorn ~ dagelijkse diensten in de Tempel
12A3412|dienst tijdens zonsopgang ~ Joodse religie
12A34121|priesters verzamelen bij zonsopgang ~ Joodse religie
12A34122|wassen van handen en voeten ~ Joodse religieuze praktijken
12A34123|het brengen van een brandoffer ~ Joodse religie
12A34124|lezing van de wet ~ Joodse religie
12A34125|Aanbod van voedsel en drank ~ Joodse religie
12A34126|(sprekend over) de zegen ~ Joodse religie
12A3413|dienst bij zonsondergang ~ Joodse religie
12A34131|het brengen van een offer bij zonsondergang ~ Joodse religie
12A3414|muziekinstrumenten gebruikt in de Joodse tempeldiensten
12A342|dagelijkse diensten in de synagoge ~ Joodse religie
12A3421|Belangrijkste diensten in de synagoge
12A34211|avonddienst in de Synagoge
12A34212|ochtenddienst in de synagoge
12A34213|middagdienst in de synagoge
12A34214|aanvullende dienst in de Synagoge
12A34215|herdenkingsdienst in de Synagoge ~ Joodse religie
12A3422|'Schulklopfer', synagoge-klopper, een man die leden oproept voor synagogediensten
12A34221|ontwakende hamer, houten hamer, vaak in de vorm van een 'shofar' (ramshoorn)
12A3423|lezing van de Torah ~ Joodse religie
12A34231|'ba'al keri'ah', lezer van de Torah ~ Joodse religie
12A3424|Synagogale muziek ~ Joodse religie
12A34241|'hazzan', voorzanger in Synagoge ~ Joodse religie
12A34242|koor in Synagoge ~ Joodse religie
12A35|'berachot', zegeningen, zegeningen ~ Joodse religie
12A351|priesterlijke zegen (met opgeheven armen) ~ Joodse religie
12A352|Andere zegeningen of zegeningen ~ Joodse religie
12A353|zegening gebaren ~ Joodse religie
12A3531|handoplegging ~ Joodse religie
12A3532|hand met de vingers gespreid ~ Joodse zegen
12A36|ablution, onderdompeling ~ Joodse religie
12A361|reiniging van handen ~ Joodse religie
12A362|wassen van de voeten ~ Joodse religie
12A363|onderdompeling van het lichaam ~ Joodse religie
12A3631|mikveh, ritueel bad
12A37|liturgische dans ~ Joodse religie
12A38|gebed, bidden ~ Joodse religie
12A381|De basisgebeden ~ Joodse religie
12A3811|'Tefillah' (Joodse gebed)
12A3812|'Shemoneh Esreh', Achttien Zegeningen (Joods gebed)
12A3813|Joodse liturgische psalmen
12A3814|'kaddish' (Joods gebed voor de overledene, staand gereciteerd)
12A382|privégebeden ~ Joodse religie
12A383|siddur, Joods gebedenboek
12A3831|'mahzor', Joods gebedenboek voor de feestdagen
12A39|andere Joodse riten en ceremonies
12A4|Tabernakel, Tempel, Synagoge en andere heiligdommen ~ Joodse religie
12A41|aanbidding van God in de open lucht ~ Joodse religie
12A411|verering van God op de top van een berg of heuvel ~ Joodse religie
12A42|tabernakel, 'mishkan' ~ Joodse religie
12A421|Tent of Meeting, ''Ohel Mo'ed', Tent of the Testimony, 'Mishkan ha-'Edut' (Tabernacle ~ Joodse religie)
12A4211|voorste gedeelte van de Tabernakel, de Heilige (Joodse religie)
12A4212|de Heilige der Heiligen ~ Joodse religie
12A42121|Sluier van de Tabernakel ~ Joodse religie
12A422|Ark van het Verbond ~ Joodse religie
12A4221|Cherubim op de Ark van het Verbond in de Tabernakel
12A4222|'kapporet', gouden deksel van de Ark des Verbonds ~ Joodse religie
12A4223|voorwerpen die bewaard werden in de Ark van het Verbond
12A42231|staf van Aaron, bewaard in de Ark van het Verbond
12A42232|kruik met manna, bewaard in de Ark van het Verbond
12A4224|Ark of the Covenant elders (niet in Tabernakel)
12A42241|Ark van het Verbond in de tempel ~ Joodse religie
12A42242|transport van de Ark van het Verbond (in het algemeen) ~ Joodse religie
12A423|andere objecten die in de Tabernakel bewaard werden
12A4231|'menorah', gouden zevenarmige kandelaar, bewaard in de Tabernakel
12A42311|zeven lampen ~ 'menora'
12A4232|Tafel van de toonbroden in de Tabernakel ~ Joodse religie
12A42321|de twaalf broden van de toonbroden ~ Joodse religie
12A424|De rechtbank van de Tabernakel ~ Joodse religie
12A4241|brons wasbekken en zijn voetstuk ~ het voorhof van de Tabernakel
12A425|Tabernakel elders
12A4251|Tabernakel in Silo ~ Joodse religie
12A43|de tempel (in het algemeen) ~ joodse religie
12A431|buitenhof van Joodse Tempel, met poorten en trappen
12A432|binnenplaats van Joodse Tempel, hof van de priesters
12A4321|Koperen Zee, Smeltzee ~ Joodse Tempel
12A4322|'dukhan', tribune waarvandaan de priesterlijke zegen wordt gegeven ~ Joodse Tempel
12A4323|twee pilaren Jachin en Boaz ~ Joodse Tempel
12A433|toevluchtsoord, 'bet ha-mikdash' ~ Joodse Tempel
12A4331|de heilige, voorste deel van het heiligdom, 'hekhal' ~ Joodse Tempel
12A43311|Tien gouden lampenstandaarden ~ Joodse Tempel
12A43312|(tien) tafel(s) van het toonbrood in de Tempel ~ Joodse religie
12A4332|de Heilige der Heiligen, cella, 'devir' ~ Joodse Tempel
12A434|Bouw van de tempel ~ Joodse religie
12A4341|Inwijding van de tempel ~ Joodse religie
12A4349|vernietiging van de tempel ~ Joodse religie
12A43491|ontwijding van de tempel ~ Joodse religie
12A43492|resten van de tempel ~ Joodse religie
12A435|tweede tempel, tempel van Ezra, tempel van Zerubbabel ~ Joodse religie
12A436|derde tempel, tempel van Herodes ~ Joodse religie
12A4361|overblijfselen van de derde tempel ~ Joodse religie
12A43611|klaagmuur ~ Joodse religie
12A44|de Synagoge (als gebouw en plaats van aanbidding ~ Joodse religie)
12A441|heilige ark, 'aron kodesh', heiligdom (in synagoge) voor de heilige geschriften ~ Joodse religie
12A442|'Sefer Torah', Rol van de Wet
12A4421|'azei hayyim' (bomen des levens), stokken, staven of rollen van de Torahrol ~ Joodse religie
12A4422|versiering van de Torahrol ~ Joodse religie
12A44221|Torah hoes
12A44222|'mappah', Torah mantel
12A44223|'Torah Wimpel', band of doek gebruikt bij besnijdenis
12A44224|'rimmonim' (granaatappels), torentjes boven op de rollen van de Wetrol
12A44225|'keter Torah', Torah kroon
12A44226|'tas', borstplaat ~ versiering van de Wetsrol
12A4423|'yad' (hand), aanwijzer gebruikt bij het lezen van de Torah
12A443|'parokhet', Torah ark gordijn
12A444|'Ner Tamid', eeuwig licht, altijd brandende lamp in synagoge
12A445|rollen (niet Torah) in synagoge, bijv. 'Talmud'
12A446|andere (liturgische) objecten in de synagoge
12A4461|laver en pitcher, vaten voor het wassen van de handen van de priesters
12A4462|'bimah', platform voor het lezen van de Torah
12A4463|bureau voor de precentor ~ Synagoge
12A4464|preekstoel ~ Synagoge
12A4465|banken, stoelen ~ Synagoge
12A44651|vrouwen galerij, vrouwen sectie ~ Synagoge
12A44652|Zetel van Mozes ~ Synagoge (Matteüs 23:2)
12A45|Bet Ha-midrash, huis van studie, Schola Judaeorum
12A451|'Klaus', 'Shtibl' (kleine kamer voor studie) ~ Joodse religie
12A452|'Yeshiva', Talmoedacademie
12A5|Joodse spirituele leiders en divisies, religieuze functionarissen
12A51|Messias
12A519|valse messias ~ Joodse religie
12A52|hiërarchie van priesters ~ Joodse religie
12A521|hoge priester ~ hiërarchie van priesters
12A5211|Kledij van de hogepriester ~ Joodse religie
12A52111|hoofddeksel van hogepriester ~ Joodse religie
12A52112|kledingstuk, 'ephod' van hogepriester ~ Joodse religie
12A52113|borstschild van hogepriester ~ Joodse religie
12A52114|'Urim' en 'Thummim' ~ kledingstukken van de hogepriester
12A522|hoofdpriesters ~ hiërarchie van priesters
12A523|priesters ~ hiërarchie van priesters
12A524|Levieten ~ hiërarchie van priesters
12A53|religieuze functionarissen ~ Joodse religie
12A531|hoofdrabbijn
12A532|rabbijn
12A533|rabbinaal hof, 'bet din' ~ Joodse religie
12A5331|hoofd van het rabbinaal gerechtshof
12A5332|Rechter, 'dayyan' van rabbinaal hof ~ Joodse religie
12A534|'shammash', koster, voorzanger (Joodse religieuze functionaris)
12A54|Joodse sekten, divisies, spirituele stromingen
12A54(...)|Joodse sekten, divisies, spirituele stromingen (met NAAM)
12A54(KARAITES)|Joodse sekten, divisies, spirituele stromingen: Karaïeten
12A54(SAMARITANS)|Joodse sekten, divisies, spirituele stromingen: Samaritanen
12A541|cabalisme, 'Kabbalah' ~ Joodse spirituele stroming
12A542|Hasidisme ~ Joodse sekten
12A55|moderne spirituele en politieke Joodse bewegingen, stromingen en groepen
12A55(...)|moderne spirituele en politieke Joodse bewegingen, stromingen en groepen (met NAAM)
12A6|Joodse feesten, feesten en feestdagen (inclusief liturgie, ceremonies, rituelen en gebruiken)
12A61|sabbat ~ Joodse religie
12A611|voorbereiden van eten voor Sabbat
12A6111|'hallah', portie deeg ~ Joodse sabbat
12A6112|'cholent' pot (waarin voedsel warm wordt gehouden) ~ Joodse Sabbat
12A612|vrijdagavond in de synagoge
12A6121|zingen in de synagoge ~ Joodse sabbat
12A6122|'kiddush', zegenen van de wijn ~ Sabbat in synagoge
12A61221|'kiddush' beker ~ Joodse Sabbat
12A613|vrijdagavond thuis ~ Sabbat
12A6131|Het aansteken en zegenen van de Sabbatkaarsen door de vrouw des huizes
12A61311|sabbatslamp
12A6132|zegening van de kinderen door de vader van het gezin ~ Sabbat
12A6133|Zegenen van het brood en de wijn ~ Sabbat thuis
12A6134|Vrijdagavondmaaltijd (eerste Sabbatmaaltijd)
12A614|zaterdagdienst in de synagoge ~ Joodse sabbat
12A615|gezinsleven op Sabbat
12A6151|tweede sabbatmaaltijd
12A6152|derde sabbatsmaaltijd
12A6153|'Melavveh Malkah' ('escort van de Koningin'), post-Sabbath-maaltijd
12A616|'havdalah', ceremonie die het einde van de sabbat markeert
12A6161|zegenen van de wijn en de specerijen ~ einde van Joodse sabbat
12A61611|'Besamim' doos, 'hadas', kruidendoos, kruidencontainer ~ Sabbat
12A6162|doven van het licht van de 'havdalah' kaars ~ einde van Joodse sabbat
12A617|wetten met betrekking tot Sabbat ~ Joodse religie
12A62|maandelijkse feesten ~ Joodse religie
12A621|'Rosj Chodesj', feest van de nieuwe maan ~ Joodse religie
12A622|Birkat ha-Levanah, Kiddush Levanah, zegening van de maan ~ Joodse religie
12A63|jaarlijkse feesten ~ Joodse religie
12A631|'Pesah', Pasen ~ Joodse religie
12A6311|voorbereidingen voor Pesach, het huis schoonmaken
12A63111|zoeken naar zuurdesem ~ voorbereidingen voor Pesach
12A63112|verbranding van zuurdesem ~ voorbereidingen voor Pesach
12A6312|'seder' (thuisdienst voor 'Pesach')
12A63121|het bakken van 'mazzah', ongezuurd brood ~ 'Pesah'
12A63122|'seder' bord, diner-set ~ 'Pesah'
12A63123|'koso shel Eliyyahu', beker voor de profeet Elia ~ 'Pesah'
12A63124|'haggadah' (het boek dat wordt gebruikt in de 'seder')
12A632|'Shavoeot', Wekenfeest, Pinksteren, synagoge versierd met takken
12A6321|'Hag ha-Bikkurim', Feest van de Eerstelingen
12A633|Sukkot, Feest van de Tabernakels
12A6331|'sukkah', hut versierd met takken en fruit ~ 'Sukkot'
12A63311|Het oprichten van de 'sukkah' ~ 'Sukkot'
12A63312|wonen in de 'sukkah'
12A63313|Kabbalistisch ritueel om de zeven Hemelse Gasten (Abraham, Isaak, Jakob, Jozef, Mozes, Aäron, David) uit te nodigen in de 'sukkah'
12A6332|'lulav', bundel takken van vier verschillende plantensoorten ~ 'Sukkot'
12A6333|etrog, citroen (of citroen) ~ Sukkot
12A63331|'etrog' doos ~ 'Sukkot'
12A6334|processie met de 'lulav' in de rechterhand en de 'etrog' in de linkerhand ~ Sukkot
12A6335|'Hoshana Rabba' (zevende dag van het 'Sukkot' festival)
12A6336|Sjemini Azereth, Feest van de Afsluiting (achtste dag van het Sukkot festival)
12A6337|Simchat Torah, Vreugde in de wet ~ Soekot
12A63371|'Simchat Torah' processie: de 'Hatan Torah' en de 'Hatan Bereshit' worden begeleid in een processie met fakkels en muziek van hun huizen naar de synagoge en terug.
12A633711|'hatan Torah' (bruidegom van de Torah), lezer van het laatste gedeelte van de Torah
12A633712|'Hatan Bereshit' (Bruidegom van Genesis), lezer van het eerste gedeelte van de Torah
12A63372|verdeling van snoep aan de kinderen ~ 'Simchat Torah'
12A6338|verbranding van de gebruikte takken na de heilige dag op de binnenplaats van de synagoge ~ 'Sukkot'
12A634|Rosh Ha-Shanah, Joods Nieuwjaar
12A6341|het blazen van de 'shofar' op 'Rosh Ha-Shanah' ~ Joodse religie
12A63411|'shofar' (ramshoorn) ~ Joodse religie
12A6342|'tashlikh', symbolische ceremonie waarbij de zonden in het water worden geworpen ~ Joods Nieuwjaar
12A6343|eten van appel en honing ~ Joods Nieuwjaar
12A635|Yom Kippur, Dag van Verzoening
12A6351|'Yom Kippur' gebed in de synagoge; mannelijke gelovigen dragen een wit gewaad ('kittel') en een 'Yom Kippur' muts
12A6352|'kapparot', mannen die een haan omhooghouden, en vrouwen die een hen omhooghouden ~ 'Yom Kippur'
12A63521|Zwangere vrouwen houden een haan en een hen omhoog ~ 'Yom Kippur'
12A6353|'malkot', hurkende mannen geslagen met riemen ~ 'Yom Kippur'
12A636|'Chanoeka', Feest van Licht, Feest van Toewijding
12A6361|'Chanoekia', kandelaar met negen (acht en een) takken
12A6362|'Chanoeka dreidel', kinderen die met een tol spelen met Chanoeka
12A6363|kaart- en dobbelspellen gespeeld tijdens 'Hanukkah'
12A637|'Purim', Feest van Veelheid
12A6371|'megillah', Boek Esther ~ 'Purim'
12A6372|geluid maken tijdens de Purim-dienst (met ratels, hamer, grogger, telkens wanneer de naam van Haman wordt uitgesproken, hamerslag)
12A6373|'Purim' spelers, maskerades
12A6374|'Hamantaschen', soms ook wel 'oren van Haman' genoemd (gebak)
12A638|andere jaarlijkse Joodse festivals, feesten en feestdagen
12A6381|Vijftiende van Av, Feest van de Houten-Oogst ~ Joodse religie
12A6382|Vijftiende van 'Shevat', Nieuwjaar voor Bomen ~ Joodse religie
12A6383|'Omer' periode, 'Sefirah' seizoen (periode van negenenveertig dagen tussen 'Pesah' en 'Shavuot') ~ Joodse religie
12A63831|'tafel' van 'Omer' ~ Joodse religie
12A63832|'Lag ba-Omer' (halve feestdag op de drieëndertigste dag van de 'Omer'-periode) ~ Joodse religie
12A64|vastendagen ~ Joodse religie
12A641|Negende van 'Av', 'Tishah be-Av' (~ vernietiging van de Tempel)
12A642|Tiende van 'Tevet' (~ belegering van Jeruzalem door Nebukadnezar)
12A643|'Yom Kippur Katan', Minder Dag van Verzoening (dag voor de nieuwe maan)
12A65|niet-jaarlijkse feesten ~ Joodse religie
12A651|sabbatsjaar, 'Shemittah' (elke zevende jaar) ~ Joodse religie
12A652|jubileum (elke vijftigste jaar) ~ Joodse religie
12A7|de Joden, Joods leven
12A71|Joodse ceremonies ~ kindertijd
12A711|'berit milah', besnijdenis ~ Joodse ceremonies
12A7111|Mohel, besnijder ~ Joodse ceremonies
12A7112|'sandek', persoon die de baby op een kussen of kussen op zijn schoot houdt bij de besnijdenis ~ Joodse ceremonies
12A7113|besnijdenisstoel, stoel van Elia ~ Joodse ceremonies
12A7114|besnijdenisset, bijv. mes ~ Joodse ceremonies
12A712|naamgeving van het kind ~ Joodse ceremonies
12A7121|Joodse ceremonie voor de naamgeving van kinderen, soms genoemd 'Holle Kreisch'
12A713|Eerste bezoek aan de synagoge door de moeder na de bevalling ~ Joodse ceremonies
12A714|'pidyon ha-ben', verlossing van de eerstgeboren zoon ~ Joodse ceremonies
12A72|Joodse ceremonies ~ jeugd
12A721|'bar mitswa', Joodse initiatieriten voor jongens van dertien jaar
12A7211|het hardop lezen van de Torah door de jongen ~ bar mitswa
12A7212|zegen door de vader ~ initiatie van Joodse jongen
12A722|bevestiging (voor jongens en meisjes) ~ Joodse ceremonies
12A73|huwelijk en scheiding ~ Joodse gebruiken
12A731|'kiddushin', Joodse bruiloft
12A7311|'huppah', luifel gebruikt bij Joodse bruiloften
12A7312|breken van het glas door de bruidegom ~ Joodse bruiloft
12A7313|bruiloftsmaaltijd van bruid en bruidegom (alleen) ~ Joodse bruiloft
